Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83836,01/01/2014,0000,,27.2,,1.7,4.6,22.48,86.75,0.866667,
83836,01/01/2014,1200,0.8,,20.4,,,,,,
83836,02/01/2014,0000,,28.6,,7.1,1.9,23.4,83.25,3.066667,
83836,02/01/2014,1200,4.1,,19.6,,,,,,
83836,03/01/2014,0000,,30,,3.3,3,23.44,85.5,3,
83836,03/01/2014,1200,0.5,,21,,,,,,
83836,04/01/2014,0000,,22.8,,0,2.9,19.54,93.5,2.2,
83836,04/01/2014,1200,20.3,,17.7,,,,,,
83836,05/01/2014,0000,,21.5,,0,0.9,18.82,94,0.8,
83836,05/01/2014,1200,10.5,,16.8,,,,,,
83836,06/01/2014,0000,,26,,1.8,0.7,20.02,91.25,2.6,
83836,06/01/2014,1200,3.3,,17.7,,,,,,
83836,07/01/2014,0000,,28.2,,7.3,1.8,20.04,83.25,1.9,
83836,07/01/2014,1200,23.6,,16,,,,,,
83836,08/01/2014,0000,,28.4,,4.7,2.9,21.46,83,1.333333,
83836,08/01/2014,1200,2.1,,16.5,,,,,,
83836,09/01/2014,0000,,28,,4,3.1,22.12,80.5,1.866667,
83836,09/01/2014,1200,0,,17.8,,,,,,
83836,10/01/2014,0000,,31.4,,10.8,3.8,23.12,72,2.133333,
83836,10/01/2014,1200,0,,16.4,,,,,,
83836,11/01/2014,0000,,31.4,,7.3,4.4,22.28,77.25,1.133333,
83836,11/01/2014,1200,0,,17.8,,,,,,
83836,12/01/2014,0000,,24.2,,2,3.3,20.12,89.75,1.8,
83836,12/01/2014,1200,2.4,,17.2,,,,,,
83836,13/01/2014,0000,,25.6,,3.7,1.1,19.76,89.75,2.066667,
83836,13/01/2014,1200,15.7,,17.8,,,,,,
83836,14/01/2014,0000,,25,,2.4,1.9,19.8,91,2.033333,
83836,14/01/2014,1200,6.5,,16.6,,,,,,
83836,15/01/2014,0000,,25.4,,3.1,1.4,19.4,93,0.933333,
83836,15/01/2014,1200,10.3,,16.8,,,,,,
83836,16/01/2014,0000,,27.6,,7,1,19.9,85.25,1.666667,
83836,16/01/2014,1200,18.3,,16.4,,,,,,
83836,17/01/2014,0000,,28,,7,1.9,19.48,86.25,0.766667,
83836,17/01/2014,1200,11,,14.4,,,,,,
83836,18/01/2014,0000,,28.4,,9.4,2.2,19.58,76.75,1.133333,
83836,18/01/2014,1200,0.1,,15.1,,,,,,
83836,19/01/2014,0000,,29.4,,8.8,3.9,19.36,76,0.733333,
83836,19/01/2014,1200,0,,14.6,,,,,,
83836,20/01/2014,0000,,30,,9.6,4.4,20.88,70.25,1.233333,
83836,20/01/2014,1200,0,,13.4,,,,,,
83836,21/01/2014,0000,,31.4,,10.5,3.9,22.2,73.5,1.5,
83836,21/01/2014,1200,0,,15,,,,,,
83836,22/01/2014,0000,,32.8,,8.6,4.9,24.96,73.5,1.433333,
83836,22/01/2014,1200,0,,19.4,,,,,,
83836,23/01/2014,0000,,30.8,,6.3,4.2,23.5,89.25,3.366667,
83836,23/01/2014,1200,0,,19.2,,,,,,
83836,24/01/2014,0000,,30.6,,8.5,2.3,23.34,78.5,1.9,
83836,24/01/2014,1200,4.6,,18.7,,,,,,
83836,25/01/2014,0000,,30.6,,6,3.5,22.32,85.25,1.866667,
83836,25/01/2014,1200,5.9,,19.6,,,,,,
83836,26/01/2014,0000,,29.6,,9.3,2.3,22.7,80,2.033333,
83836,26/01/2014,1200,23.6,,19.3,,,,,,
83836,27/01/2014,0000,,30,,8.5,3.1,22,83.5,1.2,
83836,27/01/2014,1200,3.6,,17.8,,,,,,
83836,28/01/2014,0000,,30.6,,9.4,2.8,22.36,77.5,1.3,
83836,28/01/2014,1200,2.2,,16.2,,,,,,
83836,29/01/2014,0000,,31.1,,10.1,3.4,23.5,74,1.533333,
83836,29/01/2014,1200,0,,17.6,,,,,,
83836,30/01/2014,0000,,31,,10.9,2.9,23.3,70.25,1.7,
83836,30/01/2014,1200,0,,17.3,,,,,,
83836,31/01/2014,0000,,32.6,,10.9,4.7,23.52,67,0.866667,
83836,31/01/2014,1200,0,,17,,,,,,
83836,01/02/2014,0000,,32.8,,10,5.6,23.8,74.75,1.2,
83836,01/02/2014,1200,0,,17,,,,,,
83836,02/02/2014,0000,,32.8,,8.5,4.8,24.1,63.25,1.533333,
83836,02/02/2014,1200,0,,17.6,,,,,,
83836,03/02/2014,0000,,31.3,,7.9,7.1,24.28,81.5,0.766667,
83836,03/02/2014,1200,0,,19.2,,,,,,
83836,04/02/2014,0000,,33.4,,8.9,2.8,24.56,70,1.4,
83836,04/02/2014,1200,1.2,,17,,,,,,
83836,05/02/2014,0000,,33.8,,8.7,4.4,25.6,62,2.233333,
83836,05/02/2014,1200,0,,18.5,,,,,,
83836,06/02/2014,0000,,33.2,,9.2,4.7,23.36,65.75,0.933333,
83836,06/02/2014,1200,0,,17.8,,,,,,
83836,07/02/2014,0000,,33.4,,8,6.1,24.7,70,1.066667,
83836,07/02/2014,1200,0,,16.7,,,,,,
83836,08/02/2014,0000,,33.8,,5.7,5.2,24.4,68,1.466667,
83836,08/02/2014,1200,0,,20.4,,,,,,
83836,09/02/2014,0000,,32.3,,9.9,4.7,23.06,70.25,2.133333,
83836,09/02/2014,1200,0.3,,17.2,,,,,,
83836,10/02/2014,0000,,33,,10.7,6,24.32,59.5,2.4,
83836,10/02/2014,1200,0,,16,,,,,,
83836,11/02/2014,0000,,32.4,,9.5,6.3,23.04,67.25,1.9,
83836,11/02/2014,1200,0,,19.2,,,,,,
83836,12/02/2014,0000,,32.2,,9.5,5.4,22.8,73.5,1.533333,
83836,12/02/2014,1200,0,,16.4,,,,,,
83836,13/02/2014,0000,,32.4,,7,4.9,22.28,77.5,1.633333,
83836,13/02/2014,1200,0,,17,,,,,,
83836,14/02/2014,0000,,25,,1.1,3,19.32,93.5,2.133333,
83836,14/02/2014,1200,12.6,,17,,,,,,
83836,15/02/2014,0000,,19.6,,0,1.5,17.02,83,3.733333,
83836,15/02/2014,1200,21.3,,16,,,,,,
83836,16/02/2014,0000,,20.8,,0,2.3,17.76,79.25,3.933333,
83836,16/02/2014,1200,0,,15,,,,,,
83836,17/02/2014,0000,,27,,5.8,2.6,19.06,81,3.233333,
83836,17/02/2014,1200,0,,14.1,,,,,,
83836,18/02/2014,0000,,26.2,,5.8,3.4,19.92,77.25,2.766667,
83836,18/02/2014,1200,0,,16.8,,,,,,
83836,19/02/2014,0000,,26.4,,8.5,4,19.74,75,2.966667,
83836,19/02/2014,1200,0,,13.5,,,,,,
83836,20/02/2014,0000,,26.2,,4.3,4.5,20.16,77.5,2.133333,
83836,20/02/2014,1200,0,,14,,,,,,
83836,21/02/2014,0000,,27.4,,1.7,2.6,20.5,86.75,1.2,
83836,21/02/2014,1200,0.1,,17.7,,,,,,
83836,22/02/2014,0000,,21.2,,0,2,19.16,95.25,1.6,
83836,22/02/2014,1200,13.3,,17.6,,,,,,
83836,23/02/2014,0000,,22.4,,0.3,0.6,20.14,94.5,1.866667,
83836,23/02/2014,1200,20.7,,18.8,,,,,,
83836,24/02/2014,0000,,27.2,,4.8,0.7,20.16,86.5,2.3,
83836,24/02/2014,1200,19,,17.6,,,,,,
83836,25/02/2014,0000,,28,,7,3.7,20.78,81.5,1.766667,
83836,25/02/2014,1200,39.5,,15.7,,,,,,
83836,26/02/2014,0000,,29.2,,7.2,0.7,23.06,78.5,2.033333,
83836,26/02/2014,1200,0,,18.3,,,,,,
83836,27/02/2014,0000,,26.4,,4,3.1,21.64,85.25,2.266667,
83836,27/02/2014,1200,13.4,,19.9,,,,,,
83836,28/02/2014,0000,,26.4,,4.9,1.7,18,85,1.266667,
83836,28/02/2014,1200,7.3,,15.2,,,,,,
83836,01/03/2014,0000,,27.2,,8.7,2,19.2,74.25,1.9,
83836,01/03/2014,1200,0,,14,,,,,,
83836,02/03/2014,0000,,28.4,,8.1,3.8,20.78,75.5,2.4,
83836,02/03/2014,1200,0,,13.3,,,,,,
83836,03/03/2014,0000,,24.4,,0.2,3.9,20.02,84.75,2.2,
83836,03/03/2014,1200,0,,17.7,,,,,,
83836,04/03/2014,0000,,22.3,,0,2.1,19.26,90,1.366667,
83836,04/03/2014,1200,0.2,,18,,,,,,
83836,05/03/2014,0000,,25.6,,1.7,1,20.08,90.5,1.8,
