Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83842,01/01/2014,0000,,28.8,,1.5,5,23.16,84,2.733333,
83842,01/01/2014,1200,0,,21.1,,,,,,
83842,02/01/2014,0000,,29.1,,7.4,2.6,24.68,73,2.933333,
83842,02/01/2014,1200,55.2,,20.1,,,,,,
83842,03/01/2014,0000,,29.2,,2.5,4.2,23.5,83,3.7,
83842,03/01/2014,1200,1.4,,20.7,,,,,,
83842,04/01/2014,0000,,21.5,,0,3,18.08,91,2.733333,
83842,04/01/2014,1200,6.4,,16.5,,,,,,
83842,05/01/2014,0000,,24.7,,0.2,1.2,20.14,85.75,2.066667,
83842,05/01/2014,1200,5,,16.4,,,,,,
83842,06/01/2014,0000,,23.9,,0.5,0.9,20.84,89,1.933333,
83842,06/01/2014,1200,0,,18.6,,,,,,
83842,07/01/2014,0000,,30.1,,3.7,1.6,22.58,78.5,2.033333,
83842,07/01/2014,1200,1.8,,18.8,,,,,,
83842,08/01/2014,0000,,29.6,,6.9,2.6,22.38,78.75,1.566667,
83842,08/01/2014,1200,0.8,,19.1,,,,,,
83842,09/01/2014,0000,,28.3,,3.9,3.7,22.26,81.25,1.7,
83842,09/01/2014,1200,18.8,,17.9,,,,,,
83842,10/01/2014,0000,,31.7,,12.5,3,25.18,63,2.533333,
83842,10/01/2014,1200,0,,17.8,,,,,,
83842,11/01/2014,0000,,28.8,,3.8,5.5,23.18,73.25,2.966667,
83842,11/01/2014,1200,0,,19.6,,,,,,
83842,12/01/2014,0000,,26.5,,0.5,2.6,20.42,84,1.966667,
83842,12/01/2014,1200,1.2,,18.6,,,,,,
83842,13/01/2014,0000,,25.9,,0.8,1.7,20.4,87.75,1.866667,
83842,13/01/2014,1200,75.2,,17.6,,,,,,
83842,14/01/2014,0000,,26.1,,4.7,1.7,20.8,84.5,2.966667,
83842,14/01/2014,1200,10.4,,17.7,,,,,,
83842,15/01/2014,0000,,26.7,,2.8,3,20.12,83,3.066667,
83842,15/01/2014,1200,3.2,,17.3,,,,,,
83842,16/01/2014,0000,,25.2,,3.7,2.1,19.08,89.25,1.4,
83842,16/01/2014,1200,37.2,,17,,,,,,
83842,17/01/2014,0000,,29,,7.5,1.7,20.96,80.25,1.6,
83842,17/01/2014,1200,22.2,,15.6,,,,,,
83842,18/01/2014,0000,,29.2,,10.8,2.2,20.98,73.75,2.033333,
83842,18/01/2014,1200,0,,15.4,,,,,,
83842,19/01/2014,0000,,30.5,,10.3,3.1,22.34,67.25,1.3,
83842,19/01/2014,1200,0,,15.8,,,,,,
83842,20/01/2014,0000,,30.7,,10.7,3.7,22.26,64.75,1.433333,
83842,20/01/2014,1200,0,,17,,,,,,
83842,21/01/2014,0000,,31.5,,11,4.3,24.32,68.5,3.1,
83842,21/01/2014,1200,0,,17,,,,,,
83842,22/01/2014,0000,,31.6,,8.5,4.1,25.38,72.25,1.866667,
83842,22/01/2014,1200,3.7,,20,,,,,,
83842,23/01/2014,0000,,31.4,,9.2,4,25.48,67,4.266667,
83842,23/01/2014,1200,0,,20.5,,,,,,
83842,24/01/2014,0000,,31.3,,10.6,4.1,25.36,68.5,3.333333,
83842,24/01/2014,1200,0,,20.5,,,,,,
83842,25/01/2014,0000,,28.8,,10.6,4.7,23.72,77.25,2.233333,
83842,25/01/2014,1200,0,,20.7,,,,,,
83842,26/01/2014,0000,,30,,8.3,3,23.28,78.5,2.4,
83842,26/01/2014,1200,0,,19.5,,,,,,
83842,27/01/2014,0000,,31.1,,8.6,2.8,24.68,75.25,1.966667,
83842,27/01/2014,1200,0,,20.5,,,,,,
83842,28/01/2014,0000,,33.2,,11.6,2.9,25.6,69,1.766667,
83842,28/01/2014,1200,0,,20,,,,,,
83842,29/01/2014,0000,,33.8,,9.1,4.5,25.44,69,2.1,
83842,29/01/2014,1200,0,,20.2,,,,,,
83842,30/01/2014,0000,,33,,11.5,5.1,25.7,65,2.233333,
83842,30/01/2014,1200,0,,19.3,,,,,,
83842,31/01/2014,0000,,34,,10.8,5.4,26.8,63,1.533333,
83842,31/01/2014,1200,0,,20.8,,,,,,
83842,01/02/2014,0000,,33.6,,8.9,5.7,26.24,69.5,1.466667,
83842,01/02/2014,1200,0,,21.4,,,,,,
83842,02/02/2014,0000,,34,,11.3,3,25.68,65.5,1.966667,
83842,02/02/2014,1200,0,,19.2,,,,,,
83842,03/02/2014,0000,,33.8,,9.1,6.6,26.18,71.75,2.233333,
83842,03/02/2014,1200,0,,22,,,,,,
83842,04/02/2014,0000,,32.8,,7.2,3.7,25.26,73.5,2.133333,
83842,04/02/2014,1200,0.7,,21.5,,,,,,
83842,05/02/2014,0000,,33.6,,7.6,2.9,25.7,74.5,2.633333,
83842,05/02/2014,1200,12.4,,21.1,,,,,,
83842,06/02/2014,0000,,34.5,,11.6,3,25.78,60.75,1.5,
83842,06/02/2014,1200,1.6,,19,,,,,,
83842,07/02/2014,0000,,34.5,,11.4,4.9,27.08,63.75,2.533333,
83842,07/02/2014,1200,0,,20.5,,,,,,
83842,08/02/2014,0000,,34.6,,7.9,5,25.82,65.75,2.5,
83842,08/02/2014,1200,0,,21.6,,,,,,
83842,09/02/2014,0000,,34.1,,11.5,2.8,26,64,1.333333,
83842,09/02/2014,1200,7.3,,18.8,,,,,,
83842,10/02/2014,0000,,33,,11.5,5.3,25.18,70.25,1.733333,
83842,10/02/2014,1200,0,,19.2,,,,,,
83842,11/02/2014,0000,,31.3,,11.4,4.4,23.84,72.75,2.9,
83842,11/02/2014,1200,0,,18.2,,,,,,
83842,12/02/2014,0000,,33.1,,11.6,3.6,25,55.25,2.033333,
83842,12/02/2014,1200,0,,18.7,,,,,,
