Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83811,01/01/2014,0000,,29.6,,2.4,2.4,23.04,86.25,1.333333,
83811,01/01/2014,1200,14.1,,20.4,,,,,,
83811,02/01/2014,0000,,28.2,,5.1,2.1,24.28,89.25,1,
83811,02/01/2014,1200,5.4,,20.2,,,,,,
83811,03/01/2014,0000,,29.4,,3.9,1.8,23.48,85,1,
83811,03/01/2014,1200,8.2,,20.4,,,,,,
83811,04/01/2014,0000,,28.6,,1.7,2.6,22.76,85.5,1,
83811,04/01/2014,1200,17.8,,20.2,,,,,,
83811,05/01/2014,0000,,24.6,,0.2,1.8,21.04,85.75,1,
83811,05/01/2014,1200,0,,18,,,,,,
83811,06/01/2014,0000,,28.4,,1.1,1.1,21.28,91.75,1,
83811,06/01/2014,1200,0.6,,18.4,,,,,,
83811,07/01/2014,0000,,29.8,,8.2,1.1,22.56,75.75,1,
83811,07/01/2014,1200,17,,17.6,,,,,,
83811,08/01/2014,0000,,30.6,,6.5,3,22.92,85.5,1,
83811,08/01/2014,1200,0,,18,,,,,,
83811,09/01/2014,0000,,26.4,,0.2,1.8,22.88,79.75,1,
83811,09/01/2014,1200,0.5,,18.8,,,,,,
83811,10/01/2014,0000,,31.9,,11.7,2,23.86,69,1,
83811,10/01/2014,1200,0,,18.2,,,,,,
83811,11/01/2014,0000,,30.3,,5,4.9,22.86,86,1.333333,
83811,11/01/2014,1200,0,,19.4,,,,,,
83811,12/01/2014,0000,,29,,4.9,2,22.02,90.25,1,
83811,12/01/2014,1200,3.7,,18.3,,,,,,
83811,13/01/2014,0000,,25.3,,2.7,1.6,21.34,89.5,1,
83811,13/01/2014,1200,33.6,,18.8,,,,,,
83811,14/01/2014,0000,,26,,1.6,1.4,20.32,84.25,1,
83811,14/01/2014,1200,11,,17.2,,,,,,
83811,15/01/2014,0000,,26.6,,2.2,1.6,20.4,87,1,
83811,15/01/2014,1200,0.3,,17.6,,,,,,
83811,16/01/2014,0000,,27.4,,7.5,1.4,20.36,83.75,1,
83811,16/01/2014,1200,12.5,,17.6,,,,,,
83811,17/01/2014,0000,,29.2,,10,2,21.56,79.5,1,
83811,17/01/2014,1200,32.2,,15.2,,,,,,
83811,18/01/2014,0000,,29.9,,9.5,2.3,22.22,73.75,1,
83811,18/01/2014,1200,0,,17.6,,,,,,
83811,19/01/2014,0000,,30.4,,11.4,3,22.2,66.5,1,
83811,19/01/2014,1200,0,,16.4,,,,,,
83811,20/01/2014,0000,,32.2,,11,4.1,22.84,58.25,1,
83811,20/01/2014,1200,0,,15,,,,,,
83811,21/01/2014,0000,,32.4,,8.9,4.9,23.48,70,1,
83811,21/01/2014,1200,0,,16.4,,,,,,
83811,22/01/2014,0000,,30.7,,5.9,4.2,24.94,82.75,1,
83811,22/01/2014,1200,0,,20,,,,,,
83811,23/01/2014,0000,,30.6,,7.3,3.2,24.56,85.75,1,
83811,23/01/2014,1200,3.4,,20.8,,,,,,
83811,24/01/2014,0000,,30.5,,10,1.9,24.22,78.25,1,
83811,24/01/2014,1200,2.2,,20.2,,,,,,
83811,25/01/2014,0000,,30.1,,6.5,3.4,23.42,81.75,1,
83811,25/01/2014,1200,18.2,,20.2,,,,,,
83811,26/01/2014,0000,,31.5,,9,2,23.5,80,1,
83811,26/01/2014,1200,0.3,,19.6,,,,,,
83811,27/01/2014,0000,,30.6,,7,2,22.68,78.25,1,
83811,27/01/2014,1200,24.1,,18.2,,,,,,
83811,28/01/2014,0000,,32,,9.8,1.8,23.28,75.75,1,
83811,28/01/2014,1200,2.9,,17.2,,,,,,
83811,29/01/2014,0000,,32.2,,9.4,2.8,23.52,77.5,1,
83811,29/01/2014,1200,2.8,,18.4,,,,,,
83811,30/01/2014,0000,,32.6,,11.2,3,24.44,65.5,1,
83811,30/01/2014,1200,23.4,,16.4,,,,,,
83811,31/01/2014,0000,,32.8,,11.2,4.4,24.92,65,1,
83811,31/01/2014,1200,0,,19.2,,,,,,
83811,01/02/2014,0000,,33.4,,10.5,4.9,26.48,65.5,1,
83811,01/02/2014,1200,0,,23.6,,,,,,
83811,02/02/2014,0000,,34.7,,10.4,5.4,26.52,58,1,
83811,02/02/2014,1200,0,,19.9,,,,,,
83811,03/02/2014,0000,,33.5,,9.6,5.4,26.06,65,1,
