Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83049,01/01/2014,0000,,35.5,,,4.9,26.02,78.75,1,
83049,01/01/2014,1200,1.7,,20,,,,,,
83049,02/01/2014,0000,,33.1,,,5,25.46,81.25,1,
83049,02/01/2014,1200,12.4,,20,,,,,,
83049,03/01/2014,0000,,35.6,,,5,26.48,72,1,
83049,03/01/2014,1200,0,,21,,,,,,
83049,04/01/2014,0000,,33.1,,,5,26.9,75.75,1.333333,
83049,04/01/2014,1200,0,,21,,,,,,
83049,05/01/2014,0000,,32.1,,,5,24.78,73.25,1,
83049,05/01/2014,1200,0,,19.4,,,,,,
83049,06/01/2014,0000,,32.1,,,5,23.8,74.75,1,
83049,06/01/2014,1200,0,,16.5,,,,,,
83049,07/01/2014,0000,,29.6,,,6.4,21.3,71.5,1,
83049,07/01/2014,1200,0,,17.6,,,,,,
83049,08/01/2014,0000,,31.1,,,5.6,22.44,72.75,1.333333,
83049,08/01/2014,1200,0,,15.7,,,,,,
83049,09/01/2014,0000,,33.5,,,6,24.54,63,1.666667,
83049,09/01/2014,1200,0,,15.8,,,,,,
83049,10/01/2014,0000,,32.1,,,7,23.38,74,2,
83049,10/01/2014,1200,0,,17.8,,,,,,
83049,11/01/2014,0000,,33.1,,,6,24.94,70,1,
83049,11/01/2014,1200,0,,19.7,,,,,,
83049,12/01/2014,0000,,33.4,,,6,25.36,70.75,1.333333,
83049,12/01/2014,1200,0,,19,,,,,,
83049,13/01/2014,0000,,33.6,,,6.3,25.6,68.75,1.333333,
83049,13/01/2014,1200,0,,20,,,,,,
83049,14/01/2014,0000,,33.6,,,5.7,25.04,71,1,
83049,14/01/2014,1200,0,,19,,,,,,
83049,15/01/2014,0000,,35.7,,,7.4,26.02,65.75,1,
83049,15/01/2014,1200,0,,17.4,,,,,,
83049,16/01/2014,0000,,34.3,,,7.6,23.58,74.25,1,
83049,16/01/2014,1200,0,,17.8,,,,,,
83049,17/01/2014,0000,,30.1,,,6.5,21.9,87.75,1,
83049,17/01/2014,1200,42.3,,18.2,,,,,,
83049,18/01/2014,0000,,30.1,,,3.5,22.34,80.5,1,
83049,18/01/2014,1200,15.8,,18.2,,,,,,
83049,19/01/2014,0000,,30.6,,,6.2,22.82,78.5,1,
83049,19/01/2014,1200,0,,17.3,,,,,,
83049,20/01/2014,0000,,32.6,,,4.5,23.64,76.25,1,
83049,20/01/2014,1200,0,,17.2,,,,,,
83049,21/01/2014,0000,,32.3,,,3.9,25.02,72,1.333333,
83049,21/01/2014,1200,16,,19,,,,,,
83049,22/01/2014,0000,,33.6,,,5.4,25.72,71.25,1.333333,
83049,22/01/2014,1200,0,,20,,,,,,
83049,23/01/2014,0000,,33.1,,,5.5,24.26,80.5,1,
83049,23/01/2014,1200,0,,19,,,,,,
83049,24/01/2014,0000,,33.1,,,4.5,25.06,72,1,
83049,24/01/2014,1200,0,,17.8,,,,,,
83049,25/01/2014,0000,,33.3,,,5.5,24.96,71.5,1.333333,
83049,25/01/2014,1200,0,,17.8,,,,,,
83049,26/01/2014,0000,,33.1,,,5.4,25.32,72.5,1,
83049,26/01/2014,1200,0,,18.5,,,,,,
