Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83695,01/01/2014,0000,,37.5,,10.2,4,30.54,65,0.666667,
83695,01/01/2014,1200,1,,25.2,,,,,,
83695,02/01/2014,0000,,35.8,,12.2,5,29.36,63.5,2,
83695,02/01/2014,1200,0,,24,,,,,,
83695,03/01/2014,0000,,37,,11,5,29.28,60.75,1.333333,
83695,03/01/2014,1200,0,,22.8,,,,,,
83695,04/01/2014,0000,,36.2,,12,5.4,29.06,60,1.333333,
83695,04/01/2014,1200,0,,22.5,,,,,,
83695,05/01/2014,0000,,33.5,,11.8,6.6,27.28,64.75,2,
83695,05/01/2014,1200,0,,23.5,,,,,,
83695,06/01/2014,0000,,32,,10.3,5.1,26.3,65,2.333333,
83695,06/01/2014,1200,0,,21.9,,,,,,
83695,07/01/2014,0000,,32.5,,10.7,5.3,25.92,62.5,2,
83695,07/01/2014,1200,0,,20.9,,,,,,
83695,08/01/2014,0000,,33.6,,10.3,5.9,26.8,63.5,1.666667,
83695,08/01/2014,1200,0,,21.4,,,,,,
83695,09/01/2014,0000,,33.2,,8.6,5.9,26.82,68.25,2,
83695,09/01/2014,1200,0,,21.7,,,,,,
83695,10/01/2014,0000,,33.4,,7.7,5.1,27.4,66.25,1.666667,
83695,10/01/2014,1200,0,,23,,,,,,
83695,11/01/2014,0000,,35,,7.5,5.4,28.1,67.75,0.666667,
83695,11/01/2014,1200,0,,24.7,,,,,,
83695,12/01/2014,0000,,35.8,,11.6,4.7,28.2,63.5,1.333333,
83695,12/01/2014,1200,0,,23,,,,,,
83695,13/01/2014,0000,,35,,9.6,6.8,28.08,66,0.666667,
83695,13/01/2014,1200,0,,24.6,,,,,,
83695,14/01/2014,0000,,36,,11.3,5.5,28.52,61.75,1.333333,
83695,14/01/2014,1200,0,,23.4,,,,,,
83695,15/01/2014,0000,,37.2,,11.8,6.2,29.26,52.5,2,
83695,15/01/2014,1200,0,,22.5,,,,,,
