Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83743,01/01/2014,0000,,36.6,,,9.8,30.7,63,,
83743,01/01/2014,1200,7.1,,25.9,,,,,,
83743,02/01/2014,0000,,33.8,,,1.8,29.86,68.25,,
83743,02/01/2014,1200,0.8,,24.3,,,,,,
83743,03/01/2014,0000,,37.8,,,4.8,32.62,60.5,,
83743,03/01/2014,1200,0,,27.5,,,,,,
83743,04/01/2014,0000,,34,,,9.4,30.28,69.5,,
83743,04/01/2014,1200,0,,28.2,,,,,,
83743,05/01/2014,0000,,32.7,,,6.4,28.36,71.25,,
83743,05/01/2014,1200,0,,25.6,,,,,,
83743,06/01/2014,0000,,31.8,,,5.8,27.82,67.75,,
83743,06/01/2014,1200,0,,25.1,,,,,,
83743,07/01/2014,0000,,31.7,,,6.9,27.68,62.25,,
83743,07/01/2014,1200,0,,24,,,,,,
83743,08/01/2014,0000,,36.5,,,7.3,29.86,55.25,,
83743,08/01/2014,1200,0,,24.2,,,,,,
83743,09/01/2014,0000,,32.7,,,7.9,29.46,59.5,,
83743,09/01/2014,1200,0,,26.4,,,,,,
83743,10/01/2014,0000,,33,,,7.1,28.86,64.25,,
83743,10/01/2014,1200,0,,25.1,,,,,,
83743,11/01/2014,0000,,36.9,,,7.2,31.24,59.25,,
83743,11/01/2014,1200,0,,25.7,,,,,,
83743,12/01/2014,0000,,32.6,,,7.1,29.8,65,,
83743,12/01/2014,1200,0,,27.2,,,,,,
83743,13/01/2014,0000,,33.2,,,8.2,29.92,61,,
83743,13/01/2014,1200,0,,25.6,,,,,,
83743,14/01/2014,0000,,34,,,4.5,29.96,61.25,,
83743,14/01/2014,1200,5.2,,24.6,,,,,,
83743,15/01/2014,0000,,34.3,,,8.2,29.86,60,,
83743,15/01/2014,1200,0,,26.6,,,,,,
83743,16/01/2014,0000,,33,,,7.4,26.02,74.25,,
83743,16/01/2014,1200,0,,22.1,,,,,,
83743,17/01/2014,0000,,30.4,,,5.3,25.4,77.5,,
83743,17/01/2014,1200,43.8,,21.8,,,,,,
83743,18/01/2014,0000,,30,,,4.2,26.5,72.25,,
83743,18/01/2014,1200,1.2,,23.7,,,,,,
83743,19/01/2014,0000,,30.6,,,4.3,26.84,70.25,,
83743,19/01/2014,1200,0,,24,,,,,,
83743,20/01/2014,0000,,30.2,,,4.5,27.42,64.75,,
83743,20/01/2014,1200,0,,23.9,,,,,,
83743,21/01/2014,0000,,33.6,,,6.2,29.48,63.75,,
83743,21/01/2014,1200,0,,25,,,,,,
83743,22/01/2014,0000,,35.8,,,6.1,30.76,59.75,,
83743,22/01/2014,1200,0,,26.4,,,,,,
