Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82594,01/01/2014,0000,,34.6,,9.7,8.1,28.92,60,5.4,
82594,01/01/2014,1200,0,,23,,,,,,
82594,02/01/2014,0000,,33,,11,10.5,28.12,69,5.45,
82594,02/01/2014,1200,0,,24.2,,,,,,
82594,03/01/2014,0000,,34,,11,8.3,28.36,59,5.45,
82594,03/01/2014,1200,0,,22.6,,,,,,
82594,04/01/2014,0000,,31.8,,10.3,9.7,27.16,68,5.4,
82594,04/01/2014,1200,0,,22.2,,,,,,
82594,05/01/2014,0000,,33,,6.3,7.8,29.04,58,3.4,
82594,05/01/2014,1200,0,,22.8,,,,,,
82594,06/01/2014,0000,,35,,5.4,7.8,28.76,68,4.4,
82594,06/01/2014,1200,0,,24.2,,,,,,
82594,07/01/2014,0000,,33.2,,3.7,6.5,29.24,60,5.5,
82594,07/01/2014,1200,1.8,,24,,,,,,
82594,08/01/2014,0000,,33.4,,10.9,10.2,28.64,62,5.4,
82594,08/01/2014,1200,0,,24.4,,,,,,
82594,09/01/2014,0000,,32.2,,5,7.8,27.68,71,4.4,
82594,09/01/2014,1200,0,,23,,,,,,
82594,10/01/2014,0000,,32.2,,9.9,7.2,28.36,64,5.4,
82594,10/01/2014,1200,0,,24,,,,,,
82594,11/01/2014,0000,,33.2,,10.4,8.1,27.92,66,5.4,
82594,11/01/2014,1200,0,,22.4,,,,,,
82594,12/01/2014,0000,,32.6,,9.9,8,28.08,72,4.4,
82594,12/01/2014,1200,0,,23.8,,,,,,
82594,13/01/2014,0000,,32.4,,7.2,7.2,27.92,69,5.5,
82594,13/01/2014,1200,0,,23.8,,,,,,
82594,14/01/2014,0000,,34.2,,8,7,29.04,65,5.4,
82594,14/01/2014,1200,0,,23.6,,,,,,
82594,15/01/2014,0000,,34.2,,10.6,7.4,28.88,64,4.45,
82594,15/01/2014,1200,0,,23.2,,,,,,
82594,16/01/2014,0000,,33.8,,10.7,8.9,29,66,4.4,
82594,16/01/2014,1200,0,,24.8,,,,,,
82594,17/01/2014,0000,,32.8,,10.1,7.7,28.6,72,4.45,
82594,17/01/2014,1200,0,,24.6,,,,,,
82594,18/01/2014,0000,,33,,10.5,6.2,28.56,70,5.45,
82594,18/01/2014,1200,0,,24,,,,,,
82594,19/01/2014,0000,,32.4,,9.1,7.8,28.56,68,5.45,
82594,19/01/2014,1200,0,,25.2,,,,,,
82594,20/01/2014,0000,,31.4,,9.5,8.7,28.28,67,5.4,
82594,20/01/2014,1200,0,,26,,,,,,
82594,21/01/2014,0000,,32.2,,9.6,8.3,28.36,62,4.4,
82594,21/01/2014,1200,0,,23.4,,,,,,
82594,22/01/2014,0000,,35,,9,9.5,29.64,58,4.45,
82594,22/01/2014,1200,0,,24.2,,,,,,
82594,23/01/2014,0000,,35.4,,10.4,9.6,29.56,62,4.45,
82594,23/01/2014,1200,0,,25,,,,,,
82594,24/01/2014,0000,,33.4,,10.2,8.2,28.72,64,4.4,
82594,24/01/2014,1200,0,,23.2,,,,,,
82594,25/01/2014,0000,,34.2,,10.4,7.8,29.04,62,4.4,
82594,25/01/2014,1200,0,,24.2,,,,,,
82594,26/01/2014,0000,,34,,6.7,8,29.08,64,4.4,
82594,26/01/2014,1200,0,,24,,,,,,
82594,27/01/2014,0000,,34.6,,9.4,7.8,29,68,4.4,
82594,27/01/2014,1200,0,,24.2,,,,,,
82594,28/01/2014,0000,,35.4,,10.2,7.7,29.12,65,5.4,
82594,28/01/2014,1200,0,,23.8,,,,,,
82594,29/01/2014,0000,,35.6,,10.3,8,29.04,67,4.4,
82594,29/01/2014,1200,0,,24,,,,,,
82594,30/01/2014,0000,,30,,0.1,4.5,27.2,71,3.4,
82594,30/01/2014,1200,0,,24.2,,,,,,
82594,31/01/2014,0000,,35.6,,10.8,3.5,28.4,67,5.4,
82594,31/01/2014,1200,2.8,,22.4,,,,,,
82594,01/02/2014,0000,,34,,8.9,6,29.24,60,5.4,
82594,01/02/2014,1200,0,,25,,,,,,
82594,02/02/2014,0000,,35.8,,11,5,29.64,62,4.45,
82594,02/02/2014,1200,0,,24.2,,,,,,
82594,03/02/2014,0000,,32,,9.6,7,28.12,68,5.45,
82594,03/02/2014,1200,0,,24.2,,,,,,
82594,04/02/2014,0000,,33.2,,9.6,6.1,28.4,71,5.45,
82594,04/02/2014,1200,2.2,,25,,,,,,
82594,05/02/2014,0000,,33.2,,10.6,5.7,28.28,60,4.4,
82594,05/02/2014,1200,0,,23,,,,,,
82594,06/02/2014,0000,,32.6,,9.9,6.3,27.96,69,5.45,
82594,06/02/2014,1200,0,,23,,,,,,
82594,07/02/2014,0000,,32.8,,7.1,5,27.8,72,4.4,
82594,07/02/2014,1200,0,,22.6,,,,,,
82594,08/02/2014,0000,,34.2,,7.5,2,29.12,66,4.4,
82594,08/02/2014,1200,1.6,,24.4,,,,,,
82594,09/02/2014,0000,,33,,10.5,1.5,28.52,66,4.4,
82594,09/02/2014,1200,0,,23.6,,,,,,
82594,10/02/2014,0000,,33.4,,10.6,1.5,28.68,65,4.4,
82594,10/02/2014,1200,0,,23.8,,,,,,
82594,11/02/2014,0000,,34.2,,9.2,1,29.4,66,5.4,
82594,11/02/2014,1200,0,,24.4,,,,,,
82594,12/02/2014,0000,,34,,9.4,1.1,29.12,69,4.4,
82594,12/02/2014,1200,5,,24,,,,,,
82594,13/02/2014,0000,,33.6,,7,1.2,28.2,71,3.4,
82594,13/02/2014,1200,0,,24,,,,,,
82594,14/02/2014,0000,,32,,6.1,1,28.2,71,4.4,
82594,14/02/2014,1200,20,,23.8,,,,,,
82594,15/02/2014,0000,,32,,3.8,0.9,28.24,72,3.4,
82594,15/02/2014,1200,0,,24.4,,,,,,
82594,16/02/2014,0000,,31.8,,2.6,0.9,28.12,72,4.4,
82594,16/02/2014,1200,0,,24.8,,,,,,
82594,17/02/2014,0000,,31,,1.7,0.9,26.28,80,3.4,
82594,17/02/2014,1200,0,,23.8,,,,,,
82594,18/02/2014,0000,,32.4,,9.5,1.4,27,82,3.4,
82594,18/02/2014,1200,0.8,,23.8,,,,,,
82594,19/02/2014,0000,,30.2,,2.6,1.5,27.68,74,4.4,
82594,19/02/2014,1200,2.4,,24,,,,,,
82594,20/02/2014,0000,,33,,8.3,1,28.8,68,4.4,
82594,20/02/2014,1200,0,,24.4,,,,,,
82594,21/02/2014,0000,,34,,3.6,0.9,29.12,70,4.4,
82594,21/02/2014,1200,0,,24.8,,,,,,
82594,22/02/2014,0000,,33.2,,8.9,1,28.64,63,4.4,
82594,22/02/2014,1200,0,,23.2,,,,,,
82594,23/02/2014,0000,,32.2,,8.2,1,28.48,72,5.4,
82594,23/02/2014,1200,0,,24,,,,,,
82594,24/02/2014,0000,,32.4,,8.8,1.3,28.36,62,4.4,
82594,24/02/2014,1200,0,,24.2,,,,,,
82594,25/02/2014,0000,,33,,11.1,1.2,28.28,68,3.4,
82594,25/02/2014,1200,0,,24,,,,,,
82594,26/02/2014,0000,,33.8,,11.1,2,28.36,64,5.45,
82594,26/02/2014,1200,0,,23,,,,,,
82594,27/02/2014,0000,,32.4,,9.7,7.8,27.92,74,4.4,
82594,27/02/2014,1200,0,,23.2,,,,,,
82594,28/02/2014,0000,,31.8,,7.8,5.5,27.68,72,5.45,
82594,28/02/2014,1200,0,,22.8,,,,,,
82594,01/03/2014,0000,,32.2,,9.6,5.8,28.04,68.25,5.4,
82594,01/03/2014,1200,0,,23.2,,,,,,
82594,02/03/2014,0000,,34.4,,8.8,5.7,27.92,69.25,4.733333,
82594,02/03/2014,1200,0,,22.8,,,,,,
82594,03/03/2014,0000,,33.8,,8.9,5.8,28.96,66,5.433333,
82594,03/03/2014,1200,0,,23,,,,,,
82594,04/03/2014,0000,,33.4,,10.5,5.9,28.92,65.5,5.4,
82594,04/03/2014,1200,0,,24.2,,,,,,
82594,05/03/2014,0000,,34,,11.2,7.8,28.52,65,5.433333,
82594,05/03/2014,1200,0,,23.6,,,,,,
82594,06/03/2014,0000,,33.8,,8.9,7.6,28.56,67.5,4.1,
82594,06/03/2014,1200,0,,24.4,,,,,,
82594,07/03/2014,0000,,32.6,,9.1,7.3,28.48,67,4.066667,
82594,07/03/2014,1200,0,,24.2,,,,,,
82594,08/03/2014,0000,,32.6,,11,7.5,28.56,66.5,5.4,
82594,08/03/2014,1200,0,,24,,,,,,
82594,09/03/2014,0000,,32.6,,11.2,7.8,28.76,69.25,5.4,
82594,09/03/2014,1200,0,,24.4,,,,,,
82594,10/03/2014,0000,,32.2,,10.2,7,28.24,67.25,4.733333,
82594,10/03/2014,1200,0,,23.2,,,,,,
82594,11/03/2014,0000,,32.8,,11.1,7,28.56,72.25,5.433333,
82594,11/03/2014,1200,0,,24.2,,,,,,
82594,12/03/2014,0000,,33.2,,9.8,6.5,29.28,66.5,4.733333,
82594,12/03/2014,1200,0,,24.6,,,,,,
82594,13/03/2014,0000,,32.2,,3.3,7.3,26.72,85.5,3.4,
82594,13/03/2014,1200,0,,23.8,,,,,,
82594,14/03/2014,0000,,34.2,,7.8,2.9,28.36,65,4.066667,
82594,14/03/2014,1200,5.8,,23.4,,,,,,
82594,15/03/2014,0000,,33.8,,7.9,6.9,28.36,76.5,4.1,
82594,15/03/2014,1200,0,,24.4,,,,,,
82594,16/03/2014,0000,,33.6,,5.6,4.8,28.12,81.5,3.4,
82594,16/03/2014,1200,5.4,,24,,,,,,
82594,17/03/2014,0000,,34,,6.8,4.5,28.52,77.25,5.4,
82594,17/03/2014,1200,8.6,,23.8,,,,,,
82594,18/03/2014,0000,,35,,9.2,5.3,29.12,74.25,5.4,
82594,18/03/2014,1200,0.6,,24,,,,,,
82594,19/03/2014,0000,,33.6,,5.1,5.3,28.6,74.75,4.733333,
82594,19/03/2014,1200,0,,25,,,,,,
82594,20/03/2014,0000,,35.2,,6.5,6.5,29.4,68.5,5.4,
82594,20/03/2014,1200,0,,25,,,,,,
82594,21/03/2014,0000,,36.2,,10.9,6.5,29.6,67,4.733333,
82594,21/03/2014,1200,0,,24.2,,,,,,
82594,22/03/2014,0000,,35.2,,8.9,6.5,29.84,66,4.733333,
82594,22/03/2014,1200,0,,24,,,,,,
82594,23/03/2014,0000,,35,,10.7,6.6,29.84,66,4.066667,
82594,23/03/2014,1200,0,,24.2,,,,,,
82594,24/03/2014,0000,,32.6,,10.9,6,29.28,70.25,5.466667,
82594,24/03/2014,1200,0,,24.4,,,,,,
82594,25/03/2014,0000,,35.8,,11.1,6.6,29.72,58.75,4.066667,
82594,25/03/2014,1200,0,,23.2,,,,,,
82594,26/03/2014,0000,,32.6,,6.8,7.2,28.28,72.5,5.433333,
82594,26/03/2014,1200,0,,23.6,,,,,,
82594,27/03/2014,0000,,32.4,,10.5,6,28.28,65.25,5.4,
82594,27/03/2014,1200,0,,23.6,,,,,,
82594,28/03/2014,0000,,32.8,,9.3,7.2,28.32,76.5,4.066667,
82594,28/03/2014,1200,0,,23.6,,,,,,
82594,29/03/2014,0000,,31.8,,8.6,5.6,28.4,73.5,4.766667,
82594,29/03/2014,1200,0.8,,24.6,,,,,,
82594,30/03/2014,0000,,33.6,,5.7,4.9,27.48,83,4.066667,
82594,30/03/2014,1200,4.8,,23.8,,,,,,
82594,31/03/2014,0000,,33,,6.1,3.3,28.32,78.5,4.066667,
82594,31/03/2014,1200,1.8,,24,,,,,,
82594,01/04/2014,0000,,36.4,,8.2,4.4,29.52,62.25,5.4,
82594,01/04/2014,1200,2.6,,24,,,,,,
82594,02/04/2014,0000,,32,,3.2,8.7,27.72,79.5,4.066667,
82594,02/04/2014,1200,0,,24,,,,,,
82594,03/04/2014,0000,,33.6,,3.2,4.5,27.96,73.75,4.066667,
82594,03/04/2014,1200,0,,23.6,,,,,,
82594,04/04/2014,0000,,32.4,,9.6,5,28.6,71.5,4.733333,
82594,04/04/2014,1200,2.2,,24.2,,,,,,
82594,05/04/2014,0000,,33,,4.8,5.3,28.76,63.75,4.066667,
82594,05/04/2014,1200,0,,25.2,,,,,,
