Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83916,01/01/2014,0000,,27.4,,1.8,1.1,22.56,95,,
83916,01/01/2014,1200,5.5,,19.9,,,,,,
83916,02/01/2014,0000,,26.5,,0.8,1.1,22.6,89.25,,
83916,02/01/2014,1200,9.5,,20,,,,,,
83916,03/01/2014,0000,,22.5,,0.1,1.5,18.38,95.5,,
83916,03/01/2014,1200,67.1,,16.3,,,,,,
83916,04/01/2014,0000,,24.7,,4.2,0.7,18.56,80.75,,
83916,04/01/2014,1200,25.1,,14.4,,,,,,
83916,05/01/2014,0000,,29.2,,9.1,2.9,21.82,59,,
83916,05/01/2014,1200,0,,14.4,,,,,,
83916,06/01/2014,0000,,29.7,,8.8,5.1,22.7,71.5,,
83916,06/01/2014,1200,0,,16.9,,,,,,
83916,07/01/2014,0000,,30,,11.6,4.6,22.62,70,,
83916,07/01/2014,1200,0,,17.6,,,,,,
83916,08/01/2014,0000,,27.5,,3,4.7,21.42,89.5,,
83916,08/01/2014,1200,0,,16.9,,,,,,
83916,09/01/2014,0000,,29.2,,10.3,1.5,22.08,78.75,,
83916,09/01/2014,1200,4,,17.9,,,,,,
83916,10/01/2014,0000,,30,,9.2,3.1,21.4,82,,
83916,10/01/2014,1200,3,,17.7,,,,,,
83916,11/01/2014,0000,,28.3,,3.5,3.4,20.56,87.75,,
83916,11/01/2014,1200,14.9,,15.6,,,,,,
83916,12/01/2014,0000,,21.5,,0.1,1.5,19.08,93.25,,
83916,12/01/2014,1200,30,,17.9,,,,,,
83916,13/01/2014,0000,,26.1,,4.7,1,21.14,83.25,,
83916,13/01/2014,1200,3.5,,16.6,,,,,,
83916,14/01/2014,0000,,27,,7.5,2.3,20.8,72.25,,
83916,14/01/2014,1200,0,,17.3,,,,,,
83916,15/01/2014,0000,,22.4,,1.5,3.2,19.24,88.5,,
83916,15/01/2014,1200,0.1,,17.3,,,,,,
83916,16/01/2014,0000,,27.5,,5.9,0.7,21.16,76,,
83916,16/01/2014,1200,2.4,,15.6,,,,,,
83916,17/01/2014,0000,,30.2,,8.3,3.3,22.42,70.5,,
83916,17/01/2014,1200,0,,15.8,,,,,,
83916,18/01/2014,0000,,29.8,,9.7,4.3,23.14,66,,
83916,18/01/2014,1200,0,,18.4,,,,,,
83916,19/01/2014,0000,,30.8,,10.1,5,24.1,58.25,,
83916,19/01/2014,1200,0,,16.4,,,,,,
83916,20/01/2014,0000,,31.2,,10.6,6.2,25.34,51.5,,
83916,20/01/2014,1200,0,,19,,,,,,
83916,21/01/2014,0000,,31.5,,11.6,6.8,24.58,57.5,,
83916,21/01/2014,1200,0,,17.9,,,,,,
83916,22/01/2014,0000,,32.7,,8.7,6.8,25.24,69,,
83916,22/01/2014,1200,0,,19.8,,,,,,
83916,23/01/2014,0000,,32.5,,11,5.8,24.92,71.75,,
83916,23/01/2014,1200,0,,21,,,,,,
83916,24/01/2014,0000,,29,,7.5,4.9,24.42,84.25,,
83916,24/01/2014,1200,0,,20.1,,,,,,
83916,25/01/2014,0000,,24.5,,1.2,2,19.54,85.75,,
83916,25/01/2014,1200,9.1,,18,,,,,,
83916,26/01/2014,0000,,28.7,,8,2.3,21.8,79.75,,
83916,26/01/2014,1200,1,,16.4,,,,,,
83916,27/01/2014,0000,,31.4,,9.9,3.5,25.04,63.5,,
83916,27/01/2014,1200,2,,18.1,,,,,,
83916,28/01/2014,0000,,31.7,,11.3,4.7,25.28,61.5,,
83916,28/01/2014,1200,1,,19.4,,,,,,
83916,29/01/2014,0000,,33,,11,5.8,25.74,60.25,,
83916,29/01/2014,1200,0,,19.6,,,,,,
83916,30/01/2014,0000,,31.7,,11.3,6.1,24.26,68.75,,
83916,30/01/2014,1200,1,,17.9,,,,,,
83916,31/01/2014,0000,,31.5,,5.4,5.7,22.98,74.5,,
83916,31/01/2014,1200,0,,18.9,,,,,,
83916,01/02/2014,0000,,32,,7,3.9,23.8,79.5,,
83916,01/02/2014,1200,0.4,,18.9,,,,,,
83916,02/02/2014,0000,,32.5,,10.4,4.2,26.4,58.25,,
83916,02/02/2014,1200,1,,19.6,,,,,,
83916,03/02/2014,0000,,33.9,,10.4,6.3,25.86,62.75,,
83916,03/02/2014,1200,0,,20.9,,,,,,
83916,04/02/2014,0000,,33.6,,11.4,5.9,25.52,58.25,,
83916,04/02/2014,1200,0.7,,18.3,,,,,,
83916,05/02/2014,0000,,34.5,,11.1,7.5,26.34,57.25,,
83916,05/02/2014,1200,0,,19.7,,,,,,
83916,06/02/2014,0000,,34.9,,8.1,7.1,25.72,65.75,,
83916,06/02/2014,1200,0,,21.1,,,,,,
83916,07/02/2014,0000,,35.5,,10.3,6.9,25.96,55,,
83916,07/02/2014,1200,0,,20.4,,,,,,
83916,08/02/2014,0000,,34,,6.6,8.5,23.2,71.25,,
83916,08/02/2014,1200,0,,18.7,,,,,,
83916,09/02/2014,0000,,33.3,,10.6,5.4,24.72,62.25,,
83916,09/02/2014,1200,51,,18,,,,,,
83916,10/02/2014,0000,,34.4,,10.3,5.7,24.56,69.5,,
83916,10/02/2014,1200,0,,19.1,,,,,,
83916,11/02/2014,0000,,33.2,,11.1,6.3,25.72,49.25,,
83916,11/02/2014,1200,0,,18.9,,,,,,
83916,12/02/2014,0000,,33.8,,10.9,7,22.52,78.25,,
83916,12/02/2014,1200,0,,18.5,,,,,,
83916,13/02/2014,0000,,28.7,,6.9,5.5,21.24,85.25,,
83916,13/02/2014,1200,78,,17.6,,,,,,
83916,14/02/2014,0000,,20,,0.2,3.2,16.36,87.5,,
83916,14/02/2014,1200,17.8,,15.1,,,,,,
83916,15/02/2014,0000,,24.5,,10.4,2.8,17.1,68.75,,
83916,15/02/2014,1200,0.4,,12.9,,,,,,
83916,16/02/2014,0000,,26.7,,9.2,7.5,18.36,70,,
83916,16/02/2014,1200,0,,12.4,,,,,,
83916,17/02/2014,0000,,27.6,,9.8,6,20.12,69.5,,
83916,17/02/2014,1200,0,,11.7,,,,,,
83916,18/02/2014,0000,,26.9,,10.5,4.9,19.88,70,,
83916,18/02/2014,1200,0,,14.4,,,,,,
83916,19/02/2014,0000,,26.3,,8.2,6.1,20.24,67.25,,
83916,19/02/2014,1200,0,,15.4,,,,,,
83916,20/02/2014,0000,,25.7,,2.3,5.5,20.18,81,,
83916,20/02/2014,1200,0,,15.9,,,,,,
83916,21/02/2014,0000,,27.5,,5.3,2.6,21.5,83.75,,
83916,21/02/2014,1200,4.2,,17.9,,,,,,
83916,22/02/2014,0000,,27.4,,4.4,2.2,20.88,83.5,,
83916,22/02/2014,1200,0.5,,16.9,,,,,,
83916,23/02/2014,0000,,25,,2.3,3.1,20.24,91.75,,
83916,23/02/2014,1200,0.3,,17.6,,,,,,
83916,24/02/2014,0000,,27.9,,4.4,1,21.7,80,,
83916,24/02/2014,1200,8.6,,17.1,,,,,,
83916,25/02/2014,0000,,28.7,,9.7,2.3,22.84,79,,
83916,25/02/2014,1200,0,,17,,,,,,
83916,26/02/2014,0000,,27.9,,3.3,2.8,20.94,95,,
83916,26/02/2014,1200,6.5,,18.7,,,,,,
83916,27/02/2014,0000,,21.7,,5.8,1.1,16.2,87.25,,
83916,27/02/2014,1200,53.7,,14.3,,,,,,
83916,28/02/2014,0000,,22.7,,8.5,2.4,16.94,69.5,,
83916,28/02/2014,1200,0.1,,11.6,,,,,,
83916,01/03/2014,0000,,24.2,,10.4,3.3,17.66,71,,
83916,01/03/2014,1200,0,,12.4,,,,,,
83916,02/03/2014,0000,,25.5,,6.5,4.6,19.1,74,,
