Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83914,01/01/2014,0000,,29.2,,2.2,4.5,23.94,91.5,3.2,
83914,01/01/2014,1200,4.4,,21.6,,,,,,
83914,02/01/2014,0000,,26.1,,0.1,1.6,23.02,91.25,6.1,
83914,02/01/2014,1200,3.3,,20.8,,,,,,
83914,03/01/2014,0000,,22.3,,0,1.8,18.42,93.25,3.566667,
83914,03/01/2014,1200,81.2,,16.7,,,,,,
83914,04/01/2014,0000,,26.1,,9.4,0.9,20.4,75.5,3.633333,
83914,04/01/2014,1200,10.8,,15.3,,,,,,
83914,05/01/2014,0000,,30.6,,12.9,3.8,22.72,58.75,2.733333,
83914,05/01/2014,1200,0,,15.1,,,,,,
83914,06/01/2014,0000,,31.5,,10.5,6,23.88,69,3.233333,
83914,06/01/2014,1200,0,,18.3,,,,,,
83914,07/01/2014,0000,,30.8,,12.8,5.2,23.46,66.5,4.6,
83914,07/01/2014,1200,0,,17.5,,,,,,
83914,08/01/2014,0000,,28.3,,1.2,8.1,22.52,82.25,2.533333,
83914,08/01/2014,1200,1.5,,20,,,,,,
83914,09/01/2014,0000,,30.2,,12.3,3.1,23.94,75,2.566667,
83914,09/01/2014,1200,1,,18.6,,,,,,
83914,10/01/2014,0000,,31.5,,9.4,6,22.74,75.25,5.4,
83914,10/01/2014,1200,0,,18.8,,,,,,
83914,11/01/2014,0000,,26.7,,1.3,5.4,21.64,87.25,3.933333,
83914,11/01/2014,1200,18.8,,17.2,,,,,,
83914,12/01/2014,0000,,21.8,,0,1.7,20.4,88.25,3.733333,
83914,12/01/2014,1200,4.6,,18.9,,,,,,
83914,13/01/2014,0000,,27.3,,7.7,1.7,22.04,78.75,2.433333,
83914,13/01/2014,1200,34.8,,17.7,,,,,,
83914,14/01/2014,0000,,26.8,,6.7,4.5,20.8,79.25,4.066667,
83914,14/01/2014,1200,0,,17.7,,,,,,
83914,15/01/2014,0000,,25.7,,4.5,3.9,19.76,91.75,2.933333,
83914,15/01/2014,1200,12.2,,17.2,,,,,,
83914,16/01/2014,0000,,28.7,,8.1,2,22.3,74.75,2.733333,
83914,16/01/2014,1200,0,,16.1,,,,,,
83914,17/01/2014,0000,,30.6,,11.1,4.2,23.78,67.25,2.666667,
83914,17/01/2014,1200,0,,17.7,,,,,,
83914,18/01/2014,0000,,30.5,,11.2,5.1,24.02,72.75,3.533333,
