Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83967,01/01/2014,0000,,34,,5.8,3.2,27.86,75.5,1.8,
83967,01/01/2014,1200,3.6,,23.7,,,,,,
83967,02/01/2014,0000,,34.4,,5.1,3.7,27.84,74.75,3.4,
83967,02/01/2014,1200,0.1,,24.8,,,,,,
83967,03/01/2014,0000,,25.3,,0,2.1,21.56,88,0.9,
83967,03/01/2014,1200,4,,19.9,,,,,,
83967,04/01/2014,0000,,28.2,,12.3,1.2,22.62,62.75,2.366667,
83967,04/01/2014,1200,9.2,,17.5,,,,,,
83967,05/01/2014,0000,,31.6,,12.7,3.3,25.02,62.5,2.866667,
83967,05/01/2014,1200,0,,17.8,,,,,,
83967,06/01/2014,0000,,34.4,,12.5,3.4,26.06,67.75,2.190733,
83967,06/01/2014,1200,0,,19.5,,,,,,
83967,07/01/2014,0000,,36.2,,12.4,4.5,29.44,59.5,1.633333,
83967,07/01/2014,1200,0,,22.2,,,,,,
83967,08/01/2014,0000,,30,,1.8,5.6,25.62,74.5,3.166667,
83967,08/01/2014,1200,0,,23.8,,,,,,
83967,09/01/2014,0000,,33.3,,10.6,2.6,26.4,74.5,2.333333,
83967,09/01/2014,1200,0,,21.3,,,,,,
83967,10/01/2014,0000,,31.1,,3.4,2.8,24.2,87.5,3.866667,
83967,10/01/2014,1200,14.6,,21.9,,,,,,
83967,11/01/2014,0000,,29.4,,3.1,0.7,23.88,91,2.833333,
83967,11/01/2014,1200,10.3,,20.1,,,,,,
83967,12/01/2014,0000,,28.1,,1.5,1.3,22.9,85.75,1.333333,
83967,12/01/2014,1200,9.1,,20,,,,,,
83967,13/01/2014,0000,,29,,4,1.1,24.44,84.75,2.6,
83967,13/01/2014,1200,0.2,,21.6,,,,,,
83967,14/01/2014,0000,,31,,8.2,1,24.64,81.5,2.733333,
83967,14/01/2014,1200,1.3,,22.1,,,,,,
83967,15/01/2014,0000,,28.3,,2.5,2.2,24.4,84.5,1.6,
83967,15/01/2014,1200,8.3,,21.9,,,,,,
83967,16/01/2014,0000,,31.2,,11.7,1.1,24.96,73.25,2.1,
83967,16/01/2014,1200,3.5,,19.2,,,,,,
83967,17/01/2014,0000,,34.8,,12.3,2.7,26.38,68.25,3.566667,
83967,17/01/2014,1200,0,,19.2,,,,,,
83967,18/01/2014,0000,,36.4,,11.3,3.3,27.98,58.75,2,
83967,18/01/2014,1200,0,,20,,,,,,
83967,19/01/2014,0000,,37,,11.4,3.7,29.52,56.75,2.166667,
83967,19/01/2014,1200,0,,21.6,,,,,,
83967,20/01/2014,0000,,37,,11.5,5,29.82,45.25,3.233333,
83967,20/01/2014,1200,0,,23.5,,,,,,
83967,21/01/2014,0000,,37.3,,12.5,6.5,31.04,48,2.366667,
83967,21/01/2014,1200,0,,22.3,,,,,,
83967,22/01/2014,0000,,37.2,,10.3,5.9,30,66.5,2.9,
83967,22/01/2014,1200,0,,25.2,,,,,,
83967,23/01/2014,0000,,37,,11.6,3.8,31.48,58.75,3.5,
83967,23/01/2014,1200,0,,25.1,,,,,,
83967,24/01/2014,0000,,37.6,,8.8,5.2,29.64,70.75,3.233333,
83967,24/01/2014,1200,0,,26.5,,,,,,
83967,25/01/2014,0000,,27,,0,3.6,21.72,84.25,3.2,
83967,25/01/2014,1200,5.7,,20,,,,,,
83967,26/01/2014,0000,,26.4,,1.1,1,23.08,84.25,5.066667,
83967,26/01/2014,1200,2,,19.7,,,,,,
83967,27/01/2014,0000,,36.3,,8.9,2,28.92,68,1.8,
83967,27/01/2014,1200,1.6,,22.7,,,,,,
83967,28/01/2014,0000,,37.7,,8.8,2.6,29.3,67,2.733333,
83967,28/01/2014,1200,0,,24.2,,,,,,
83967,29/01/2014,0000,,38.2,,11.9,3.4,29.66,64.25,4.4,
83967,29/01/2014,1200,2.6,,25.1,,,,,,
83967,30/01/2014,0000,,37.7,,9.9,3.7,28.26,68,2.166667,
83967,30/01/2014,1200,0,,24.3,,,,,,
83967,31/01/2014,0000,,32.6,,7,3.7,26.6,72.5,2.333333,
83967,31/01/2014,1200,0.7,,23,,,,,,
83967,01/02/2014,0000,,34.2,,8,2.2,26.78,78.25,5.433333,
83967,01/02/2014,1200,2,,23,,,,,,
83967,02/02/2014,0000,,38.2,,11.4,2.6,30.62,62.5,2.5,
83967,02/02/2014,1200,6.2,,22.6,,,,,,
83967,03/02/2014,0000,,37.8,,10.1,4.4,29.64,62.75,2.6,
83967,03/02/2014,1200,0,,22.6,,,,,,
83967,04/02/2014,0000,,37.8,,7.7,4.4,29.9,66.5,2.6,
83967,04/02/2014,1200,0.2,,25.2,,,,,,
83967,05/02/2014,0000,,39.9,,12,3.4,32.34,56,1.833333,
83967,05/02/2014,1200,0,,24.9,,,,,,
83967,06/02/2014,0000,,40.6,,12,5.6,31.72,66.25,2.733333,
83967,06/02/2014,1200,0,,26.6,,,,,,
83967,07/02/2014,0000,,39.8,,10.6,4.3,33.32,56.25,3.133333,
83967,07/02/2014,1200,0,,27.1,,,,,,
83967,08/02/2014,0000,,34.8,,7.4,5.1,27.34,73.25,1.866667,
83967,08/02/2014,1200,0,,22.6,,,,,,
83967,09/02/2014,0000,,38.1,,10.7,3.1,29.3,67.25,2,
83967,09/02/2014,1200,6.5,,22.6,,,,,,
83967,10/02/2014,0000,,36.8,,10.4,3.7,27.08,79.75,3.066667,
83967,10/02/2014,1200,0,,22.6,,,,,,
83967,11/02/2014,0000,,37.5,,10.3,2.5,29.2,70.75,1.466667,
83967,11/02/2014,1200,22.9,,22.7,,,,,,
83967,12/02/2014,0000,,35.6,,9,3.1,27.48,80,2.233333,
83967,12/02/2014,1200,0,,24.2,,,,,,
83967,13/02/2014,0000,,25.6,,1.7,2.4,22.32,91,4.2,
83967,13/02/2014,1200,2.1,,20,,,,,,
83967,14/02/2014,0000,,25.3,,4,0.7,21.1,78.25,2.866667,
83967,14/02/2014,1200,42,,18.4,,,,,,
83967,15/02/2014,0000,,26.3,,10.6,2.5,22.54,65,5.233333,
83967,15/02/2014,1200,2.4,,19.2,,,,,,
83967,16/02/2014,0000,,27.6,,9,2.9,22.64,73.5,5.533333,
83967,16/02/2014,1200,0,,18.3,,,,,,
83967,17/02/2014,0000,,30,,11.4,2.5,24.38,69.75,4.966667,
83967,17/02/2014,1200,0,,19.8,,,,,,
83967,18/02/2014,0000,,30.3,,11.6,3.1,24.82,70.5,4.2,
83967,18/02/2014,1200,0,,20.2,,,,,,
83967,19/02/2014,0000,,32,,10.9,2.9,25.72,67.5,3.733333,
83967,19/02/2014,1200,0,,21,,,,,,
83967,20/02/2014,0000,,27.5,,0.4,2.9,24.02,78.75,1.633333,
83967,20/02/2014,1200,0,,21.5,,,,,,
83967,21/02/2014,0000,,33.3,,10.5,1.5,27.22,71,2.266667,
83967,21/02/2014,1200,0.6,,21.8,,,,,,
83967,22/02/2014,0000,,32.4,,6.3,2.9,25.44,80.5,2.6,
83967,22/02/2014,1200,0,,22.6,,,,,,
83967,23/02/2014,0000,,30,,3.4,1.6,24.48,87.25,0.9,
83967,23/02/2014,1200,3.1,,22.1,,,,,,
83967,24/02/2014,0000,,32.5,,11.2,1.7,26.18,76.75,2.9,
83967,24/02/2014,1200,3.7,,21.4,,,,,,
83967,25/02/2014,0000,,29.2,,2.8,2.3,24.84,84.75,4.533333,
83967,25/02/2014,1200,0,,22.2,,,,,,
83967,26/02/2014,0000,,23.9,,0,1.2,22.1,96,1.966667,
83967,26/02/2014,1200,22.7,,21.1,,,,,,
83967,27/02/2014,0000,,22.5,,0.3,0.5,19.62,90,2.266667,
83967,27/02/2014,1200,29.6,,17.8,,,,,,
83967,28/02/2014,0000,,26.2,,8.6,0.4,20.64,81,2.9,
83967,28/02/2014,1200,3.7,,17.6,,,,,,
83967,01/03/2014,0000,,26.8,,8.6,1.9,21.54,74.25,2.266667,
83967,01/03/2014,1200,0.3,,17.4,,,,,,
83967,02/03/2014,0000,,27.6,,10.3,2.2,22.06,75,2.633333,
83967,02/03/2014,1200,0,,17.5,,,,,,
83967,03/03/2014,0000,,28.6,,7.9,2.1,23.38,76.5,5.133333,
83967,03/03/2014,1200,0,,19.4,,,,,,
83967,04/03/2014,0000,,29.8,,7.3,2.2,24,78.75,1.9,
83967,04/03/2014,1200,14.6,,19.9,,,,,,
83967,05/03/2014,0000,,28.3,,3,2,24.28,81.75,1.5,
83967,05/03/2014,1200,2.6,,20.2,,,,,,
83967,06/03/2014,0000,,30,,9.5,1.5,24.7,71.5,2.7,
83967,06/03/2014,1200,0.4,,20.4,,,,,,
83967,07/03/2014,0000,,29.4,,9.1,2.6,23.5,76.25,3.166667,
83967,07/03/2014,1200,0,,19.9,,,,,,
83967,08/03/2014,0000,,25.8,,5.2,2.1,22,81.25,2.566667,
83967,08/03/2014,1200,0,,19.6,,,,,,
83967,09/03/2014,0000,,29.9,,8.5,1.1,23.28,79,1.166667,
83967,09/03/2014,1200,26,,18.9,,,,,,
83967,10/03/2014,0000,,28.4,,5.7,2.6,24.46,77.25,2.866667,
83967,10/03/2014,1200,0,,20.2,,,,,,
83967,11/03/2014,0000,,27.7,,6,1.8,23.18,76,2.333333,
83967,11/03/2014,1200,15.1,,20.4,,,,,,
83967,12/03/2014,0000,,27.6,,6.5,2.3,22.38,69.75,3.6,
83967,12/03/2014,1200,0,,18.8,,,,,,
83967,13/03/2014,0000,,28.5,,7.6,2.8,23.76,76.75,3.333333,
83967,13/03/2014,1200,0,,20.7,,,,,,
83967,14/03/2014,0000,,32.4,,10.3,2.4,25.14,74,1.2,
83967,14/03/2014,1200,0,,19.2,,,,,,
83967,15/03/2014,0000,,27,,0.6,3.6,24.34,82.25,2.066667,
83967,15/03/2014,1200,1.3,,22.9,,,,,,
83967,16/03/2014,0000,,31.6,,7.8,2,25.76,80.5,2.7,
83967,16/03/2014,1200,0,,21.2,,,,,,
83967,17/03/2014,0000,,26.8,,0.6,2.5,23.76,87,1.233333,
83967,17/03/2014,1200,20.6,,20.9,,,,,,
83967,18/03/2014,0000,,25.4,,0,1,21.56,88.5,3.4,
83967,18/03/2014,1200,15.9,,20.3,,,,,,
83967,19/03/2014,0000,,23.9,,0,0.9,21.68,94.75,1.4,
83967,19/03/2014,1200,9,,20.2,,,,,,
83967,20/03/2014,0000,,26.6,,3.3,0.5,22.78,82.25,2.866667,
83967,20/03/2014,1200,2.6,,19.3,,,,,,
83967,21/03/2014,0000,,26,,4.9,1.3,22.6,76.25,3.433333,
83967,21/03/2014,1200,0.1,,21.1,,,,,,
83967,22/03/2014,0000,,21.9,,5.9,1.8,16.6,66.75,1.9,
83967,22/03/2014,1200,2.7,,14.7,,,,,,
83967,23/03/2014,0000,,24.8,,9.9,2.2,17.54,69.75,2.133333,
83967,23/03/2014,1200,0,,11.8,,,,,,
83967,24/03/2014,0000,,29.2,,9.8,2.4,21.06,73,3.066667,
83967,24/03/2014,1200,0,,13.7,,,,,,
83967,25/03/2014,0000,,29.7,,6.4,1.9,22.44,75.5,2.033333,
83967,25/03/2014,1200,0,,17.4,,,,,,
83967,26/03/2014,0000,,29.1,,7.3,2.5,22.66,77.5,3.966667,
83967,26/03/2014,1200,0,,18.8,,,,,,
83967,27/03/2014,0000,,29.6,,8.4,2.4,24.16,77.75,3.666667,
83967,27/03/2014,1200,0,,20.9,,,,,,
83967,28/03/2014,0000,,32.4,,9.2,2.4,25.36,72,0.666667,
83967,28/03/2014,1200,0,,19.5,,,,,,
83967,29/03/2014,0000,,34,,9.4,2.9,26.36,67,2.466667,
83967,29/03/2014,1200,0,,21.8,,,,,,
83967,30/03/2014,0000,,31.8,,2.3,3.3,25.96,79.5,2.4,
83967,30/03/2014,1200,0,,22.8,,,,,,
83967,31/03/2014,0000,,26,,0,2,23.12,91.75,2.033333,
83967,31/03/2014,1200,15.2,,22,,,,,,
83967,01/04/2014,0000,,27.4,,3,0.9,23.32,91,1.866667,
83967,01/04/2014,1200,11.9,,21.4,,,,,,
83967,02/04/2014,0000,,28.4,,8.5,1,23.82,82,5.666667,
83967,02/04/2014,1200,2.8,,20.9,,,,,,
83967,03/04/2014,0000,,28.7,,9.6,2.3,23.64,77.5,3.366667,
83967,03/04/2014,1200,0,,20.1,,,,,,
83967,04/04/2014,0000,,31.4,,9.7,2.2,24.46,75.25,1.266667,
83967,04/04/2014,1200,0,,19.2,,,,,,
83967,05/04/2014,0000,,32.1,,9.2,2.8,25.04,54.25,3.466667,
83967,05/04/2014,1200,0,,18.1,,,,,,
83967,06/04/2014,0000,,32.2,,6.6,3.5,25.52,77.25,2.233333,
83967,06/04/2014,1200,0,,20.4,,,,,,
83967,07/04/2014,0000,,30.3,,3.5,2.3,24.6,83,2.766667,
83967,07/04/2014,1200,0,,22.2,,,,,,
83967,08/04/2014,0000,,31.3,,1.5,2,25.12,79.25,2,
83967,08/04/2014,1200,0,,21.8,,,,,,
83967,09/04/2014,0000,,28.7,,6.2,1.6,23.62,74,3.066667,
83967,09/04/2014,1200,12.4,,21.2,,,,,,
83967,10/04/2014,0000,,28.4,,7.9,2.4,22.1,73.25,4.233333,
83967,10/04/2014,1200,0,,16.7,,,,,,
83967,11/04/2014,0000,,26.3,,0,2.3,22.92,92.75,1.666667,
83967,11/04/2014,1200,0,,21.2,,,,,,
83967,12/04/2014,0000,,25.5,,6.3,0,22.48,75.75,3.333333,
83967,12/04/2014,1200,53.8,,21.1,,,,,,
83967,13/04/2014,0000,,21.8,,9.4,3.8,16.08,64.5,3.566667,
83967,13/04/2014,1200,0,,12.2,,,,,,
83967,14/04/2014,0000,,22.6,,9.1,2.5,16.36,73.5,1.866667,
83967,14/04/2014,1200,0,,12.5,,,,,,
83967,15/04/2014,0000,,24.5,,7.5,1.5,18.42,75.5,1.766667,
83967,15/04/2014,1200,0,,13,,,,,,
83967,16/04/2014,0000,,28.7,,8.3,1.6,20.96,79,1.1,
83967,16/04/2014,1200,0,,14.4,,,,,,
83967,17/04/2014,0000,,29.7,,6.5,2.1,23.7,75.25,2.366667,
83967,17/04/2014,1200,0,,17.2,,,,,,
83967,18/04/2014,0000,,28.4,,2.2,2.1,23.16,83,3.366667,
83967,18/04/2014,1200,0.2,,21,,,,,,
83967,19/04/2014,0000,,23,,0,2.2,21.14,88.5,2.4,
83967,19/04/2014,1200,1.6,,20.4,,,,,,
83967,20/04/2014,0000,,25.7,,6,0.2,20.36,76.75,2.566667,
83967,20/04/2014,1200,0.8,,18.2,,,,,,
83967,21/04/2014,0000,,28.3,,7.6,1.4,20.94,80.5,1.966667,
83967,21/04/2014,1200,0,,15.2,,,,,,
83967,22/04/2014,0000,,22.8,,7.7,2.5,19.4,70.75,3.566667,
83967,22/04/2014,1200,0,,18.1,,,,,,
83967,23/04/2014,0000,,23.1,,2.3,0.7,18.5,73.25,1.933333,
83967,23/04/2014,1200,0,,14.2,,,,,,
83967,24/04/2014,0000,,22,,6.9,1.4,17.44,79.5,2.366667,
83967,24/04/2014,1200,0,,15.8,,,,,,
83967,25/04/2014,0000,,22.1,,7,1.4,15.78,76.75,2.766667,
83967,25/04/2014,1200,0,,12.2,,,,,,
83967,26/04/2014,0000,,22.4,,7,1.2,16.12,80.75,2.833333,
83967,26/04/2014,1200,0,,11.7,,,,,,
83967,27/04/2014,0000,,24.3,,8.4,2.2,18.66,69.75,4.5,
83967,27/04/2014,1200,0,,14.3,,,,,,
83967,28/04/2014,0000,,25.9,,7.2,3.2,19.26,70.75,2.066667,
83967,28/04/2014,1200,0,,14.2,,,,,,
83967,29/04/2014,0000,,26.7,,6.3,3,20.1,70,1.533333,
83967,29/04/2014,1200,0,,15.4,,,,,,
83967,30/04/2014,0000,,21.6,,0,2.5,19.52,83.75,2,
83967,30/04/2014,1200,0,,17.9,,,,,,
83967,01/05/2014,0000,,23.2,,3.7,1.1,19.14,80.25,3.366667,
83967,01/05/2014,1200,1.4,,17.6,,,,,,
83967,02/05/2014,0000,,22.9,,8.1,2.4,17.58,79,2.866667,
83967,02/05/2014,1200,0,,15.8,,,,,,
83967,03/05/2014,0000,,27.2,,6.5,1.7,18.92,80.75,2.2,
83967,03/05/2014,1200,0,,12.7,,,,,,
83967,04/05/2014,0000,,20.3,,0,2.3,18.84,96.5,2.4,
83967,04/05/2014,1200,19.7,,18.1,,,,,,
83967,05/05/2014,0000,,26,,4.4,0.4,20.22,87.5,2.166667,
83967,05/05/2014,1200,6.6,,17.1,,,,,,
83967,06/05/2014,0000,,25.6,,4.2,1.2,21.2,90.5,1.333333,
83967,06/05/2014,1200,0.1,,18,,,,,,
83967,07/05/2014,0000,,24.7,,3.1,1.4,20.76,86,2.133333,
83967,07/05/2014,1200,0.7,,18.9,,,,,,
83967,08/05/2014,0000,,21.8,,1.9,1.2,18.68,91.5,1.066667,
83967,08/05/2014,1200,0,,17.4,,,,,,
83967,09/05/2014,0000,,22.6,,5.8,0.7,17.82,81.25,2.7,
83967,09/05/2014,1200,8.4,,15,,,,,,
83967,10/05/2014,0000,,22.1,,6.8,1.4,17.18,78.75,2.5,
83967,10/05/2014,1200,3.9,,14.3,,,,,,
83967,11/05/2014,0000,,25.4,,7.8,2.3,18.34,72.75,0.766667,
83967,11/05/2014,1200,0,,14.5,,,,,,
83967,12/05/2014,0000,,26,,6.9,2,19.26,70.5,1.733333,
83967,12/05/2014,1200,0,,13,,,,,,
83967,13/05/2014,0000,,24.2,,4.7,2.1,19.64,85,1.566667,
83967,13/05/2014,1200,0.7,,17.7,,,,,,
83967,14/05/2014,0000,,24.3,,6.6,1.3,18.42,87,1.8,
83967,14/05/2014,1200,0,,14.8,,,,,,
83967,15/05/2014,0000,,25.8,,5.4,0.9,18.9,89.75,2.1,
83967,15/05/2014,1200,0.1,,15.6,,,,,,
83967,16/05/2014,0000,,21.3,,2.4,1,17.38,87.75,1.333333,
83967,16/05/2014,1200,8.1,,16,,,,,,
83967,17/05/2014,0000,,22,,5.5,0.9,16.56,90.25,1.533333,
83967,17/05/2014,1200,0,,12.4,,,,,,
83967,18/05/2014,0000,,19.4,,0.9,0.6,16.44,82.5,2.4,
83967,18/05/2014,1200,0.1,,15.4,,,,,,
83967,19/05/2014,0000,,22.1,,6.8,0.9,14.74,75.5,1.333333,
83967,19/05/2014,1200,0,,9.9,,,,,,
83967,20/05/2014,0000,,21,,3.9,1.5,15.2,85.25,1.933333,
83967,20/05/2014,1200,0,,11.2,,,,,,
83967,21/05/2014,0000,,18.4,,0,1,16.92,93.75,1.966667,
83967,21/05/2014,1200,0,,14.4,,,,,,
83967,22/05/2014,0000,,18.6,,0,0.1,16.46,88.75,1.4,
83967,22/05/2014,1200,12.4,,15.2,,,,,,
83967,23/05/2014,0000,,15.4,,0,0.6,12.52,78,2.433333,
83967,23/05/2014,1200,2.1,,11.2,,,,,,
83967,24/05/2014,0000,,15.2,,6.8,1.3,10.84,81.5,2.433333,
83967,24/05/2014,1200,0,,8.6,,,,,,
83967,25/05/2014,0000,,15.8,,2.2,0.9,11.22,85,1.766667,
83967,25/05/2014,1200,0,,6.9,,,,,,
83967,26/05/2014,0000,,18.1,,2.1,1,14.78,84.5,1.733333,
83967,26/05/2014,1200,0,,12.2,,,,,,
83967,27/05/2014,0000,,18,,6.6,0.6,12,84.25,1.466667,
83967,27/05/2014,1200,0,,9,,,,,,
83967,28/05/2014,0000,,18.7,,6.9,1,12.52,76.5,1.133333,
83967,28/05/2014,1200,0,,8,,,,,,
83967,29/05/2014,0000,,22.7,,7.3,1,14.42,78.25,2.6,
83967,29/05/2014,1200,0,,7.4,,,,,,
83967,30/05/2014,0000,,25,,7.4,1.6,16.6,75.5,1.666667,
83967,30/05/2014,1200,0,,10.7,,,,,,
83967,31/05/2014,0000,,18.3,,0,2.2,16.1,95.5,0.933333,
83967,31/05/2014,1200,6.7,,14.9,,,,,,
83967,01/06/2014,0000,,19.6,,3.7,0.3,15.58,85.75,3.033333,
83967,01/06/2014,1200,15.7,,14.1,,,,,,
83967,02/06/2014,0000,,18.4,,7.6,2,12.56,81.25,2.4,
83967,02/06/2014,1200,0.9,,9.6,,,,,,
83967,03/06/2014,0000,,19.7,,7.5,1.1,11.74,80.25,0.9,
83967,03/06/2014,1200,0.1,,7.2,,,,,,
83967,04/06/2014,0000,,24,,7.3,1.6,14.32,75,1.733333,
83967,04/06/2014,1200,0,,7,,,,,,
83967,05/06/2014,0000,,17.2,,0,1.4,15.2,97.5,1.133333,
83967,05/06/2014,1200,22,,13.3,,,,,,
83967,06/06/2014,0000,,17.9,,0,0.2,16.28,94.75,1.933333,
83967,06/06/2014,1200,10.6,,14.8,,,,,,
83967,07/06/2014,0000,,24.3,,2.3,0.9,19.74,86.5,2.4,
83967,07/06/2014,1200,1.2,,16.4,,,,,,
83967,08/06/2014,0000,,19.7,,0,0.3,14.72,84,3.2,
83967,08/06/2014,1200,0,,12.6,,,,,,
83967,09/06/2014,0000,,16.9,,4.2,0.5,11.4,90,0.633333,
83967,09/06/2014,1200,0.1,,8.3,,,,,,
83967,10/06/2014,0000,,17,,3.9,0.7,12.44,91.5,0.733333,
83967,10/06/2014,1200,0.2,,7.2,,,,,,
83967,11/06/2014,0000,,24.6,,6.8,0.4,16.92,85.75,1.033333,
83967,11/06/2014,1200,0.2,,9.3,,,,,,
83967,12/06/2014,0000,,29.7,,7.7,1.6,22.12,66.5,1.766667,
83967,12/06/2014,1200,0,,16.5,,,,,,
83967,13/06/2014,0000,,22.6,,0,3.5,18.22,93,0.933333,
83967,13/06/2014,1200,0,,15.7,,,,,,
83967,14/06/2014,0000,,16.6,,0,0.1,14.66,95,1.8,
83967,14/06/2014,1200,67.6,,13.1,,,,,,
83967,15/06/2014,0000,,20.6,,4.6,0.3,16.92,87.75,2,
83967,15/06/2014,1200,1.5,,13.9,,,,,,
83967,16/06/2014,0000,,21.3,,1.5,0.9,17.74,91.75,1.133333,
83967,16/06/2014,1200,0,,14.8,,,,,,
83967,17/06/2014,0000,,20,,4.3,0.5,15.7,82.5,1.466667,
83967,17/06/2014,1200,1,,14.2,,,,,,
83967,18/06/2014,0000,,16.2,,7,1.2,11.62,68.75,2.566667,
83967,18/06/2014,1200,0.2,,10,,,,,,
83967,19/06/2014,0000,,14.3,,7.1,2.1,8.5,80.5,1.333333,
83967,19/06/2014,1200,0,,5.4,,,,,,
83967,20/06/2014,0000,,16.2,,6.8,0.4,9.28,84.25,1.333333,
83967,20/06/2014,1200,0,,4.2,,,,,,
83967,21/06/2014,0000,,18,,5.4,0.7,10.88,86,1.333333,
83967,21/06/2014,1200,0.1,,5.2,,,,,,
83967,22/06/2014,0000,,23.2,,6.8,1,14.2,78.5,0.833333,
83967,22/06/2014,1200,0,,7.2,,,,,,
83967,23/06/2014,0000,,19.6,,0,2.8,16.98,93.25,4.7,
83967,23/06/2014,1200,2,,14.5,,,,,,
83967,24/06/2014,0000,,24.1,,5.4,1,18.2,88.5,1.933333,
83967,24/06/2014,1200,2.5,,15.2,,,,,,
83967,25/06/2014,0000,,22.7,,1.4,0.1,18.58,91.25,1.033333,
83967,25/06/2014,1200,23.6,,16.6,,,,,,
83967,26/06/2014,0000,,18.6,,0,1.1,17.34,95.75,1.1,
83967,26/06/2014,1200,1.6,,16,,,,,,
83967,27/06/2014,0000,,19.5,,0,0.2,17.84,95.5,3.533333,
83967,27/06/2014,1200,1.8,,16.9,,,,,,
83967,28/06/2014,0000,,18.2,,0,0.3,17.4,95,5.466667,
83967,28/06/2014,1200,20.1,,16.2,,,,,,
83967,29/06/2014,0000,,20.6,,1.5,0.3,16.28,93.5,2.066667,
83967,29/06/2014,1200,31.3,,14.4,,,,,,
83967,30/06/2014,0000,,14.9,,0,0.7,14.1,94.25,5.6,
83967,30/06/2014,1200,24.3,,13.5,,,,,,
83967,01/07/2014,0000,,16.2,,1,1.3,13.38,85,1.866667,
83967,01/07/2014,1200,3.7,,12.1,,,,,,
83967,02/07/2014,0000,,19.4,,6.4,0.2,13.04,84.75,2.3,
83967,02/07/2014,1200,0,,7.6,,,,,,
83967,03/07/2014,0000,,21.9,,2.3,0.6,17.68,93.75,0.933333,
83967,03/07/2014,1200,5.9,,13.8,,,,,,
