Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83907,01/01/2014,0000,,32.5,,1.5,3,27.04,80.5,2.466667,
83907,01/01/2014,1200,11.4,,23.6,,,,,,
83907,02/01/2014,0000,,30.6,,3.4,2,24.92,87.75,3.233333,
83907,02/01/2014,1200,3.8,,22.4,,,,,,
83907,03/01/2014,0000,,23.8,,0,1.1,21.48,91.5,2.266667,
83907,03/01/2014,1200,94.1,,20.3,,,,,,
83907,04/01/2014,0000,,30,,11.8,0.9,23.28,65,1.866667,
83907,04/01/2014,1200,5.4,,16.8,,,,,,
83907,05/01/2014,0000,,33.2,,12,4,25.28,59.5,1.8,
83907,05/01/2014,1200,0,,16.8,,,,,,
83907,06/01/2014,0000,,34.9,,10.9,5.5,28.9,64,2.033333,
83907,06/01/2014,1200,0,,21.6,,,,,,
83907,07/01/2014,0000,,35,,10.1,4.5,28.2,65.25,3.133333,
83907,07/01/2014,1200,0,,21.4,,,,,,
83907,08/01/2014,0000,,31.1,,4.1,4.9,25.14,77,0.533333,
83907,08/01/2014,1200,42.7,,19,,,,,,
83907,09/01/2014,0000,,34.4,,11.5,2.8,28.46,67.75,1.666667,
83907,09/01/2014,1200,0,,21.4,,,,,,
83907,10/01/2014,0000,,34.2,,7.1,4.8,25.86,74.25,3.9,
83907,10/01/2014,1200,0,,22.2,,,,,,
83907,11/01/2014,0000,,23.8,,0,4.8,21.9,88,2.733333,
83907,11/01/2014,1200,0.2,,19.4,,,,,,
83907,12/01/2014,0000,,30,,8.2,0.8,23.36,79.5,3.233333,
83907,12/01/2014,1200,18.1,,19,,,,,,
83907,13/01/2014,0000,,32.5,,9.5,2.5,25.2,74.75,2.033333,
83907,13/01/2014,1200,0.5,,19.1,,,,,,
83907,14/01/2014,0000,,32.3,,10.7,3.3,25.52,72.5,2.566667,
83907,14/01/2014,1200,0,,20.9,,,,,,
83907,15/01/2014,0000,,31.2,,8.4,3.9,25.3,80.25,1.333333,
83907,15/01/2014,1200,0,,22.1,,,,,,
83907,16/01/2014,0000,,32.5,,9.1,2.8,26.78,72.5,1.133333,
83907,16/01/2014,1200,6,,21.1,,,,,,
83907,17/01/2014,0000,,35,,11.4,4.2,28.78,64.25,1.2,
83907,17/01/2014,1200,0,,22.8,,,,,,
83907,18/01/2014,0000,,36.7,,11.1,6.1,29.84,61,1.566667,
83907,18/01/2014,1200,0,,23.1,,,,,,
83907,19/01/2014,0000,,36.2,,9.9,6.8,29.56,63.75,1.6,
83907,19/01/2014,1200,0,,24.8,,,,,,
83907,20/01/2014,0000,,37,,11.2,6,29.68,59.75,2.233333,
83907,20/01/2014,1200,0,,23.6,,,,,,
83907,21/01/2014,0000,,37,,11.5,6.5,30.5,54,2.6,
83907,21/01/2014,1200,0,,24.4,,,,,,
83907,22/01/2014,0000,,37.3,,11.4,7.8,31.48,55.75,2.633333,
83907,22/01/2014,1200,0,,26.3,,,,,,
83907,23/01/2014,0000,,35.6,,10.8,6.7,30.86,59.75,3.566667,
83907,23/01/2014,1200,0,,25.9,,,,,,
83907,24/01/2014,0000,,35.9,,9.1,7.7,27.22,77,3.966667,
83907,24/01/2014,1200,0,,23.6,,,,,,
83907,25/01/2014,0000,,24.2,,0.5,4.2,19.32,83,5.033333,
83907,25/01/2014,1200,4.9,,16.2,,,,,,
83907,26/01/2014,0000,,32.1,,2.7,2.7,23.52,85.25,2.466667,
83907,26/01/2014,1200,0,,18.6,,,,,,
83907,27/01/2014,0000,,34.5,,11.3,1.9,28.54,67.25,3.233333,
83907,27/01/2014,1200,16.8,,21.8,,,,,,
83907,28/01/2014,0000,,36,,11.2,6,28.92,64.75,3.133333,
83907,28/01/2014,1200,0,,25,,,,,,
83907,29/01/2014,0000,,36,,10.4,5.4,28.54,67.25,3.166667,
83907,29/01/2014,1200,0,,23.1,,,,,,
83907,30/01/2014,0000,,36.4,,11.1,5.7,29.14,62.25,3.466667,
83907,30/01/2014,1200,0,,24.1,,,,,,
83907,31/01/2014,0000,,35.1,,8.9,6.2,26.82,73,2.3,
83907,31/01/2014,1200,0,,22.5,,,,,,
83907,01/02/2014,0000,,36.5,,10.5,4.2,29.78,54.75,3.566667,
83907,01/02/2014,1200,14,,22.8,,,,,,
83907,02/02/2014,0000,,37.2,,9.3,7.5,29.94,62.5,2.3,
83907,02/02/2014,1200,0,,25.1,,,,,,
83907,03/02/2014,0000,,37,,10.3,6,31.06,45.25,3.233333,
83907,03/02/2014,1200,1.1,,25.1,,,,,,
83907,04/02/2014,0000,,37.7,,8.6,8.9,30.5,49.5,2.6,
83907,04/02/2014,1200,0,,25,,,,,,
83907,05/02/2014,0000,,38.1,,11.5,8.9,31.82,53,1.966667,
83907,05/02/2014,1200,0,,25.8,,,,,,
83907,06/02/2014,0000,,39.1,,11.2,8.6,32.52,50.25,2.9,
83907,06/02/2014,1200,0,,27.6,,,,,,
83907,07/02/2014,0000,,39.4,,11.4,8.4,32.62,50.5,3.133333,
83907,07/02/2014,1200,0,,25.9,,,,,,
83907,08/02/2014,0000,,39.2,,10.6,8.8,32.38,49.75,3.266667,
83907,08/02/2014,1200,0,,26.7,,,,,,
83907,09/02/2014,0000,,40.1,,11.1,9.1,30.7,56,2.533333,
83907,09/02/2014,1200,0,,26,,,,,,
83907,10/02/2014,0000,,39.6,,10.5,7.4,29.54,60.25,2.433333,
83907,10/02/2014,1200,0,,22.9,,,,,,
83907,11/02/2014,0000,,39.4,,10.9,6.5,31.16,52.75,1.866667,
83907,11/02/2014,1200,0,,22.6,,,,,,
83907,12/02/2014,0000,,37,,5.8,7.5,26.02,82,3.3,
83907,12/02/2014,1200,0,,21.4,,,,,,
83907,13/02/2014,0000,,25.6,,0,2.7,21.76,93.75,3.133333,
83907,13/02/2014,1200,11.2,,20.4,,,,,,
83907,14/02/2014,0000,,24.2,,0,1.1,20.34,80.75,5.466667,
83907,14/02/2014,1200,6.8,,18.1,,,,,,
83907,15/02/2014,0000,,29.2,,8.6,3.7,22.36,63,5.233333,
83907,15/02/2014,1200,0,,15.6,,,,,,
83907,16/02/2014,0000,,30.4,,11.3,6.5,22.8,64.5,4.733333,
83907,16/02/2014,1200,0,,17,,,,,,
83907,17/02/2014,0000,,32.4,,10.4,5.7,25.04,64.25,3.4,
83907,17/02/2014,1200,0,,18.7,,,,,,
83907,18/02/2014,0000,,33.8,,11.2,5.3,26.94,62.25,2.8,
83907,18/02/2014,1200,0,,21.1,,,,,,
83907,19/02/2014,0000,,32.2,,3.4,5.4,26.48,61.75,3.6,
83907,19/02/2014,1200,0,,21,,,,,,
83907,20/02/2014,0000,,28,,1.8,4.2,23.06,92.5,3.133333,
83907,20/02/2014,1200,12.9,,21.2,,,,,,
83907,21/02/2014,0000,,33.4,,5.9,1.1,26.32,77,1.8,
83907,21/02/2014,1200,18.5,,20.1,,,,,,
83907,22/02/2014,0000,,32.4,,5.2,2.9,24.52,78.75,2.4,
83907,22/02/2014,1200,0,,21.3,,,,,,
83907,23/02/2014,0000,,31,,6.7,2.9,25.96,75,1.966667,
83907,23/02/2014,1200,0,,20.8,,,,,,
83907,24/02/2014,0000,,34,,7.8,2.7,25.56,77.5,2.233333,
83907,24/02/2014,1200,0,,22.6,,,,,,
83907,25/02/2014,0000,,28.1,,0,2.9,22.86,93.25,3.133333,
83907,25/02/2014,1200,0.5,,20.8,,,,,,
83907,26/02/2014,0000,,24.5,,0.1,0.9,21.44,96,2,
83907,26/02/2014,1200,37.4,,19.4,,,,,,
83907,27/02/2014,0000,,25.5,,5.4,0.7,19.92,78.25,1.766667,
83907,27/02/2014,1200,15.9,,16.6,,,,,,
83907,28/02/2014,0000,,28,,9.8,2,20.68,76.5,1.1,
83907,28/02/2014,1200,0,,14.6,,,,,,
83907,01/03/2014,0000,,28.7,,10.9,2.8,21.28,71.5,2.066667,
83907,01/03/2014,1200,0,,14.7,,,,,,
83907,02/03/2014,0000,,29.1,,6.1,3.7,21.78,74.25,2.466667,
83907,02/03/2014,1200,0,,15.2,,,,,,
83907,03/03/2014,0000,,28.6,,3.6,3,21.38,83.25,1.8,
83907,03/03/2014,1200,0,,17.1,,,,,,
83907,04/03/2014,0000,,27,,2.7,2,22.8,86.75,1.1,
83907,04/03/2014,1200,0.3,,19.4,,,,,,
83907,05/03/2014,0000,,30.8,,9.8,1.2,24.48,70.25,1.7,
83907,05/03/2014,1200,0.2,,20.8,,,,,,
83907,06/03/2014,0000,,31.5,,10.8,3.8,24.64,68,1.3,
83907,06/03/2014,1200,0,,19.2,,,,,,
83907,07/03/2014,0000,,31.3,,10.3,3.5,23.38,70,1.5,
83907,07/03/2014,1200,0,,17.3,,,,,,
83907,08/03/2014,0000,,30.4,,10.4,3.3,22.18,71.5,1.9,
83907,08/03/2014,1200,0,,16.3,,,,,,
83907,09/03/2014,0000,,31.4,,10.8,2.8,23.62,63.5,1.5,
83907,09/03/2014,1200,0,,16.1,,,,,,
83907,10/03/2014,0000,,30.6,,7,4.5,24.28,68.75,3.033333,
83907,10/03/2014,1200,0,,19,,,,,,
83907,11/03/2014,0000,,30.5,,10.9,3.4,22.18,63.5,2.533333,
83907,11/03/2014,1200,0,,16,,,,,,
83907,12/03/2014,0000,,31.8,,10.9,3.9,22.66,63.75,2.3,
83907,12/03/2014,1200,0,,14.2,,,,,,
83907,13/03/2014,0000,,33.5,,10.8,4.1,25.36,63,1.466667,
83907,13/03/2014,1200,0,,18.5,,,,,,
83907,14/03/2014,0000,,34.4,,10.9,4.9,27.24,61,3.2,
83907,14/03/2014,1200,0,,20.3,,,,,,
83907,15/03/2014,0000,,28.6,,0.7,5.5,23.02,92,1.166667,
83907,15/03/2014,1200,36.8,,20.6,,,,,,
83907,16/03/2014,0000,,33.6,,7.8,0.8,26.7,70.5,3.566667,
83907,16/03/2014,1200,0.3,,20,,,,,,
83907,17/03/2014,0000,,28.4,,0,3.7,21.58,91.5,2.3,
83907,17/03/2014,1200,13,,19.4,,,,,,
83907,18/03/2014,0000,,22.1,,0,0.5,20.28,95.5,0.933333,
83907,18/03/2014,1200,7,,18.5,,,,,,
83907,19/03/2014,0000,,21,,0,0.1,19.96,97,1.866667,
83907,19/03/2014,1200,18.5,,19.5,,,,,,
83907,20/03/2014,0000,,28,,1.6,0.3,21.82,86.5,1.9,
83907,20/03/2014,1200,23.6,,18.1,,,,,,
83907,21/03/2014,0000,,26.3,,4.6,1.2,20.98,80.75,1.966667,
83907,21/03/2014,1200,0,,18.4,,,,,,
83907,22/03/2014,0000,,23,,9.8,1.7,15.8,69,2.766667,
83907,22/03/2014,1200,0,,13.4,,,,,,
83907,23/03/2014,0000,,26.5,,10.8,3.3,16.9,57.25,2.4,
83907,23/03/2014,1200,0,,6.6,,,,,,
83907,24/03/2014,0000,,29.8,,10.7,3.9,20.9,59.25,1.366667,
83907,24/03/2014,1200,0,,11.2,,,,,,
83907,25/03/2014,0000,,32.7,,9.5,4.1,24.34,66,1.8,
83907,25/03/2014,1200,0,,17.6,,,,,,
83907,26/03/2014,0000,,30.2,,4.2,3.9,23.32,63.75,2.833333,
83907,26/03/2014,1200,0,,20,,,,,,
83907,27/03/2014,0000,,32,,10.1,3.8,24.46,63,1.8,
83907,27/03/2014,1200,0,,17.4,,,,,,
83907,28/03/2014,0000,,32.1,,8.2,4.7,25.4,68.5,2,
83907,28/03/2014,1200,0,,18.9,,,,,,
83907,29/03/2014,0000,,33.1,,6.4,4.1,26.08,71.25,2.566667,
83907,29/03/2014,1200,0,,20.8,,,,,,
83907,30/03/2014,0000,,28.3,,2.2,4,24.42,86.25,2.566667,
83907,30/03/2014,1200,25,,20.5,,,,,,
83907,31/03/2014,0000,,,,3.8,1.5,23.62,84.75,2.7,
83907,31/03/2014,1200,46.2,,,,,,,,
83907,01/04/2014,0000,,30.8,,9.7,1.9,23.2,76.75,3.266667,
83907,01/04/2014,1200,0,,19.2,,,,,,
83907,02/04/2014,0000,,31.1,,10.1,2.9,23.64,70,3.7,
83907,02/04/2014,1200,0,,18.3,,,,,,
83907,03/04/2014,0000,,32.5,,10.1,5.7,25.76,66,1.833333,
83907,03/04/2014,1200,0,,19.6,,,,,,
83907,04/04/2014,0000,,32.6,,10,5.2,26.22,68.5,2.466667,
83907,04/04/2014,1200,0,,20.8,,,,,,
83907,05/04/2014,0000,,33,,9.3,4.6,26.66,68.5,2.2,
83907,05/04/2014,1200,0,,21.4,,,,,,
83907,06/04/2014,0000,,33.2,,4.7,4.8,27,69.25,2.366667,
83907,06/04/2014,1200,0,,21.4,,,,,,
83907,07/04/2014,0000,,35.1,,8,4.6,28.4,62,2.8,
83907,07/04/2014,1200,0,,23,,,,,,
83907,08/04/2014,0000,,34,,8.7,5.7,28.4,69.75,3.9,
83907,08/04/2014,1200,0.1,,24.2,,,,,,
83907,09/04/2014,0000,,29.4,,4.6,3.9,23.22,68.25,2.4,
83907,09/04/2014,1200,9.3,,21.2,,,,,,
83907,10/04/2014,0000,,30,,2.6,4.3,22.82,73.5,2.2,
83907,10/04/2014,1200,0,,16.8,,,,,,
83907,11/04/2014,0000,,24.7,,0,2.6,21.46,91.25,3.533333,
83907,11/04/2014,1200,22,,20.5,,,,,,
