Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83891,01/01/2014,0000,,25.4,,0.5,1.9,22,92.25,1.333333,
83891,01/01/2014,1200,4.6,,18.6,,,,,,
83891,02/01/2014,0000,,27.8,,4.2,1.1,22.56,86,2,
83891,02/01/2014,1200,3.6,,18,,,,,,
83891,03/01/2014,0000,,25.2,,0.5,2.3,20.24,91.75,1,
83891,03/01/2014,1200,4.4,,16.6,,,,,,
83891,04/01/2014,0000,,18.2,,0,0.9,15.7,96.5,0.666667,
83891,04/01/2014,1200,38.7,,13.7,,,,,,
83891,05/01/2014,0000,,25,,4.4,0.5,18.3,92,0.333333,
83891,05/01/2014,1200,4.6,,12.9,,,,,,
83891,06/01/2014,0000,,26.2,,9.2,1.2,20.76,83,2,
83891,06/01/2014,1200,0,,15.8,,,,,,
83891,07/01/2014,0000,,27.4,,8.9,2.9,20.54,85.75,1.666667,
83891,07/01/2014,1200,0,,17,,,,,,
83891,08/01/2014,0000,,28.4,,8,2.4,21.64,78.25,2,
83891,08/01/2014,1200,0.6,,15.2,,,,,,
83891,09/01/2014,0000,,29,,7.9,3.2,21.08,80.5,1.333333,
83891,09/01/2014,1200,0.1,,16,,,,,,
83891,10/01/2014,0000,,29.7,,7.9,2.3,22.84,83.75,1,
83891,10/01/2014,1200,0.2,,19.5,,,,,,
83891,11/01/2014,0000,,27.8,,3.5,2.2,19.88,91,1,
83891,11/01/2014,1200,30.1,,15.6,,,,,,
83891,12/01/2014,0000,,23.2,,0.5,0.9,19.4,93.75,1.333333,
83891,12/01/2014,1200,20.5,,16,,,,,,
83891,13/01/2014,0000,,23.8,,1.6,1.2,19.6,93,0.333333,
83891,13/01/2014,1200,15.3,,16,,,,,,
83891,14/01/2014,0000,,26.4,,4.7,0.9,19.46,85.5,1.333333,
83891,14/01/2014,1200,5.8,,14.5,,,,,,
83891,15/01/2014,0000,,24.2,,4.8,2.2,19.2,88.25,3,
83891,15/01/2014,1200,0,,15.6,,,,,,
83891,16/01/2014,0000,,26.2,,10,1.1,18.96,83.75,1.666667,
83891,16/01/2014,1200,31.3,,14.3,,,,,,
83891,17/01/2014,0000,,29,,8.7,2.8,21.2,74.25,2,
83891,17/01/2014,1200,8.6,,15.6,,,,,,
83891,18/01/2014,0000,,28.8,,10,3.2,21.3,61,0.666667,
83891,18/01/2014,1200,0,,14.5,,,,,,
83891,19/01/2014,0000,,30.2,,12.2,4.5,22.64,67.75,1,
83891,19/01/2014,1200,0,,14.8,,,,,,
83891,20/01/2014,0000,,31.2,,10.7,4.4,23.16,67.75,1,
83891,20/01/2014,1200,0,,17,,,,,,
83891,21/01/2014,0000,,31,,11.9,4.7,23.52,71.25,1.333333,
83891,21/01/2014,1200,0,,15,,,,,,
83891,22/01/2014,0000,,33,,11.8,4.5,24.6,69.25,1.333333,
83891,22/01/2014,1200,0,,17.6,,,,,,
83891,23/01/2014,0000,,30.8,,9.2,5.1,24.28,85.25,0.333333,
83891,23/01/2014,1200,0,,18.6,,,,,,
83891,24/01/2014,0000,,29.4,,8.8,2.7,23.16,82.25,2.666667,
83891,24/01/2014,1200,1.4,,17.6,,,,,,
83891,25/01/2014,0000,,25.4,,2.3,2.7,20.8,87.75,1.333333,
83891,25/01/2014,1200,3.9,,18,,,,,,
83891,26/01/2014,0000,,26.2,,6.9,1.3,20.56,83,2.666667,
83891,26/01/2014,1200,7.9,,15,,,,,,
83891,27/01/2014,0000,,29.8,,8.6,2.3,23.44,81.25,2,
83891,27/01/2014,1200,0,,18.4,,,,,,
83891,28/01/2014,0000,,31.6,,10.3,2.5,25.28,74.25,1.333333,
83891,28/01/2014,1200,0,,20,,,,,,
83891,29/01/2014,0000,,32.8,,11.6,3.1,24.6,63.25,1.333333,
83891,29/01/2014,1200,0,,16.6,,,,,,
83891,30/01/2014,0000,,31.6,,8.9,4.2,22.32,68.25,3.333333,
83891,30/01/2014,1200,0,,16.2,,,,,,
83891,31/01/2014,0000,,30.2,,8.3,3.4,22.06,70.75,2.333333,
83891,31/01/2014,1200,1.4,,13.9,,,,,,
83891,01/02/2014,0000,,32.4,,10,3.4,23.2,73.75,1.666667,
83891,01/02/2014,1200,0,,16,,,,,,
83891,02/02/2014,0000,,32.6,,12.1,4,24.6,67.25,2,
83891,02/02/2014,1200,1.2,,17.8,,,,,,
83891,03/02/2014,0000,,30.6,,8.6,4.8,22.68,71.5,3.666667,
83891,03/02/2014,1200,0,,17.4,,,,,,
83891,04/02/2014,0000,,32.2,,7.8,4,24.56,73.75,1.666667,
83891,04/02/2014,1200,0.1,,16.4,,,,,,
83891,05/02/2014,0000,,32.2,,8.4,3.8,24.52,80.75,2.333333,
83891,05/02/2014,1200,0,,18.4,,,,,,
83891,06/02/2014,0000,,34,,10.4,3.6,24.12,73.25,1.666667,
83891,06/02/2014,1200,0,,19,,,,,,
83891,07/02/2014,0000,,34.2,,9.8,3.9,25.4,69,1.333333,
83891,07/02/2014,1200,9.3,,17.2,,,,,,
83891,08/02/2014,0000,,31.8,,5.5,6.7,22.28,84,1.333333,
83891,08/02/2014,1200,1.8,,17.2,,,,,,
83891,09/02/2014,0000,,32.6,,9.2,2.3,22.26,74,0.666667,
83891,09/02/2014,1200,37.2,,13.9,,,,,,
83891,10/02/2014,0000,,32.6,,8.5,3.4,23.24,71,1.333333,
83891,10/02/2014,1200,0.7,,16,,,,,,
83891,11/02/2014,0000,,30.4,,10.9,3.8,23.08,70,1.066667,
83891,11/02/2014,1200,2.8,,16,,,,,,
83891,12/02/2014,0000,,32.8,,10.7,4.6,23.52,76.25,1.333333,
83891,12/02/2014,1200,0,,17.6,,,,,,
83891,13/02/2014,0000,,28,,4.7,4.6,20.84,91.5,1.333333,
83891,13/02/2014,1200,0,,16,,,,,,
83891,14/02/2014,0000,,20.4,,0,1.4,17.06,80,2,
83891,14/02/2014,1200,54,,14.5,,,,,,
83891,15/02/2014,0000,,24,,10,0.4,17.5,68.75,2.666667,
83891,15/02/2014,1200,1.2,,12.5,,,,,,
