Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83920,01/01/2014,0000,,25.4,,3.3,0.5,19.8,90.75,1,
83920,01/01/2014,1200,19.1,,16,,,,,,
83920,02/01/2014,0000,,24.2,,2.4,1.3,19.92,71.75,8,
83920,02/01/2014,1200,18.1,,16.4,,,,,,
83920,03/01/2014,0000,,20.4,,0,2,15.48,95,1.333333,
83920,03/01/2014,1200,12.2,,12.6,,,,,,
83920,04/01/2014,0000,,15,,0,0.6,12.76,100,2,
83920,04/01/2014,1200,22.4,,10.8,,,,,,
83920,05/01/2014,0000,,22.8,,7.6,0.3,17.16,73,1.333333,
83920,05/01/2014,1200,0.4,,11,,,,,,
83920,06/01/2014,0000,,25,,8.6,2.1,18.64,59.75,1,
83920,06/01/2014,1200,0,,12.6,,,,,,
83920,07/01/2014,0000,,24.4,,11.6,2.5,18.28,67,2.666667,
83920,07/01/2014,1200,0.4,,12.8,,,,,,
83920,08/01/2014,0000,,24.6,,7.3,3,18.68,74,4.666667,
83920,08/01/2014,1200,0,,14.8,,,,,,
83920,09/01/2014,0000,,25.5,,10.7,3,19.02,77.25,1.666667,
83920,09/01/2014,1200,8.8,,14.8,,,,,,
83920,10/01/2014,0000,,24.2,,4.8,3,19.48,79.75,5.666667,
83920,10/01/2014,1200,3.2,,16,,,,,,
83920,11/01/2014,0000,,24.8,,5.5,2,18.4,84.25,1.333333,
83920,11/01/2014,1200,16.7,,14.4,,,,,,
83920,12/01/2014,0000,,19,,0,2,16.64,97.5,1.333333,
83920,12/01/2014,1200,18.4,,14.6,,,,,,
83920,13/01/2014,0000,,21,,0.8,1,17.88,89.5,1,
83920,13/01/2014,1200,7.4,,15.2,,,,,,
83920,14/01/2014,0000,,22.8,,4.1,1.3,18,75,2,
83920,14/01/2014,1200,0.2,,14,,,,,,
83920,15/01/2014,0000,,20.4,,3,2.3,16.36,92.5,2,
83920,15/01/2014,1200,2.5,,14.6,,,,,,
83920,16/01/2014,0000,,24,,7.5,1.1,17.16,84.75,2.333333,
83920,16/01/2014,1200,2.1,,13.2,,,,,,
83920,17/01/2014,0000,,25.4,,11.8,1.8,17.92,76.5,1.333333,
83920,17/01/2014,1200,7.1,,12.4,,,,,,
83920,18/01/2014,0000,,26,,10.5,5.9,19.44,71.75,0.666667,
83920,18/01/2014,1200,0,,14.2,,,,,,
83920,19/01/2014,0000,,26.6,,11.5,6.1,19.88,56.5,2,
83920,19/01/2014,1200,0,,14.4,,,,,,
83920,20/01/2014,0000,,26.4,,11.3,7,20.2,50.25,2,
83920,20/01/2014,1200,0,,15.2,,,,,,
83920,21/01/2014,0000,,26.6,,12.1,5.2,20.92,56.75,2,
83920,21/01/2014,1200,0,,14.6,,,,,,
83920,22/01/2014,0000,,28.2,,9.3,5.3,21.44,72.75,1.666667,
83920,22/01/2014,1200,0,,18,,,,,,
83920,23/01/2014,0000,,28,,7.6,4.1,22.6,73,2,
83920,23/01/2014,1200,29.7,,19,,,,,,
83920,24/01/2014,0000,,25.8,,4.5,3.6,21.2,83.25,2.666667,
83920,24/01/2014,1200,0,,18.2,,,,,,
83920,25/01/2014,0000,,20.8,,0.6,2,16.28,90.75,5,
83920,25/01/2014,1200,0,,14.2,,,,,,
83920,26/01/2014,0000,,24.9,,8.9,1.6,19.1,81.25,1.666667,
83920,26/01/2014,1200,0,,13.6,,,,,,
83920,27/01/2014,0000,,27.4,,10.5,1.8,20.08,82.5,1,
83920,27/01/2014,1200,0,,16,,,,,,
83920,28/01/2014,0000,,28.2,,10.3,3.3,21.56,66.25,1.666667,
83920,28/01/2014,1200,4.1,,16.6,,,,,,
83920,29/01/2014,0000,,29,,12.2,4.9,22.48,62.25,1.333333,
83920,29/01/2014,1200,1.1,,17.8,,,,,,
83920,30/01/2014,0000,,28.4,,11.2,8.6,21.56,55.5,2,
83920,30/01/2014,1200,0,,18.2,,,,,,
83920,31/01/2014,0000,,26.6,,7.9,6.4,21.08,79.75,2,
83920,31/01/2014,1200,0,,17.8,,,,,,
83920,01/02/2014,0000,,28.2,,7.4,4.3,20.4,78.5,1,
83920,01/02/2014,1200,0,,16,,,,,,
83920,02/02/2014,0000,,28,,12.1,4.9,22.36,50.5,1.666667,
83920,02/02/2014,1200,13.3,,17,,,,,,
83920,03/02/2014,0000,,28.2,,12,6.6,23.16,57.75,1.666667,
83920,03/02/2014,1200,0,,18.6,,,,,,
83920,04/02/2014,0000,,28.2,,8.7,5,21.96,67.5,2,
83920,04/02/2014,1200,0,,18.4,,,,,,
83920,05/02/2014,0000,,28.4,,6.2,4.8,22.6,69.25,0.666667,
83920,05/02/2014,1200,0,,18,,,,,,
83920,06/02/2014,0000,,29.7,,7.9,3.7,21.42,72.25,2,
83920,06/02/2014,1200,0.6,,17.4,,,,,,
83920,07/02/2014,0000,,29.7,,11.9,2.2,23.9,59.25,0.333333,
83920,07/02/2014,1200,51,,17,,,,,,
83920,08/02/2014,0000,,26.7,,4,4.4,20.82,83.5,1.666667,
83920,08/02/2014,1200,1.3,,17,,,,,,
83920,09/02/2014,0000,,28.5,,7,5.4,22.42,62.25,2,
83920,09/02/2014,1200,0.9,,17,,,,,,
83920,10/02/2014,0000,,28,,10.3,4.9,22.24,65.75,2,
83920,10/02/2014,1200,1.1,,18,,,,,,
83920,11/02/2014,0000,,28,,11.9,5.5,21.56,45.25,2,
83920,11/02/2014,1200,0,,15.4,,,,,,
83920,12/02/2014,0000,,28.6,,7.9,6.2,20.84,77.25,1.333333,
83920,12/02/2014,1200,0,,17,,,,,,
83920,13/02/2014,0000,,25.4,,5.7,2.5,19.72,86.25,2,
83920,13/02/2014,1200,2.4,,17,,,,,,
83920,14/02/2014,0000,,23,,0,0.6,14.12,95,5.333333,
83920,14/02/2014,1200,25.6,,10.6,,,,,,
83920,15/02/2014,0000,,17.8,,7.3,0.6,12.76,85.5,5.333333,
83920,15/02/2014,1200,2.2,,10.2,,,,,,
83920,16/02/2014,0000,,18,,4.3,2.8,13.8,86,4.333333,
83920,16/02/2014,1200,0.3,,11.4,,,,,,
83920,17/02/2014,0000,,20,,10.1,1.2,14.72,88,3.666667,
83920,17/02/2014,1200,0,,10,,,,,,
83920,18/02/2014,0000,,23.6,,9.7,1.8,16.4,77,2,
83920,18/02/2014,1200,0,,11,,,,,,
83920,19/02/2014,0000,,22,,10.1,2.5,16.36,82.25,2.333333,
83920,19/02/2014,1200,0,,13.2,,,,,,
83920,20/02/2014,0000,,24,,6.5,2.5,17.92,70.75,1.333333,
83920,20/02/2014,1200,0,,11.4,,,,,,
83920,21/02/2014,0000,,22.4,,1.3,2.5,18.6,83,1,
83920,21/02/2014,1200,0,,14.6,,,,,,
83920,22/02/2014,0000,,22.9,,6.8,1.6,18.34,85,1,
83920,22/02/2014,1200,19.7,,14.2,,,,,,
83920,23/02/2014,0000,,18.6,,0,2.2,16.28,96,1.333333,
83920,23/02/2014,1200,6.5,,15,,,,,,
83920,24/02/2014,0000,,24,,6.1,0.6,18.36,86.25,1.333333,
83920,24/02/2014,1200,73.1,,13.4,,,,,,
83920,25/02/2014,0000,,25,,7,1.9,19.72,78,2.666667,
83920,25/02/2014,1200,0,,16.4,,,,,,
83920,26/02/2014,0000,,23.6,,4.6,1.7,18.2,92.25,2,
83920,26/02/2014,1200,9.7,,16,,,,,,
83920,27/02/2014,0000,,17.2,,1.8,1,15.04,93.75,2.333333,
