Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83923,01/01/2014,0000,,32.2,,3.3,1.6,26.58,88.5,0.333333,
83923,01/01/2014,1200,4.1,,23.1,,,,,,
83923,02/01/2014,0000,,33.8,,3.7,1.8,27.54,89.25,1,
83923,02/01/2014,1200,5.7,,23.4,,,,,,
83923,03/01/2014,0000,,27.2,,0.3,0.8,21.76,93.25,0.333333,
83923,03/01/2014,1200,10.4,,18.5,,,,,,
83923,04/01/2014,0000,,23,,0,1.2,20.22,89,0.666667,
83923,04/01/2014,1200,22.4,,18.4,,,,,,
83923,05/01/2014,0000,,30.4,,9.5,3.3,22.86,81.5,1,
83923,05/01/2014,1200,0,,15.5,,,,,,
83923,06/01/2014,0000,,31.4,,9.7,3.3,24.82,81.5,1.666667,
83923,06/01/2014,1200,0,,17.3,,,,,,
83923,07/01/2014,0000,,35.2,,10.8,4.7,27.72,71.25,2,
83923,07/01/2014,1200,0,,20.2,,,,,,
83923,08/01/2014,0000,,35.4,,4.4,2.3,25.94,86,1.666667,
83923,08/01/2014,1200,0,,18.8,,,,,,
83923,09/01/2014,0000,,30.2,,3.9,2.4,25.44,87.5,1.333333,
83923,09/01/2014,1200,11.2,,20.6,,,,,,
83923,10/01/2014,0000,,34.4,,6.4,2.4,26.76,89.5,1,
83923,10/01/2014,1200,0,,23.2,,,,,,
83923,11/01/2014,0000,,33.4,,5.5,3,25.14,87.75,1.666667,
83923,11/01/2014,1200,8,,21.6,,,,,,
83923,12/01/2014,0000,,25.4,,0,0.9,23,94.5,1,
83923,12/01/2014,1200,13.9,,21.5,,,,,,
83923,13/01/2014,0000,,30.4,,3.5,1.8,23.24,90.5,1.666667,
83923,13/01/2014,1200,19.1,,20,,,,,,
83923,14/01/2014,0000,,32.2,,6.1,2.7,24.32,83.5,0.666667,
83923,14/01/2014,1200,51.3,,17.2,,,,,,
83923,15/01/2014,0000,,31.9,,7.6,2.3,24.08,89.75,0.666667,
83923,15/01/2014,1200,0,,18,,,,,,
83923,16/01/2014,0000,,29.5,,9.6,3.5,24.22,82.75,2,
83923,16/01/2014,1200,17.4,,18.8,,,,,,
83923,17/01/2014,0000,,31.4,,10.2,4,23.86,83.25,1.333333,
83923,17/01/2014,1200,0,,19.8,,,,,,
83923,18/01/2014,0000,,34,,11.9,5.4,25.78,73.75,0.666667,
83923,18/01/2014,1200,0,,19.3,,,,,,
83923,19/01/2014,0000,,35.8,,11.7,7.1,26.04,68,1,
83923,19/01/2014,1200,0,,19.1,,,,,,
83923,20/01/2014,0000,,35.6,,11.7,6.9,25.38,67.75,0.666667,
83923,20/01/2014,1200,0,,18.9,,,,,,
83923,21/01/2014,0000,,37.4,,11.9,6.9,27.08,67,0.666667,
83923,21/01/2014,1200,0,,17.8,,,,,,
83923,22/01/2014,0000,,37.6,,9.1,6.8,28.98,67.25,1,
83923,22/01/2014,1200,0,,21.8,,,,,,
83923,23/01/2014,0000,,38.8,,8.2,4.2,28.32,79.75,1.333333,
83923,23/01/2014,1200,0,,22.4,,,,,,
83923,24/01/2014,0000,,37,,6.5,3.2,28.5,84.25,1,
83923,24/01/2014,1200,48.2,,23.5,,,,,,
83923,25/01/2014,0000,,26.8,,0,0.8,22.36,96,2.333333,
83923,25/01/2014,1200,61.6,,20.4,,,,,,
83923,26/01/2014,0000,,25.8,,0.4,1.3,23,93.25,0.666667,
83923,26/01/2014,1200,16.7,,20,,,,,,
83923,27/01/2014,0000,,35.6,,7.6,2.6,26.38,85,1,
83923,27/01/2014,1200,1.5,,22,,,,,,
83923,28/01/2014,0000,,37.4,,11.7,5.6,29.26,79.75,1.666667,
83923,28/01/2014,1200,0.9,,22.4,,,,,,
83923,29/01/2014,0000,,37.8,,11.8,5.8,28.68,74.5,1,
83923,29/01/2014,1200,0,,23.1,,,,,,
83923,30/01/2014,0000,,36.6,,11.6,4.9,28.84,79.75,1,
83923,30/01/2014,1200,0,,21.8,,,,,,
83923,31/01/2014,0000,,37.4,,7.9,3.7,27.4,78.75,1.666667,
83923,31/01/2014,1200,0,,22.9,,,,,,
83923,01/02/2014,0000,,34.6,,6.1,2.5,26.62,84.75,1,
83923,01/02/2014,1200,4.5,,22.8,,,,,,
83923,02/02/2014,0000,,37.8,,11.6,5.5,28.7,79,1,
83923,02/02/2014,1200,1.3,,21.9,,,,,,
83923,03/02/2014,0000,,39,,11.6,6,30.52,73.25,0.666667,
83923,03/02/2014,1200,0,,23.6,,,,,,
