Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83676,01/01/2014,0000,,30.5,,2.1,,25.14,,1.5,
83676,01/01/2014,1200,0,,19,,,,,,
83676,02/01/2014,0000,,32.7,,5.6,5.4,27.34,,1.5,
83676,02/01/2014,1200,2.2,,22,,,,,,
83676,03/01/2014,0000,,34.1,,10.3,6.6,29.14,,1.5,
83676,03/01/2014,1200,0,,23.4,,,,,,
83676,04/01/2014,0000,,33.8,,7.2,7,28,,1.5,
83676,04/01/2014,1200,0,,23.2,,,,,,
83676,06/01/2014,0000,,33.2,,6.6,,28.08,,1.5,
83676,06/01/2014,1200,1.1,,22,,,,,,
83676,07/01/2014,0000,,32.8,,7.5,10,25.56,,2,
83676,07/01/2014,1200,0,,22,,,,,,
83676,08/01/2014,0000,,31.7,,6.4,7.5,26.68,,1.5,
83676,08/01/2014,1200,7.4,,22.5,,,,,,
83676,09/01/2014,0000,,31,,3.5,6,26.9,,1.5,
83676,09/01/2014,1200,0,,22.3,,,,,,
83676,10/01/2014,0000,,33,,10,6.5,26.4,,3,
83676,10/01/2014,1200,0,,22.2,,,,,,
83676,11/01/2014,0000,,32.2,,9.3,7,26.46,,2,
83676,11/01/2014,1200,0,,22.1,,,,,,
83676,13/01/2014,0000,,30,,3.6,,24.76,,1.5,
83676,13/01/2014,1200,2.2,,21.2,,,,,,
83676,14/01/2014,0000,,31.3,,5,4,24.68,,2,
83676,14/01/2014,1200,1.1,,21.7,,,,,,
83676,15/01/2014,0000,,31.7,,9.2,4,26.86,,1.5,
83676,15/01/2014,1200,3.8,,20,,,,,,
83676,16/01/2014,0000,,30.1,,2.3,6.5,24.26,,2.5,
83676,16/01/2014,1200,0,,22.2,,,,,,
83676,17/01/2014,0000,,31.2,,4.7,4.9,24.82,,1.5,
83676,17/01/2014,1200,0,,21.3,,,,,,
83676,18/01/2014,0000,,30.3,,8.2,5,25.52,,1,
83676,18/01/2014,1200,0,,20.1,,,,,,
83676,20/01/2014,0000,,32,,9.3,,27.94,,1,
83676,20/01/2014,1200,0,,20.7,,,,,,
83676,21/01/2014,0000,,31,,9.5,8.9,25.76,,1.5,
83676,21/01/2014,1200,0,,21.8,,,,,,
83676,22/01/2014,0000,,31.2,,4.4,6.2,26.28,,1.5,
83676,22/01/2014,1200,0,,22.4,,,,,,
83676,23/01/2014,0000,,30,,5.1,5.1,24.88,,1.5,
83676,23/01/2014,1200,6.4,,21,,,,,,
83676,24/01/2014,0000,,31.3,,5.8,5.8,25.3,,2.5,
83676,24/01/2014,1200,0.4,,22.2,,,,,,
83676,25/01/2014,0000,,32.1,,10.1,5.9,26.6,,1,
83676,25/01/2014,1200,0,,20.5,,,,,,
83676,27/01/2014,0000,,32.5,,8.5,,25.46,,1,
83676,27/01/2014,1200,4.4,,22.2,,,,,,
83676,28/01/2014,0000,,32.3,,11.3,6.5,26.94,,1.5,
83676,28/01/2014,1200,1.2,,20.2,,,,,,
83676,29/01/2014,0000,,32.5,,11.6,10.9,27.3,,1.5,
83676,29/01/2014,1200,0,,21,,,,,,
83676,30/01/2014,0000,,33.2,,7.8,11,28.6,,2,
83676,30/01/2014,1200,0,,23.1,,,,,,
83676,31/01/2014,0000,,33.7,,11.1,9.5,28.8,,2,
83676,31/01/2014,1200,0,,22.9,,,,,,
83676,01/02/2014,0000,,34,,10.4,12.3,28.76,,2,
83676,01/02/2014,1200,0,,22.7,,,,,,
83676,03/02/2014,0000,,34,,7,,28.88,,2,
83676,03/02/2014,1200,0,,23.2,,,,,,
83676,04/02/2014,0000,,34.8,,10.9,11.8,29.44,,2,
83676,04/02/2014,1200,0,,24,,,,,,
83676,05/02/2014,0000,,35.5,,10.4,11.2,30.36,,1.5,
83676,05/02/2014,1200,0,,22.7,,,,,,
83676,06/02/2014,0000,,34.7,,10,11.1,28.88,,3.5,
83676,06/02/2014,1200,0,,23.9,,,,,,
83676,07/02/2014,0000,,34.8,,10,14.4,29.08,,3,
83676,07/02/2014,1200,0,,23,,,,,,
83676,08/02/2014,0000,,35,,9.5,13.6,30.12,,3,
83676,08/02/2014,1200,0,,24.4,,,,,,
83676,10/02/2014,0000,,35.8,,6.1,,29.02,,2,
83676,10/02/2014,1200,0,,22.9,,,,,,
83676,11/02/2014,0000,,34.7,,7.1,11.4,29.06,,1.5,
83676,11/02/2014,1200,0,,24,,,,,,
83676,12/02/2014,0000,,34.5,,4,9.8,29.3,,1.5,
83676,12/02/2014,1200,0,,24.6,,,,,,
83676,13/02/2014,0000,,33.2,,3.6,8.7,26.6,,2,
83676,13/02/2014,1200,0,,23,,,,,,
83676,14/02/2014,0000,,30.2,,2.6,6.2,26.14,,1.5,
83676,14/02/2014,1200,8.2,,21.3,,,,,,
83676,15/02/2014,0000,,27.7,,0.8,5,23.12,,2.5,
83676,15/02/2014,1200,61.2,,20.8,,,,,,
83676,17/02/2014,0000,,28.2,,2.9,,23.32,,1,
83676,17/02/2014,1200,5,,21.2,,,,,,
83676,18/02/2014,0000,,30,,7.1,3,25.06,,2.5,
83676,18/02/2014,1200,36.2,,20.3,,,,,,
83676,19/02/2014,0000,,30.7,,9.6,5,25.58,,2,
83676,19/02/2014,1200,0,,19.8,,,,,,
83676,20/02/2014,0000,,32.2,,8,7.5,27.1,,2,
83676,20/02/2014,1200,0,,20.3,,,,,,
83676,21/02/2014,0000,,31.2,,0.9,7,25.94,,1,
83676,21/02/2014,1200,0,,22.7,,,,,,
83676,22/02/2014,0000,,26.2,,0,4,23.02,,1.5,
83676,22/02/2014,1200,19.8,,20.5,,,,,,
83676,24/02/2014,0000,,29.4,,0.5,,24.74,,1,
83676,24/02/2014,1200,5.3,,21.5,,,,,,
83676,25/02/2014,0000,,30.4,,4.5,3.6,25.2,,2.5,
83676,25/02/2014,1200,0,,21,,,,,,
83676,26/02/2014,0000,,32.2,,5.4,5.4,26.14,,1,
83676,26/02/2014,1200,0,,20.5,,,,,,
83676,27/02/2014,0000,,32.3,,7.4,5.6,27.08,,2,
83676,27/02/2014,1200,0,,21.7,,,,,,
