Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83075,01/01/2014,0000,,32.3,,6.1,4.8,26.4,70.25,0.666667,
83075,01/01/2014,1200,0,,23.5,,,,,,
83075,02/01/2014,0000,,33.9,,7.5,4,27.92,59.5,0.333333,
83075,02/01/2014,1200,3.1,,21.4,,,,,,
83075,03/01/2014,0000,,36.4,,10.2,5.5,28.88,59.75,1,
83075,03/01/2014,1200,0,,23.8,,,,,,
83075,04/01/2014,0000,,31.3,,6.7,6.6,25,73.25,1.666667,
83075,04/01/2014,1200,0,,20.8,,,,,,
83075,05/01/2014,0000,,30.6,,3,3.2,24.5,83.75,1.333333,
83075,05/01/2014,1200,7.4,,20.8,,,,,,
83075,06/01/2014,0000,,32.6,,9.2,2.4,24.34,64,0.333333,
83075,06/01/2014,1200,4.6,,19.3,,,,,,
83075,07/01/2014,0000,,33.6,,9.7,4.6,25.46,61.5,1,
83075,07/01/2014,1200,0,,19.6,,,,,,
83075,08/01/2014,0000,,33.2,,9.6,5,27.82,49,0.666667,
83075,08/01/2014,1200,0,,20.7,,,,,,
83075,09/01/2014,0000,,33.5,,7,6.4,25.84,61,1.333333,
83075,09/01/2014,1200,0,,21.5,,,,,,
83075,10/01/2014,0000,,34.1,,7.9,3.9,25.42,63.75,0.333333,
83075,10/01/2014,1200,3,,20.8,,,,,,
83075,11/01/2014,0000,,33.9,,6.7,4.2,26.8,69,1,
83075,11/01/2014,1200,25.2,,20.1,,,,,,
83075,12/01/2014,0000,,31.5,,4.6,3.8,24.06,71,0.666667,
83075,12/01/2014,1200,0,,19.3,,,,,,
83075,13/01/2014,0000,,32.2,,4.4,3.6,23.94,82.75,1,
83075,13/01/2014,1200,0,,19.9,,,,,,
83075,14/01/2014,0000,,33.1,,8.3,2.3,24.02,69.75,0.666667,
83075,14/01/2014,1200,19.2,,18.9,,,,,,
83075,15/01/2014,0000,,33.1,,8.6,4,25,62.75,1,
83075,15/01/2014,1200,0,,18.8,,,,,,
83075,16/01/2014,0000,,29.7,,3.7,4.1,24.4,73.25,0.333333,
83075,16/01/2014,1200,1.9,,19.9,,,,,,
83075,17/01/2014,0000,,29.4,,4.5,2.4,22.98,84.5,0.333333,
83075,17/01/2014,1200,1,,18.4,,,,,,
83075,18/01/2014,0000,,28.8,,7.6,2.1,22.76,72.5,2.333333,
83075,18/01/2014,1200,37.2,,18.3,,,,,,
83075,19/01/2014,0000,,29.6,,8.7,3.5,23.34,69.25,1.233333,
