Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83726,01/01/2014,0000,,29.5,,0,1.3,23.76,85.75,0.666667,
83726,01/01/2014,1200,0,,21,,,,,,
83726,02/01/2014,0000,,31.9,,,2.7,25.66,68.75,0.333333,
83726,02/01/2014,1200,1.2,,19.9,,,,,,
83726,03/01/2014,0000,,33.6,,10.6,2.5,27.48,59.75,1,
83726,03/01/2014,1200,0,,20.5,,,,,,
83726,04/01/2014,0000,,33.8,,7.3,5.8,25.86,68,3.666667,
83726,04/01/2014,1200,0,,21.8,,,,,,
83726,05/01/2014,0000,,32.7,,7.9,4.6,24.5,69.5,1,
83726,05/01/2014,1200,0,,19.8,,,,,,
83726,06/01/2014,0000,,31.8,,9.3,4.6,25.4,58.75,0.333333,
83726,06/01/2014,1200,10.8,,19.5,,,,,,
83726,07/01/2014,0000,,32,,8.3,5.2,25.1,57.75,0.666667,
83726,07/01/2014,1200,0,,19.5,,,,,,
83726,08/01/2014,0000,,31.2,,7.9,4.4,25.38,62.25,0.666667,
83726,08/01/2014,1200,0,,20.6,,,,,,
83726,09/01/2014,0000,,32.7,,10.2,5.1,26.38,53.25,0.666667,
83726,09/01/2014,1200,0,,21.4,,,,,,
83726,10/01/2014,0000,,32.8,,,5.2,25.42,60,1,
83726,10/01/2014,1200,0,,21.2,,,,,,
83726,11/01/2014,0000,,32.7,,7.8,5.2,25.72,62.25,0.666667,
83726,11/01/2014,1200,0,,20.3,,,,,,
83726,12/01/2014,0000,,30.1,,4.9,5,24.32,65.5,0.333333,
83726,12/01/2014,1200,0,,20.5,,,,,,
83726,13/01/2014,0000,,27.7,,3.3,1.5,23.02,80,1,
83726,13/01/2014,1200,0.2,,19.6,,,,,,
83726,14/01/2014,0000,,31.8,,5.8,2.5,23.1,75.5,1.666667,
83726,14/01/2014,1200,0,,19.2,,,,,,
83726,15/01/2014,0000,,31.8,,6.1,3.3,23.32,70.25,1,
83726,15/01/2014,1200,36.8,,17.9,,,,,,
83726,16/01/2014,0000,,28.4,,2.3,3.1,22.76,70.75,1.666667,
83726,16/01/2014,1200,3.8,,18.4,,,,,,
83726,17/01/2014,0000,,30.9,,5.6,3.4,22.32,78.5,1,
83726,17/01/2014,1200,0,,19.1,,,,,,
83726,18/01/2014,0000,,30,,10.8,3,23.08,68.25,1,
83726,18/01/2014,1200,12,,17.8,,,,,,
83726,19/01/2014,0000,,31.4,,10.9,4.6,24.1,63.75,1,
83726,19/01/2014,1200,0,,18.3,,,,,,
83726,20/01/2014,0000,,32.4,,10.6,4.8,25.32,63.5,0.333333,
83726,20/01/2014,1200,0,,19.3,,,,,,
83726,21/01/2014,0000,,30.4,,10.6,4.4,24.72,67.75,0.666667,
83726,21/01/2014,1200,0.5,,19.5,,,,,,
83726,22/01/2014,0000,,31.4,,7.1,3.8,25.06,68.5,1,
83726,22/01/2014,1200,0,,20.5,,,,,,
83726,23/01/2014,0000,,30.1,,8.3,3.9,24.04,76.25,0.666667,
83726,23/01/2014,1200,6,,20.4,,,,,,
83726,24/01/2014,0000,,30.9,,7.2,2.5,24.46,75.5,1.333333,
83726,24/01/2014,1200,0,,20.2,,,,,,
83726,25/01/2014,0000,,31.1,,11.2,3,24.96,61,1,
83726,25/01/2014,1200,0.8,,17.3,,,,,,
83726,26/01/2014,0000,,33,,10.4,5,26.5,62.75,0.333333,
83726,26/01/2014,1200,0,,21.4,,,,,,
83726,27/01/2014,0000,,32.5,,11.1,4.7,26.44,55.25,0.666667,
83726,27/01/2014,1200,0,,20.6,,,,,,
83726,28/01/2014,0000,,31.5,,11.1,5,25.34,57.25,0.333333,
83726,28/01/2014,1200,0,,19.9,,,,,,
83726,29/01/2014,0000,,32.8,,11.2,5.8,25.58,48.75,0.666667,
83726,29/01/2014,1200,0,,19.1,,,,,,
83726,30/01/2014,0000,,32.8,,11.1,6.6,26.04,50.5,0.666667,
83726,30/01/2014,1200,0,,19.1,,,,,,
83726,31/01/2014,0000,,33.4,,10.1,6,26.58,51.75,0.333333,
83726,31/01/2014,1200,0,,19.9,,,,,,
83726,01/02/2014,0000,,32.9,,9.5,6,26.2,53,1.333333,
83726,01/02/2014,1200,0,,19.9,,,,,,
83726,02/02/2014,0000,,32.8,,10.7,6.3,25.56,61.5,1,
83726,02/02/2014,1200,0,,21.8,,,,,,
83726,03/02/2014,0000,,33.1,,10.9,5.9,25.92,54.75,0.666667,
83726,03/02/2014,1200,0,,19.9,,,,,,
83726,04/02/2014,0000,,33.6,,10.9,7.4,26.1,50.5,1.333333,
83726,04/02/2014,1200,0,,21.7,,,,,,
83726,05/02/2014,0000,,35.8,,9.7,7,27.24,49.75,1,
83726,05/02/2014,1200,0,,19.9,,,,,,
83726,06/02/2014,0000,,33.6,,10.9,7.1,26.7,53,1.333333,
83726,06/02/2014,1200,0,,22.4,,,,,,
83726,07/02/2014,0000,,34.6,,10.9,7.4,27.22,51.25,1,
83726,07/02/2014,1200,0,,21.8,,,,,,
83726,08/02/2014,0000,,33.6,,9.4,7,25.04,65.75,1,
83726,08/02/2014,1200,13.2,,20.9,,,,,,
83726,09/02/2014,0000,,33.8,,11,5.4,26.82,47.75,0.333333,
83726,09/02/2014,1200,3.4,,20.1,,,,,,
83726,10/02/2014,0000,,32.8,,8.2,6.4,26.46,56.5,0.333333,
83726,10/02/2014,1200,0,,21.6,,,,,,
83726,11/02/2014,0000,,33.4,,9.3,5.4,26.76,54.75,0.666667,
83726,11/02/2014,1200,0,,22,,,,,,
83726,12/02/2014,0000,,31.4,,5.5,6,25.54,60,0.333333,
83726,12/02/2014,1200,0,,23,,,,,,
83726,13/02/2014,0000,,32.8,,8.3,4.9,26.7,56.25,0.666667,
83726,13/02/2014,1200,0,,19.8,,,,,,
83726,14/02/2014,0000,,30.9,,6.7,4.9,23.96,69.75,0.666667,
83726,14/02/2014,1200,5.6,,19.2,,,,,,
83726,15/02/2014,0000,,25.1,,0.4,3.6,21.24,86,0.666667,
83726,15/02/2014,1200,3,,18.9,,,,,,
83726,16/02/2014,0000,,28.1,,,1.6,22.08,80.5,1.333333,
83726,16/02/2014,1200,1.3,,18.9,,,,,,
83726,17/02/2014,0000,,26.3,,,1.9,22.98,76.25,1,
83726,17/02/2014,1200,0,,18.7,,,,,,
83726,18/02/2014,0000,,29.7,,,5.3,23.12,65.75,1.333333,
83726,18/02/2014,1200,0,,18.2,,,,,,
83726,19/02/2014,0000,,30.5,,,5.1,22.86,60.25,0.666667,
83726,19/02/2014,1200,0,,17.2,,,,,,
83726,20/02/2014,0000,,32.4,,,5.6,24.32,57.25,0.333333,
83726,20/02/2014,1200,0,,18.2,,,,,,
83726,21/02/2014,0000,,31.5,,,5.3,25.18,65.5,0.333333,
83726,21/02/2014,1200,0,,19.8,,,,,,
83726,22/02/2014,0000,,26.7,,,4.5,23.14,76.25,0.333333,
83726,22/02/2014,1200,0,,20.1,,,,,,
83726,23/02/2014,0000,,29.9,,,2.3,22.86,78,0.333333,
83726,23/02/2014,1200,2.6,,19.7,,,,,,
83726,24/02/2014,0000,,29.2,,,2.9,23.38,73,1,
83726,24/02/2014,1200,5.2,,20,,,,,,
83726,25/02/2014,0000,,29.9,,,3.2,22.78,76.5,1,
83726,25/02/2014,1200,2.1,,19.2,,,,,,
83726,26/02/2014,0000,,32.6,,,3.6,25.36,65,1,
83726,26/02/2014,1200,3.6,,18.9,,,,,,
83726,27/02/2014,0000,,32.1,,,4.1,25.32,69.25,0.666667,
83726,27/02/2014,1200,0,,19.7,,,,,,
83726,28/02/2014,0000,,28.9,,,3.7,22.78,82.5,1,
83726,28/02/2014,1200,2.5,,19.7,,,,,,
83726,01/03/2014,0000,,27.7,,0.8,5.9,21.54,81.25,1.666667,
83726,01/03/2014,1200,5.8,,18.4,,,,,,
83726,02/03/2014,0000,,30.3,,5.9,3.2,23.62,70.5,1.333333,
83726,02/03/2014,1200,0.2,,18.2,,,,,,
83726,03/03/2014,0000,,30.5,,7.6,2.3,24.3,62.5,1.666667,
83726,03/03/2014,1200,0.8,,18.9,,,,,,
83726,04/03/2014,0000,,29,,1.8,5.1,23.1,85.5,1,
83726,04/03/2014,1200,0,,20.9,,,,,,
83726,05/03/2014,0000,,23.9,,0,2.5,21.42,91.25,0.666667,
83726,05/03/2014,1200,12.4,,20.1,,,,,,
83726,06/03/2014,0000,,30.1,,9.1,0.9,23.98,73.25,0.333333,
83726,06/03/2014,1200,2.3,,18.5,,,,,,
83726,07/03/2014,0000,,27.5,,7.7,3.1,22.14,78.5,0.666667,
83726,07/03/2014,1200,17,,18.2,,,,,,
83726,08/03/2014,0000,,29.2,,7.7,2.5,22.7,73,1,
83726,08/03/2014,1200,0,,18.8,,,,,,
83726,09/03/2014,0000,,29.6,,9,2.7,22.9,69.25,0.666667,
83726,09/03/2014,1200,0,,17.2,,,,,,
83726,10/03/2014,0000,,31.8,,9.1,3.8,24.78,63.75,0.666667,
83726,10/03/2014,1200,0,,17.8,,,,,,
83726,11/03/2014,0000,,32,,8.8,4.2,24.02,71.75,0.666667,
83726,11/03/2014,1200,0,,20.7,,,,,,
83726,12/03/2014,0000,,27.7,,2,3,22.38,87.75,1,
83726,12/03/2014,1200,30,,19.1,,,,,,
83726,13/03/2014,0000,,28,,1.7,2,23.6,77,1,
83726,13/03/2014,1200,3.2,,20.3,,,,,,
83726,14/03/2014,0000,,31.1,,8.8,3.8,24.76,66.5,0.666667,
83726,14/03/2014,1200,0.3,,20.1,,,,,,
83726,15/03/2014,0000,,32.6,,9.1,5,25.88,62.5,0.333333,
83726,15/03/2014,1200,0,,21.1,,,,,,
83726,16/03/2014,0000,,31.6,,9.2,5,24.78,64.25,0.333333,
83726,16/03/2014,1200,0,,20.9,,,,,,
83726,17/03/2014,0000,,31.2,,8.6,4.5,24.12,60.25,0.333333,
83726,17/03/2014,1200,0,,18.7,,,,,,
83726,18/03/2014,0000,,31.6,,8.4,4.6,23.52,70.25,0.666667,
83726,18/03/2014,1200,0,,19.5,,,,,,
83726,19/03/2014,0000,,29.1,,5.5,2.4,22.74,79.75,0,
83726,19/03/2014,1200,57.8,,18.3,,,,,,
83726,20/03/2014,0000,,30.1,,4.9,2.3,23.52,75.5,1,
83726,20/03/2014,1200,12.4,,19.2,,,,,,
83726,21/03/2014,0000,,27.5,,3.8,2.7,22.18,87.75,0.666667,
83726,21/03/2014,1200,0,,20.1,,,,,,
83726,22/03/2014,0000,,27.1,,2.9,1.3,22.96,80.25,0,
83726,22/03/2014,1200,15.1,,18.7,,,,,,
83726,23/03/2014,0000,,25.4,,7.8,2.8,20.62,77.25,2.333333,
83726,23/03/2014,1200,0,,18.6,,,,,,
83726,24/03/2014,0000,,27.3,,8.1,3.1,21.44,73.25,1.333333,
83726,24/03/2014,1200,0,,16.3,,,,,,
83726,25/03/2014,0000,,28.3,,9.5,3.9,22.26,69.75,1,
83726,25/03/2014,1200,0,,17.9,,,,,,
83726,26/03/2014,0000,,28,,9.4,4.2,22.24,67.75,1.333333,
83726,26/03/2014,1200,0,,16.6,,,,,,
83726,27/03/2014,0000,,29.5,,8.4,3.2,23.32,65,1,
83726,27/03/2014,1200,0,,17.3,,,,,,
83726,28/03/2014,0000,,30.1,,8.6,4.1,23.36,66.75,1,
83726,28/03/2014,1200,0,,18.5,,,,,,
83726,29/03/2014,0000,,30.3,,7.9,2.9,23.9,68,0.666667,
83726,29/03/2014,1200,0,,19.8,,,,,,
83726,30/03/2014,0000,,24.5,,0,2.6,21.92,85.75,0.666667,
83726,30/03/2014,1200,0,,20.7,,,,,,
83726,31/03/2014,0000,,27.9,,3.6,2.8,22.44,84,0.666667,
83726,31/03/2014,1200,4.6,,19.5,,,,,,
83726,01/04/2014,0000,,29.4,,7.3,1.7,23.72,81,2.333333,
83726,01/04/2014,1200,8.4,,19.7,,,,,,
83726,02/04/2014,0000,,29,,7,2.3,23.44,77,0.666667,
83726,02/04/2014,1200,22,,19.1,,,,,,
83726,03/04/2014,0000,,30.3,,7.8,2.7,23.74,76,2.333333,
83726,03/04/2014,1200,0.2,,18.2,,,,,,
83726,04/04/2014,0000,,28.7,,8.8,3.8,23.18,75.75,2.333333,
83726,04/04/2014,1200,0,,18.7,,,,,,
83726,05/04/2014,0000,,29.6,,9.6,3.6,22.94,72.75,1,
83726,05/04/2014,1200,0,,17.9,,,,,,
83726,06/04/2014,0000,,31.1,,9.6,4.1,23.46,64,1,
83726,06/04/2014,1200,0,,18.9,,,,,,
83726,07/04/2014,0000,,31.2,,9.2,4.5,23.34,64.5,0.666667,
83726,07/04/2014,1200,0,,18.3,,,,,,
83726,08/04/2014,0000,,32,,9.2,4.8,24.68,60,0,
83726,08/04/2014,1200,0,,17.7,,,,,,
83726,09/04/2014,0000,,32,,6.4,4.6,25.04,65.5,1,
83726,09/04/2014,1200,0,,18.5,,,,,,
83726,10/04/2014,0000,,28.7,,0,5.2,23.58,69.5,0.666667,
83726,10/04/2014,1200,0,,19.3,,,,,,
83726,11/04/2014,0000,,30.1,,7.2,3.2,23.7,74,0.666667,
83726,11/04/2014,1200,0,,18.8,,,,,,
83726,12/04/2014,0000,,30,,6.5,1.4,23.32,80.75,0.666667,
83726,12/04/2014,1200,0,,20.5,,,,,,
83726,13/04/2014,0000,,27.9,,,3,22.34,81.75,0,
83726,13/04/2014,1200,15,,19.5,,,,,,
83726,14/04/2014,0000,,25,,3.1,1.6,20.18,81.25,2.666667,
83726,14/04/2014,1200,24.4,,18.5,,,,,,
83726,15/04/2014,0000,,21.6,,0,2.4,18.54,91.5,1,
83726,15/04/2014,1200,1,,16.6,,,,,,
83726,16/04/2014,0000,,26.1,,5,0.8,21.5,82.25,1,
83726,16/04/2014,1200,3.8,,17.3,,,,,,
83726,17/04/2014,0000,,28.1,,8,2.4,,,1,
83726,17/04/2014,1200,0,,17.2,,,,,,
83726,18/04/2014,0000,,29.3,,6.5,2.4,22.9,70.5,0.333333,
