Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83851,01/01/2014,0000,,32.7,,5.3,3.1,25.78,89,1.5,
83851,01/01/2014,1200,1,,23,,,,,,
83851,02/01/2014,0000,,32.5,,5.7,2.7,26.76,77,0.5,
83851,02/01/2014,1200,9.5,,21.9,,,,,,
83851,03/01/2014,0000,,35.2,,8.8,4.7,27.56,73,1,
83851,03/01/2014,1200,0,,22.8,,,,,,
83851,04/01/2014,0000,,32.5,,8,6,25.7,71,1.5,
83851,04/01/2014,1200,0,,22.6,,,,,,
83851,05/01/2014,0000,,32.2,,7.2,6.7,24.4,83,1.5,
83851,05/01/2014,1200,0,,21,,,,,,
83851,06/01/2014,0000,,32.4,,6.3,4.6,25.2,72,1,
83851,06/01/2014,1200,4,,21,,,,,,
83851,07/01/2014,0000,,34,,9.2,6.4,26.38,67,1,
83851,07/01/2014,1200,0,,20.5,,,,,,
83851,08/01/2014,0000,,33.1,,7.3,6.5,26.7,61,1.5,
83851,08/01/2014,1200,0,,21.8,,,,,,
83851,09/01/2014,0000,,32.7,,5.8,7,26.18,71,0,
83851,09/01/2014,1200,0,,21.4,,,,,,
83851,10/01/2014,0000,,34.8,,8.1,6.1,27.16,64,0.5,
83851,10/01/2014,1200,0,,22,,,,,,
83851,11/01/2014,0000,,34.2,,8.7,6.4,27,69,1,
83851,11/01/2014,1200,0,,21.6,,,,,,
83851,12/01/2014,0000,,34.5,,7.7,5.7,25.22,85,0.5,
83851,12/01/2014,1200,0.8,,21.8,,,,,,
83851,13/01/2014,0000,,27.8,,2.3,4.1,23.12,85,0.5,
83851,13/01/2014,1200,13.8,,19.4,,,,,,
83851,14/01/2014,0000,,33,,8.7,2.9,22.88,89,1,
83851,14/01/2014,1200,0,,18.8,,,,,,
83851,15/01/2014,0000,,31.2,,5.7,4.7,24.34,76,0,
83851,15/01/2014,1200,49.2,,18.5,,,,,,
83851,16/01/2014,0000,,25.9,,1.2,3.2,23.14,80,0.5,
83851,16/01/2014,1200,0,,19.8,,,,,,
83851,17/01/2014,0000,,31.1,,9.8,2.5,24.42,77,0.5,
83851,17/01/2014,1200,0.2,,19.4,,,,,,
83851,18/01/2014,0000,,32,,10,5.1,24.32,73,0,
83851,18/01/2014,1200,0,,19,,,,,,
83851,19/01/2014,0000,,32.3,,10.1,5.8,24.74,73,0.5,
83851,19/01/2014,1200,0,,19.4,,,,,,
83851,20/01/2014,0000,,33.5,,7.7,5.5,25.48,72,0.5,
83851,20/01/2014,1200,0,,18.5,,,,,,
83851,21/01/2014,0000,,33.4,,10.2,5.5,27.16,71,1,
83851,21/01/2014,1200,0,,21.8,,,,,,
83851,22/01/2014,0000,,33.5,,9,5.7,25.66,85,1,
83851,22/01/2014,1200,0,,22.6,,,,,,
83851,23/01/2014,0000,,33.6,,9.9,4.5,26.48,76,1,
83851,23/01/2014,1200,12.6,,21.4,,,,,,
83851,24/01/2014,0000,,34,,8.2,4.3,25.16,85,0.5,
83851,24/01/2014,1200,19.2,,21.2,,,,,,
83851,25/01/2014,0000,,33,,9.6,3.4,25.68,79,0.5,
83851,25/01/2014,1200,3.4,,19.6,,,,,,
83851,26/01/2014,0000,,34.3,,9.1,4.5,27.1,73,1.5,
83851,26/01/2014,1200,0,,22.8,,,,,,
83851,27/01/2014,0000,,35.2,,8.8,5.8,27.36,76,0.5,
83851,27/01/2014,1200,2.2,,22,,,,,,
83851,28/01/2014,0000,,34.8,,10.3,5.4,26.84,60,1,
83851,28/01/2014,1200,0,,21.2,,,,,,
83851,29/01/2014,0000,,35,,8.9,5.8,28.16,56,1,
83851,29/01/2014,1200,0.2,,22.4,,,,,,
83851,30/01/2014,0000,,36,,8.9,7.5,28.44,62,1,
83851,30/01/2014,1200,0,,21.6,,,,,,
83851,31/01/2014,0000,,36.7,,9.8,7.2,28.54,48.25,0.666667,
83851,31/01/2014,1200,0,,21,,,,,,
83851,01/02/2014,0000,,37.4,,10.3,8.5,29.32,53.25,0.666667,
83851,01/02/2014,1200,0,,21.8,,,,,,
83851,02/02/2014,0000,,36.4,,10.5,8.9,29.26,50.25,1.666667,
83851,02/02/2014,1200,0,,22.9,,,,,,
83851,03/02/2014,0000,,36.7,,9.6,8.8,29.48,55.5,1.333333,
83851,03/02/2014,1200,0,,24.7,,,,,,
