Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83784,01/01/2014,1200,7.4,,22,,,,,,
83784,01/02/2014,0000,,37.9,,10.9,5.3,27.38,,,
83784,01/02/2014,1200,0,,17.2,,,,,,
83784,02/02/2014,0000,,38.1,,9.5,5.5,27.86,,,
83784,02/02/2014,1200,0,,19.2,,,,,,
83784,03/02/2014,0000,,37.7,,10.1,4.8,28.06,,,
83784,03/02/2014,1200,0,,21.2,,,,,,
83784,04/02/2014,0000,,38.3,,9.2,4.5,27.7,,,
83784,04/02/2014,1200,3.4,,20.6,,,,,,
83784,05/02/2014,0000,,39.1,,10.8,5.4,28.34,,,
83784,05/02/2014,1200,0,,21.2,,,,,,
83784,06/02/2014,0000,,39.5,,10.8,5.5,27.86,,,
83784,06/02/2014,1200,0,,19.2,,,,,,
83784,07/02/2014,0000,,39.7,,10.9,6.1,28.18,,,
83784,07/02/2014,1200,0,,18.8,,,,,,
83784,08/02/2014,0000,,39.9,,8.2,6,28.18,,,
83784,08/02/2014,1200,0,,19.8,,,,,,
83784,09/02/2014,0000,,40.1,,10.3,5.6,28.3,,,
83784,09/02/2014,1200,0,,19.2,,,,,,
83784,10/02/2014,0000,,38.1,,7.9,5.9,27.06,,,
83784,10/02/2014,1200,0,,18.6,,,,,,
83784,11/02/2014,0000,,39.7,,9.7,5.4,27.3,,,
83784,11/02/2014,1200,0,,18.2,,,,,,
83784,12/02/2014,0000,,38.3,,9.8,5.7,26.9,,,
83784,12/02/2014,1200,0,,17.4,,,,,,
83784,13/02/2014,0000,,37,,4.8,5.2,26.44,,,
83784,13/02/2014,1200,0,,18.8,,,,,,
83784,14/02/2014,0000,,35.6,,5.6,6.1,25.6,,,
83784,14/02/2014,1200,0,,21.4,,,,,,
83784,15/02/2014,0000,,31.2,,0.7,3.7,23.32,,,
83784,15/02/2014,1200,3.4,,20,,,,,,
83784,16/02/2014,0000,,29.4,,0.6,1.5,22.64,,,
83784,16/02/2014,1200,19,,20.4,,,,,,
83784,17/02/2014,0000,,31.8,,3.5,1.3,23.44,,,
83784,17/02/2014,1200,4.2,,19.2,,,,,,
83784,18/02/2014,0000,,29.2,,4.9,1.9,22.16,,,
83784,18/02/2014,1200,0,,19.2,,,,,,
83784,19/02/2014,0000,,32.4,,10.4,2.4,22.76,,,
83784,19/02/2014,1200,0,,14.8,,,,,,
83784,20/02/2014,0000,,34.8,,10,3.2,24.68,,,
83784,20/02/2014,1200,0,,17,,,,,,
83784,21/02/2014,0000,,36.2,,9.4,4.2,26.4,,,
83784,21/02/2014,1200,0,,17.6,,,,,,
83784,22/02/2014,0000,,35.2,,5.7,4.3,25.48,,,
83784,22/02/2014,1200,0,,19.2,,,,,,
83784,23/02/2014,0000,,35.2,,7.9,4.6,26.4,,,
83784,23/02/2014,1200,0,,18.8,,,,,,
83784,24/02/2014,0000,,34.4,,4.5,4.2,25.64,,,
83784,24/02/2014,1200,0,,21.6,,,,,,
83784,25/02/2014,0000,,34.6,,5.1,3,24.28,,,
83784,25/02/2014,1200,11.2,,19.8,,,,,,
83784,26/02/2014,0000,,36.2,,10.7,2.8,26.28,,,
83784,26/02/2014,1200,0,,18.4,,,,,,
83784,27/02/2014,0000,,36.6,,9.5,4.1,27.4,,,
