Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82659,01/01/2014,0000,,34.2,,9.6,3.9,27.24,70.75,0.6,
82659,01/01/2014,1200,0,,20.6,,,,,,
82659,02/01/2014,0000,,34.5,,9.1,7.2,27.32,72.5,0.6,
82659,02/01/2014,1200,0,,20.8,,,,,,
82659,03/01/2014,0000,,30.9,,4,5.3,24.6,83,0.933333,
82659,03/01/2014,1200,0.7,,21.9,,,,,,
82659,04/01/2014,0000,,30.3,,5,3.4,24.98,87,0.533333,
82659,04/01/2014,1200,1.1,,21.2,,,,,,
82659,05/01/2014,0000,,32.1,,8,2.3,25.92,80.5,0.533333,
82659,05/01/2014,1200,10.8,,20.7,,,,,,
82659,06/01/2014,0000,,32.1,,5.2,3.7,26.22,81.5,0.666667,
82659,06/01/2014,1200,0,,20.8,,,,,,
82659,07/01/2014,0000,,30.4,,3.6,3.3,25.02,82,0.533333,
82659,07/01/2014,1200,0.6,,21.1,,,,,,
82659,08/01/2014,0000,,32.1,,2.7,3.2,25.52,80.25,0.8,
82659,08/01/2014,1200,0,,20.5,,,,,,
82659,09/01/2014,0000,,30.1,,4.7,3.1,24.46,85.75,0.8,
82659,09/01/2014,1200,0,,19.8,,,,,,
82659,10/01/2014,0000,,30.1,,5.2,2.6,24.72,82.75,0.533333,
82659,10/01/2014,1200,0.6,,20.7,,,,,,
82659,11/01/2014,0000,,31.3,,3.8,4.3,24.3,85.5,0.833333,
82659,11/01/2014,1200,0.1,,20.8,,,,,,
82659,12/01/2014,0000,,27.1,,0,3,23.84,89.75,0.533333,
82659,12/01/2014,1200,10.2,,21.3,,,,,,
82659,13/01/2014,0000,,31.1,,2,1.1,25.24,82,0.866667,
82659,13/01/2014,1200,0.7,,21.4,,,,,,
82659,14/01/2014,0000,,31.1,,1.7,4,24.54,89.25,0.8,
82659,14/01/2014,1200,0,,21.8,,,,,,
82659,15/01/2014,0000,,25.3,,0.2,1.7,22.7,92.5,0.866667,
82659,15/01/2014,1200,6.6,,20.7,,,,,,
82659,16/01/2014,0000,,32.1,,5.8,1.4,25,79,0.533333,
82659,16/01/2014,1200,0.6,,19.8,,,,,,
82659,17/01/2014,0000,,30.1,,1.9,2.7,25.68,81,0.5,
82659,17/01/2014,1200,7.7,,21.3,,,,,,
82659,18/01/2014,0000,,32.7,,6.8,2.4,26.52,79.75,0.8,
82659,18/01/2014,1200,0,,21,,,,,,
82659,19/01/2014,0000,,31.5,,4.3,3.4,26.54,87,0.8,
82659,19/01/2014,1200,0,,21.9,,,,,,
82659,20/01/2014,0000,,26.8,,0,2.4,24.22,92.25,0.8,
82659,20/01/2014,1200,29.1,,21.5,,,,,,
82659,21/01/2014,0000,,25.6,,0.4,0.8,24.32,95,0.533333,
82659,21/01/2014,1200,0.5,,22.8,,,,,,
82659,22/01/2014,0000,,30.1,,0,0.6,24.54,87.5,0.533333,
82659,22/01/2014,1200,22.7,,20.9,,,,,,
82659,23/01/2014,0000,,29.1,,0.2,1.8,24.66,87,3.5,
82659,23/01/2014,1200,3.2,,21.3,,,,,,
82659,24/01/2014,0000,,31.1,,2.6,1.8,24.7,80.5,0.866667,
82659,24/01/2014,1200,1,,21.3,,,,,,
82659,25/01/2014,0000,,31,,5.2,2.1,24.84,82,0.533333,
82659,25/01/2014,1200,22.5,,20.7,,,,,,
82659,26/01/2014,0000,,30,,5.2,3.2,23.82,79,0.666667,
82659,26/01/2014,1200,35.8,,18.3,,,,,,
82659,27/01/2014,0000,,27.3,,0.1,5.3,23.08,91.5,0.8,
82659,27/01/2014,1200,3,,20.9,,,,,,
82659,28/01/2014,0000,,28,,0.8,1.6,23.82,84.25,0.8,
82659,28/01/2014,1200,13.5,,19.6,,,,,,
82659,29/01/2014,0000,,33,,5.4,3,26.64,74.75,0.6,
82659,29/01/2014,1200,0,,21.5,,,,,,
82659,30/01/2014,0000,,27.6,,1,7.1,23.84,93,0.533333,
82659,30/01/2014,1200,22.4,,21.4,,,,,,
