Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
83064,01/01/2014,0000,,34.7,,9.2,1.9,28.14,73.75,0.17148,
83064,01/01/2014,1200,0,,23,,,,,,
83064,02/01/2014,0000,,35.5,,9.5,3.2,29.22,63.5,0.68592,
83064,02/01/2014,1200,0.6,,23.2,,,,,,
83064,03/01/2014,0000,,33.9,,8.3,5.7,26.88,80.5,1.266667,
83064,03/01/2014,1200,3.6,,23.6,,,,,,
83064,04/01/2014,0000,,33.3,,9.3,3.6,26.02,83.5,0,
83064,04/01/2014,1200,35.4,,22.3,,,,,,
83064,05/01/2014,0000,,32.2,,5.7,2.6,25.34,81,0.266667,
83064,05/01/2014,1200,29.3,,21.6,,,,,,
83064,06/01/2014,0000,,34,,9.8,2.8,27.92,66,1.466667,
83064,06/01/2014,1200,1.2,,21.7,,,,,,
83064,07/01/2014,0000,,34.3,,9.6,3.8,27.96,69.75,0.533333,
83064,07/01/2014,1200,0,,23,,,,,,
83064,08/01/2014,0000,,34.1,,7.9,3.9,28.36,69.5,0.538147,
83064,08/01/2014,1200,0,,23.7,,,,,,
83064,09/01/2014,0000,,33.1,,2.6,4.2,27.94,75,0.538147,
83064,09/01/2014,1200,0,,24.1,,,,,,
83064,10/01/2014,0000,,31.3,,4.7,4,24.98,84.5,0.57148,
83064,10/01/2014,1200,0,,21.3,,,,,,
83064,11/01/2014,0000,,31.7,,3.4,2.2,24.84,85.75,0.838147,
83064,11/01/2014,1200,27.3,,21.2,,,,,,
83064,12/01/2014,0000,,27.9,,1.4,2,22.98,92.75,0.966667,
83064,12/01/2014,1200,12.6,,21.4,,,,,,
83064,13/01/2014,0000,,32.3,,3.7,1.2,26.36,80.75,0.666667,
83064,13/01/2014,1200,2.8,,20.9,,,,,,
83064,14/01/2014,0000,,32.6,,3.5,2.7,26.48,83,0.51444,
83064,14/01/2014,1200,0,,23.4,,,,,,
83064,15/01/2014,0000,,31.8,,2.3,2.6,25.16,73,1.124067,
83064,15/01/2014,1200,9.6,,21.4,,,,,,
83064,16/01/2014,0000,,34.1,,9.1,2.9,27.4,73.75,0.57148,
83064,16/01/2014,1200,0,,21.5,,,,,,
83064,17/01/2014,0000,,30.2,,3.6,4.5,26.42,82.75,0.8574,
83064,17/01/2014,1200,6.4,,23.7,,,,,,
83064,18/01/2014,0000,,33.1,,5.8,2.2,26.64,82.5,0.8,
83064,18/01/2014,1200,0.3,,23.2,,,,,,
83064,19/01/2014,0000,,35.4,,8.9,2.7,28.56,74,0.876293,
83064,19/01/2014,1200,1.8,,22.9,,,,,,
83064,20/01/2014,0000,,30.2,,1.8,4,24.44,88.25,1.6,
83064,20/01/2014,1200,1,,22,,,,,,
83064,21/01/2014,0000,,30.4,,3.2,2.2,25.88,82.75,0,
83064,21/01/2014,1200,2.9,,22.2,,,,,,
83064,22/01/2014,0000,,30.5,,3.2,1.4,24.14,97,0,
83064,22/01/2014,1200,17.4,,21.2,,,,,,
83064,23/01/2014,0000,,30.5,,1.2,1.1,25.52,91.5,0.704813,
83064,23/01/2014,1200,10.6,,20.7,,,,,,
83064,24/01/2014,0000,,29.4,,2.3,1.6,25.84,83.25,0.74296,
83064,24/01/2014,1200,0.4,,22.8,,,,,,
83064,25/01/2014,0000,,31.1,,3.5,2.4,24.8,85,0.37148,
83064,25/01/2014,1200,17.4,,22.3,,,,,,
83064,26/01/2014,0000,,28.5,,1,2.1,25.12,80.75,0.34296,
83064,26/01/2014,1200,2.4,,21.7,,,,,,
83064,27/01/2014,0000,,30.1,,2.2,2.2,24.16,88,1.066667,
83064,27/01/2014,1200,4.4,,20.5,,,,,,
83064,28/01/2014,0000,,25.6,,0,1.9,22.6,94.5,0.17148,
83064,28/01/2014,1200,30.5,,20,,,,,,
83064,29/01/2014,0000,,31.5,,3.9,0.7,24.74,85.25,0.68592,
83064,29/01/2014,1200,6.4,,20.8,,,,,,
83064,30/01/2014,0000,,32.9,,5.2,2.5,26.34,80,0.34296,
83064,30/01/2014,1200,1.4,,22.2,,,,,,
83064,31/01/2014,0000,,32.9,,4,2.6,27.06,78.75,1.066667,
83064,31/01/2014,1200,0,,22.7,,,,,,
83064,01/02/2014,0000,,31.9,,4,2.3,27.24,79.25,1.133333,
83064,01/02/2014,1200,12.9,,23.7,,,,,,
83064,02/02/2014,0000,,31.4,,2.9,2.6,26.56,90.75,0,
83064,02/02/2014,1200,0.6,,24.5,,,,,,
83064,03/02/2014,0000,,35,,6,1.9,28.68,73.25,0.466667,
83064,03/02/2014,1200,0.6,,23.8,,,,,,
83064,04/02/2014,0000,,32.1,,5.6,3.7,26.98,77.5,0.8,
83064,04/02/2014,1200,0.5,,22.9,,,,,,
83064,05/02/2014,0000,,34.7,,9.2,2.7,28.24,70.75,0.4,
83064,05/02/2014,1200,0,,23.7,,,,,,
83064,06/02/2014,0000,,29.4,,0,3.8,26.38,82.25,0.5,
83064,06/02/2014,1200,7.1,,24.6,,,,,,
83064,07/02/2014,0000,,32.3,,4.2,2.2,26.68,78.5,0.9,
83064,07/02/2014,1200,0,,23.2,,,,,,
83064,08/02/2014,0000,,26,,0,3.1,23.78,96.25,0.266667,
83064,08/02/2014,1200,4.4,,22.7,,,,,,
83064,09/02/2014,0000,,32.7,,5.1,0.7,25.14,84.5,0.9,
83064,09/02/2014,1200,4.2,,22.4,,,,,,
83064,10/02/2014,0000,,32.3,,3.3,2,25.32,85.75,0,
83064,10/02/2014,1200,3.7,,22,,,,,,
83064,11/02/2014,0000,,33.1,,4.7,2.4,25.5,84.25,0.666667,
83064,11/02/2014,1200,2,,22.4,,,,,,
83064,12/02/2014,0000,,25.5,,0,2.3,23.5,95.25,0.866667,
83064,12/02/2014,1200,8.4,,21.4,,,,,,
83064,13/02/2014,0000,,31.9,,3.6,0.6,25.32,86.5,0.333333,
83064,13/02/2014,1200,39.7,,21.4,,,,,,
83064,14/02/2014,0000,,30.4,,1.9,0.9,25.5,93,0.266667,
83064,14/02/2014,1200,0.1,,23.2,,,,,,
83064,15/02/2014,0000,,30.6,,1.7,2.2,25.9,84.75,0.266667,
83064,15/02/2014,1200,8.3,,23.4,,,,,,
83064,16/02/2014,0000,,28.2,,0,2.3,24.7,87,1.2,
83064,16/02/2014,1200,0,,23.3,,,,,,
83064,17/02/2014,0000,,30.3,,1.3,1.5,25.82,80.25,0.266667,
83064,17/02/2014,1200,2.6,,22.6,,,,,,
83064,18/02/2014,0000,,26.5,,0,2.3,23.9,94,0.166667,
83064,18/02/2014,1200,5.5,,22.2,,,,,,
83064,19/02/2014,0000,,31.5,,1.7,0.7,24.92,87,1,
83064,19/02/2014,1200,39.1,,22,,,,,,
83064,20/02/2014,0000,,29.9,,1.6,1.5,25.46,81.25,0.9,
83064,20/02/2014,1200,25.1,,22.4,,,,,,
83064,21/02/2014,0000,,32.4,,4.3,2,25.84,80,0.666667,
83064,21/02/2014,1200,0.2,,22.4,,,,,,
83064,22/02/2014,0000,,26.8,,0,2.4,24.5,89.25,0.666667,
83064,22/02/2014,1200,8.9,,23,,,,,,
83064,23/02/2014,0000,,33.6,,6.3,1.2,25.94,84,0.733333,
83064,23/02/2014,1200,2.8,,22.6,,,,,,
83064,24/02/2014,0000,,33.2,,3.8,2.8,27.38,72.75,0.866667,
83064,24/02/2014,1200,7.7,,22.9,,,,,,
83064,25/02/2014,0000,,27.6,,0.9,3.3,24.08,90.5,0.533333,
83064,25/02/2014,1200,82.6,,20.9,,,,,,
83064,26/02/2014,0000,,33.4,,6.5,1.5,27.12,80.5,0,
83064,26/02/2014,1200,0,,22.5,,,,,,
83064,27/02/2014,0000,,27,,0,2.3,24.04,94.75,0.833333,
83064,27/02/2014,1200,13.4,,21.8,,,,,,
