date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,22.4,32.4,23.3,5.7,2.9,26.12,90.5,0.333333
2014-01-02,0.0,30.9,22.9,5.8,2.4,25.58,84.75,0.0
2014-01-03,24.3,28.1,23.6,0.3,2.6,25.72,92.5,0.333333
2014-01-04,8.2,26.6,23.3,0.0,0.4,24.7,95.25,0.333333
2014-01-05,29.4,28.4,22.5,0.5,0.5,25.26,89.25,1.333333
2014-01-06,4.3,31.9,22.7,1.8,0.6,24.82,88.75,0.666667
2014-01-07,0.0,27.6,22.1,1.1,2.0,24.68,91.25,0.0
2014-01-08,6.9,29.1,22.8,1.0,0.8,24.58,90.0,0.333333
2014-01-09,20.3,27.3,22.9,1.2,0.8,24.54,90.5,0.666667
2014-01-10,0.8,30.5,21.9,1.7,1.0,24.94,84.25,0.0
2014-01-11,34.0,26.1,22.1,0.0,1.3,23.98,95.5,0.0
2014-01-12,17.3,29.8,22.1,0.0,0.5,24.36,90.25,0.0
2014-01-13,32.3,29.1,22.7,0.0,0.9,24.8,90.0,0.0
2014-01-14,13.2,30.6,22.0,3.3,0.8,25.72,83.25,1.333333
2014-01-15,0.0,30.1,22.7,0.8,2.0,25.3,89.75,0.0
2014-01-16,14.2,33.2,23.3,3.2,1.1,26.76,85.5,2.0
2014-01-17,9.7,30.4,23.2,0.6,2.0,25.26,90.75,1.0
2014-01-18,13.5,33.2,23.2,4.2,1.0,26.58,85.5,0.0
2014-01-19,2.5,26.6,21.8,0.1,1.9,23.8,95.25,0.0
2014-01-20,28.6,33.0,21.7,4.0,0.3,25.96,84.5,0.0
2014-01-21,0.0,31.6,22.8,6.1,2.0,25.98,86.25,1.333333
2014-01-22,29.9,32.1,23.7,3.6,1.6,26.92,87.0,0.0
2014-01-23,1.0,29.0,22.1,0.7,1.7,24.72,90.25,0.0
2014-01-24,15.3,32.0,23.1,2.9,0.5,26.22,86.75,1.333333
2014-01-25,0.0,33.0,22.7,7.3,1.5,25.84,85.75,2.333333
2014-01-26,1.3,32.5,23.2,3.8,2.2,25.8,88.75,1.333333
2014-01-27,2.7,29.4,22.1,1.4,1.9,23.86,94.0,1.0
2014-01-28,15.7,30.5,21.5,2.3,1.0,25.18,87.5,0.0
2014-01-29,0.0,31.5,21.8,5.3,1.6,25.6,88.25,0.0
2014-01-30,5.9,32.0,22.6,3.8,1.1,26.14,86.0,0.666667
2014-01-31,40.3,31.3,23.1,2.4,1.8,26.4,85.75,1.0
2014-02-01,35.2,30.9,22.4,1.5,2.1,25.96,88.5,0.0
2014-02-02,38.9,27.1,22.1,0.0,1.1,24.08,94.5,0.666667
2014-02-03,4.0,30.5,21.9,3.3,0.5,25.98,82.0,0.0
2014-02-04,0.0,32.1,22.8,1.8,1.8,26.22,88.0,0.0
2014-02-05,78.5,26.2,21.9,0.3,1.1,23.7,95.0,0.666667
2014-02-06,2.0,30.4,22.4,3.5,0.8,25.42,83.5,0.666667
2014-02-07,0.0,32.2,22.1,4.3,2.0,25.6,87.5,1.0
2014-02-08,0.0,33.2,21.1,8.4,2.5,25.44,84.25,1.0
2014-02-09,0.0,30.7,22.1,2.3,1.2,24.74,88.75,0.0
2014-02-10,24.0,28.9,22.5,0.0,1.4,24.66,94.75,0.0
2014-02-11,1.0,33.1,22.9,2.1,0.4,26.2,84.0,1.0
2014-02-12,0.0,31.1,22.8,0.7,1.9,24.98,89.0,1.0
2014-02-13,16.1,32.0,21.7,3.9,1.2,25.2,87.5,1.0
2014-02-14,0.0,30.9,22.5,1.6,1.6,25.16,89.5,1.0
2014-02-15,10.8,32.3,22.8,2.7,1.4,25.3,88.75,0.0
2014-02-16,43.6,30.2,22.5,0.6,1.5,24.4,88.5,0.0
2014-02-17,19.8,31.0,22.5,2.5,0.7,26.56,81.5,0.333333
2014-02-18,0.0,32.0,22.5,2.5,1.6,26.5,86.5,1.0
2014-02-19,1.1,32.8,23.1,5.9,1.6,27.24,82.75,1.0
2014-02-20,0.0,32.0,23.9,2.5,2.5,25.86,91.5,0.0
2014-02-21,23.3,32.9,23.3,2.1,1.1,26.54,85.25,0.333333
2014-02-22,0.0,32.4,23.2,4.5,1.9,26.38,84.5,1.0
2014-02-23,0.0,31.9,23.9,2.2,1.9,26.14,89.75,0.666667
2014-02-24,2.0,28.1,22.7,0.3,1.6,24.16,93.75,0.333333
2014-02-25,16.3,30.5,22.0,0.7,0.7,25.04,91.25,0.0
2014-02-26,7.2,32.3,22.5,3.9,1.2,26.6,81.5,1.0
2014-02-27,0.0,33.9,22.7,7.9,1.9,26.7,83.25,0.666667
2014-02-28,2.9,30.0,23.4,2.4,2.8,25.72,86.75,1.666667
2014-03-01,0.0,31.4,23.0,6.9,2.8,26.84,85.5,0.333333
2014-03-02,1.2,32.5,23.1,9.9,2.8,27.62,80.25,0.333333
2014-03-03,0.0,30.1,22.9,3.6,2.8,26.22,84.5,1.0
2014-03-04,51.4,30.4,22.5,0.5,2.8,25.12,90.25,0.0
2014-03-05,17.0,28.8,22.9,0.3,2.8,25.4,88.25,0.333333
2014-03-06,0.0,30.0,23.0,0.3,2.8,25.94,86.5,0.333333
