date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,6.2,31.6,23.5,2.6,2.1,26.84,89.0,0.666667
2014-01-02,0.0,33.2,23.3,7.6,1.6,26.84,84.5,1.0
2014-01-03,0.0,33.2,24.2,4.0,2.2,27.78,85.25,0.666667
2014-01-04,56.4,28.3,22.8,0.2,1.7,25.28,94.5,0.333333
2014-01-05,1.2,31.6,22.5,1.8,0.9,25.6,92.75,0.666667
2014-01-06,41.2,30.3,22.4,4.6,1.0,25.38,91.25,1.333333
2014-01-07,0.4,31.4,22.9,4.5,1.2,26.22,86.0,1.666667
2014-01-08,0.0,31.6,22.5,2.6,1.8,24.88,91.25,1.0
2014-01-09,98.4,28.7,22.3,0.7,1.0,24.52,93.75,0.666667
2014-01-10,0.6,31.4,22.2,5.4,0.8,26.12,84.75,1.0
2014-01-11,0.0,30.8,22.4,2.3,1.7,25.68,91.75,1.0
2014-01-12,44.4,26.6,22.5,0.1,1.2,24.04,99.75,0.666667
2014-01-13,26.1,30.2,21.5,2.9,0.3,25.2,91.25,1.0
2014-01-14,6.4,27.9,22.4,0.2,1.2,24.3,94.0,1.0
2014-01-15,2.8,31.8,21.5,6.1,0.5,26.3,86.75,0.666667
2014-01-16,0.0,31.3,23.1,2.7,2.0,25.5,92.25,1.666667
2014-01-17,21.8,30.2,23.0,3.1,1.3,25.78,91.75,0.666667
2014-01-18,0.0,32.6,22.8,4.9,1.0,26.38,88.75,1.333333
2014-01-19,7.3,29.7,23.3,1.1,1.5,26.14,91.75,0.666667
2014-01-20,0.3,28.5,23.3,0.8,1.2,25.0,98.5,1.0
2014-01-21,10.8,33.4,22.4,9.5,0.9,25.94,90.25,2.0
2014-01-22,20.3,31.6,23.7,5.3,2.4,26.76,87.5,1.333333
2014-01-23,0.0,32.0,23.4,4.6,1.9,26.2,87.5,2.0
2014-01-24,49.0,32.0,22.7,4.1,1.3,25.86,91.0,0.666667
2014-01-25,1.4,31.2,22.5,1.7,1.3,26.48,89.0,1.0
2014-01-26,0.4,30.7,23.3,0.0,1.4,26.48,87.25,2.333333
2014-01-27,40.0,29.6,21.3,2.8,1.2,24.78,90.25,1.0
2014-01-28,0.0,32.0,21.4,5.3,1.3,25.08,88.5,0.333333
2014-01-29,4.4,29.9,21.5,3.7,1.4,25.04,92.5,1.666667
2014-01-30,0.6,30.8,23.3,3.7,1.2,25.76,86.25,1.0
2014-01-31,71.8,29.6,22.4,3.0,1.1,25.6,90.5,0.666667
2014-02-01,0.0,32.4,22.5,3.9,1.1,26.02,86.5,0.333333
2014-02-02,0.2,31.6,22.4,3.6,1.5,24.7,88.25,2.0
2014-02-03,4.9,28.5,21.9,0.5,1.3,25.0,91.25,1.666667
2014-02-04,0.2,27.9,21.9,0.6,1.0,24.34,91.5,0.666667
2014-02-05,0.0,29.8,21.3,1.0,1.2,24.14,90.75,1.0
2014-02-06,35.1,31.8,22.3,4.1,0.7,25.92,86.25,1.666667
2014-02-07,0.2,32.4,22.5,7.5,1.7,26.62,82.5,1.333333
2014-02-08,0.0,30.8,22.5,4.1,2.3,25.92,91.5,1.666667
2014-02-09,58.8,31.0,22.5,2.7,1.1,25.98,91.25,1.0
2014-02-10,7.4,29.8,22.3,4.2,1.2,25.24,88.75,0.466667
2014-02-11,0.1,32.6,23.5,3.3,1.5,27.06,86.0,0.666667
2014-02-12,1.6,28.6,22.8,0.7,1.8,25.24,91.0,1.333333
2014-02-13,3.0,32.8,22.4,7.9,1.2,26.1,84.0,1.333333
2014-02-14,0.0,31.1,23.0,2.2,2.0,25.64,91.0,0.666667
2014-02-15,32.7,28.6,21.9,2.0,1.1,24.42,92.25,0.666667
2014-02-16,0.0,32.3,21.7,8.1,1.4,26.36,86.25,0.666667
2014-02-17,0.0,31.0,22.5,2.4,2.0,24.92,91.25,1.0
2014-02-18,23.9,31.2,22.6,5.9,1.0,26.4,87.0,0.666667
2014-02-19,0.0,33.7,23.3,7.9,1.7,26.78,87.0,1.333333
2014-02-20,1.1,30.9,23.4,1.6,2.2,26.16,91.5,0.666667
2014-02-21,0.1,31.0,23.0,1.8,1.5,25.6,94.0,1.333333
2014-02-22,24.2,29.8,21.9,1.7,0.9,25.46,90.25,2.333333
2014-02-23,0.2,29.3,23.3,1.5,1.2,25.6,90.75,1.666667
2014-02-24,1.5,31.2,23.1,2.8,1.1,25.2,91.0,1.0
2014-02-25,32.0,30.6,23.1,2.5,1.2,25.7,89.0,1.0
2014-02-26,0.4,30.6,23.1,1.9,1.4,25.98,86.75,1.0
2014-02-27,1.0,32.8,23.1,3.5,1.6,26.52,87.0,0.0
2014-02-28,0.0,31.6,23.4,0.3,1.6,25.48,92.75,1.333333
2014-03-01,32.5,32.0,22.9,7.4,0.8,26.34,86.0,2.0
2014-03-02,0.0,31.8,23.5,5.1,1.7,25.94,90.75,0.833333
2014-03-03,2.8,32.0,23.7,4.7,1.5,26.24,88.5,2.666667
2014-03-04,64.3,27.7,22.1,1.2,1.3,24.4,92.25,1.333333
2014-03-05,6.2,32.4,22.1,9.3,0.8,26.36,84.0,1.0
2014-03-06,0.3,30.0,22.3,2.1,1.9,26.06,91.75,1.666667
2014-03-07,9.6,32.0,24.1,2.0,0.8,26.02,90.25,2.333333
2014-03-08,13.2,32.4,23.5,4.8,1.0,27.18,87.0,0.666667
2014-03-09,6.0,30.1,23.7,1.0,1.4,25.66,93.5,0.666667
2014-03-10,30.1,33.4,23.2,9.4,0.5,27.3,85.75,1.0
2014-03-11,0.0,32.4,24.0,5.3,2.0,26.76,89.25,2.0
2014-03-12,23.0,30.6,24.0,0.3,1.5,25.62,88.5,1.333333
2014-03-13,1.8,29.8,22.8,1.1,1.4,25.94,88.5,1.333333
