date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,22.6,30.8,23.6,2.5,1.6,26.48,89.25,0.666667
2014-01-02,39.0,31.2,23.0,5.8,1.6,26.4,86.5,0.333333
2014-01-03,4.0,32.8,23.6,5.5,3.2,26.08,91.5,0.666667
2014-01-04,12.2,26.4,22.8,0.0,2.8,24.2,95.5,0.666667
2014-01-05,40.0,29.0,22.6,1.8,1.4,24.88,93.5,0.333333
2014-01-06,2.0,28.6,22.8,1.3,2.0,25.0,95.5,0.0
2014-01-07,13.6,28.0,23.0,3.1,1.4,25.0,94.5,0.333333
2014-01-08,4.8,29.6,22.6,1.0,2.0,24.44,95.25,0.0
2014-01-09,24.2,26.0,22.2,0.0,1.0,23.36,96.0,0.333333
2014-01-10,5.2,31.0,21.8,2.7,1.5,26.04,83.0,0.666667
2014-01-11,0.0,30.6,21.6,4.0,2.5,25.68,89.25,0.333333
2014-01-12,11.8,30.6,22.6,0.8,2.7,25.68,90.25,0.333333
2014-01-13,0.0,30.8,22.8,4.0,1.3,25.6,88.5,0.666667
2014-01-14,0.0,28.4,23.2,0.9,3.0,24.8,93.5,0.333333
2014-01-15,8.6,30.8,23.2,2.3,1.5,25.48,90.5,0.333333
2014-01-16,3.4,31.0,23.6,1.9,2.0,25.52,94.25,0.333333
2014-01-17,26.4,32.2,23.0,4.7,1.5,27.16,88.0,0.333333
2014-01-18,0.0,32.4,23.0,4.6,3.0,25.52,88.5,0.0
2014-01-19,55.0,28.2,23.0,1.5,2.2,25.36,92.5,0.333333
2014-01-20,4.0,32.4,23.2,6.9,1.5,26.4,88.0,0.333333
2014-01-21,0.0,33.2,23.8,6.5,2.3,27.48,82.0,1.0
2014-01-22,0.0,32.4,23.6,2.7,2.0,25.6,92.25,0.333333
2014-01-23,12.4,32.8,23.0,5.6,2.0,27.12,86.75,0.666667
2014-01-24,17.0,32.2,23.0,4.3,3.1,25.96,90.25,1.0
2014-01-25,0.0,32.2,23.4,7.8,2.2,26.16,89.5,0.666667
2014-01-26,6.4,32.4,24.0,3.4,5.6,28.52,79.0,0.333333
2014-01-27,3.0,28.4,22.4,0.0,3.6,24.04,92.5,1.0
2014-01-28,18.2,30.4,21.4,3.8,1.0,24.72,90.25,0.666667
2014-01-29,8.6,32.4,22.2,7.5,1.8,26.88,85.0,0.333333
2014-01-30,15.0,28.2,23.4,0.0,3.5,25.04,96.0,0.666667
2014-01-31,73.4,30.4,23.2,1.6,1.1,25.24,90.75,0.666667
2014-02-01,0.0,31.0,23.0,2.2,1.6,25.96,87.75,0.666667
2014-02-02,9.6,28.4,23.2,2.2,2.0,25.08,90.25,0.333333
2014-02-03,1.0,31.0,22.8,2.4,1.0,26.08,87.25,0.333333
2014-02-04,0.0,31.2,23.4,3.1,2.0,26.68,90.25,0.333333
2014-02-05,5.0,31.0,23.2,0.0,3.5,25.52,94.0,0.0
