date,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,30.9,22.2,10.5,3.0,26.26,79.75,0.0
2014-01-02,30.9,22.3,10.4,4.6,26.32,81.5,0.0
2014-01-03,31.1,21.1,8.2,3.2,26.2,74.5,0.0
2014-01-04,32.4,22.8,10.6,4.6,27.5,78.25,0.0
2014-01-05,30.6,21.9,7.9,4.4,26.52,80.0,0.0
2014-01-06,31.4,22.2,5.6,3.8,26.4,83.0,0.0
2014-01-07,29.0,22.5,0.0,2.2,25.46,84.5,0.0
2014-01-08,28.8,22.2,2.8,3.2,25.4,79.25,0.0
2014-01-09,31.6,22.0,7.9,3.4,26.16,83.75,0.0
2014-01-10,29.4,22.9,2.4,3.3,26.34,80.5,0.0
2014-01-11,31.0,22.7,4.1,4.4,26.82,79.5,0.0
2014-01-12,29.4,22.0,8.1,4.7,25.84,82.0,0.0
2014-01-13,30.6,21.3,9.1,3.5,26.58,75.0,0.0
2014-01-14,28.1,22.8,5.3,3.5,25.14,86.25,0.0
2014-01-15,30.7,22.1,10.1,4.2,26.52,76.5,0.0
2014-01-16,31.2,22.4,10.5,3.8,26.52,73.5,0.0
2014-01-17,31.0,22.3,10.4,3.2,26.46,78.5,0.0
2014-01-18,30.9,21.9,10.4,3.8,26.42,77.5,0.0
2014-01-19,33.1,21.7,10.9,4.1,27.56,70.5,0.0
2014-01-20,33.8,22.5,10.8,4.0,27.86,67.5,0.0
2014-01-21,32.8,22.7,10.5,3.8,27.64,70.0,0.0
2014-01-22,32.2,22.5,9.4,4.3,27.4,71.75,0.0
2014-01-23,32.2,22.1,10.8,4.2,26.7,78.0,0.0
2014-01-24,32.1,22.2,10.2,3.8,26.54,77.5,0.0
2014-01-25,29.8,22.4,9.5,3.2,25.84,82.5,0.0
2014-01-26,31.6,22.5,7.9,3.8,26.7,76.5,0.0
2014-01-27,31.6,22.5,4.5,3.6,26.5,84.0,0.0
2014-01-28,29.3,22.5,8.3,4.0,26.04,79.5,0.0
2014-01-29,29.9,22.0,8.1,3.4,25.9,81.75,0.0
2014-01-30,28.7,22.2,4.4,4.0,25.66,88.25,0.0
2014-01-31,30.2,22.5,10.3,2.6,26.14,84.25,0.0
2014-02-01,30.8,22.5,10.2,3.0,26.3,82.0,0.0
2014-02-02,30.7,22.3,10.2,2.6,26.3,82.0,0.0
2014-02-03,32.2,23.9,10.2,2.6,26.3,82.0,0.0
2014-02-04,30.6,22.5,10.2,1.8,26.3,82.0,0.0
2014-02-05,31.0,22.9,10.2,1.8,26.3,82.0,0.0
2014-02-06,30.6,22.1,10.2,2.5,26.3,82.0,0.0
2014-02-07,30.6,22.0,10.2,6.0,26.3,82.0,0.0
2014-02-08,29.8,22.5,10.2,2.9,26.3,82.0,0.0
2014-02-09,29.0,22.2,10.2,3.0,26.3,82.0,0.0
2014-02-10,30.1,22.5,10.2,2.8,26.3,82.0,0.0
2014-02-11,28.9,22.0,10.2,3.0,26.3,82.0,0.0
2014-02-12,31.1,22.3,10.2,3.0,26.3,82.0,0.0
2014-02-13,31.0,22.3,10.2,3.0,26.3,82.0,0.0
2014-02-14,31.4,22.6,10.2,3.1,26.3,82.0,0.0
2014-02-15,31.4,22.5,10.2,3.0,26.3,82.0,0.0
2014-02-16,31.0,22.8,10.2,4.1,26.3,82.0,0.0
2014-02-17,31.2,22.6,10.2,3.9,26.3,82.0,0.0
2014-02-18,31.3,22.3,10.2,3.7,26.3,82.0,0.0
2014-02-19,31.0,22.5,10.2,3.0,26.3,82.0,0.0
2014-02-20,30.2,22.2,10.2,3.0,26.3,82.0,0.0
2014-02-21,30.2,23.3,10.2,2.5,26.3,82.0,0.0
2014-02-22,30.4,22.3,10.2,2.5,26.3,82.0,0.0
2014-02-23,29.9,22.3,10.2,2.0,26.3,82.0,0.0
2014-02-24,31.0,22.3,10.2,2.1,26.3,82.0,0.0
2014-02-25,31.9,22.8,10.2,2.3,26.3,82.0,0.0
2014-02-26,31.2,22.5,10.2,3.8,26.3,82.0,0.0
2014-02-27,32.0,22.1,10.2,3.6,26.3,82.0,0.0
2014-02-28,30.6,22.5,10.2,3.4,26.3,82.0,0.0
2014-03-01,30.8,23.1,10.2,2.8,26.3,82.0,0.0
2014-03-02,30.7,23.3,10.2,3.0,26.3,82.0,0.0
2014-03-03,30.8,23.2,10.2,3.2,26.3,82.0,0.0
2014-03-04,30.6,22.3,10.2,3.2,26.3,82.0,0.0
2014-03-05,30.6,22.7,10.2,3.8,26.3,82.0,0.0
2014-03-06,31.2,22.8,10.2,3.6,26.3,82.0,0.0
2014-03-07,31.8,22.5,10.2,4.6,26.3,82.0,0.0
2014-03-08,31.9,22.7,10.2,3.6,26.3,82.0,0.0
2014-03-09,31.8,23.2,10.2,3.2,26.3,82.0,0.0
2014-03-10,32.0,22.8,10.2,1.8,26.3,82.0,0.0
2014-03-11,27.8,22.5,10.2,2.6,26.3,82.0,0.0
2014-03-12,30.4,22.4,10.2,3.4,26.3,82.0,0.0
2014-03-13,29.9,21.6,10.2,4.0,26.3,82.0,0.0
2014-03-14,30.0,22.3,10.2,3.2,26.3,82.0,0.0
2014-03-15,31.1,20.9,10.2,3.6,26.3,82.0,0.0
2014-03-16,31.0,21.4,10.2,3.8,26.3,82.0,0.0
2014-03-17,30.9,22.8,10.2,2.2,26.3,82.0,0.0
2014-03-18,29.8,23.1,10.2,2.8,26.3,82.0,0.0
2014-03-19,29.4,23.1,10.2,5.0,26.3,82.0,0.0
2014-03-20,30.8,23.1,10.2,3.8,26.3,82.0,0.0
2014-03-21,31.6,23.1,10.2,3.0,26.3,82.0,0.0
2014-03-22,30.8,23.1,10.2,3.0,26.3,82.0,0.0
2014-03-23,31.4,23.1,10.2,3.0,26.3,82.0,0.0
2014-03-24,32.0,23.1,10.2,4.2,26.3,82.0,0.0
