date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,30.7,23.5,9.0,8.0,27.14,80.0,3.08664
2014-01-02,0.0,31.7,23.5,11.3,8.0,27.14,78.0,3.0
2014-01-03,0.0,30.1,25.0,11.8,10.3,27.18,75.0,3.0
2014-01-04,0.0,30.1,24.0,11.4,9.5,26.88,77.0,2.5
2014-01-05,0.0,30.1,23.1,7.6,10.0,26.78,78.0,3.0
2014-01-06,0.0,29.9,25.0,6.3,7.7,27.08,80.0,3.0
2014-01-07,0.0,29.7,25.0,5.5,10.0,26.96,78.0,4.0
2014-01-08,0.0,29.9,22.5,10.2,7.5,26.46,78.0,2.5
2014-01-09,0.0,30.1,23.2,6.6,7.7,26.56,75.0,1.0
2014-01-10,0.0,30.3,23.5,8.0,5.7,26.9,78.0,5.0
2014-01-11,0.0,29.9,23.2,4.4,8.0,26.28,90.0,1.0
2014-01-12,5.8,29.7,23.2,8.9,3.5,26.2,84.0,2.0
2014-01-13,1.5,30.1,24.0,8.0,6.6,26.5,88.0,2.5
2014-01-14,0.7,28.9,23.1,3.0,6.3,26.54,83.0,2.5
2014-01-15,5.8,29.7,24.1,10.4,6.9,26.78,80.0,3.0
2014-01-16,0.0,29.7,22.4,10.1,6.0,26.52,82.0,2.0
2014-01-17,0.0,30.3,23.3,11.2,6.1,27.18,81.0,5.0
2014-01-18,0.0,30.5,24.8,10.5,7.4,27.56,81.0,6.0
2014-01-19,0.0,30.3,24.8,11.5,7.8,27.4,80.0,3.5
2014-01-20,0.0,30.1,23.8,11.1,8.2,27.16,79.0,4.0
2014-01-21,0.0,30.2,24.0,10.6,8.0,27.06,75.0,3.0
2014-01-22,0.0,30.7,24.3,11.0,9.5,27.22,78.0,6.0
2014-01-23,0.0,30.5,23.5,11.1,10.1,27.14,76.0,4.5
2014-01-24,0.0,30.5,24.8,11.2,10.1,27.36,75.0,4.0
2014-01-25,0.0,31.1,25.0,7.6,10.2,27.4,83.0,2.0
2014-01-26,4.0,31.5,23.8,8.8,6.5,27.36,84.0,3.0
2014-01-27,10.2,29.5,24.0,7.8,7.0,26.88,82.0,6.0
2014-01-28,0.1,30.5,24.2,10.8,9.7,27.12,79.0,5.0
2014-01-29,0.0,30.5,25.0,10.9,9.1,27.44,82.0,2.5
2014-01-30,0.7,30.6,24.8,9.8,8.7,27.38,80.0,5.0
2014-01-31,0.1,30.7,25.0,10.0,9.2,27.48,74.0,4.0
2014-02-01,0.0,30.7,24.8,9.0,9.7,27.0,80.0,2.0
2014-02-02,11.0,29.5,23.2,4.3,7.5,26.28,86.0,2.0
2014-02-03,0.0,29.7,23.8,7.4,6.2,26.44,84.0,1.0
2014-02-04,3.9,29.7,23.2,9.4,6.7,26.52,84.0,1.5
2014-02-05,1.0,30.1,24.6,10.7,8.0,26.96,84.0,3.0
2014-02-06,19.8,27.6,22.6,0.5,7.0,25.42,93.0,3.0
2014-02-07,17.0,29.5,22.3,7.5,1.2,25.56,95.0,1.0
2014-02-08,5.8,28.9,23.1,0.7,4.6,25.7,94.0,1.0
2014-02-09,13.2,28.9,22.6,1.8,2.8,25.38,93.0,1.0
2014-02-10,0.1,29.5,22.7,10.4,3.2,25.94,87.0,3.0
2014-02-11,2.0,29.7,24.2,7.1,7.0,26.68,82.0,3.0
2014-02-12,0.0,29.7,24.0,11.4,9.5,26.96,77.0,3.5
2014-02-13,0.0,30.1,23.1,11.5,8.3,26.94,77.0,4.0
2014-02-14,0.6,30.1,23.2,10.0,7.7,27.04,81.0,3.5
2014-02-15,8.2,29.5,24.0,8.8,6.8,26.88,85.0,3.0
2014-02-16,0.0,30.0,25.0,9.5,7.8,27.36,79.0,2.0
2014-02-17,3.6,29.8,23.2,10.0,6.5,26.58,85.0,2.0
2014-02-18,0.6,29.7,23.1,11.3,5.9,26.66,79.0,5.0
2014-02-19,0.0,30.3,22.8,8.8,7.3,27.24,80.0,4.0
2014-02-20,3.4,29.5,24.5,3.5,7.1,27.16,82.0,7.0
2014-02-21,0.0,30.5,24.8,4.3,8.4,27.06,83.0,3.0
2014-02-22,2.8,28.4,24.2,0.2,7.2,26.5,85.0,2.0
2014-02-23,1.6,30.1,23.2,8.4,5.9,27.16,81.0,3.5
2014-02-24,0.0,30.1,24.0,8.6,8.2,27.32,78.0,4.0
2014-02-25,0.0,30.5,23.2,10.8,7.5,27.0,77.0,2.0
2014-02-26,0.0,30.5,23.4,11.3,8.1,27.02,78.0,5.0
2014-02-27,0.0,30.1,22.6,9.4,7.1,26.64,81.0,1.5
2014-02-28,0.0,30.7,23.1,7.1,6.3,27.06,83.0,3.0
2014-03-01,0.7,30.5,23.1,7.4,6.9,26.74,85.0,2.0
2014-03-02,0.0,30.3,23.2,10.0,6.4,27.32,77.0,3.5
2014-03-03,4.8,30.3,23.6,8.3,6.7,27.24,82.0,4.0
2014-03-04,1.5,30.5,24.6,10.2,7.9,27.52,81.0,6.0
2014-03-05,0.0,30.9,24.4,6.9,7.6,27.44,78.0,3.0
2014-03-06,1.4,30.3,23.1,7.9,6.3,26.82,77.0,3.0
2014-03-07,0.0,30.7,22.8,8.4,7.1,27.08,79.0,3.0
2014-03-08,0.0,30.9,23.1,7.9,5.8,26.9,83.0,2.0
2014-03-09,3.0,30.8,23.5,11.1,7.2,27.2,83.0,4.0
2014-03-10,0.4,31.1,24.0,11.1,8.0,27.72,79.0,6.0
2014-03-11,12.2,27.9,23.4,0.4,8.7,25.7,94.0,1.0
2014-03-12,67.0,29.5,22.8,7.3,1.1,26.12,86.0,2.5
2014-03-13,0.0,30.1,23.1,8.3,6.8,26.94,81.0,3.5
2014-03-14,0.0,29.1,23.3,1.3,7.4,26.66,84.0,4.5
2014-03-15,0.4,30.4,24.0,10.3,6.2,26.94,85.0,3.0
2014-03-16,0.8,30.0,24.4,7.8,6.5,27.26,83.0,3.0
2014-03-17,0.4,30.1,24.9,11.0,7.4,27.46,83.0,6.0
2014-03-18,3.8,29.9,24.8,0.0,6.7,27.24,87.0,4.0
2014-03-19,0.0,30.2,25.0,7.4,6.2,27.2,88.0,1.5
2014-03-20,13.6,29.7,23.7,5.5,4.1,26.66,92.0,5.0
2014-03-21,0.0,30.0,23.2,8.1,6.2,27.44,85.0,5.0
2014-03-22,0.0,30.1,24.0,11.0,7.2,27.28,83.0,3.5
