date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,43.0,32.6,23.9,0.0,1.3,28.74,72.5,1.0
2014-01-02,0.0,35.8,25.5,0.0,2.0,30.26,63.0,1.5
2014-01-03,0.0,33.2,26.5,0.0,2.0,29.34,74.0,1.166667
2014-01-04,1.0,30.0,24.1,0.0,1.0,26.7,85.5,1.333333
2014-01-05,8.0,30.0,24.3,0.0,3.0,26.1,88.75,0.333333
2014-01-06,15.4,31.0,24.1,0.0,1.0,26.34,81.5,0.666667
2014-01-07,1.0,33.2,24.1,0.0,2.0,26.22,66.5,2.166667
2014-01-08,5.0,30.6,23.5,0.0,2.6,26.74,80.5,1.0
2014-01-09,1.4,32.2,23.7,0.0,2.4,27.78,74.75,1.166667
2014-01-10,9.0,29.4,24.3,0.0,3.0,25.74,88.0,1.0
2014-01-11,32.0,33.0,23.5,0.0,1.0,27.62,79.5,0.333333
2014-01-12,5.0,29.6,24.1,0.0,3.0,26.38,84.75,0.833333
2014-01-13,21.3,29.2,23.7,0.0,1.4,25.3,89.5,1.666667
2014-01-14,16.2,32.0,23.7,0.0,1.6,26.18,83.0,0.533333
2014-01-15,0.0,32.6,24.3,0.0,1.8,27.66,77.75,1.0
2014-01-16,4.4,32.6,24.1,0.0,3.0,27.38,83.0,1.166667
2014-01-17,2.6,34.2,24.7,0.0,2.3,28.1,74.5,1.5
2014-01-18,0.0,34.6,25.5,0.0,3.9,27.94,74.75,1.166667
2014-01-19,0.0,30.4,23.1,0.0,2.0,25.82,88.25,0.333333
2014-01-20,4.3,33.2,24.9,0.0,2.0,28.82,69.5,0.666667
2014-01-21,0.0,30.2,23.9,0.0,2.0,27.74,73.25,0.933333
2014-01-22,0.0,33.4,25.5,0.0,4.0,29.34,67.75,1.166667
2014-01-23,0.0,30.2,23.5,0.0,4.5,26.9,85.25,1.333333
2014-01-24,20.0,33.8,23.7,0.0,1.3,27.38,77.25,1.0
2014-01-25,0.0,34.2,25.1,0.0,3.2,29.18,71.0,1.666667
2014-01-26,4.5,32.6,25.7,0.0,3.3,28.62,70.0,2.166667
2014-01-27,0.0,34.0,25.1,0.0,3.9,29.34,70.25,1.833333
2014-01-28,0.0,33.6,24.9,0.0,4.3,28.02,74.75,1.833333
2014-01-29,0.0,32.2,24.5,0.0,2.5,27.5,75.0,1.166667
2014-01-30,0.0,33.2,25.5,0.0,3.0,28.62,75.75,1.666667
2014-01-31,2.7,32.8,24.5,0.0,4.0,28.62,68.25,1.166667
2014-02-01,0.0,31.6,25.1,0.0,4.0,27.94,78.0,1.166667
2014-02-02,5.0,30.2,24.9,0.0,3.0,26.66,82.75,1.166667
2014-02-03,5.6,31.2,23.5,0.0,1.0,25.54,89.25,1.0
2014-02-04,16.8,28.2,23.1,0.0,1.5,25.34,86.25,1.0
2014-02-05,0.0,33.0,23.7,0.0,1.0,28.1,74.0,1.166667
2014-02-06,37.6,31.4,23.7,0.0,1.5,26.78,82.75,1.0
2014-02-07,0.0,31.2,24.3,0.0,0.8,26.66,79.25,1.833333
2014-02-08,32.0,33.0,23.3,0.0,2.0,27.94,75.5,1.666667
2014-02-09,0.0,32.2,25.5,0.0,1.7,27.34,84.25,0.333333
2014-02-10,1.0,33.2,24.9,0.0,1.5,27.86,72.75,4.433333
2014-02-11,0.2,33.0,23.9,0.0,1.8,26.22,83.25,1.5
2014-02-12,16.0,32.2,23.1,0.0,1.0,26.18,81.5,1.166667
2014-02-13,0.0,33.0,24.3,0.0,2.2,26.78,84.25,1.433333
2014-02-14,1.1,29.8,24.5,0.0,2.5,27.02,79.0,0.833333
2014-02-15,0.0,29.2,24.1,0.0,2.1,26.5,85.0,1.333333
2014-02-16,27.5,30.2,23.5,0.0,1.4,25.9,85.0,0.5
2014-02-17,10.2,32.6,24.3,0.0,2.0,28.04,77.0,0.666667
