date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,13.8,32.6,23.2,7.5,1.4,27.0,91.0,1.0
2014-01-02,0.0,34.6,25.0,10.4,3.0,28.0,86.25,1.0
2014-01-03,0.0,34.0,24.3,9.9,4.7,28.06,85.75,1.333333
2014-01-04,0.0,34.0,24.6,7.0,3.1,27.44,88.5,1.666667
2014-01-05,8.7,32.0,23.6,3.7,0.5,25.96,89.5,2.0
2014-01-06,10.7,29.6,22.9,1.6,2.7,25.5,92.75,2.666667
2014-01-07,56.0,31.0,23.2,2.6,1.4,25.14,93.0,1.666667
2014-01-08,5.0,32.0,23.0,6.7,2.0,26.4,89.75,3.0
2014-01-09,0.0,32.8,22.7,3.6,3.4,26.14,91.25,1.333333
2014-01-10,0.0,26.2,23.2,0.0,2.5,23.94,98.25,1.333333
2014-01-11,13.1,31.0,22.7,8.2,1.5,25.66,90.0,2.666667
2014-01-12,0.0,31.6,23.8,3.2,0.6,25.4,91.5,2.0
2014-01-13,71.1,29.4,23.1,5.5,4.9,25.4,92.5,1.666667
2014-01-14,0.0,31.6,22.7,6.0,1.7,26.1,90.5,1.333333
2014-01-15,0.0,31.6,24.1,7.7,3.0,26.62,92.25,1.333333
2014-01-16,32.2,33.2,23.6,8.4,2.5,27.24,88.75,1.666667
2014-01-17,0.0,33.4,24.5,6.4,2.6,26.42,91.5,1.333333
2014-01-18,19.6,33.1,23.2,7.0,0.2,26.26,88.75,1.666667
2014-01-19,0.0,30.8,23.2,3.4,0.5,25.84,92.25,1.0
2014-01-20,1.1,33.2,23.3,5.7,2.5,26.86,89.75,1.333333
2014-01-21,0.0,31.0,23.7,1.8,3.6,26.7,94.75,2.0
2014-01-22,0.5,32.0,23.0,8.0,2.4,27.14,92.75,2.0
2014-01-23,3.7,32.0,24.7,6.7,2.6,26.06,88.0,3.0
2014-01-24,3.8,32.0,23.2,6.9,2.8,26.6,91.0,3.0
2014-01-25,9.3,32.8,23.0,6.2,2.2,26.4,94.5,3.666667
2014-01-26,13.4,32.0,23.7,1.8,1.9,26.62,90.5,2.0
2014-01-27,0.0,31.4,23.2,5.0,1.2,26.52,91.25,1.333333
2014-01-28,11.3,32.8,23.6,5.5,1.0,26.68,86.5,2.333333
2014-01-29,40.8,30.2,22.8,6.0,1.0,25.24,93.0,1.0
2014-01-30,11.9,31.9,23.2,9.4,0.8,26.42,87.0,2.333333
2014-01-31,0.0,32.0,23.3,8.1,1.1,26.46,87.25,2.0
2014-02-01,0.0,31.6,24.5,5.3,0.9,26.7,91.0,1.666667
2014-02-02,16.3,29.5,23.2,2.1,0.8,24.74,96.25,0.666667
2014-02-03,21.0,31.0,22.0,2.1,0.5,24.56,96.75,0.666667
2014-02-04,18.9,25.9,22.2,0.3,0.7,23.74,96.75,0.666667
2014-02-05,1.1,32.8,22.7,5.4,0.3,25.98,91.25,1.333333
2014-02-06,5.8,31.4,23.1,4.3,0.9,26.3,87.75,1.333333
2014-02-07,0.0,33.4,22.7,6.2,0.8,25.36,89.5,1.666667
2014-02-08,27.8,30.6,22.0,7.8,0.5,25.84,93.25,1.0
2014-02-09,10.9,31.7,22.8,7.7,1.6,25.82,94.0,1.666667
2014-02-10,13.4,31.8,22.0,5.2,1.7,25.2,95.5,0.333333
2014-02-11,12.1,29.0,23.7,1.9,1.6,24.98,96.0,2.0
2014-02-12,10.1,30.5,23.6,3.6,0.6,25.94,93.5,1.333333
2014-02-13,7.5,30.0,23.2,3.4,0.8,24.96,97.0,1.666667
2014-02-14,20.8,30.5,23.6,1.2,0.2,25.18,93.75,2.0
2014-02-15,21.6,33.0,23.2,4.1,0.6,27.02,89.5,2.0
2014-02-16,0.0,31.4,23.4,2.7,0.8,25.44,96.25,1.666667
2014-02-17,3.8,32.6,22.7,3.4,0.6,26.74,91.75,2.0
2014-02-18,0.0,30.6,23.7,1.5,0.5,25.86,93.0,1.666667
2014-02-19,15.6,32.8,24.3,6.3,0.3,27.34,90.5,1.666667
2014-02-20,99.3,31.6,22.9,3.6,2.2,26.06,91.0,1.0
2014-02-21,2.8,26.8,23.3,0.0,1.5,24.8,94.5,2.0
2014-02-22,6.2,32.6,22.3,5.1,1.0,25.74,92.0,3.0
2014-02-23,1.2,30.0,23.2,3.1,2.5,24.88,96.75,2.0
2014-02-24,29.3,32.0,22.7,5.9,1.5,25.1,94.25,1.0
2014-02-25,6.2,33.0,22.8,10.2,2.4,26.2,89.25,1.0
