date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,18.8,33.4,23.0,7.5,0.2,27.32,82.5,0.666667
2014-01-02,0.0,32.8,22.6,5.9,1.3,26.34,85.0,1.0
2014-01-03,2.4,32.4,23.0,5.0,1.1,25.56,87.75,1.333333
2014-01-04,0.0,31.8,23.4,8.4,1.9,26.98,81.75,0.666667
2014-01-05,0.0,32.4,23.0,5.2,1.5,26.72,83.0,1.0
2014-01-06,11.6,29.7,22.8,0.0,1.8,24.78,89.75,1.0
2014-01-07,83.4,31.6,22.0,3.7,0.6,25.48,85.75,1.333333
2014-01-08,0.6,31.4,22.6,2.4,1.0,25.46,88.5,0.666667
2014-01-09,4.8,30.5,22.0,3.6,4.8,25.66,86.25,1.333333
2014-01-10,0.4,30.7,23.0,1.3,0.8,26.5,82.75,1.333333
2014-01-11,8.0,31.6,23.0,6.0,1.2,26.36,85.0,1.333333
2014-01-12,7.1,29.9,22.0,3.7,1.3,25.54,90.25,1.0
2014-01-13,4.2,29.5,23.0,0.0,1.1,25.46,88.75,1.0
2014-01-14,9.6,29.9,22.4,1.0,0.6,24.92,92.75,0.0
2014-01-15,17.8,32.2,22.6,0.0,1.2,25.52,86.5,0.666667
2014-01-16,6.6,31.4,23.0,5.3,1.5,26.32,81.0,0.666667
2014-01-17,0.0,30.1,23.0,1.9,2.3,25.76,87.75,0.0
2014-01-18,36.2,32.2,22.6,5.3,0.5,25.62,85.0,2.333333
2014-01-19,23.5,32.6,22.4,6.5,2.5,25.96,81.5,1.0
2014-01-20,45.8,32.8,22.6,6.3,2.0,26.94,84.5,0.666667
2014-01-21,0.0,33.4,23.0,9.7,3.0,27.44,81.25,0.666667
2014-01-22,0.0,33.9,22.6,10.3,3.6,27.54,77.75,1.333333
2014-01-23,0.0,34.3,23.4,9.7,5.9,28.08,83.25,0.666667
2014-01-24,0.4,34.7,23.4,6.9,5.0,28.42,75.75,1.0
2014-01-25,0.0,33.4,23.4,8.7,1.5,26.9,78.5,1.0
2014-01-26,0.0,33.2,23.0,10.1,4.6,27.78,84.25,0.666667
2014-01-27,0.0,33.8,23.0,10.0,4.2,28.06,77.0,1.666667
2014-01-28,0.0,31.8,23.0,0.4,4.0,25.8,85.25,1.666667
2014-01-29,0.8,31.6,22.8,5.6,1.5,26.64,85.0,1.0
2014-01-30,1.2,32.0,23.4,3.7,2.7,26.82,83.25,1.0
2014-01-31,4.8,32.8,23.0,8.5,2.2,27.32,81.25,1.0
2014-02-01,0.0,31.4,23.0,1.9,2.6,26.32,84.25,0.666667
2014-02-02,49.4,28.9,22.4,1.2,0.8,24.72,95.75,1.333333
2014-02-03,10.4,32.0,23.0,3.4,1.2,26.16,85.5,1.0
2014-02-04,3.6,32.4,22.4,2.5,2.2,26.62,80.5,0.666667
2014-02-05,0.0,31.2,23.0,7.3,2.1,26.98,80.25,1.333333
2014-02-06,9.3,28.5,22.4,0.0,1.5,24.84,89.75,0.666667
2014-02-07,1.2,31.4,22.0,1.4,2.1,25.84,83.5,0.666667
2014-02-08,4.2,30.5,23.0,0.7,2.0,26.46,81.25,0.666667
2014-02-09,0.3,32.2,23.0,6.4,2.0,27.18,82.0,0.666667
2014-02-10,0.0,30.9,23.4,1.0,3.0,26.6,82.5,1.0
2014-02-11,3.4,30.3,22.8,3.2,1.5,25.18,87.0,0.666667
2014-02-12,12.4,31.8,22.6,5.5,1.7,25.44,87.0,2.0
2014-02-13,25.8,30.1,22.6,5.7,2.3,25.6,86.5,0.666667
2014-02-14,0.0,31.8,22.8,2.5,2.2,25.58,83.25,0.666667
2014-02-15,0.0,30.9,23.0,8.8,2.0,26.62,84.25,0.666667
2014-02-16,0.0,31.2,23.0,4.8,0.0,26.88,79.5,0.666667
2014-02-17,0.0,28.3,23.0,0.6,3.6,25.4,86.75,1.333333
2014-02-18,33.0,29.9,22.4,0.9,0.8,25.62,87.25,1.0
