date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,6.1,33.9,22.8,6.5,2.1,27.38,81.75,2.0
2014-01-02,10.4,31.2,23.2,1.6,2.9,26.24,87.0,2.333333
2014-01-03,36.1,32.0,22.8,8.7,0.5,26.96,86.0,1.0
2014-01-04,0.0,34.4,22.7,8.2,2.1,28.46,77.75,1.666667
2014-01-05,58.4,30.6,22.6,0.0,2.8,25.12,97.0,0.666667
2014-01-06,40.0,26.6,21.3,0.0,0.5,24.06,93.25,0.666667
2014-01-07,15.6,32.8,22.6,3.1,0.1,26.32,86.5,1.666667
2014-01-08,5.9,30.4,22.3,1.8,1.3,25.94,88.5,1.0
2014-01-09,12.6,32.0,22.2,4.8,0.8,26.32,84.5,1.333333
2014-01-10,0.7,27.8,23.3,0.0,0.9,24.9,96.25,0.666667
2014-01-11,12.0,30.8,23.3,0.2,0.6,25.3,91.0,1.0
2014-01-12,16.7,29.7,23.3,0.5,0.6,26.12,88.25,1.333333
2014-01-13,0.0,30.2,23.2,1.2,0.7,25.2,92.75,1.333333
2014-01-14,6.7,30.4,22.4,1.5,0.6,26.0,89.0,1.666667
2014-01-15,0.0,32.0,22.2,3.9,0.8,25.92,88.5,1.0
2014-01-16,10.0,32.3,22.8,6.3,1.4,26.9,87.5,1.333333
2014-01-17,9.1,30.8,23.2,1.8,0.7,25.4,90.0,0.666667
2014-01-18,25.9,30.6,22.2,2.6,0.7,26.7,84.0,1.0
2014-01-19,9.3,29.4,23.4,0.0,0.7,25.4,92.75,1.0
2014-01-20,1.1,29.0,22.2,0.6,0.3,25.78,88.0,1.0
2014-01-21,0.7,32.4,22.4,4.0,0.4,26.54,86.5,1.0
2014-01-22,1.8,34.5,22.4,9.1,0.8,28.5,73.75,1.333333
2014-01-23,0.0,33.2,23.4,4.6,1.1,27.34,82.75,1.666667
2014-01-24,0.0,34.2,23.4,4.4,0.9,26.9,81.75,1.0
2014-01-25,0.0,33.2,23.2,4.6,0.9,28.42,76.25,1.666667
2014-01-26,0.0,34.0,23.3,8.3,0.8,27.22,83.75,0.666667
2014-01-27,0.0,33.8,22.6,3.6,1.3,27.28,83.25,1.666667
2014-01-28,0.0,29.6,23.4,0.0,0.9,25.42,93.75,2.0
2014-01-29,4.3,32.8,22.3,4.7,0.3,26.66,86.5,1.666667
2014-01-30,1.4,28.9,23.8,0.7,0.8,25.32,95.25,1.333333
2014-01-31,1.8,32.4,23.2,2.6,0.5,25.94,94.0,0.333333
2014-02-01,9.0,30.6,22.8,1.8,0.8,26.18,88.25,1.666667
2014-02-02,10.9,27.7,22.6,0.5,1.2,24.98,94.75,1.333333
2014-02-03,0.0,33.1,22.8,5.7,0.4,27.3,82.0,0.333333
2014-02-04,0.0,33.5,24.1,6.8,1.5,27.48,78.0,1.333333
2014-02-05,0.0,33.9,23.4,2.6,1.0,26.64,85.5,1.0
2014-02-06,14.2,27.2,22.6,0.0,0.7,24.04,93.25,1.333333
2014-02-07,9.4,32.0,21.6,3.5,1.2,25.76,85.75,0.666667
2014-02-08,0.0,31.8,23.2,3.7,1.9,27.0,83.75,1.0
2014-02-09,21.2,28.7,22.7,0.0,1.6,24.78,96.0,1.0
2014-02-10,7.4,29.8,22.6,0.0,0.5,26.58,87.5,1.333333
2014-02-11,0.0,33.0,22.8,2.6,1.3,26.98,87.0,1.333333
2014-02-12,0.0,31.5,23.4,2.3,1.5,26.64,87.0,1.0
2014-02-13,2.8,30.7,23.4,2.0,1.1,26.02,92.25,1.0
2014-02-14,6.6,33.4,22.7,4.5,0.9,26.64,83.75,1.0
2014-02-15,1.8,32.8,22.2,5.9,1.0,26.56,85.25,1.666667
2014-02-16,2.5,30.2,22.2,0.3,1.2,25.46,94.75,0.333333
2014-02-17,38.6,30.6,23.3,0.6,0.6,26.36,85.75,1.333333
2014-02-18,0.0,31.4,23.4,0.6,0.9,26.54,88.5,0.666667
2014-02-19,24.8,29.8,23.8,0.8,0.5,25.66,93.25,1.0
2014-02-20,3.5,31.8,23.1,1.8,0.7,25.64,95.0,1.0
2014-02-21,23.7,29.8,23.6,0.0,0.2,25.86,92.0,1.333333
2014-02-22,1.1,30.6,22.6,1.4,0.6,25.62,96.0,1.333333
2014-02-23,38.7,30.8,23.2,0.0,0.4,26.42,87.75,0.666667
2014-02-24,0.4,32.8,23.4,2.5,0.7,27.02,90.25,0.666667
2014-02-25,7.3,30.9,23.3,0.9,0.7,26.88,88.5,0.666667
2014-02-26,33.2,30.2,23.2,0.0,0.7,26.62,90.75,1.0
2014-02-27,9.5,32.8,21.8,2.9,0.6,27.08,86.0,0.666667
2014-02-28,4.2,30.1,23.3,0.2,0.7,25.24,95.5,0.666667
2014-03-01,26.7,32.1,22.6,4.7,0.2,26.54,86.5,1.0
2014-03-02,27.4,34.6,23.1,5.1,0.5,28.22,80.25,1.0
2014-03-03,0.7,32.8,22.6,5.8,0.7,25.66,86.5,1.333333
2014-03-04,12.0,31.0,23.6,0.9,0.9,26.96,86.75,1.333333
2014-03-05,20.0,30.8,23.4,0.0,0.5,25.7,94.5,1.666667
2014-03-06,6.7,30.8,23.6,1.1,0.5,26.48,85.5,1.0
2014-03-07,0.0,32.2,23.7,0.3,0.6,27.5,85.5,0.666667
2014-03-08,0.0,32.8,23.6,2.0,0.5,28.12,82.25,0.666667
2014-03-09,0.0,33.5,23.5,7.4,0.9,28.26,76.25,1.333333
2014-03-10,31.9,30.8,23.1,0.0,1.6,25.26,94.75,1.333333
2014-03-11,3.9,33.0,22.4,4.9,0.1,27.12,84.5,0.666667
2014-03-12,0.0,34.5,23.6,5.2,0.9,28.2,77.5,1.333333
2014-03-13,6.4,30.7,23.3,0.2,0.9,26.64,86.0,2.0
2014-03-14,1.2,33.2,23.5,3.9,1.4,28.28,78.25,1.666667
2014-03-15,0.0,33.0,23.8,1.7,2.9,27.3,83.0,0.666667
2014-03-16,3.3,29.8,23.3,0.0,1.9,25.48,95.0,1.666667
2014-03-17,5.0,33.8,22.1,5.3,0.8,26.84,88.0,0.666667
2014-03-18,18.6,31.8,23.6,1.8,1.9,27.4,83.75,1.0
2014-03-19,0.0,33.4,23.8,4.9,1.5,28.34,78.0,1.666667
2014-03-20,2.3,33.5,23.6,2.0,1.3,28.54,78.75,1.666667
2014-03-21,0.0,31.3,24.0,0.8,1.5,27.0,76.75,1.333333
2014-03-22,21.2,28.2,21.9,0.0,0.5,25.1,87.25,1.666667
2014-03-23,2.7,29.8,23.3,0.0,1.2,25.44,92.25,1.0
2014-03-24,29.2,29.8,22.8,0.0,0.7,26.46,85.0,1.333333
2014-03-25,4.3,30.8,23.2,0.4,0.8,25.48,93.25,1.0
2014-03-26,11.4,32.1,22.8,0.5,0.6,25.64,90.25,0.333333
2014-03-27,9.4,31.2,23.2,1.2,0.7,26.84,82.0,1.333333
2014-03-28,0.0,33.0,22.8,5.9,0.8,27.16,83.0,1.333333
2014-03-29,0.0,35.4,23.1,8.1,0.9,28.5,78.5,0.666667
2014-03-30,0.0,35.0,23.8,7.5,1.2,27.68,79.75,1.666667
2014-03-31,1.2,35.2,22.4,4.5,1.1,25.62,84.0,0.5
2014-04-01,39.5,30.8,22.3,0.8,1.1,26.6,81.75,2.0
2014-04-02,0.0,32.8,23.2,6.4,1.1,27.9,74.0,1.0
2014-04-03,0.0,33.9,23.4,5.3,1.1,28.82,72.75,1.0
2014-04-04,0.0,33.8,23.6,2.2,1.1,28.12,86.0,1.0
2014-04-05,3.9,34.4,23.2,7.4,1.1,28.86,74.75,1.0
2014-04-06,11.1,32.0,23.8,3.6,1.1,27.1,85.25,0.666667
2014-04-07,33.6,30.0,22.7,2.0,1.1,24.32,90.75,0.666667
2014-04-08,15.7,32.9,21.6,8.2,1.1,27.0,83.75,1.333333
2014-04-09,0.0,33.0,23.8,5.9,1.1,27.64,82.5,1.0
2014-04-10,9.7,31.9,22.1,4.3,1.1,25.86,87.75,1.0
2014-04-11,0.0,32.8,22.8,9.5,1.1,27.46,80.5,1.0
2014-04-12,0.0,35.2,27.2,9.9,1.1,29.28,75.5,0.666667
2014-04-13,2.1,33.8,23.4,7.1,1.1,28.24,79.75,1.666667
2014-04-14,0.0,32.0,24.0,4.7,1.1,28.08,76.0,2.666667
2014-04-15,63.3,31.4,21.9,3.0,1.1,27.0,81.5,1.666667
2014-04-16,2.0,31.1,24.0,2.4,1.1,25.56,93.25,1.0
2014-04-17,10.6,32.4,23.1,3.3,1.1,26.42,87.75,0.666667
2014-04-18,0.0,29.0,23.8,6.4,1.1,26.76,81.5,1.0
2014-04-19,56.8,29.0,23.4,0.2,1.1,25.92,91.0,1.0
2014-04-20,34.3,29.6,23.4,4.4,1.1,25.6,94.0,1.0
2014-04-21,30.0,32.6,23.2,6.3,1.1,26.14,87.0,0.666667
2014-04-22,34.5,29.5,22.8,0.8,1.1,25.66,88.5,1.0
2014-04-23,0.6,27.2,24.0,0.2,1.1,25.02,95.0,0.666667
2014-04-24,0.0,31.8,22.5,5.4,1.1,26.58,84.5,1.0
2014-04-25,6.1,29.0,22.6,0.9,1.1,25.32,93.0,0.666667
2014-04-26,15.1,33.0,22.5,0.9,1.1,26.22,88.75,0.333333
2014-04-27,0.0,31.6,23.6,3.1,1.1,26.4,92.25,1.0
2014-04-28,14.4,31.0,22.2,3.8,1.1,25.42,90.5,0.666667
2014-04-29,7.4,31.3,24.2,8.1,1.1,27.5,84.25,1.333333
2014-04-30,30.2,31.1,21.2,3.0,1.1,25.5,90.5,1.333333
2014-05-01,8.5,33.4,23.3,8.7,1.1,28.06,82.0,0.51444
2014-05-02,0.0,33.4,22.8,8.7,1.1,28.06,82.0,1.02888
2014-05-03,24.0,30.6,23.4,2.8,1.1,25.76,94.0,0.51444
2014-05-04,37.9,30.6,22.1,2.8,1.1,25.76,94.0,0.0
2014-05-05,37.9,30.6,22.1,2.8,1.1,25.76,94.0,0.0
2014-05-06,29.7,33.9,22.1,7.4,1.1,25.76,80.0,1.02888
2014-05-07,0.0,33.9,24.0,7.4,1.1,25.76,80.0,1.02888
2014-05-08,13.5,31.6,24.0,3.9,1.1,25.76,85.0,2.05776
2014-05-09,1.0,31.9,23.4,4.2,1.1,26.26,82.75,1.37184
2014-05-10,1.9,31.9,24.0,4.2,1.1,26.26,82.75,1.02888
2014-05-11,0.7,29.2,24.0,0.5,1.1,26.26,96.0,1.02888
2014-05-12,38.4,29.2,22.8,0.5,1.1,26.26,96.0,1.02888
2014-05-13,2.9,30.8,23.6,3.3,1.1,26.12,91.75,1.02888
2014-05-14,2.8,32.4,22.8,8.2,1.1,27.52,82.5,2.05776
2014-05-15,33.7,32.0,23.6,3.0,1.1,27.36,88.75,1.02888
2014-05-16,31.0,33.1,22.1,6.5,1.1,25.62,88.5,1.37184
2014-05-17,42.8,30.2,23.4,5.1,1.1,26.42,87.5,2.05776
2014-05-18,0.0,33.0,24.0,3.5,1.1,25.32,91.25,1.7148
2014-05-19,26.3,31.4,21.8,4.9,1.1,26.76,80.25,1.37184
2014-05-20,0.0,32.2,24.0,5.5,1.1,26.62,84.5,1.02888
2014-05-21,0.0,32.3,23.4,8.3,1.1,27.78,78.0,1.02888
2014-05-22,48.8,34.4,23.0,4.8,1.1,27.98,81.0,1.37184
2014-05-23,3.7,32.3,24.0,5.6,1.1,28.0,85.5,1.7148
2014-05-24,1.2,31.0,24.3,5.0,1.1,27.04,89.75,1.37184
2014-05-25,8.5,30.9,23.7,4.3,1.1,27.36,80.5,1.37184
2014-05-26,0.0,29.6,24.3,0.0,1.1,24.94,92.5,1.7148
2014-05-27,27.9,30.7,22.2,4.6,1.1,24.94,79.25,1.37184
