date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.6,24.5,8.9,5.5,28.5,77.75,1.333333
2014-01-02,0.0,33.2,25.1,9.6,6.7,29.06,73.0,1.333333
2014-01-03,0.0,32.7,25.6,9.3,7.4,28.7,73.25,1.333333
2014-01-04,0.0,33.7,25.7,10.3,7.9,29.32,71.75,1.333333
2014-01-05,0.0,32.1,25.9,6.7,7.5,28.44,81.25,1.333333
2014-01-06,0.0,32.6,26.0,4.4,5.6,28.44,79.25,1.333333
2014-01-07,1.2,28.8,22.6,5.6,4.2,24.6,92.5,1.0
2014-01-08,17.2,27.2,22.5,0.0,0.6,24.94,93.0,0.666667
2014-01-09,6.6,31.2,22.5,3.0,1.6,26.78,81.5,0.333333
2014-01-10,0.0,30.0,23.5,2.5,3.5,25.7,91.25,1.333333
2014-01-11,15.0,29.4,22.7,1.8,1.9,25.82,84.0,0.666667
2014-01-12,0.0,32.2,23.1,7.7,0.3,26.74,82.25,0.333333
2014-01-13,18.5,28.2,23.9,0.0,4.0,25.62,85.5,1.666667
2014-01-14,0.0,31.0,23.6,7.8,2.4,26.56,84.25,1.333333
2014-01-15,1.0,31.5,25.0,4.9,3.9,27.5,84.5,1.0
2014-01-16,4.0,32.2,24.0,8.8,3.6,28.12,76.75,1.666667
2014-01-17,0.0,31.6,25.6,7.8,4.6,28.36,81.0,2.0
2014-01-18,0.0,31.0,25.0,5.4,4.9,27.72,81.25,1.333333
2014-01-19,34.6,30.9,23.8,4.4,4.6,27.1,85.0,1.0
2014-01-20,7.4,31.2,24.7,1.9,3.6,27.5,80.5,0.666667
2014-01-21,0.0,32.6,24.7,7.1,3.3,27.94,74.5,0.0
2014-01-22,0.0,29.2,25.5,2.0,6.0,26.9,87.0,1.0
2014-01-23,6.0,32.2,25.1,6.3,3.0,28.5,77.0,0.666667
2014-01-24,0.0,32.8,24.3,9.7,4.5,27.94,80.25,0.666667
2014-01-25,0.0,31.8,25.5,9.7,5.7,27.22,83.0,0.43333299999999997
