date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.2,26.6,8.9,5.0,29.64,68.0,0.333333
2014-01-02,0.0,34.8,25.9,9.6,5.1,29.64,63.5,0.666667
2014-01-03,0.0,33.6,26.0,8.4,5.3,29.36,71.75,2.0
2014-01-04,0.0,33.6,27.0,8.0,7.1,28.9,73.0,0.666667
2014-01-05,0.0,32.1,26.2,2.9,5.8,27.94,83.25,1.666667
2014-01-06,8.3,33.1,25.9,4.8,3.8,27.94,79.5,0.333333
2014-01-07,0.0,30.6,23.7,2.9,4.2,26.72,81.0,1.0
2014-01-08,17.7,30.0,23.7,0.8,2.9,25.8,88.5,0.666667
2014-01-09,2.2,30.3,24.3,4.5,2.2,26.7,84.0,0.666667
2014-01-10,31.2,30.5,24.0,1.6,3.3,25.3,92.25,0.666667
2014-01-11,58.2,30.8,22.7,3.4,1.1,25.98,79.25,1.333333
2014-01-12,0.0,30.1,23.7,5.4,2.1,26.68,80.5,0.666667
2014-01-13,41.0,27.9,23.7,1.2,2.3,25.14,90.0,0.666667
2014-01-14,3.0,31.6,24.0,4.9,1.2,26.48,81.25,1.0
2014-01-15,0.0,33.0,24.6,4.7,2.7,27.3,82.0,1.333333
2014-01-16,0.1,31.1,26.0,5.5,2.9,28.06,79.5,1.0
2014-01-17,8.2,32.5,25.4,5.3,2.7,28.14,79.25,1.666667
2014-01-18,15.3,28.3,25.8,0.0,2.4,26.8,92.0,0.666667
2014-01-19,11.1,29.2,24.8,0.1,1.1,26.52,92.0,0.666667
2014-01-20,0.5,33.7,24.8,7.2,1.3,28.64,75.5,1.0
2014-01-21,3.5,33.5,25.8,7.0,3.4,28.82,71.25,1.0
2014-01-22,0.0,33.2,26.2,7.1,5.4,28.86,74.5,1.333333
2014-01-23,0.0,32.9,26.1,7.9,4.4,28.36,79.5,1.0
2014-01-24,5.9,34.0,25.5,4.6,2.9,29.38,74.5,0.0
2014-01-25,0.0,33.8,26.4,6.7,3.5,28.32,76.75,1.0
2014-01-26,8.4,31.9,24.4,3.3,3.0,26.16,88.0,1.666667
2014-01-27,30.4,32.3,24.1,5.8,1.7,26.64,82.25,1.333333
2014-01-28,6.0,30.2,24.0,2.6,2.7,25.56,87.75,1.666667
2014-01-29,2.3,31.4,24.0,5.5,1.8,26.6,79.5,2.0
2014-01-30,0.0,32.2,24.2,7.6,3.8,27.62,73.75,2.666667
2014-01-31,0.0,31.9,25.4,7.8,3.4,27.18,84.75,1.0
2014-02-01,2.8,32.1,24.7,3.0,2.0,26.52,83.75,1.666667
2014-02-02,22.4,30.9,24.4,6.2,2.0,27.1,81.25,1.0
2014-02-03,6.8,33.5,24.5,6.6,3.0,27.4,75.75,1.333333
2014-02-04,3.6,31.4,24.0,1.8,3.0,26.56,82.25,1.166667
2014-02-05,2.0,32.4,23.9,4.0,1.8,26.38,82.25,1.333333
2014-02-06,2.6,31.0,23.0,4.3,3.0,26.56,81.75,0.666667
2014-02-07,1.4,31.1,24.1,1.1,2.1,26.08,89.5,0.333333
2014-02-08,2.5,31.3,23.8,4.0,1.0,26.16,89.75,0.666667
2014-02-09,18.1,32.2,24.6,2.5,18.1,27.28,86.0,1.666667
2014-02-10,2.0,28.7,24.5,0.8,2.5,25.66,88.5,1.333333
2014-02-11,43.6,28.8,22.9,0.0,0.9,25.26,87.5,1.333333
2014-02-12,7.1,31.0,23.3,1.3,1.3,26.12,85.25,1.0
2014-02-13,0.0,32.6,24.2,5.7,1.8,27.2,80.5,2.666667
2014-02-14,4.4,29.0,25.2,0.3,2.5,26.04,89.5,1.333333
2014-02-15,5.8,30.0,24.7,0.3,1.5,25.98,89.25,1.333333
2014-02-16,0.0,32.8,24.7,3.4,1.5,26.86,83.0,1.333333
2014-02-17,0.5,32.9,24.6,3.8,2.4,27.18,84.5,0.666667
2014-02-18,0.0,32.0,25.4,2.5,2.3,27.04,85.25,1.0
2014-02-19,1.4,33.1,25.5,5.2,1.8,27.28,85.75,1.333333
2014-02-20,22.0,30.6,25.7,0.8,3.4,27.38,83.0,1.0
2014-02-21,4.8,29.1,23.5,0.6,2.2,25.74,89.0,0.333333
2014-02-22,0.8,30.3,23.8,0.5,1.1,26.42,89.5,1.333333
2014-02-23,1.9,28.4,24.7,0.2,2.5,26.08,92.25,0.333333
2014-02-24,30.8,29.4,23.5,1.6,0.7,26.04,91.0,0.333333
2014-02-25,23.5,32.1,23.5,5.2,1.0,26.82,87.75,1.0
2014-02-26,0.0,27.6,23.5,0.0,1.8,25.06,93.75,0.333333
2014-02-27,34.6,32.0,24.2,5.0,1.0,26.44,83.75,1.333333
2014-02-28,0.0,33.0,24.0,7.7,2.0,27.32,80.75,0.666667
2014-03-01,5.9,31.7,23.4,1.5,2.6,27.64,82.5,0.666667
2014-03-02,44.0,28.8,23.4,0.0,1.9,25.64,88.75,0.666667
2014-03-03,1.6,33.2,23.8,7.6,1.3,26.72,80.5,1.333333
2014-03-04,2.6,31.3,24.7,1.9,3.4,26.24,86.0,0.666667
