date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,8.4,33.2,23.2,6.0,0.4,26.4,96.0,0.0
2014-01-02,0.0,30.4,23.7,1.1,1.6,26.2,93.0,0.5
2014-01-03,10.4,33.6,23.2,6.7,1.3,26.84,94.0,0.0
2014-01-04,0.0,34.6,23.3,7.3,1.8,27.68,94.0,0.5
2014-01-05,0.8,35.3,24.4,6.8,2.3,27.7,92.0,2.0
2014-01-06,57.4,27.1,22.5,0.0,1.7,24.48,92.0,0.0
2014-01-07,2.2,34.1,23.0,5.1,0.4,25.72,98.0,0.5
2014-01-08,56.0,31.9,22.6,2.5,0.5,25.9,93.0,1.0
2014-01-09,5.4,32.6,21.9,4.4,1.4,25.9,93.0,1.0
2014-01-10,11.2,30.7,21.1,1.9,1.4,26.1,94.0,1.0
2014-01-11,43.6,29.8,22.1,0.0,0.5,25.38,89.0,0.5
2014-01-12,16.2,32.3,23.2,2.5,0.5,25.36,97.0,1.0
2014-01-13,47.6,25.6,22.6,0.0,0.8,23.4,96.0,0.5
2014-01-14,86.2,31.4,22.1,2.6,1.0,25.26,92.0,0.0
2014-01-15,0.0,33.5,22.8,5.5,0.5,26.02,91.0,1.0
2014-01-16,0.0,34.3,22.6,8.7,2.0,27.1,90.0,1.0
2014-01-17,0.0,33.8,23.6,4.6,2.9,26.62,94.0,2.0
2014-01-18,0.0,31.0,24.0,1.0,0.4,26.08,95.0,2.0
2014-01-19,12.6,32.9,23.2,3.6,1.0,26.78,93.0,1.0
2014-01-20,0.0,33.8,22.4,7.1,2.0,26.86,92.0,1.0
2014-01-21,0.0,34.7,22.8,8.9,3.0,27.44,88.0,0.0
2014-01-22,0.0,36.3,22.4,9.9,3.4,27.72,90.0,0.0
2014-01-23,0.6,36.7,22.8,9.7,4.6,28.02,89.0,0.0
2014-01-24,0.0,35.7,23.0,7.5,4.5,26.64,95.0,1.0
2014-01-25,7.4,35.3,23.4,7.6,1.5,27.74,91.0,0.0
2014-01-26,0.0,36.3,23.6,8.8,2.6,28.14,93.0,1.5
2014-01-27,0.0,36.1,24.6,6.5,4.5,27.88,95.0,1.5
