date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,13.8,35.6,23.5,8.5,1.4,28.06,82.5,1.0
2014-01-02,12.6,32.7,24.0,5.0,2.5,27.14,86.25,0.333333
2014-01-03,0.0,31.8,24.5,0.4,2.4,27.42,84.5,0.666667
2014-01-04,0.0,32.6,23.8,2.3,2.1,26.38,85.75,0.333333
2014-01-05,5.5,29.9,22.8,0.1,1.5,25.5,89.0,1.0
2014-01-06,0.0,26.5,22.8,0.0,1.5,24.58,93.75,0.0
2014-01-07,58.5,33.2,22.0,2.6,0.5,25.72,88.25,1.0
2014-01-08,0.3,31.9,22.6,0.7,1.7,25.1,89.75,0.333333
2014-01-09,6.3,32.2,22.0,6.2,1.7,25.26,86.5,1.666667
2014-01-10,44.8,29.3,23.0,1.4,2.6,25.26,92.75,0.333333
2014-01-11,15.4,31.4,22.8,7.1,0.9,26.16,86.0,1.0
2014-01-12,13.6,31.1,23.7,2.9,2.3,26.44,87.75,0.0
2014-01-13,27.4,29.1,22.0,0.2,2.0,24.58,92.75,0.666667
2014-01-14,46.8,31.2,22.6,1.7,0.9,26.12,87.0,0.333333
2014-01-15,0.2,31.9,23.2,4.5,1.9,26.18,87.5,1.0
2014-01-16,3.2,32.8,23.4,3.0,1.6,26.0,89.5,0.333333
2014-01-17,15.5,31.7,23.1,4.0,1.6,26.12,88.0,1.666667
2014-01-18,0.0,34.2,24.0,6.3,1.6,26.12,87.5,0.666667
2014-01-19,5.7,32.8,22.4,7.4,1.9,26.22,85.5,0.06666699999999999
2014-01-20,14.4,34.6,23.8,5.5,2.3,27.72,84.5,0.333333
2014-01-21,0.0,34.4,23.2,10.7,2.2,28.4,73.0,0.666667
2014-01-22,0.0,34.5,23.6,10.8,5.0,28.58,75.5,0.666667
2014-01-23,0.0,33.4,24.4,4.6,4.6,27.72,85.5,0.0
2014-01-24,0.0,33.8,23.8,5.8,2.5,26.84,91.75,0.333333
2014-01-25,12.8,35.5,22.8,9.9,2.0,27.9,79.5,0.333333
2014-01-26,0.0,35.0,23.8,10.4,4.0,28.48,75.5,1.0
2014-01-27,0.3,34.8,24.6,10.8,4.4,28.76,74.25,1.0
2014-01-28,0.0,32.4,24.2,2.6,4.3,26.84,85.25,1.0
2014-01-29,0.0,33.0,23.2,7.5,2.3,26.96,81.75,0.666667
2014-01-30,2.2,33.2,24.6,6.4,2.8,27.2,81.75,0.666667
2014-01-31,0.0,33.8,23.6,0.5,3.2,27.48,83.25,0.666667
2014-02-01,21.4,32.4,23.6,4.0,2.5,26.68,87.0,0.333333
2014-02-02,0.1,30.1,24.0,0.5,2.3,26.34,89.25,0.666667
2014-02-03,4.2,32.5,23.0,1.9,1.3,26.1,85.0,1.0
2014-02-04,0.8,33.0,23.0,3.9,1.7,26.68,82.0,0.666667
2014-02-05,0.0,33.6,23.6,6.2,3.0,26.52,83.75,0.666667
2014-02-06,26.0,39.6,23.0,0.0,2.7,25.44,89.75,0.0
2014-02-07,1.8,32.6,23.6,1.9,1.0,27.28,85.5,1.0
2014-02-08,64.6,32.0,23.4,4.7,2.2,26.1,88.0,0.0
2014-02-09,5.4,33.0,23.6,7.6,2.0,26.68,82.5,0.666667
