date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.4,19.6,10.7,3.9,26.12,0.0,0.0
2014-01-02,0.0,33.5,19.0,11.6,3.9,26.62,0.0,0.0
2014-01-03,0.0,33.8,19.1,11.9,4.4,26.32,0.0,0.6
2014-01-04,0.0,32.7,20.0,11.5,3.9,26.5,0.0,0.9
2014-01-05,0.0,33.2,19.9,11.0,4.0,26.28,0.0,0.8
2014-01-06,0.0,32.3,20.3,10.9,4.2,26.3,0.0,0.15
2014-01-07,0.0,32.8,18.9,11.2,4.4,25.58,0.0,1.25
2014-01-08,0.0,32.7,19.8,11.0,4.9,25.6,0.0,0.4
2014-01-09,0.0,32.3,18.9,9.4,4.3,25.58,0.0,0.75
2014-01-10,0.0,31.6,20.5,10.3,4.1,25.58,0.0,0.0
2014-01-11,0.0,30.5,21.1,4.6,4.0,24.62,0.0,1.4
2014-01-12,0.0,32.8,21.0,9.7,2.2,26.66,0.0,1.3
2014-01-13,0.0,32.1,23.1,6.4,3.9,27.0,0.0,1.15
2014-01-14,0.0,31.5,21.2,4.8,3.2,26.48,0.0,0.8
2014-01-15,0.0,33.4,20.2,9.9,3.2,26.06,0.0,0.15
2014-01-16,0.0,34.7,20.5,11.9,4.2,28.32,0.0,0.3
2014-01-17,0.0,34.2,21.2,11.0,4.2,27.48,0.0,1.9
2014-01-18,0.0,34.9,22.6,9.0,4.5,26.64,0.0,2.4
2014-01-19,0.0,34.1,20.9,5.5,4.2,26.1,0.0,0.9
2014-01-20,0.0,30.3,22.3,0.2,3.7,25.84,0.0,0.95
2014-01-21,0.0,30.4,23.1,3.5,2.0,26.4,0.0,0.15
2014-01-22,0.0,33.9,22.7,7.7,3.2,27.68,0.0,0.8
2014-01-23,0.0,34.2,22.7,9.8,4.5,26.48,0.0,1.15
2014-01-24,3.9,30.5,21.6,3.7,4.5,25.08,0.0,1.0
2014-01-25,0.0,32.7,20.2,9.2,2.8,25.94,0.0,0.4
2014-01-26,25.4,31.3,19.4,8.4,3.9,24.52,0.0,0.25
2014-01-27,0.0,32.6,20.3,9.8,3.5,25.62,0.0,0.75
2014-01-28,0.0,31.4,21.2,10.5,4.6,25.82,0.0,1.95
2014-01-29,0.0,31.8,21.7,5.5,4.6,25.78,0.0,1.15
2014-01-30,0.0,32.9,21.3,8.6,4.7,27.34,0.0,2.65
2014-01-31,0.0,33.4,22.2,8.5,5.4,25.96,0.0,0.5
2014-02-01,0.0,34.8,20.8,11.0,5.7,27.2,0.0,0.9
2014-02-02,0.0,34.3,21.0,10.8,5.8,26.96,0.0,0.5
2014-02-03,0.0,34.5,19.9,11.5,4.7,26.62,0.0,0.0
2014-02-04,0.0,35.7,18.9,9.5,6.6,26.5,0.0,0.3
2014-02-05,0.0,33.4,21.9,7.4,6.3,26.58,0.0,0.5
2014-02-06,0.0,33.1,22.4,9.9,4.5,27.02,0.0,2.15
2014-02-07,0.0,33.4,19.8,10.5,7.1,26.22,0.0,0.4
2014-02-08,0.0,33.6,21.9,6.2,5.3,25.2,0.0,0.6
2014-02-09,0.0,32.1,21.0,5.4,4.0,25.08,0.0,0.55
2014-02-10,0.0,34.8,22.7,8.7,3.1,27.68,0.0,0.0
2014-02-11,0.0,33.0,21.7,6.2,6.1,26.58,0.0,0.3
2014-02-12,0.0,34.7,21.4,9.0,5.1,27.56,0.0,0.35
2014-02-13,0.0,34.1,21.7,7.7,4.8,25.48,0.0,1.35
2014-02-14,13.6,30.7,21.7,1.8,3.8,25.12,0.0,0.5
2014-02-15,14.0,26.0,21.4,0.2,2.3,23.22,0.0,0.35
2014-02-16,10.8,28.4,21.2,1.9,0.8,23.66,0.0,0.0
2014-02-17,17.3,30.7,21.2,6.1,1.8,24.26,0.0,0.4
2014-02-18,2.4,27.7,22.0,1.6,2.0,23.86,0.0,0.15
2014-02-19,6.6,27.8,20.8,2.8,0.8,24.06,0.0,1.25
2014-02-20,13.7,28.4,21.0,0.6,1.6,23.42,0.0,0.5
2014-02-21,7.8,30.1,21.6,4.6,0.9,24.62,0.0,0.0
2014-02-22,11.4,29.4,21.4,2.8,1.6,24.78,0.0,0.0
2014-02-23,0.0,30.9,21.0,6.8,2.2,25.0,0.0,0.35
2014-02-24,3.5,32.4,20.5,9.8,2.4,26.48,0.0,0.75
2014-02-25,14.4,30.5,19.8,5.3,3.0,24.14,0.0,1.0
2014-02-26,0.0,30.5,20.3,5.3,2.3,24.14,0.0,0.0
2014-02-27,0.0,32.2,20.0,10.7,2.3,24.14,0.0,1.3
2014-02-28,0.0,31.8,21.0,6.4,2.3,24.8,0.0,0.0
2014-03-01,0.2,31.3,21.6,9.2,2.6,26.0,0.0,0.5
2014-03-02,0.0,30.3,22.4,4.5,2.8,25.12,0.0,0.4
2014-03-03,0.0,30.7,21.2,6.5,2.0,24.86,0.0,1.75
2014-03-04,0.6,31.3,22.3,5.9,1.5,25.14,0.0,0.65
2014-03-05,11.7,27.3,22.8,0.8,2.2,24.34,0.0,0.15
2014-03-06,0.0,31.0,22.2,7.2,1.0,25.98,0.0,0.15
2014-03-07,0.0,32.4,21.0,9.4,2.6,25.9,0.0,0.6
2014-03-08,0.0,31.1,21.4,4.6,2.9,25.44,0.0,1.35
2014-03-09,4.4,26.9,22.4,0.7,1.4,23.98,0.0,0.15
2014-03-10,0.0,30.7,21.8,6.3,1.1,25.32,0.0,0.35
2014-03-11,4.0,31.0,21.8,9.5,2.2,25.52,0.0,0.25
2014-03-12,0.0,32.3,21.4,10.2,2.7,25.74,0.0,0.35
2014-03-13,0.0,33.5,19.6,11.0,3.2,26.18,0.0,0.25
2014-03-14,0.0,33.0,19.3,10.0,3.6,25.24,0.0,0.4
2014-03-15,0.0,32.9,19.1,10.5,3.5,24.82,0.0,0.5
2014-03-16,0.0,32.8,19.3,7.9,3.5,25.4,0.0,0.15
2014-03-17,0.2,32.3,22.8,8.4,3.7,26.58,0.0,1.4
2014-03-18,0.0,32.1,23.1,4.8,3.6,26.16,0.0,0.0
2014-03-19,0.0,34.4,21.4,8.6,2.9,26.06,0.0,0.65
2014-03-20,0.0,33.8,21.4,10.8,4.3,26.76,0.0,0.35
2014-03-21,0.0,35.1,21.7,8.3,4.4,27.32,0.0,0.3
2014-03-22,14.4,33.0,22.5,7.7,4.2,25.76,0.0,0.15
2014-03-23,0.4,33.9,22.3,8.1,2.7,27.36,0.0,1.2
2014-03-24,18.7,30.8,21.3,4.9,3.8,24.46,0.0,0.35
2014-03-25,0.0,32.1,21.6,6.6,2.0,25.4,0.0,0.85
2014-03-26,4.5,31.8,22.0,6.1,2.2,25.66,0.0,0.0
2014-03-27,12.1,30.9,21.6,6.7,2.5,25.16,0.0,2.15
2014-03-28,0.0,30.1,20.8,2.9,2.0,24.74,0.0,0.75
2014-03-29,15.9,28.8,21.9,2.0,1.0,23.98,0.0,0.15
2014-03-30,5.3,28.9,20.9,4.7,1.3,24.7,0.0,2.0
2014-03-31,0.0,31.6,21.5,9.9,2.0,25.18,0.0,0.0
2014-04-01,0.0,34.5,22.1,9.7,2.6,27.24,0.0,1.2
2014-04-02,0.0,33.1,21.4,9.3,3.0,26.46,0.0,0.35
2014-04-03,0.0,33.3,21.6,8.9,3.4,26.46,0.0,0.5
2014-04-04,0.0,32.3,22.5,7.8,3.0,26.12,0.0,0.25
2014-04-05,17.3,31.2,22.5,5.5,2.5,25.66,0.0,1.0
2014-04-06,42.4,30.4,21.6,4.5,2.3,24.08,0.0,1.25
2014-04-07,32.6,30.2,20.6,8.3,0.8,24.54,0.0,0.75
2014-04-08,0.0,32.1,21.0,9.8,2.1,25.18,0.0,0.0
2014-04-09,0.0,32.4,21.0,8.9,2.4,25.96,0.0,0.0
2014-04-10,0.0,30.8,22.0,6.1,2.6,25.24,0.0,0.65
2014-04-11,0.0,31.0,21.2,6.7,2.0,25.1,0.0,0.0
2014-04-12,4.4,29.3,21.9,4.3,2.4,24.64,0.0,0.4
2014-04-13,0.0,31.6,20.1,9.5,1.6,25.0,0.0,0.0
2014-04-14,0.1,32.1,21.6,9.8,2.8,25.86,0.0,1.1
2014-04-15,0.5,32.0,21.6,8.7,3.0,25.46,0.0,1.15
2014-04-16,0.8,31.1,21.5,10.8,2.5,25.54,0.0,0.4
2014-04-17,0.0,31.9,21.2,9.3,2.8,25.86,0.0,0.0
2014-04-18,0.0,31.7,19.6,10.8,3.2,24.68,0.0,0.25
2014-04-19,0.0,32.3,18.4,11.0,3.2,24.9,0.0,0.65
2014-04-20,0.0,32.1,20.8,7.6,2.5,25.64,0.0,0.4
2014-04-21,0.0,32.1,21.4,7.5,2.8,26.02,0.0,0.6
2014-04-22,0.0,32.0,21.4,9.9,3.1,25.64,0.0,0.85
2014-04-23,0.0,32.3,20.0,10.5,3.3,25.1,0.0,1.25
2014-04-24,0.0,33.3,20.2,10.4,3.6,25.18,0.0,1.0
2014-04-25,0.0,34.2,19.4,9.1,3.6,25.8,0.0,0.5
2014-04-26,0.0,32.1,22.5,6.7,3.4,25.32,0.0,0.75
2014-04-27,0.0,30.0,21.4,2.5,2.3,25.42,0.0,1.8
2014-04-28,0.0,31.3,21.6,9.3,2.5,24.86,0.0,1.55
2014-04-29,0.0,30.2,16.1,10.1,5.0,22.42,0.0,2.4
2014-04-30,0.0,30.4,16.5,10.4,4.9,22.78,0.0,2.3
2014-05-01,0.0,31.2,17.9,10.7,3.4,23.86,0.0,0.8
2014-05-02,0.0,31.7,18.7,8.0,3.5,24.26,0.0,0.8
2014-05-03,0.0,30.6,19.7,3.9,3.0,24.0,0.0,0.15
2014-05-04,0.0,32.9,20.1,9.7,2.5,24.52,0.0,0.75
2014-05-05,0.0,32.3,17.6,10.2,5.3,24.36,0.0,0.7
2014-05-06,0.0,32.0,18.5,10.6,3.8,23.94,0.0,0.0
2014-05-07,0.0,31.9,17.5,9.8,4.5,25.0,0.0,2.65
2014-05-08,0.1,33.0,22.0,8.1,4.2,26.32,0.0,0.3
2014-05-09,0.0,33.0,19.6,9.5,4.1,26.0,0.0,0.75
2014-05-10,0.0,31.5,22.0,5.9,3.9,26.14,0.0,0.4
2014-05-11,0.0,30.3,22.8,3.0,3.3,25.42,0.0,0.35
2014-05-12,1.2,29.5,21.4,4.2,2.8,24.94,0.0,1.85
2014-05-13,0.0,31.1,19.5,10.2,3.5,23.5,0.0,1.65
2014-05-14,0.0,32.0,16.1,10.5,3.9,22.66,0.0,1.1
2014-05-15,0.0,32.8,16.4,10.4,3.5,23.46,0.0,1.15
2014-05-16,0.0,33.7,17.5,10.1,3.7,24.6,0.0,0.4
2014-05-17,0.0,32.7,19.3,8.0,3.6,25.16,0.0,0.15
2014-05-18,0.0,32.5,21.0,7.4,3.8,25.78,0.0,0.15
2014-05-19,0.0,33.1,20.8,9.9,3.0,25.94,0.0,0.15
2014-05-20,0.0,33.0,18.9,9.6,3.7,24.8,0.0,0.9
2014-05-21,0.0,32.1,18.3,9.4,4.4,23.94,0.0,0.0
2014-05-22,0.0,34.4,17.1,10.5,3.9,25.04,0.0,0.55
2014-05-23,0.0,34.4,19.6,10.7,4.0,25.92,0.0,0.5
2014-05-24,0.0,34.0,19.9,9.9,3.9,25.64,0.0,0.75
2014-05-25,0.0,32.1,21.0,5.0,4.1,25.48,0.0,1.4
2014-05-26,0.0,33.6,21.2,8.6,3.1,25.92,0.0,0.65
2014-05-27,0.0,33.0,19.5,9.7,3.8,25.06,0.0,0.25
2014-05-28,0.0,33.9,19.0,9.9,3.9,25.44,0.0,0.5
2014-05-29,0.0,33.7,20.8,9.3,4.0,26.1,0.0,1.15
2014-05-30,0.0,32.4,19.7,9.1,4.4,25.32,0.0,1.0
2014-05-31,0.0,32.3,20.6,9.1,4.3,24.82,0.0,0.0
2014-06-01,0.0,32.4,18.8,10.5,4.2,24.46,0.0,1.6
2014-06-02,0.0,32.3,19.1,9.1,3.8,24.4,0.0,1.45
2014-06-03,0.0,33.5,19.1,9.0,3.8,25.34,0.0,0.65
2014-06-04,0.0,33.5,19.8,10.5,4.0,24.84,0.0,0.35
2014-06-05,0.0,33.5,18.6,10.4,4.5,24.82,0.0,1.0
2014-06-06,0.0,32.7,17.7,9.3,4.2,24.56,0.0,1.3
2014-06-07,0.0,32.5,17.3,8.5,4.6,23.68,0.0,0.15
2014-06-08,0.0,32.1,16.4,8.2,4.7,23.02,0.0,0.0
2014-06-09,0.0,33.3,15.9,10.5,4.7,22.94,0.0,0.7
2014-06-10,0.0,33.0,17.3,10.6,5.2,23.94,0.0,1.0
2014-06-11,0.0,31.8,18.5,10.6,6.4,23.78,0.0,1.75
2014-06-12,0.0,31.5,16.9,10.6,6.2,23.2,0.0,2.0
2014-06-13,0.0,32.4,16.6,10.3,5.5,24.32,0.0,0.75
2014-06-14,0.0,30.9,20.3,10.1,6.3,24.48,0.0,2.25
2014-06-15,0.0,31.1,18.4,10.6,5.5,23.96,0.0,2.25
2014-06-16,0.0,31.8,17.7,10.6,5.5,23.82,0.0,2.05
2014-06-17,0.0,32.2,18.7,8.6,6.3,24.88,0.0,0.0
2014-06-18,0.0,31.4,19.5,5.2,6.3,23.58,0.0,0.25722
2014-06-19,0.0,32.0,15.7,5.7,4.6,23.04,0.0,0.6
2014-06-20,0.0,31.7,16.3,6.5,3.6,23.08,0.0,0.4
2014-06-21,0.0,32.8,16.1,10.4,4.4,23.34,0.0,0.0
2014-06-22,0.0,31.8,15.8,10.5,5.9,23.92,0.0,4.25
2014-06-23,0.0,30.3,15.5,5.0,7.5,22.72,0.0,1.8
2014-06-24,0.0,31.4,16.2,9.7,5.2,23.28,0.0,1.85
2014-06-25,0.0,31.4,14.9,10.4,4.6,21.78,0.0,0.25
2014-06-26,0.0,31.5,14.7,10.4,3.9,22.44,0.0,1.0
2014-06-27,0.0,32.5,13.6,10.5,4.3,22.06,0.0,0.85
2014-06-28,0.0,32.6,15.3,10.4,7.2,23.6,0.0,0.4
2014-06-29,0.0,34.0,16.9,9.8,4.4,23.46,0.0,0.4
2014-06-30,0.0,33.8,14.6,10.5,4.6,22.4,0.0,0.0
2014-07-01,0.0,34.0,14.6,10.4,4.6,22.66,0.0,0.5
2014-07-02,0.0,34.2,14.5,10.3,4.6,22.32,0.0,0.35
2014-07-03,0.0,33.1,15.4,10.4,4.6,22.58,0.0,1.0
2014-07-04,0.3,33.1,15.2,10.5,4.6,23.26,0.0,1.55
2014-07-05,0.0,31.5,14.6,10.5,4.6,21.9,0.0,6.4
2014-07-06,0.0,31.2,13.8,10.3,4.6,22.42,0.0,1.4
2014-07-07,0.0,31.2,15.4,10.4,4.6,22.54,0.0,0.65
2014-07-08,0.0,31.7,15.3,10.3,4.6,22.84,0.0,0.15
2014-07-09,0.0,32.8,15.9,10.0,4.6,24.58,0.0,0.75
2014-07-10,0.0,32.8,16.5,10.0,4.6,24.58,0.0,2.5
2014-07-11,0.0,33.0,16.5,10.0,4.6,24.58,0.0,1.54332
2014-07-12,0.0,33.3,15.7,8.9,4.6,23.68,0.0,0.85
2014-07-13,0.0,32.9,16.3,10.1,4.6,24.28,0.0,1.8
2014-07-14,0.0,31.9,18.3,10.2,4.6,24.8,0.0,2.7
2014-07-15,0.0,31.2,18.5,8.3,4.6,23.76,0.0,1.75
2014-07-16,0.0,33.0,18.3,10.0,4.6,24.06,0.0,2.2
2014-07-17,0.0,32.7,15.4,10.0,4.6,24.68,0.0,0.65
2014-07-18,0.0,33.0,18.3,9.4,4.6,25.06,0.0,2.3
2014-07-19,0.0,34.3,16.2,10.4,4.6,23.9,0.0,0.35
2014-07-20,0.0,33.7,16.8,7.2,4.6,24.78,0.0,0.65
2014-07-21,0.0,33.5,19.7,9.1,4.6,25.88,0.0,1.15
2014-07-22,0.0,32.4,19.3,10.0,4.6,25.14,0.0,1.8
2014-07-23,0.0,32.1,18.9,10.4,4.6,24.44,0.0,1.75
2014-07-24,0.0,32.8,18.6,10.6,4.6,25.3,0.0,2.25
2014-07-25,0.0,33.5,17.6,10.6,4.6,25.1,0.0,0.1
2014-07-26,0.0,33.3,18.0,10.5,4.6,24.72,0.0,0.15
2014-07-27,0.0,33.6,16.4,10.6,4.6,24.04,0.0,0.6
2014-07-28,0.0,34.4,18.3,9.8,4.6,26.5,0.0,2.0
2014-07-29,0.0,32.3,20.0,9.4,4.6,26.12,0.0,4.62996
2014-07-30,0.0,30.5,20.1,9.8,4.6,24.88,0.0,4.5
2014-07-31,0.0,31.5,19.4,10.1,4.6,24.38,0.0,1.0
2014-08-01,0.0,31.9,18.9,9.1,4.6,23.54,0.0,0.51444
2014-08-02,0.0,33.5,17.3,7.5,4.6,23.74,0.0,0.77166
2014-08-03,0.0,33.4,16.0,8.8,4.6,23.76,0.0,0.25722
2014-08-04,0.0,35.4,18.2,8.8,4.6,25.48,0.0,1.8005400000000003
2014-08-05,0.0,35.4,15.8,9.0,4.6,24.44,0.0,0.25722
2014-08-06,0.0,32.8,18.5,10.3,4.6,25.84,0.0,2.8294200000000003
2014-08-07,0.0,31.3,16.6,10.6,4.6,23.34,0.0,2.05776
2014-08-08,0.0,33.3,14.5,10.4,4.6,23.82,0.0,1.02888
2014-08-09,0.0,33.2,15.1,10.1,4.6,25.18,0.0,0.77166
