date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.3,22.4,11.6,6.6,27.32,58.25,0.7
2014-01-02,0.0,33.3,20.8,11.4,5.8,27.32,54.25,1.1
2014-01-03,0.0,32.3,21.4,11.4,8.0,27.56,56.75,1.0
2014-01-04,0.0,32.7,24.2,11.4,6.6,28.16,59.0,0.9
2014-01-05,0.0,32.1,21.6,11.5,8.0,26.68,62.25,1.7
2014-01-06,0.0,32.3,20.6,11.6,5.8,26.28,61.5,1.233333
2014-01-07,0.0,31.5,20.4,11.6,7.7,25.9,58.25,0.766667
2014-01-08,0.0,31.5,20.8,11.4,5.1,26.2,60.0,1.1
2014-01-09,0.0,31.5,20.6,11.6,8.0,25.98,66.25,4.0
2014-01-10,0.0,32.5,21.2,10.9,5.4,25.96,71.0,0.566667
2014-01-11,0.0,31.9,22.4,9.7,5.4,26.84,65.75,1.0
2014-01-12,0.0,32.5,21.4,11.0,4.4,27.08,65.5,0.8
2014-01-13,0.0,31.5,21.4,5.8,5.8,26.6,67.0,1.133333
2014-01-14,0.0,32.7,21.4,10.2,4.8,26.76,62.75,1.0
2014-01-15,0.0,30.9,22.4,4.7,7.0,26.1,72.25,0.866667
2014-01-16,0.0,32.9,22.2,7.9,2.0,28.02,65.75,1.0
2014-01-17,0.0,34.6,21.7,10.8,6.9,28.54,55.0,0.533333
2014-01-18,0.0,34.5,23.0,8.9,6.8,28.24,61.0,0.9
2014-01-19,0.0,34.3,23.1,9.3,6.2,27.78,64.5,1.066667
2014-01-20,0.0,32.1,23.2,2.9,6.4,26.12,77.0,0.7
2014-01-21,8.8,31.4,22.7,4.5,4.4,27.26,71.0,0.8
2014-01-22,0.0,33.7,23.2,8.6,4.6,27.72,61.0,1.333333
2014-01-23,0.0,32.9,23.0,5.3,9.4,26.02,84.25,1.6
2014-01-24,2.6,31.9,22.4,6.8,5.0,25.96,64.0,1.0
2014-01-25,0.0,33.7,19.6,10.8,6.8,27.2,57.5,0.7
2014-01-26,0.6,33.1,21.8,6.2,3.9,26.68,59.25,0.9
2014-01-27,0.0,33.5,20.6,8.4,6.3,26.62,57.0,1.466667
2014-01-28,0.0,33.3,20.4,11.4,6.0,26.48,58.0,1.0
2014-01-29,0.0,33.3,20.2,10.0,8.0,26.62,58.5,1.0
2014-01-30,0.0,33.3,22.0,9.2,7.8,27.64,59.25,1.2
2014-01-31,0.0,33.8,21.0,10.0,8.5,26.62,50.0,1.066667
2014-02-01,0.0,34.7,20.6,11.1,10.3,27.24,56.0,1.333333
2014-02-02,0.0,35.7,21.2,10.8,7.3,28.04,47.5,1.3
2014-02-03,0.0,34.9,20.9,11.1,10.4,27.96,45.25,0.733333
2014-02-04,0.0,35.9,21.2,8.2,9.8,28.28,56.75,1.7333330000000002
2014-02-05,0.0,34.9,23.0,9.4,9.2,27.72,61.75,1.4
