date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,30.0,21.9,10.0,4.7,26.62,77.5,2.666667
2014-01-02,0.0,29.8,22.1,10.6,4.3,26.38,73.0,1.333333
2014-01-03,0.6,29.2,21.7,6.1,4.6,25.9,78.25,1.0
2014-01-04,4.8,30.2,22.1,11.0,4.0,26.88,73.75,1.0
2014-01-05,5.2,29.4,22.3,9.5,5.2,26.66,73.0,1.333333
2014-01-06,8.6,29.6,21.2,9.8,3.9,25.04,87.75,2.0
2014-01-07,16.8,29.8,20.2,7.5,3.4,25.04,86.5,1.0
2014-01-08,0.0,30.0,21.4,6.5,2.9,25.24,88.75,1.0
2014-01-09,24.7,29.8,22.0,7.9,2.7,25.92,86.25,1.0
2014-01-10,4.7,29.6,21.4,3.9,3.6,25.44,87.75,2.333333
2014-01-11,0.0,30.4,22.0,8.2,3.8,26.52,82.5,1.666667
2014-01-12,0.0,30.6,22.6,10.5,4.3,26.08,86.5,2.666667
2014-01-13,9.7,29.8,23.3,8.0,3.6,26.94,75.75,0.666667
2014-01-14,7.7,29.6,23.5,5.3,3.5,25.94,83.75,1.0
2014-01-15,8.4,28.8,22.7,1.9,3.7,24.78,93.0,0.333333
2014-01-16,2.2,29.6,22.1,9.3,1.5,26.38,69.0,1.0
2014-01-17,0.0,29.6,21.5,8.8,6.0,25.9,81.25,1.0
2014-01-18,0.0,29.0,23.4,3.9,5.0,26.36,81.5,2.0
2014-01-19,1.1,29.6,24.1,4.3,3.3,26.34,84.5,0.666667
2014-01-20,1.7,30.4,22.4,1.8,3.3,26.52,87.25,1.666667
2014-01-21,2.7,30.2,23.2,3.9,3.8,26.68,85.0,2.333333
2014-01-22,0.0,29.8,21.6,10.1,3.8,25.96,87.75,2.0
2014-01-23,0.0,30.2,21.8,10.8,3.9,26.64,77.25,3.0
2014-01-24,0.0,30.0,20.2,11.9,4.5,26.2,74.0,3.0
2014-01-25,29.1,29.6,20.8,7.4,4.7,26.08,83.0,2.666667
2014-01-26,0.0,30.2,21.2,11.2,4.5,26.68,81.25,1.666667
2014-01-27,0.0,30.6,22.1,10.5,4.2,27.3,72.75,2.0
2014-01-28,47.5,30.0,22.3,8.4,4.9,24.88,87.0,0.666667
2014-01-29,15.0,30.0,22.6,8.5,3.2,26.04,83.0,1.333333
2014-01-30,0.0,30.4,22.4,10.1,2.8,25.92,84.0,1.0
2014-01-31,0.8,30.4,22.1,9.8,2.8,26.06,77.25,0.666667
2014-02-01,9.2,30.0,21.7,10.9,3.1,25.9,77.0,1.0
2014-02-02,0.0,30.0,20.5,10.1,3.7,25.78,77.5,0.333333
2014-02-03,2.7,30.2,21.8,10.0,3.0,25.88,85.75,0.666667
2014-02-04,0.0,30.0,21.2,10.0,4.7,25.76,88.75,1.666667
2014-02-05,4.6,30.6,22.2,9.8,3.3,26.64,78.5,2.0
2014-02-06,15.9,30.4,21.8,6.8,4.1,26.28,81.5,1.0
2014-02-07,2.1,30.4,21.4,10.5,3.7,26.44,83.5,2.333333
2014-02-08,4.9,30.4,21.6,9.3,4.5,26.16,82.75,2.333333
2014-02-09,2.2,30.1,21.8,5.9,5.5,26.66,80.0,3.0
