date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.8,21.4,11.0,6.0,27.04,64.75,2.666667
2014-01-02,0.0,34.8,18.5,10.8,6.1,26.3,60.0,2.1333330000000004
2014-01-03,0.0,34.0,19.5,11.1,6.3,26.54,63.5,3.733333
2014-01-04,0.0,34.8,19.3,11.5,6.5,26.3,59.0,3.666667
2014-01-05,0.0,33.6,18.0,11.0,7.4,25.74,62.75,1.9666669999999997
2014-01-06,0.0,33.2,18.5,6.6,6.8,25.16,68.75,3.2
2014-01-07,0.0,34.0,18.1,10.1,4.7,26.08,63.5,4.133333
2014-01-08,0.0,32.6,18.5,10.5,6.0,26.08,61.0,3.1
2014-01-09,0.0,33.9,18.2,11.0,6.1,26.18,63.5,2.233333
2014-01-10,0.0,33.8,20.8,6.2,5.9,26.96,62.75,3.9666669999999997
2014-01-11,0.0,34.0,20.1,7.0,6.2,26.86,64.5,4.4
2014-01-12,1.4,33.8,21.6,5.9,7.2,26.92,65.75,4.033333
2014-01-13,0.0,33.3,19.6,10.6,6.3,26.42,61.75,4.1666669999999995
2014-01-14,0.5,33.2,20.7,3.2,6.2,25.78,69.0,3.1333330000000004
2014-01-15,0.1,34.2,19.7,10.8,5.8,26.62,53.25,4.1
2014-01-16,0.2,35.4,19.4,11.0,6.8,26.68,54.25,3.5333330000000003
2014-01-17,0.0,35.5,19.1,11.6,7.3,26.82,60.25,1.9
2014-01-18,0.0,36.2,20.9,10.0,6.3,27.68,58.5,2.566667
2014-01-19,0.0,36.2,20.4,10.9,6.8,27.64,52.5,2.166667
2014-01-20,0.0,34.9,20.3,10.2,6.6,26.96,59.75,2.166667
2014-01-21,0.0,34.6,20.9,4.9,6.9,27.0,55.5,2.7
2014-01-22,0.0,35.6,18.7,11.1,6.8,26.76,55.75,2.1
2014-01-23,0.0,35.0,19.5,10.3,7.7,27.18,55.75,2.433333
2014-01-24,0.0,35.3,19.9,11.0,8.1,27.18,58.5,4.266667
2014-01-25,0.0,35.2,20.9,10.0,6.3,27.38,55.5,3.5
2014-01-26,0.0,35.2,20.8,10.0,6.8,27.48,59.5,2.3
2014-01-27,0.0,34.8,20.9,9.0,6.1,27.04,68.25,4.8
2014-01-28,3.9,34.8,20.5,9.2,6.9,26.54,60.25,3.3666669999999996
2014-01-29,0.2,35.2,19.7,11.1,6.8,27.06,56.0,3.333333
2014-01-30,0.0,35.2,19.6,9.7,7.8,26.92,55.0,3.9666669999999997
2014-01-31,0.0,34.5,17.8,10.4,7.7,26.58,56.5,4.233333
2014-02-01,2.1,33.6,19.7,8.9,6.8,26.5,63.25,3.333333
2014-02-02,0.0,29.2,21.2,6.8,4.9,25.36,78.5,3.5
2014-02-03,0.0,35.2,20.1,7.6,5.6,26.38,64.25,2.766667
2014-02-04,0.0,33.2,20.1,4.3,7.2,26.62,69.75,1.9333330000000002
2014-02-05,1.4,34.0,21.3,8.3,3.2,26.6,64.25,3.933333
2014-02-06,2.4,31.0,18.5,3.5,5.1,25.62,72.75,3.9
2014-02-07,4.0,33.4,20.7,3.3,2.5,25.7,79.0,3.333333
2014-02-08,6.4,33.4,19.9,5.4,4.0,25.98,75.25,3.0333330000000003
2014-02-09,0.0,33.8,19.3,8.9,3.8,26.58,61.5,2.8
2014-02-10,0.5,32.8,20.1,4.8,4.7,26.54,64.5,2.4
2014-02-11,0.0,33.8,19.9,10.3,4.9,26.66,65.0,2.5
2014-02-12,0.6,34.5,21.4,5.5,5.3,27.18,59.0,3.6
2014-02-13,0.0,35.0,19.9,10.8,8.7,27.3,56.25,3.0
2014-02-14,0.0,35.8,19.1,10.5,5.9,27.38,51.75,2.6333330000000004
2014-02-15,0.0,35.4,20.9,7.0,6.3,27.62,59.75,3.5333330000000003
2014-02-16,0.0,34.4,21.2,8.7,5.5,27.28,61.5,2.1
2014-02-17,0.2,35.2,20.8,11.3,4.6,27.52,59.0,2.933333
2014-02-18,0.0,36.4,18.9,9.9,6.4,27.14,60.0,2.9666669999999997
2014-02-19,0.0,36.6,20.5,5.2,6.2,27.7,59.5,2.433333
2014-02-20,0.0,30.2,22.0,2.5,5.5,25.92,82.5,2.066667
2014-02-21,1.6,33.6,21.6,5.5,2.1,27.08,68.25,3.666667
2014-02-22,0.0,30.0,20.5,2.3,4.7,25.7,82.0,2.1
2014-02-23,9.4,31.2,20.3,4.7,1.7,25.82,77.25,2.8
2014-02-24,0.4,33.2,22.0,7.1,3.0,26.52,75.5,2.733333
2014-02-25,1.1,32.6,19.9,7.5,4.8,26.26,70.0,2.766667
2014-02-26,1.0,34.0,19.7,9.0,4.4,26.64,63.5,3.233333
2014-02-27,0.5,32.2,21.2,1.0,3.8,26.08,78.25,2.4
2014-02-28,0.0,31.9,21.2,1.0,2.8,26.3,69.0,2.266667
2014-03-01,0.0,32.2,21.6,0.6,3.5,26.28,77.0,2.3666669999999996
2014-03-02,0.0,32.2,21.6,4.3,3.0,26.44,78.25,2.1
2014-03-03,5.0,28.8,21.2,0.9,2.8,24.4,89.25,2.3
2014-03-04,10.7,31.7,21.8,3.1,1.1,26.0,80.0,3.9
2014-03-05,0.2,34.0,21.8,11.0,3.2,26.68,62.5,3.733333
2014-03-06,0.2,33.6,20.2,7.5,5.4,26.34,63.0,3.8666669999999996
2014-03-07,0.0,33.6,19.9,5.9,4.6,26.98,58.5,2.4
2014-03-08,0.0,34.6,20.7,7.4,4.1,27.08,61.25,2.8
2014-03-09,0.0,35.6,19.9,9.1,5.5,27.14,65.25,3.0333330000000003
2014-03-10,0.0,34.2,21.8,10.6,5.5,26.96,63.25,3.2
2014-03-11,0.0,35.2,20.1,9.6,5.4,27.1,53.5,3.4666669999999997
2014-03-12,0.0,32.8,19.2,7.0,6.2,26.56,61.5,3.066667
2014-03-13,0.2,33.8,20.7,5.6,4.9,26.9,64.5,3.666667
2014-03-14,1.2,34.2,19.7,8.4,4.9,26.6,59.5,3.7
2014-03-15,0.3,34.6,19.5,7.5,5.8,26.42,63.25,3.4
2014-03-16,1.2,31.9,21.4,4.1,4.7,25.5,87.0,2.2
2014-03-17,12.2,31.6,19.7,5.9,2.4,25.38,86.0,3.266667
2014-03-18,13.8,30.0,20.8,3.9,2.1,25.18,78.75,3.766667
2014-03-19,4.1,32.6,19.5,7.5,2.4,26.0,66.25,2.433333
2014-03-20,0.0,34.2,20.5,8.9,3.8,26.68,67.0,2.433333
2014-03-21,0.0,35.2,21.2,8.9,4.3,27.72,68.0,2.566667
2014-03-22,0.0,33.8,21.2,10.5,4.5,27.24,66.0,3.2
2014-03-23,0.0,35.6,19.9,5.0,4.5,27.66,60.75,3.433333
2014-03-24,0.0,34.8,20.5,9.5,4.6,27.28,61.5,2.8666669999999996
2014-03-25,0.0,35.6,20.1,10.1,5.2,26.66,62.5,2.433333
2014-03-26,0.0,34.6,21.5,7.0,5.4,27.26,61.75,2.733333
2014-03-27,0.0,35.8,20.3,9.1,5.3,27.5,59.5,3.066667
2014-03-28,0.0,35.5,19.5,10.4,5.5,27.08,64.25,2.833333
2014-03-29,0.0,35.7,21.6,9.2,5.0,27.7,60.75,2.0333330000000003
2014-03-30,0.0,34.2,20.1,4.7,6.3,26.94,62.75,2.8
2014-03-31,0.0,35.6,19.9,10.2,5.2,27.5,56.5,3.4666669999999997
2014-04-01,0.0,35.2,21.6,10.6,5.5,27.6,57.5,4.933333
2014-04-02,0.0,36.0,20.2,9.7,6.0,27.66,63.0,2.733333
2014-04-03,0.0,34.8,22.2,5.5,5.4,27.48,67.5,2.4666669999999997
2014-04-04,0.0,35.2,19.1,7.4,4.4,27.34,61.0,2.7
2014-04-05,0.0,36.6,21.6,9.7,4.6,28.16,61.75,2.266667
2014-04-06,0.0,37.6,21.6,10.4,5.8,28.64,63.25,2.1
2014-04-07,0.0,37.4,21.2,10.2,6.5,28.48,59.5,2.4
2014-04-08,2.6,37.0,23.2,7.0,5.8,28.28,64.25,2.1333330000000004
2014-04-09,23.3,34.6,20.5,8.2,4.7,26.46,76.5,2.766667
2014-04-10,9.6,34.6,21.8,7.1,2.5,27.56,71.25,1.8666669999999999
2014-04-11,0.0,32.5,23.0,7.9,3.0,27.4,70.25,3.7
2014-04-12,0.0,33.6,20.3,8.1,4.5,27.1,66.75,2.4
2014-04-13,0.6,33.3,22.6,6.2,3.9,26.86,78.25,3.5333330000000003
2014-04-14,2.2,34.0,21.4,9.0,3.3,26.84,72.0,1.9333330000000002
2014-04-15,0.0,31.5,21.6,3.8,3.4,26.18,70.5,2.666667
2014-04-16,0.0,32.8,20.7,7.4,3.4,26.42,66.75,3.233333
2014-04-17,0.0,33.9,20.6,9.4,3.5,26.62,69.0,1.533333
2014-04-18,0.0,35.0,19.5,8.7,4.7,27.18,62.75,2.666667
2014-04-19,0.0,33.9,21.8,10.0,4.2,27.4,68.25,2.8
2014-04-20,4.2,31.2,21.4,4.0,4.0,25.96,79.5,2.9666669999999997
2014-04-21,1.2,32.8,20.1,9.2,2.3,26.36,65.0,1.7666669999999998
2014-04-22,0.0,34.2,19.5,10.2,5.1,26.82,54.5,1.2
2014-04-23,0.0,34.4,19.9,5.5,6.6,27.0,60.5,2.3
2014-04-24,0.0,35.6,21.4,9.9,3.9,27.52,60.0,1.9
2014-04-25,0.0,36.0,20.5,10.0,5.2,27.74,53.25,3.166667
2014-04-26,0.0,35.0,19.9,9.1,5.8,27.22,60.75,2.3666669999999996
2014-04-27,1.2,27.6,22.0,1.2,4.5,24.32,89.25,4.1666669999999995
2014-04-28,6.4,29.4,20.3,1.0,1.3,24.58,71.5,3.266667
2014-04-29,2.4,28.1,20.1,3.4,3.1,23.56,80.5,5.1666669999999995
2014-04-30,10.4,27.9,19.8,1.6,2.6,24.06,71.5,3.3
2014-05-01,0.0,27.1,20.9,0.0,3.9,24.0,89.5,3.5333330000000003
2014-05-02,6.0,27.1,19.9,0.2,1.8,23.72,94.5,3.566667
2014-05-03,25.2,29.2,20.9,2.4,0.9,24.46,76.75,4.7
2014-05-04,2.0,31.2,19.5,6.6,3.6,24.5,74.5,1.6
2014-05-05,0.0,29.8,20.3,6.7,2.2,24.82,70.25,2.833333
2014-05-06,1.0,32.2,19.9,8.5,2.9,25.58,73.5,2.933333
2014-05-07,4.8,31.4,20.9,6.0,3.2,25.14,70.25,0.2
2014-05-08,0.0,31.4,19.1,10.3,3.2,25.2,68.25,2.066667
2014-05-09,0.0,32.4,19.0,8.2,3.0,25.22,65.25,1.3
2014-05-10,0.0,33.6,18.3,9.3,3.4,26.02,64.25,3.2
2014-05-11,0.0,29.0,19.9,3.0,3.6,24.18,77.0,1.8
2014-05-12,6.4,27.9,19.3,5.2,1.5,23.16,69.0,4.233333
2014-05-13,0.0,30.3,17.9,7.9,3.5,23.9,59.0,3.066667
2014-05-14,0.0,29.6,18.1,3.8,3.9,24.86,66.75,3.233333
2014-05-15,1.7,31.4,20.8,3.3,2.9,25.58,84.25,2.4
2014-05-16,0.6,28.6,21.2,1.3,2.0,24.76,96.25,2.8
2014-05-17,19.7,31.6,20.5,6.1,0.6,25.1,79.0,1.2
2014-05-18,0.2,29.6,19.7,4.7,2.5,24.38,76.75,1.9333330000000002
2014-05-19,2.5,28.6,20.9,1.4,1.7,24.46,76.25,1.7
2014-05-20,1.3,30.8,19.1,7.7,2.5,24.54,68.25,2.5
2014-05-21,0.0,30.7,19.6,9.3,4.0,25.22,68.5,3.3666669999999996
2014-05-22,7.8,31.2,20.2,5.6,3.0,25.24,80.5,1.266667
2014-05-23,1.8,31.5,22.0,9.3,1.8,26.38,69.75,2.066667
2014-05-24,0.0,33.0,19.9,9.2,3.1,26.06,67.25,2.8666669999999996
2014-05-25,0.0,32.0,19.7,9.1,3.0,25.28,61.0,2.7
