date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,32.7,21.5,11.9,3.7,26.5,63.75,0.0
2014-01-02,0.0,32.4,21.0,10.4,4.4,25.9,66.75,0.0
2014-01-03,0.0,30.6,20.5,8.7,4.1,25.28,71.5,0.0
2014-01-04,0.0,32.6,22.5,10.7,3.4,26.34,70.5,0.0
2014-01-05,9.0,29.5,22.3,4.6,5.1,24.78,82.75,0.0
2014-01-06,10.4,30.2,20.3,9.6,2.0,24.14,72.0,0.0
2014-01-07,0.0,28.4,21.8,8.6,4.1,24.78,74.25,0.0
2014-01-08,2.2,25.5,20.9,0.3,1.8,23.3,86.0,0.0
2014-01-09,13.9,28.0,21.3,4.9,0.9,24.12,87.5,0.0
2014-01-10,4.1,28.1,20.7,6.0,1.4,24.56,84.25,0.0
2014-01-11,0.4,30.0,21.9,7.0,1.9,25.16,79.25,0.0
2014-01-12,4.0,31.0,22.7,7.6,2.6,25.68,76.25,0.0
2014-01-13,3.2,30.0,22.3,8.1,2.5,24.96,83.25,0.0
2014-01-14,3.5,27.8,22.5,2.6,3.7,24.44,86.75,0.0
2014-01-15,6.4,29.4,22.3,5.2,1.0,24.92,84.0,0.0
2014-01-16,0.6,30.8,21.9,8.3,1.9,25.38,70.75,0.0
2014-01-17,0.0,31.0,21.3,8.8,3.3,25.54,74.0,0.0
2014-01-18,0.0,32.4,23.1,7.7,3.4,26.38,72.5,0.0
2014-01-19,0.0,30.2,22.9,1.2,3.3,25.3,83.25,0.0
2014-01-20,0.4,29.5,22.6,0.8,2.3,25.16,83.5,0.0
2014-01-21,4.6,28.7,22.6,2.0,1.6,24.84,85.25,0.0
2014-01-22,0.0,32.0,21.8,7.0,1.5,26.22,73.25,0.0
2014-01-23,0.0,30.5,22.3,7.9,2.3,25.56,80.75,0.0
2014-01-24,0.0,30.8,20.4,9.6,2.6,25.26,71.75,0.0
2014-01-25,0.0,31.7,20.4,8.2,3.3,25.6,75.25,0.0
2014-01-26,0.0,31.8,22.4,9.3,3.1,26.02,72.0,0.0
2014-01-27,0.0,31.8,22.4,10.6,4.2,25.76,74.5,0.0
2014-01-28,0.0,31.7,21.5,6.3,4.5,25.18,76.75,0.0
2014-01-29,2.0,29.3,21.5,8.2,2.3,24.42,79.5,0.0
2014-01-30,3.7,29.8,21.1,7.8,2.6,25.0,75.75,0.0
2014-01-31,0.8,30.5,19.9,10.8,2.7,24.82,73.5,0.0
2014-02-01,0.8,31.7,19.9,9.7,3.8,25.34,68.25,0.0
2014-02-02,1.5,28.8,20.5,3.1,4.2,24.26,87.0,0.0
2014-02-03,2.2,31.3,20.3,11.1,1.4,24.98,71.5,0.0
2014-02-04,0.1,28.4,20.7,3.1,3.9,24.72,85.5,0.0
2014-02-05,3.9,30.0,21.3,8.8,0.3,25.04,74.75,0.0
2014-02-06,6.6,29.5,20.7,8.1,1.5,24.66,76.25,0.0
2014-02-07,1.2,29.2,20.3,6.6,1.4,24.72,80.0,0.0
2014-02-08,1.1,30.2,20.1,7.9,2.4,24.88,79.0,0.0
2014-02-09,0.0,31.6,20.7,0.5,3.3,25.58,71.5,0.0
2014-02-10,0.0,31.0,21.4,5.6,5.9,25.5,71.75,0.0
2014-02-11,0.0,28.5,21.3,2.7,2.8,24.22,81.0,0.0
2014-02-12,4.1,31.0,21.1,7.7,1.3,25.32,77.0,0.0
2014-02-13,0.0,30.4,21.3,4.7,2.6,25.24,77.25,0.0
2014-02-14,0.0,32.6,20.7,10.4,3.2,25.56,70.0,0.0
2014-02-15,0.0,29.8,20.3,3.7,4.3,24.8,85.5,0.0
2014-02-16,1.3,32.0,20.5,9.7,1.7,25.5,69.5,0.0
2014-02-17,0.0,32.6,20.1,11.1,1.2,25.94,71.0,0.0
2014-02-18,0.0,32.4,20.9,9.6,3.9,26.08,68.25,0.0
2014-02-19,4.0,32.0,21.7,7.3,4.4,25.36,82.0,0.0
2014-02-20,2.2,31.2,21.1,6.8,2.4,24.28,82.0,0.0
2014-02-21,15.7,29.4,21.9,5.4,2.1,25.08,79.75,0.0
