date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,29.1,17.5,9.9,4.0,22.52,0.0,3.0
2014-01-02,0.0,28.5,17.5,7.4,2.9,21.86,0.0,2.55
2014-01-03,0.0,29.5,17.7,8.9,4.2,22.4,0.0,2.75
2014-01-04,0.0,29.4,17.5,9.9,4.8,22.3,0.0,2.65
2014-01-05,0.0,28.0,17.6,7.4,5.0,22.12,0.0,1.6
2014-01-06,0.0,28.2,16.5,7.0,5.2,21.26,0.0,1.6
2014-01-07,0.0,27.2,16.4,5.2,3.3,21.0,0.0,1.7
2014-01-08,0.3,27.5,17.1,6.6,3.5,20.96,0.0,1.8
2014-01-09,1.9,27.9,18.6,9.7,3.3,22.06,0.0,2.4
2014-01-10,0.0,28.3,17.8,6.6,4.4,21.94,0.0,2.5
2014-01-11,57.1,25.3,18.3,3.2,2.3,20.64,0.0,1.45
2014-01-12,1.1,27.2,18.8,6.1,2.4,22.12,0.0,1.9
2014-01-13,1.4,25.9,18.6,3.2,3.1,21.3,0.0,1.6
2014-01-14,2.6,27.7,17.7,4.9,1.5,21.42,0.0,1.7
2014-01-15,0.6,27.1,17.8,2.1,0.5,20.9,0.0,1.05
2014-01-16,0.4,28.3,18.7,6.3,2.5,22.04,0.0,1.3
2014-01-17,0.0,29.4,17.7,10.5,3.9,22.64,0.0,1.45
2014-01-18,0.0,30.0,19.5,7.8,4.1,22.82,0.0,1.0
2014-01-19,0.0,29.6,20.5,4.8,4.0,23.94,0.0,2.35
2014-01-20,0.3,25.2,19.6,0.0,3.5,21.88,0.0,1.95
2014-01-21,0.8,26.2,18.8,3.3,1.4,21.72,0.0,2.0
2014-01-22,0.0,25.3,18.6,1.5,3.1,21.48,0.0,2.1
2014-01-23,1.2,26.2,19.1,5.4,1.4,21.5,0.0,2.2
2014-01-24,0.0,27.3,15.6,7.8,2.4,21.2,0.0,1.4
2014-01-25,0.0,27.9,17.7,5.6,3.4,21.72,0.0,2.1
2014-01-26,0.3,29.5,17.2,10.0,3.3,22.58,0.0,1.8
2014-01-27,0.6,29.4,18.6,7.4,5.1,22.74,0.0,3.45
2014-01-28,1.6,27.9,17.1,7.1,4.4,21.0,0.0,2.3
2014-01-29,0.0,27.4,17.3,3.2,5.0,20.98,0.0,0.5
2014-01-30,3.5,27.5,17.8,5.7,2.0,21.26,0.0,0.75
2014-01-31,0.6,25.7,17.5,2.0,3.5,20.44,0.0,1.45
2014-02-01,2.3,28.3,17.6,9.1,2.1,21.84,0.0,1.9
2014-02-02,0.0,28.6,16.4,10.7,3.9,21.86,0.0,2.15
2014-02-03,0.0,29.0,16.5,11.6,5.0,22.16,0.0,1.3
2014-02-04,7.0,24.6,18.7,0.6,5.5,20.78,0.0,0.8
2014-02-05,15.3,25.6,18.6,3.6,0.3,21.08,0.0,1.4
2014-02-06,3.5,24.9,18.0,2.3,2.7,20.56,0.0,2.65
2014-02-07,3.0,25.7,17.5,1.6,2.2,20.72,0.0,1.4
2014-02-08,1.9,24.8,16.8,1.4,1.5,20.38,0.0,1.05
2014-02-09,11.4,26.9,17.2,5.3,1.1,21.08,0.0,1.55
2014-02-10,0.0,25.9,16.4,3.4,2.8,20.62,0.0,1.8
2014-02-11,2.0,25.8,18.0,3.1,2.4,20.86,0.0,1.0
2014-02-12,6.8,27.2,17.6,7.6,1.3,21.54,0.0,1.3
2014-02-13,0.0,29.0,16.8,7.4,1.0,21.84,0.0,2.3
2014-02-14,0.0,28.3,17.5,8.2,1.0,21.98,0.0,1.2
2014-02-15,0.0,27.5,18.2,6.7,1.2,22.52,0.0,2.05
2014-02-16,0.0,29.5,17.3,9.1,1.4,22.94,0.0,2.7
2014-02-17,0.0,29.7,17.5,10.2,0.9,22.48,0.0,2.0
2014-02-18,0.0,29.2,17.5,10.1,1.7,22.74,0.0,2.45
2014-02-19,0.0,27.1,18.3,3.5,4.7,22.12,0.0,2.15
2014-02-20,2.0,27.7,18.7,5.6,2.3,22.64,0.0,2.55
2014-02-21,6.6,27.9,18.5,4.7,3.0,21.84,0.0,1.4
2014-02-22,0.0,29.3,17.8,3.3,4.2,22.82,0.0,2.3
2014-02-23,2.9,24.6,18.9,0.6,4.6,21.26,0.0,1.7
2014-02-24,7.0,24.9,18.6,0.2,1.1,20.9,0.0,2.55
