date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,31.2,17.0,12.0,6.2,25.82,52.25,1.666667
2014-01-02,0.0,31.5,17.0,11.5,6.4,25.82,52.75,1.666667
2014-01-03,0.0,31.7,17.7,10.5,5.9,24.34,52.75,1.666667
2014-01-04,0.0,31.4,19.4,11.3,5.6,24.4,57.5,1.666667
2014-01-05,0.0,31.4,18.6,11.3,5.7,25.46,60.25,2.333333
2014-01-06,0.0,31.2,16.5,11.7,5.9,24.32,59.0,1.666667
2014-01-07,0.0,29.5,17.7,7.2,4.9,24.14,63.0,2.333333
2014-01-08,0.0,30.8,17.9,8.2,4.7,24.44,66.75,1.666667
2014-01-09,0.6,30.5,18.5,7.4,4.4,24.72,56.25,1.666667
2014-01-10,0.0,30.9,18.6,7.2,4.6,25.34,61.0,3.0
2014-01-11,0.0,28.2,19.5,2.2,4.5,23.56,79.25,1.0
2014-01-12,0.0,29.0,18.7,4.7,3.8,24.12,72.5,1.666667
2014-01-13,0.0,30.4,17.3,7.3,3.5,24.88,66.5,1.0
2014-01-14,0.0,30.4,17.8,8.6,3.9,25.26,59.25,2.333333
2014-01-15,0.0,30.6,19.5,6.2,3.3,25.64,63.0,1.0
2014-01-16,0.0,32.2,20.0,6.6,4.0,26.84,63.0,1.666667
2014-01-17,0.0,32.0,19.1,11.2,5.1,25.16,57.25,1.666667
2014-01-18,0.0,32.5,18.9,9.9,4.2,25.06,59.25,1.0
2014-01-19,0.0,32.0,19.7,5.2,4.4,26.1,59.0,1.666667
2014-01-20,0.0,30.9,19.8,3.4,4.6,25.26,69.5,1.0
2014-01-21,0.0,31.5,19.8,6.9,5.1,25.56,62.25,1.0
2014-01-22,0.0,31.4,18.6,8.4,5.5,24.72,71.0,1.0
2014-01-23,0.0,32.0,20.1,7.6,5.0,26.12,63.75,1.666667
2014-01-24,0.0,31.6,17.7,7.1,4.9,25.38,41.25,3.0
2014-01-25,0.0,31.5,16.6,9.6,5.7,24.88,60.75,2.333333
2014-01-26,0.0,31.1,17.2,10.4,5.9,23.78,68.25,1.666667
2014-01-27,0.0,32.4,16.8,9.9,5.6,24.48,60.25,2.666667
2014-01-28,0.0,28.6,17.3,3.6,4.1,22.7,73.0,3.0
2014-01-29,1.9,30.0,17.3,5.1,3.3,22.7,76.75,1.666667
2014-01-30,4.0,30.2,17.3,6.0,2.9,22.7,61.25,2.333333
2014-01-31,0.0,30.3,15.7,7.0,3.4,23.94,65.75,3.0
2014-02-01,0.0,30.8,18.8,4.9,5.3,23.94,68.75,1.666667
2014-02-02,0.0,31.2,18.3,9.9,4.2,25.0,46.0,2.333333
2014-02-03,0.0,32.0,17.2,10.1,6.0,24.84,53.5,1.666667
2014-02-04,0.0,29.4,18.6,3.2,6.1,24.64,68.25,1.666667
2014-02-05,0.6,30.2,19.1,9.2,3.2,24.8,60.0,1.666667
2014-02-06,0.0,31.6,17.7,7.5,4.4,25.0,56.75,2.333333
2014-02-07,0.0,31.2,18.8,5.7,5.4,24.68,65.0,1.666667
2014-02-08,0.0,31.9,16.9,9.3,5.0,25.04,57.0,3.0
2014-02-09,0.0,32.1,19.3,7.9,5.4,25.44,55.0,2.333333
2014-02-10,0.0,30.1,18.0,6.8,5.1,25.18,54.5,1.666667
2014-02-11,0.0,31.6,19.2,5.5,5.5,25.28,60.75,2.333333
2014-02-12,0.0,30.9,19.2,7.4,4.4,25.34,59.5,1.666667
2014-02-13,0.0,33.0,16.5,11.2,5.6,26.32,43.5,1.666667
2014-02-14,0.0,33.4,19.3,9.0,5.9,27.16,49.5,1.666667
2014-02-15,0.0,33.6,19.3,9.6,5.7,26.26,59.25,3.0
2014-02-16,0.0,31.7,19.2,7.6,5.6,25.74,57.75,1.666667
2014-02-17,0.0,33.4,18.3,10.2,5.2,27.26,43.0,1.0
2014-02-18,0.0,32.7,20.2,10.1,4.6,26.76,49.0,2.333333
2014-02-19,0.0,30.9,20.0,3.2,5.2,24.2,71.5,1.0
2014-02-20,2.1,31.6,19.2,4.3,4.2,25.8,58.5,1.0
2014-02-21,0.0,31.6,18.7,5.4,4.0,25.22,58.5,3.0
2014-02-22,0.0,31.7,18.7,9.6,5.6,25.54,57.25,2.333333
2014-02-23,1.8,31.8,19.0,5.2,4.4,24.54,79.25,1.666667
2014-02-24,1.3,31.6,19.2,4.4,4.8,25.08,68.5,1.0
2014-02-25,0.0,31.7,19.2,5.0,4.3,25.18,67.75,2.333333
2014-02-26,0.0,32.0,20.0,9.3,5.5,25.92,59.75,4.3333330000000005
2014-02-27,0.0,30.5,18.8,0.7,4.0,24.86,70.5,1.0
2014-02-28,0.0,32.5,18.7,5.0,4.7,26.08,56.75,2.333333
2014-03-01,0.0,32.6,19.5,5.6,4.2,24.68,69.75,1.666667
2014-03-02,1.1,32.4,18.8,6.0,3.2,25.04,66.25,1.666667
2014-03-03,0.0,32.0,18.2,7.8,4.2,25.96,57.0,3.0
2014-03-04,1.2,32.0,18.9,5.1,4.5,24.38,78.25,1.666667
2014-03-05,19.0,30.9,18.6,5.3,3.9,24.9,59.5,1.666667
2014-03-06,0.0,30.7,16.0,9.9,3.6,24.54,54.75,2.333333
2014-03-07,0.0,31.1,17.4,8.8,3.7,24.68,58.25,1.666667
2014-03-08,0.0,33.0,19.9,9.9,4.5,26.5,58.25,2.333333
2014-03-09,0.0,32.4,20.2,10.5,5.6,26.96,47.25,1.666667
2014-03-10,0.0,31.9,19.7,6.5,6.4,26.18,59.75,2.333333
2014-03-11,0.0,32.0,20.8,6.0,4.3,26.32,58.75,2.333333
2014-03-12,0.0,31.7,17.7,9.1,5.9,25.14,60.0,3.0
2014-03-13,0.0,32.6,20.4,9.1,6.2,26.32,60.0,1.0
2014-03-14,0.0,31.7,19.8,8.2,5.9,25.52,60.25,3.0
2014-03-15,0.0,32.2,18.5,1.8,4.0,23.46,73.75,2.333333
2014-03-16,5.3,32.0,18.2,7.6,5.5,24.48,65.0,2.333333
2014-03-17,0.0,31.2,17.0,5.0,3.9,24.72,57.0,2.333333
2014-03-18,0.0,32.5,19.4,5.3,4.2,25.28,70.25,1.666667
2014-03-19,0.0,31.2,19.4,4.5,3.3,25.24,62.75,1.666667
2014-03-20,0.0,31.4,19.9,10.8,6.8,26.28,55.0,2.333333
2014-03-21,0.0,33.0,19.4,9.9,5.3,26.78,55.25,2.333333
2014-03-22,0.0,31.3,19.3,8.8,4.8,25.56,63.5,1.666667
2014-03-23,0.0,32.9,20.1,10.7,5.9,26.96,54.0,1.666667
2014-03-24,0.0,33.7,21.7,6.6,4.4,27.24,60.5,1.0
2014-03-25,0.0,31.8,20.4,4.9,4.6,26.08,66.0,1.666667
2014-03-26,0.0,32.0,21.4,6.1,4.9,26.82,59.0,2.333333
2014-03-27,59.5,31.0,18.6,4.0,2.1,24.68,78.0,2.333333
2014-03-28,14.8,31.2,20.2,7.9,3.3,25.72,62.75,1.666667
2014-03-29,0.0,32.2,19.9,6.8,5.8,25.58,65.5,1.666667
2014-03-30,0.0,31.9,20.8,0.4,4.1,25.32,64.75,1.666667
2014-03-31,0.0,31.9,18.9,10.0,4.8,26.46,54.25,3.0
2014-04-01,0.0,32.2,19.2,7.9,4.6,25.8,64.25,2.4
2014-04-02,0.0,32.0,19.8,8.8,5.3,26.6,53.5,1.666667
2014-04-03,0.0,33.0,17.9,10.0,5.2,26.42,55.25,1.7
2014-04-04,0.0,33.0,19.6,10.1,4.9,26.82,54.25,1.0
2014-04-05,0.9,31.8,20.2,5.6,5.4,25.96,62.75,2.333333
2014-04-06,38.8,29.2,19.5,3.1,5.4,23.94,80.5,2.333333
2014-04-07,0.0,31.9,20.5,4.2,5.8,25.04,74.5,2.333333
2014-04-08,0.0,30.9,19.8,4.2,2.5,24.66,80.0,2.333333
2014-04-09,21.8,31.5,18.7,9.0,5.4,25.32,68.75,1.333333
2014-04-10,0.0,32.7,18.2,9.9,4.9,26.18,58.5,1.7
2014-04-11,0.0,31.2,19.0,7.4,5.1,25.78,60.5,1.666667
2014-04-12,0.0,30.6,16.9,10.5,5.3,23.5,67.75,2.333333
2014-04-13,0.0,31.9,17.0,9.2,5.7,23.62,61.25,1.0
2014-04-14,0.0,32.0,19.9,10.1,5.4,26.64,50.75,0.5
2014-04-15,0.0,31.6,20.9,8.8,5.6,26.36,58.0,1.666667
2014-04-16,0.0,31.8,20.0,10.5,6.3,24.92,54.5,2.333333
2014-04-17,0.0,31.4,17.3,9.1,4.8,25.06,54.5,2.333333
2014-04-18,0.0,31.7,17.9,4.1,4.2,25.68,64.25,2.333333
2014-04-19,0.0,31.2,19.3,9.7,3.9,26.18,54.75,1.666667
2014-04-20,0.0,31.6,18.3,9.8,5.3,25.3,56.0,2.333333
2014-04-21,0.0,32.0,18.0,9.0,4.7,25.18,54.75,2.333333
2014-04-22,0.0,31.1,17.9,10.3,5.4,24.86,55.75,3.0
2014-04-23,0.0,31.3,18.3,10.3,5.2,24.72,59.5,1.666667
2014-04-24,0.0,32.6,16.7,9.7,5.5,24.66,56.5,1.666667
2014-04-25,0.0,32.5,16.9,10.0,3.5,25.94,55.0,2.333333
2014-04-26,0.0,32.1,20.4,1.9,1.3,25.3,70.5,1.666667
2014-04-27,7.9,27.9,17.9,0.6,3.1,22.64,80.5,3.0
2014-04-28,2.2,28.0,17.3,8.2,4.8,22.74,66.75,1.666667
2014-04-29,0.0,25.5,15.2,1.4,3.8,21.06,62.5,1.666667
2014-04-30,0.0,27.9,14.3,7.5,4.8,21.3,59.25,3.0
2014-05-01,0.0,27.6,17.3,0.8,3.2,22.62,76.0,1.666667
2014-05-02,0.0,30.9,14.7,10.2,5.1,23.28,64.5,1.666667
2014-05-03,0.0,30.5,18.3,3.2,4.7,23.66,65.75,1.666667
2014-05-04,0.0,29.2,17.8,2.8,3.2,23.46,60.0,1.666667
2014-05-05,0.0,29.4,17.7,7.1,4.5,23.8,58.75,1.666667
2014-05-06,0.0,28.1,18.3,6.5,4.2,23.22,74.25,1.666667
2014-05-07,1.5,29.4,16.8,2.8,2.4,23.42,70.75,2.333333
2014-05-08,0.0,30.4,17.3,7.9,3.6,23.76,68.0,1.0
2014-05-09,0.0,30.2,17.4,8.2,4.8,24.24,61.5,1.666667
2014-05-10,0.0,29.0,17.1,2.6,3.6,23.86,66.75,2.333333
2014-05-11,0.0,25.2,18.1,0.0,3.4,22.32,70.0,1.666667
2014-05-12,0.0,28.8,17.0,7.2,4.7,22.84,54.25,2.333333
2014-05-13,0.0,28.6,12.9,10.0,4.1,20.86,56.75,1.666667
2014-05-14,0.0,29.8,13.7,10.0,5.3,21.64,56.75,1.0
2014-05-15,0.0,30.4,14.2,9.8,5.6,23.16,64.25,2.333333
2014-05-16,0.0,30.2,18.4,5.7,4.1,24.36,68.5,2.333333
2014-05-17,0.0,31.2,19.3,4.4,3.1,24.84,66.5,2.333333
2014-05-18,1.3,29.6,18.1,4.6,3.6,23.42,70.75,1.666667
2014-05-19,0.0,29.6,17.5,4.6,3.9,23.26,67.0,1.0
2014-05-20,0.0,30.8,17.8,9.4,4.4,24.44,53.25,1.666667
2014-05-21,0.0,27.6,16.6,4.0,3.6,22.74,65.75,1.0
2014-05-22,0.0,31.0,16.0,9.6,4.8,24.54,61.0,1.0
2014-05-23,0.0,32.8,17.9,8.1,4.3,25.98,61.5,1.666667
2014-05-24,0.0,32.8,17.9,10.0,4.5,26.56,59.5,2.333333
2014-05-25,0.0,31.4,19.9,9.9,5.0,26.36,54.75,1.666667
2014-05-26,0.0,31.3,20.5,7.7,5.2,25.48,58.0,1.0
2014-05-27,0.0,31.2,18.6,10.0,4.6,24.2,61.25,1.0
