date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,31.2,19.3,9.2,7.0,24.76,61.25,3.65
2014-01-02,0.0,31.1,19.9,11.8,7.4,25.32,59.0,2.9666669999999997
2014-01-03,0.0,30.4,19.9,11.1,8.0,24.86,62.5,3.666667
2014-01-04,0.0,32.0,20.0,11.6,9.3,25.52,54.25,2.3
2014-01-05,0.0,31.8,19.4,11.4,9.9,26.0,50.0,3.4
2014-01-06,0.0,31.8,19.5,10.0,10.3,25.2,60.0,5.3
2014-01-07,0.0,31.8,19.6,11.2,10.0,25.82,53.0,3.5333330000000003
2014-01-08,0.0,30.2,18.7,9.2,9.4,25.52,48.0,4.6
2014-01-09,1.7,31.9,19.0,10.3,9.0,24.98,59.5,3.166667
2014-01-10,0.0,32.8,20.4,10.7,9.0,26.02,61.25,6.4
2014-01-11,0.0,31.2,19.9,7.2,9.7,26.26,48.0,4.066667
2014-01-12,0.0,31.4,20.8,5.7,8.8,26.1,57.0,4.3
2014-01-13,0.0,30.9,19.8,5.0,8.2,25.5,60.75,3.166667
2014-01-14,0.0,31.3,19.7,7.3,8.2,25.28,55.75,3.4
2014-01-15,0.0,32.6,20.4,9.1,8.5,26.46,53.5,3.6333330000000004
2014-01-16,0.0,32.3,20.1,10.5,4.6,26.56,53.0,4.0
2014-01-17,0.0,33.2,18.9,11.9,10.6,25.8,50.0,3.5
2014-01-18,0.0,33.2,20.5,9.8,10.2,26.48,51.0,3.1
2014-01-19,0.0,32.0,20.0,8.3,8.7,25.84,56.5,4.05
2014-01-20,0.0,33.8,21.7,10.0,9.0,27.62,51.75,3.766667
2014-01-21,0.0,30.7,21.2,2.7,10.5,25.56,66.25,3.3
2014-01-22,0.0,33.3,20.1,9.9,7.7,26.82,50.75,3.85
2014-01-23,0.0,33.2,20.1,10.5,10.8,26.44,59.75,4.233333
2014-01-24,0.0,32.5,20.0,9.6,10.8,26.48,55.0,3.8666669999999996
2014-01-25,0.0,32.6,20.6,8.7,7.9,26.8,47.5,3.95
2014-01-26,0.0,33.0,20.3,6.1,10.5,24.44,70.25,0.7
2014-01-27,4.6,33.4,19.8,8.9,7.9,24.76,73.5,5.45
2014-01-28,1.8,30.6,19.9,10.0,8.4,24.88,69.5,4.85
2014-01-29,0.0,32.6,19.5,10.7,8.7,26.16,60.5,5.55
2014-01-30,0.0,32.1,20.0,10.5,9.9,25.58,60.25,5.15
2014-01-31,0.0,32.8,20.0,11.3,10.9,26.16,57.0,4.2
2014-02-01,5.9,29.1,18.3,3.6,11.1,24.08,67.0,4.45
