date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,27.6,18.7,7.8,4.1,21.72,69.75,3.333333
2014-01-02,0.0,28.3,17.4,8.6,3.1,21.78,65.25,3.0
2014-01-03,0.0,27.8,17.6,8.5,4.3,21.6,65.0,3.666667
2014-01-04,0.0,29.6,18.1,11.1,4.6,22.72,60.0,3.666667
2014-01-05,0.0,27.9,18.0,10.1,5.1,21.68,62.75,3.333333
2014-01-06,0.0,27.8,16.5,10.8,5.2,21.48,67.25,3.0
2014-01-07,0.0,27.9,17.3,11.0,4.9,21.96,61.5,4.0
2014-01-08,1.2,27.1,17.5,10.5,5.4,21.42,65.75,3.666667
2014-01-09,0.0,28.4,17.2,9.8,4.3,22.04,63.25,3.0
2014-01-10,0.0,28.8,18.8,9.3,4.4,22.94,69.25,4.3333330000000005
2014-01-11,4.2,27.0,18.6,8.2,4.3,21.86,70.75,4.0
2014-01-12,0.2,26.0,18.6,4.1,3.5,21.36,78.25,3.666667
2014-01-13,1.1,27.1,18.5,7.6,3.0,21.92,71.25,3.666667
2014-01-14,0.6,27.9,17.7,9.0,4.0,22.24,64.0,4.3333330000000005
2014-01-15,0.0,28.1,17.9,8.4,4.9,22.26,68.5,4.0
2014-01-16,0.0,28.8,18.0,9.2,4.1,22.6,68.25,3.666667
2014-01-17,0.0,29.7,16.4,11.5,4.4,22.66,59.25,2.666667
2014-01-18,0.0,28.8,19.2,6.7,4.5,23.14,65.5,2.666667
2014-01-19,0.0,29.4,19.0,6.4,4.0,22.92,68.25,3.333333
2014-01-20,0.0,29.0,19.5,8.3,4.0,23.44,67.75,3.0
2014-01-21,0.0,26.4,18.9,2.5,4.4,21.86,77.25,4.0
2014-01-22,0.0,29.7,18.7,9.9,3.0,22.88,67.5,2.566667
2014-01-23,0.0,28.0,18.3,7.5,5.0,21.94,65.5,2.333333
2014-01-24,0.0,28.4,16.9,8.6,3.5,21.94,61.75,1.666667
2014-01-25,0.0,28.2,18.1,8.6,4.8,22.14,66.75,3.333333
2014-01-26,0.0,28.4,16.3,8.1,4.4,20.58,76.75,4.3333330000000005
2014-01-27,4.4,27.0,18.3,8.6,4.2,21.82,77.5,5.3333330000000005
2014-01-28,0.0,26.5,17.1,8.7,4.4,21.08,71.75,4.3333330000000005
2014-01-29,0.0,28.0,16.9,10.7,4.3,21.74,72.0,4.6666669999999995
2014-01-30,0.0,28.8,17.9,8.8,5.2,22.34,64.25,4.0
2014-01-31,0.0,28.4,17.5,9.0,5.4,22.18,65.25,3.666667
2014-02-01,3.0,22.6,17.3,0.1,4.4,19.5,87.5,2.0
