date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.4,22.2,10.2,0.0,27.8,55.5,2.566667
2014-01-02,0.1,33.6,21.2,11.4,0.0,27.24,56.75,3.6
2014-01-03,0.0,33.1,21.6,10.1,0.0,27.42,50.25,4.4
2014-01-04,0.0,33.9,21.6,11.5,0.0,27.66,50.5,2.3666669999999996
2014-01-05,0.0,32.8,22.3,11.5,0.0,27.14,53.75,4.3
2014-01-06,0.0,33.0,21.6,10.1,0.0,26.76,58.75,3.7
2014-01-07,0.0,33.2,21.6,9.8,0.0,26.92,54.25,4.733333
2014-01-08,0.0,31.2,20.8,6.4,0.0,26.12,59.25,2.766667
2014-01-09,0.0,34.3,21.6,9.1,0.0,27.62,58.75,2.3666669999999996
2014-01-10,0.0,32.4,24.0,3.8,0.0,28.28,56.5,2.566667
2014-01-11,0.0,35.0,22.6,9.1,0.0,27.96,54.75,3.1
2014-01-12,0.0,33.7,23.4,8.2,0.0,27.98,51.5,3.9
2014-01-13,0.0,33.6,22.0,9.7,0.0,27.4,58.75,4.4
2014-01-14,0.0,32.8,23.2,4.9,0.0,27.08,69.0,4.133333
2014-01-15,7.0,33.1,22.6,8.3,0.0,27.86,55.5,3.9
2014-01-16,0.0,34.5,22.6,10.5,0.0,28.1,51.75,4.15
2014-01-17,0.0,34.9,22.2,9.5,0.0,28.32,59.25,2.766667
2014-01-18,0.0,35.7,23.6,10.0,0.0,28.98,57.25,2.9666669999999997
2014-01-19,0.0,35.0,24.0,9.0,0.0,28.92,55.5,4.066667
2014-01-20,0.0,36.2,22.8,11.2,0.0,28.76,54.0,3.933333
2014-01-21,0.0,34.6,22.8,9.2,0.0,28.28,52.25,3.8
2014-01-22,0.0,35.5,22.8,10.2,0.0,28.22,50.75,3.5
2014-01-23,0.0,34.9,21.8,11.2,0.0,28.02,55.0,3.833333
2014-01-24,0.0,35.4,22.4,10.8,0.0,28.16,54.0,3.566667
2014-01-25,0.0,33.6,22.4,10.6,0.0,28.44,49.0,4.1
2014-01-26,0.0,34.8,23.8,10.0,0.0,28.72,53.5,4.1666669999999995
2014-01-27,0.0,32.2,23.4,7.8,0.0,27.36,63.25,4.1666669999999995
2014-01-28,0.5,34.2,21.0,10.4,0.0,27.08,57.75,3.9666669999999997
2014-01-29,0.0,34.5,23.3,10.1,0.0,27.66,58.5,4.5
2014-01-30,0.0,31.8,23.1,6.5,0.0,27.26,59.5,4.433333
2014-01-31,0.0,33.6,21.8,10.1,0.0,27.28,56.5,5.6666669999999995
2014-02-01,0.0,34.6,22.4,10.9,0.0,27.6,55.5,4.6666669999999995
2014-02-02,0.0,35.5,22.8,10.6,0.0,28.06,56.5,4.066667
2014-02-03,1.1,28.8,22.6,4.9,0.0,25.84,70.5,4.1
2014-02-04,0.0,30.0,21.6,5.3,0.0,26.86,59.5,4.033333
2014-02-05,0.0,34.1,22.6,7.5,0.0,27.42,56.75,3.566667
2014-02-06,0.0,31.2,22.4,2.5,0.0,25.44,69.25,3.3
2014-02-07,5.7,32.8,20.2,7.5,0.0,26.16,63.5,3.666667
2014-02-08,0.0,33.4,22.4,11.0,0.0,27.6,55.75,4.266667
2014-02-09,0.0,34.0,22.4,10.3,0.0,27.44,59.5,3.5
2014-02-10,0.0,33.0,22.9,7.6,0.0,27.78,55.25,2.833333
2014-02-11,0.0,34.7,22.3,11.0,0.0,27.8,55.5,5.0
2014-02-12,0.0,35.2,23.0,9.9,0.0,28.24,49.5,4.15
2014-02-13,0.0,35.2,22.2,10.8,0.0,27.92,54.0,4.6
2014-02-14,0.0,35.1,22.4,10.9,0.0,28.54,54.0,3.6333330000000004
2014-02-15,0.0,36.1,23.8,7.4,0.0,28.58,62.75,2.1
2014-02-16,6.3,34.7,23.8,8.2,0.0,28.38,60.5,2.233333
2014-02-17,0.0,34.4,23.8,8.8,0.0,28.68,53.75,2.9
2014-02-18,0.0,34.8,22.6,10.0,0.0,28.56,49.75,4.066667
2014-02-19,0.0,34.8,23.2,8.4,0.0,28.68,51.5,4.1666669999999995
2014-02-20,0.0,33.7,22.7,7.4,0.0,26.68,73.0,3.333333
2014-02-21,5.6,32.2,22.6,3.2,0.0,27.18,62.5,4.766667
2014-02-22,1.5,31.8,22.8,3.6,0.0,26.44,69.25,4.0
2014-02-23,0.0,34.5,22.8,6.9,0.0,27.88,61.75,2.566667
2014-02-24,0.0,34.8,23.6,9.0,0.0,28.52,54.25,4.5
2014-02-25,0.0,34.0,22.8,10.7,0.0,27.88,57.0,3.166667
2014-02-26,0.0,34.2,22.6,8.9,0.0,27.96,56.75,4.7
2014-02-27,0.0,33.0,23.2,3.4,0.0,28.18,55.75,2.566667
