date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,31.4,22.5,10.2,0.0,27.0,61.75,0.0
2014-01-02,0.0,32.0,22.3,10.9,0.0,27.08,55.25,0.0
2014-01-03,0.0,31.8,22.7,11.3,0.0,27.0,56.75,0.0
2014-01-04,0.0,33.0,23.1,11.5,0.0,27.32,62.75,0.0
2014-01-05,0.0,32.6,22.9,11.1,0.0,27.32,60.5,0.0
2014-01-06,0.0,31.6,21.7,11.7,0.0,26.0,65.0,0.0
2014-01-07,0.0,32.4,22.9,11.7,0.0,27.2,53.5,0.0
2014-01-08,0.0,32.1,23.7,11.7,0.0,27.7,55.75,0.0
2014-01-09,0.0,32.0,23.3,11.4,0.0,27.32,66.25,0.0
2014-01-10,0.0,30.4,22.7,4.7,0.0,26.16,70.25,0.0
2014-01-11,0.0,32.2,23.1,6.1,0.0,27.68,63.25,0.0
2014-01-12,0.0,31.6,23.9,10.2,0.0,27.36,64.0,0.0
2014-01-13,0.0,30.6,23.7,5.7,0.0,26.8,68.5,0.0
2014-01-14,0.0,31.0,24.7,4.6,0.0,27.28,60.5,0.0
2014-01-15,0.0,31.8,22.7,5.7,0.0,26.8,64.25,0.0
2014-01-16,0.0,33.0,23.9,8.8,0.0,28.4,56.75,0.0
2014-01-17,0.0,33.9,21.8,11.2,0.0,27.48,66.5,0.0
2014-01-18,0.0,33.9,22.3,11.4,0.0,28.02,67.0,0.0
2014-01-19,0.0,32.8,24.1,11.6,0.0,28.32,65.5,0.0
2014-01-20,0.0,33.2,23.7,9.5,0.0,28.36,61.75,0.0
2014-01-21,0.0,32.4,23.9,8.6,0.0,27.84,62.25,0.0
2014-01-22,0.0,33.6,23.3,10.7,0.0,28.08,62.0,0.0
2014-01-23,0.0,33.4,24.3,11.2,0.0,28.12,55.75,0.0
2014-01-24,0.0,32.8,23.3,7.5,0.0,28.04,59.5,0.0
2014-01-25,0.0,32.8,23.9,9.9,0.0,27.8,51.75,0.0
2014-01-26,0.0,33.4,22.5,7.1,0.0,27.64,57.75,0.0
2014-01-27,0.0,33.4,24.5,11.4,0.0,28.52,55.25,0.0
2014-01-28,0.0,32.8,24.5,8.1,0.0,27.96,58.0,0.0
2014-01-29,0.0,32.8,24.1,10.3,0.0,27.76,55.75,0.0
2014-01-30,0.0,32.8,24.5,9.8,0.0,28.08,66.25,0.0
2014-01-31,0.0,32.8,23.5,11.0,0.0,28.16,58.0,0.0
2014-02-01,0.0,32.8,24.5,8.6,0.0,28.08,62.25,0.0
2014-02-02,0.0,33.0,23.7,11.8,0.0,28.44,57.5,0.0
2014-02-03,0.0,33.2,24.3,1.8,0.0,28.32,58.0,0.0
2014-02-04,0.0,33.8,23.3,11.0,0.0,27.8,61.5,0.0
2014-02-05,0.0,31.8,23.7,5.8,0.0,27.96,60.75,0.0
2014-02-06,0.0,33.8,23.9,11.7,0.0,27.84,49.0,0.0
2014-02-07,0.0,32.4,23.9,4.8,0.0,28.08,59.0,0.0
2014-02-08,0.0,32.6,24.7,9.5,0.0,28.44,55.25,0.0
2014-02-09,0.0,32.6,23.9,10.6,0.0,27.84,67.25,0.0
2014-02-10,0.0,33.8,24.3,11.3,0.0,29.36,49.5,0.0
2014-02-11,0.0,34.0,24.9,11.3,0.0,28.76,56.75,0.0
2014-02-12,0.0,32.4,24.5,10.3,0.0,28.4,59.25,0.0
2014-02-13,0.0,33.2,25.1,9.0,0.0,28.68,60.25,0.0
2014-02-14,0.0,32.8,25.4,8.4,0.0,28.78,55.5,0.0
2014-02-15,0.0,31.4,24.3,4.0,0.0,26.4,75.0,0.0
2014-02-16,0.0,32.0,23.7,1.9,0.0,28.12,72.25,0.0
2014-02-17,5.2,28.9,20.9,1.2,0.0,23.88,87.75,0.0
2014-02-18,12.0,31.0,20.7,2.8,0.0,25.92,76.5,0.0
2014-02-19,26.0,31.0,20.7,3.2,0.0,24.84,79.0,0.0
2014-02-20,1.4,28.0,21.9,0.3,0.0,25.32,77.75,0.0
2014-02-21,23.6,31.6,21.7,4.5,0.0,26.52,68.5,0.0
2014-02-22,0.0,31.8,24.3,7.6,0.0,27.36,63.0,0.0
2014-02-23,0.0,32.2,22.1,8.9,0.0,27.04,66.25,0.0
2014-02-24,0.0,32.6,23.3,11.6,0.0,27.92,62.5,0.0
2014-02-25,0.0,31.6,24.1,11.0,0.0,27.68,66.25,0.0
2014-02-26,0.0,31.8,23.9,10.0,0.0,27.6,65.75,0.0
2014-02-27,0.0,30.0,24.3,4.7,0.0,26.72,70.25,0.0
2014-02-28,0.0,30.2,24.9,1.7,0.0,27.08,65.0,0.0
2014-03-01,5.0,30.2,21.3,5.3,0.0,24.96,79.5,0.0
2014-03-02,0.0,30.2,23.7,7.8,0.0,26.6,77.75,0.0
2014-03-03,11.2,30.6,22.7,4.8,0.0,25.6,80.75,0.0
2014-03-04,0.1,31.0,23.3,5.4,0.0,26.4,74.5,0.0
2014-03-05,23.6,29.8,21.5,6.3,0.0,25.76,79.5,0.0
2014-03-06,0.0,31.4,21.9,11.5,0.0,26.4,65.75,0.0
2014-03-07,0.0,31.2,22.1,1.1,0.0,27.08,68.5,0.0
2014-03-08,0.0,31.8,23.7,9.4,0.0,28.04,63.75,0.0
2014-03-09,0.0,31.4,24.1,6.6,0.0,27.2,71.5,0.0
2014-03-10,5.0,31.2,22.9,9.5,0.0,26.96,73.0,0.0
2014-03-11,0.0,31.8,22.7,8.2,0.0,27.0,62.75,0.0
2014-03-12,0.0,32.8,24.1,10.9,0.0,27.72,60.0,0.0
2014-03-13,0.0,32.4,24.7,10.7,0.0,28.36,59.0,0.0
2014-03-14,0.0,30.4,24.5,4.5,0.0,26.76,63.25,0.0
2014-03-15,0.0,32.4,22.7,9.8,0.0,27.48,61.25,0.0
2014-03-16,0.0,32.8,24.1,8.5,0.0,27.8,71.75,0.0
2014-03-17,0.0,32.4,24.5,9.4,0.0,27.68,67.25,0.0
2014-03-18,0.0,31.8,23.5,6.7,0.0,27.44,70.0,0.0
2014-03-19,0.0,33.4,24.1,10.4,0.0,28.3,57.5,0.0
2014-03-20,0.0,33.8,25.1,1.1,0.0,28.8,57.5,0.0
2014-03-21,0.0,34.0,24.3,11.1,0.0,28.76,67.75,0.0
2014-03-22,0.0,34.0,26.4,11.0,0.0,29.34,62.5,0.0
2014-03-23,0.0,34.4,25.6,9.7,0.0,29.66,59.75,0.0
2014-03-24,1.3,34.2,25.6,9.7,0.0,28.94,59.5,0.0
2014-03-25,0.0,32.8,22.9,10.2,0.0,27.84,67.25,0.0
2014-03-26,0.0,33.4,24.9,10.9,0.0,28.52,65.0,0.0
2014-03-27,0.0,32.4,24.1,9.8,0.0,27.6,68.75,0.0
2014-03-28,0.0,32.2,23.9,4.6,0.0,26.76,72.75,0.0
2014-03-29,11.2,32.0,22.5,7.4,0.0,26.24,73.25,0.0
2014-03-30,18.0,31.4,21.5,6.2,0.0,26.28,75.5,0.0
2014-03-31,0.0,32.4,23.1,9.5,0.0,27.84,55.75,0.0
2014-04-01,0.0,33.2,24.7,10.8,0.0,28.38,64.75,0.0
2014-04-02,0.0,31.6,23.5,9.5,0.0,27.72,63.5,0.0
2014-04-03,0.0,32.6,21.7,11.7,0.0,28.16,59.75,0.0
2014-04-04,0.0,31.8,21.5,6.2,0.0,27.76,62.5,0.0
2014-04-05,0.0,31.6,23.1,6.0,0.0,27.6,69.0,0.0
2014-04-06,0.0,33.6,24.3,10.2,0.0,28.32,60.5,0.0
2014-04-07,41.2,30.4,21.7,6.7,0.0,26.08,80.25,0.0
2014-04-08,21.4,28.8,21.9,4.9,0.0,24.76,87.25,0.0
2014-04-09,2.3,30.4,21.7,6.1,0.0,26.26,76.0,0.0
2014-04-10,37.6,26.4,20.7,0.0,0.0,22.88,95.5,0.0
2014-04-11,33.8,30.2,20.7,8.8,0.0,25.48,81.25,0.0
2014-04-12,1.8,30.4,23.1,10.1,0.0,26.6,67.5,0.0
2014-04-13,0.0,31.8,23.1,9.3,0.0,27.12,72.25,0.0
2014-04-14,0.0,32.7,23.3,9.3,0.0,27.3,68.0,0.0
2014-04-15,0.0,31.0,24.9,11.0,0.0,27.3,59.75,0.0
2014-04-16,0.0,30.8,23.7,9.9,0.0,26.88,67.25,0.0
2014-04-17,0.0,30.2,23.3,9.5,0.0,26.44,63.75,0.0
2014-04-18,0.0,31.2,21.3,11.1,0.0,27.04,62.5,0.0
2014-04-19,0.0,31.8,22.5,11.0,0.0,27.24,65.0,0.0
2014-04-20,0.0,31.0,23.9,10.8,0.0,27.44,67.5,0.0
2014-04-21,0.0,30.6,24.1,9.8,0.0,26.64,67.0,0.0
2014-04-22,0.0,31.6,21.7,10.6,0.0,26.28,65.75,0.0
2014-04-23,0.0,31.8,22.3,10.9,0.0,27.0,60.5,0.0
2014-04-24,0.0,31.8,23.3,10.8,0.0,27.48,64.5,0.0
