date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,33.5,21.6,8.4,6.8,26.9,60.0,3.5
2014-01-02,0.0,33.7,20.8,9.2,6.2,26.74,54.75,2.666667
2014-01-03,0.0,33.4,21.0,9.3,6.3,26.24,58.0,3.0
2014-01-04,0.0,34.8,20.8,10.9,6.5,26.84,52.75,2.5
2014-01-05,0.0,33.4,20.8,9.6,6.9,27.4,56.75,3.5
2014-01-06,0.0,30.6,19.8,7.1,5.6,24.96,62.0,2.5
2014-01-07,0.1,32.6,20.0,8.4,4.5,25.36,65.25,2.5
2014-01-08,0.0,33.4,19.6,9.6,4.7,25.84,57.75,2.166667
2014-01-09,0.0,33.4,20.0,9.8,4.9,25.72,57.5,2.0
2014-01-10,0.0,33.5,21.6,7.9,6.2,26.5,64.0,3.833333
2014-01-11,0.0,33.2,21.9,7.5,6.3,26.5,63.5,3.166667
2014-01-12,0.0,32.2,22.2,8.0,5.5,26.52,58.75,4.5
2014-01-13,0.0,33.7,20.6,7.1,6.7,26.5,62.0,3.0
2014-01-14,0.8,33.5,21.4,6.0,5.5,26.42,58.25,3.0
2014-01-15,0.0,33.2,21.5,6.5,5.6,26.46,62.5,3.0
2014-01-16,0.0,34.4,20.8,8.5,5.5,26.28,57.75,2.5
2014-01-17,0.0,35.5,19.7,10.2,4.8,26.28,55.5,2.0
2014-01-18,0.0,35.6,22.3,8.0,5.7,26.66,61.75,1.833333
2014-01-19,0.0,34.6,22.0,8.1,6.2,26.84,60.0,2.833333
2014-01-20,0.0,35.0,22.1,8.3,6.1,27.22,60.0,3.5
2014-01-21,0.9,31.2,22.0,3.6,5.9,25.28,75.75,3.0
2014-01-22,0.0,33.2,21.6,7.9,4.0,26.36,60.0,2.0
2014-01-23,0.0,33.0,20.8,9.6,5.3,26.24,54.5,2.5
2014-01-24,0.0,34.2,21.5,7.9,6.2,26.7,60.75,2.5
2014-01-25,0.0,34.5,21.2,9.5,6.5,26.62,57.5,2.5
2014-01-26,0.0,33.8,21.0,9.1,7.6,26.4,64.25,2.5
