date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,32.8,18.8,8.2,9.0,26.68,59.0,5.5
2014-01-02,0.0,33.4,19.8,10.9,8.5,26.88,53.0,5.5
2014-01-03,0.0,31.8,20.2,7.5,8.3,26.2,66.0,5.5
2014-01-04,0.0,33.0,19.8,8.3,6.6,26.76,55.0,5.0
2014-01-05,0.0,31.5,19.2,6.4,7.0,25.52,73.0,3.5
2014-01-06,10.0,33.0,18.8,10.9,4.4,26.4,56.0,4.5
2014-01-07,0.4,32.2,20.2,6.9,8.7,25.52,63.0,5.0
2014-01-08,0.0,33.2,18.4,11.0,8.2,26.0,52.0,5.0
2014-01-09,0.0,32.6,19.0,10.1,10.0,25.72,65.0,4.0
2014-01-10,0.2,31.2,19.6,6.7,7.6,25.84,62.0,5.5
2014-01-11,0.0,33.8,20.8,9.0,6.8,27.12,48.0,4.5
2014-01-12,0.0,32.0,20.8,7.9,11.5,26.64,60.0,4.5
2014-01-13,1.6,31.0,20.8,2.9,6.0,25.24,75.0,3.5
2014-01-14,1.8,32.4,19.0,6.1,9.5,25.52,72.0,4.0
2014-01-15,0.6,32.0,20.4,6.7,5.0,26.4,60.0,6.0
2014-01-16,0.0,34.0,18.8,9.4,6.7,25.76,77.0,4.5
2014-01-17,5.4,32.8,21.0,9.0,6.1,26.8,62.0,3.5
2014-01-18,0.0,34.0,20.0,8.0,6.0,26.88,67.0,4.5
2014-01-19,0.1,30.4,21.0,2.5,6.1,24.8,87.0,4.0
2014-01-20,6.0,29.6,18.6,3.0,2.4,24.54,77.0,2.5
2014-01-21,0.2,30.6,19.4,4.5,3.2,25.32,63.0,4.0
2014-01-22,0.0,33.4,19.2,11.0,5.5,26.44,55.0,5.0
2014-01-23,0.0,33.0,19.4,7.0,7.0,26.76,55.0,5.0
2014-01-24,0.0,32.2,20.4,6.3,7.0,25.96,66.0,6.0
2014-01-25,0.0,32.6,21.0,2.2,5.6,26.52,56.0,4.5
2014-01-26,0.0,32.6,20.6,9.5,7.0,27.08,53.0,5.0
2014-01-27,3.2,31.6,19.0,4.7,9.5,25.4,67.0,7.5
2014-01-28,0.0,32.2,19.4,8.5,6.4,26.24,53.0,5.5
2014-01-29,0.0,32.4,20.8,9.9,10.5,27.0,50.0,5.0
2014-01-30,0.0,31.8,20.0,3.4,9.5,24.52,83.0,6.5
2014-01-31,12.2,31.4,19.2,4.1,7.9,25.54,67.0,5.0
2014-02-01,0.0,31.8,18.6,8.1,6.7,26.12,59.0,3.5
2014-02-02,0.0,34.2,20.2,9.3,8.0,27.44,56.0,5.0
2014-02-03,0.0,33.2,22.0,8.0,10.2,27.56,54.0,5.0
2014-02-04,0.0,28.8,20.2,0.0,8.6,24.46,77.0,4.5
2014-02-05,0.0,31.8,19.8,4.4,3.0,25.96,60.0,4.5
2014-02-06,0.0,32.6,20.2,8.1,6.7,26.16,56.0,3.0
2014-02-07,0.8,30.2,19.0,4.1,7.3,24.34,75.0,5.5
2014-02-08,1.0,33.4,20.0,5.1,4.5,26.52,64.0,5.5
2014-02-09,34.0,29.8,19.0,3.7,5.8,24.14,85.0,2.5
2014-02-10,0.0,30.4,21.8,3.6,2.3,25.34,81.0,4.5
2014-02-11,0.6,26.8,19.2,1.1,2.2,23.22,88.0,4.0
2014-02-12,5.9,30.0,19.1,6.5,2.0,25.0,88.0,2.5
2014-02-13,0.0,30.6,20.0,4.3,4.1,25.48,72.0,4.0
2014-02-14,0.0,27.8,19.8,2.7,4.2,24.2,79.0,5.0
2014-02-15,0.0,29.3,19.6,3.2,3.1,24.88,74.0,5.5
2014-02-16,0.7,26.4,19.8,0.0,3.7,22.94,91.0,1.0
2014-02-17,2.2,23.6,18.2,0.2,1.9,21.14,94.0,1.0
2014-02-18,8.1,30.2,17.4,7.3,1.0,24.16,80.0,3.5
2014-02-19,0.1,28.7,18.2,3.8,3.6,23.74,85.0,4.5
2014-02-20,0.4,27.4,19.2,0.2,3.4,23.42,87.0,2.5
2014-02-21,0.4,29.8,19.3,1.7,2.5,24.5,75.0,5.0
2014-02-22,0.0,30.2,18.7,1.6,5.4,24.68,71.0,5.0
2014-02-23,2.0,31.0,19.0,6.6,5.1,24.7,80.0,4.5
2014-02-24,0.0,31.6,18.8,9.1,3.7,25.12,72.0,5.0
2014-02-25,0.0,32.6,18.2,8.3,5.5,25.88,69.0,3.5
2014-02-26,0.0,32.4,19.3,8.0,5.0,25.98,63.0,5.0
2014-02-27,1.0,28.4,19.3,1.1,6.0,23.92,81.0,4.5
2014-02-28,0.0,28.8,18.8,1.1,2.2,23.92,77.0,3.5
2014-03-01,0.0,31.8,19.0,7.7,5.1,25.7,67.0,4.0
2014-03-02,0.0,31.0,20.2,4.7,3.3,25.48,73.0,3.5
2014-03-03,2.0,27.0,20.0,0.1,4.3,23.66,82.0,2.5
2014-03-04,1.4,25.4,18.8,0.0,1.6,22.94,86.0,4.5
2014-03-05,18.3,29.3,17.0,2.0,0.6,23.28,91.0,2.0
2014-03-06,1.9,28.6,18.4,6.4,2.0,23.48,85.0,3.5
2014-03-07,3.5,29.2,19.0,4.1,1.9,23.3,91.0,3.0
2014-03-08,17.6,29.6,19.0,9.7,1.5,24.42,80.0,4.5
2014-03-09,0.0,27.6,19.4,2.3,3.4,23.8,84.0,3.0
