date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.5,28.4,18.9,7.5,3.5,21.76,80.0,3.3
2014-01-02,0.4,26.6,18.9,5.7,3.5,21.2,85.0,3.3
2014-01-03,37.2,26.2,18.3,5.1,2.0,20.64,87.25,3.3
2014-01-04,4.2,27.2,18.3,7.7,2.0,21.04,85.25,3.0333330000000003
2014-01-05,1.0,24.8,18.5,2.1,2.5,20.44,87.75,2.4
2014-01-06,6.2,25.8,18.9,1.2,1.7,21.2,88.75,3.1
2014-01-07,11.2,23.4,18.5,0.0,1.8,20.44,88.25,2.5
2014-01-08,0.0,27.6,18.5,5.5,1.7,21.2,85.25,3.433333
2014-01-09,0.0,24.4,18.9,1.4,2.4,20.56,92.25,3.3
2014-01-10,6.0,25.6,18.7,7.0,0.9,21.36,83.25,3.266667
2014-01-11,0.0,27.6,18.5,8.1,2.7,21.32,79.25,3.566667
2014-01-12,1.8,24.4,18.9,1.9,3.4,20.44,93.25,3.433333
2014-01-13,29.4,25.6,18.7,3.3,0.8,20.96,91.75,2.9666669999999997
2014-01-14,6.0,26.8,18.5,6.5,1.3,21.32,88.75,2.9666669999999997
2014-01-15,2.2,27.6,18.9,4.7,3.1,22.04,84.0,3.1
2014-01-16,4.8,26.4,19.7,4.8,3.0,21.36,91.25,3.066667
2014-01-17,0.0,26.4,18.7,5.4,1.8,21.4,85.75,3.066667
2014-01-18,0.0,26.6,19.3,3.7,1.8,21.44,85.5,2.9
2014-01-19,1.2,24.6,19.5,2.2,2.5,21.0,93.5,3.2
2014-01-20,6.6,23.6,19.3,0.5,1.5,20.52,90.25,3.3
2014-01-21,1.6,26.4,18.5,6.9,1.8,21.36,71.25,3.4
2014-01-22,0.0,27.4,18.7,5.7,4.7,21.4,83.25,3.1
2014-01-23,0.0,28.4,18.9,7.3,3.0,21.8,81.0,3.2
2014-01-24,0.0,27.4,18.5,7.2,3.3,21.68,79.5,3.6
2014-01-25,0.0,24.2,18.9,0.0,5.3,20.6,84.5,1.9333330000000002
2014-01-26,0.0,28.2,19.1,5.4,1.9,21.44,82.25,2.566667
2014-01-27,8.8,27.8,19.1,4.7,2.5,21.92,87.5,3.6333330000000004
2014-01-28,0.0,27.8,18.9,6.3,4.0,21.76,76.75,2.8
2014-01-29,0.0,27.6,18.5,5.7,3.0,22.2,76.75,2.7
2014-01-30,9.0,23.2,19.3,0.0,2.7,20.6,97.5,2.433333
2014-01-31,17.4,26.4,18.5,3.3,0.1,21.2,84.5,1.833333
2014-02-01,0.0,26.6,19.1,3.5,2.7,21.48,89.0,1.2
2014-02-02,0.0,28.2,19.3,3.5,1.2,21.88,88.25,2.733333
2014-02-03,0.6,26.4,19.1,3.0,2.0,20.76,89.75,2.733333
2014-02-04,9.6,22.4,18.5,0.1,1.0,19.84,88.75,0.833333
2014-02-05,0.0,26.4,18.3,3.8,1.4,20.6,86.75,2.166667
2014-02-06,0.0,26.6,18.5,2.1,4.1,20.84,87.0,3.2
2014-02-07,0.0,26.4,18.9,3.2,2.0,21.08,88.5,3.066667
2014-02-08,4.8,24.2,19.1,4.0,2.5,20.96,91.75,2.3666669999999996
2014-02-09,16.4,25.4,18.5,1.3,1.0,20.76,88.75,2.8
2014-02-10,4.8,25.8,18.5,2.4,2.5,20.84,90.25,3.3
2014-02-11,2.2,25.6,19.7,2.5,1.0,21.16,92.0,2.5333330000000003
2014-02-12,2.8,24.6,18.9,1.2,2.0,20.92,89.75,2.733333
2014-02-13,20.2,25.0,19.1,2.3,1.0,21.12,91.5,3.5
2014-02-14,0.0,24.0,19.5,0.6,1.3,21.04,91.75,2.933333
2014-02-15,21.0,24.6,18.5,2.0,0.7,21.0,91.25,3.4
2014-02-16,1.0,25.2,19.5,1.6,1.5,21.24,96.25,2.6333330000000004
2014-02-17,0.4,23.4,18.5,1.8,1.0,20.92,85.0,2.333333
2014-02-18,0.0,24.6,18.9,1.8,2.6,21.0,89.75,1.9666669999999997
2014-02-19,1.8,21.2,18.7,0.0,1.1,20.08,96.0,4.1
2014-02-20,19.0,21.8,19.5,0.0,0.6,20.56,94.75,3.4666669999999997
2014-02-21,6.8,25.2,18.9,3.7,0.8,21.08,94.25,3.4666669999999997
2014-02-22,9.2,25.6,18.1,5.1,0.9,21.08,82.5,2.7
2014-02-23,0.0,26.2,19.5,4.2,2.5,21.52,80.75,3.4
2014-02-24,0.0,27.2,19.3,11.5,3.1,21.68,81.5,3.433333
2014-02-25,0.0,25.6,18.7,5.5,1.9,20.8,87.5,3.1
