date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.7,23.3,10.5,6.7,29.12,45.0,2.3
2014-01-02,0.0,36.0,23.7,11.4,7.5,29.62,42.25,2.3
2014-01-03,0.0,35.0,24.3,10.5,8.0,28.34,48.75,2.2
2014-01-04,0.0,35.8,24.2,10.7,6.8,29.12,42.25,2.933333
2014-01-05,0.0,36.1,24.6,9.4,7.5,29.26,50.75,2.2
2014-01-06,0.5,33.2,23.2,2.4,9.6,27.04,65.0,1.2
2014-01-07,18.2,28.3,22.4,0.0,4.2,24.54,79.5,1.233333
2014-01-08,0.0,34.4,21.2,11.4,2.0,27.44,46.5,1.533333
2014-01-09,0.0,34.0,21.8,8.9,6.0,25.44,70.5,2.3666669999999996
2014-01-10,1.8,31.1,22.1,2.6,4.4,26.0,74.75,1.6
2014-01-11,1.1,35.7,23.1,11.0,3.1,28.08,43.25,3.066667
2014-01-12,3.7,34.0,24.2,7.0,8.3,27.8,57.5,1.7
2014-01-13,0.0,33.8,25.0,4.9,5.6,28.6,50.0,2.1333330000000004
2014-01-14,0.0,35.2,24.7,8.1,5.2,29.34,45.25,2.0333330000000003
2014-01-15,0.5,36.0,24.6,8.5,6.7,29.6,44.75,2.5333330000000003
2014-01-16,0.0,35.8,24.5,7.6,6.5,29.78,43.5,2.333333
2014-01-17,0.0,35.6,23.9,9.8,10.7,29.66,43.5,2.6333330000000004
2014-01-18,0.0,37.2,24.3,9.5,7.1,29.86,46.0,1.8
2014-01-19,5.0,33.2,23.9,3.6,6.6,26.86,78.5,1.2
2014-01-20,21.6,31.6,22.5,4.1,2.5,26.46,78.5,2.433333
2014-01-21,0.0,33.5,23.8,10.5,3.0,27.58,59.25,1.9333330000000002
2014-01-22,0.0,33.9,21.5,10.2,5.2,27.4,51.0,1.533333
2014-01-23,0.0,34.8,22.8,10.6,4.5,27.32,50.25,1.233333
2014-01-24,1.8,34.8,22.5,6.9,6.0,27.58,60.25,2.0333330000000003
2014-01-25,0.0,34.2,24.9,7.8,5.5,28.86,49.0,2.266667
