date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.3,22.8,10.6,7.6,28.5,66.0,4.233333
2014-01-02,0.0,34.3,23.6,10.0,7.0,28.38,70.5,4.1
2014-01-03,0.0,33.8,24.2,10.8,6.6,28.12,69.75,4.0
2014-01-04,0.0,34.6,23.2,11.3,6.0,28.08,67.0,4.766667
2014-01-05,0.0,33.4,25.0,2.9,6.5,28.08,67.75,2.6
2014-01-06,0.0,35.1,25.2,5.7,5.2,29.02,67.25,2.4666669999999997
2014-01-07,0.7,33.6,24.4,4.3,6.7,28.44,69.0,4.033333
2014-01-08,0.0,35.2,24.4,8.2,7.7,28.64,67.0,3.6333330000000004
2014-01-09,0.0,33.8,24.4,9.6,5.8,27.92,70.75,3.566667
2014-01-10,0.0,34.3,24.2,8.8,6.2,28.5,73.0,3.733333
2014-01-11,0.0,34.8,23.1,11.1,8.5,28.38,67.75,4.7
2014-01-12,0.0,34.1,24.0,8.8,7.4,27.98,71.25,4.4
2014-01-13,0.0,34.0,24.0,8.8,5.7,28.24,72.5,3.733333
2014-01-14,0.0,35.4,23.7,10.1,5.7,28.94,64.25,3.7
2014-01-15,0.0,35.9,24.2,10.6,7.6,29.22,66.0,3.166667
2014-01-16,0.0,35.4,24.6,10.2,7.6,29.0,63.5,4.6
2014-01-17,0.0,34.5,25.4,9.3,6.8,28.86,71.0,3.833333
2014-01-18,0.0,35.1,24.6,10.4,6.7,28.74,71.25,4.966667
2014-01-19,0.0,31.5,25.4,5.6,8.6,28.18,73.75,4.033333
2014-01-20,0.9,32.4,24.4,7.1,7.1,27.56,76.5,3.266667
2014-01-21,0.0,33.3,23.1,9.2,5.7,27.64,70.25,3.833333
2014-01-22,0.0,35.5,23.2,9.8,8.0,28.62,67.0,4.2
2014-01-23,0.0,36.4,24.0,10.4,9.0,29.08,65.0,4.6
2014-01-24,0.0,35.1,24.6,9.7,8.8,28.7,67.25,4.1
2014-01-25,0.0,34.7,23.7,8.0,8.2,28.44,70.25,4.966667
2014-01-26,0.0,36.6,23.5,8.0,7.8,29.02,68.75,3.066667
2014-01-27,0.0,35.7,23.7,8.2,6.5,29.26,67.0,3.0
2014-01-28,0.0,35.5,24.0,10.6,7.3,29.02,64.25,3.8
2014-01-29,0.0,36.2,23.4,9.0,8.2,29.12,64.0,3.3
2014-01-30,0.2,31.8,25.6,1.9,8.1,28.12,71.25,2.666667
2014-01-31,0.0,36.2,22.8,10.7,5.4,28.96,64.25,2.8
2014-02-01,0.0,34.7,23.8,8.8,8.5,28.62,70.75,3.0
2014-02-02,0.0,35.2,24.6,9.9,6.8,29.0,67.5,3.5333330000000003
2014-02-03,0.0,33.6,23.9,6.7,7.2,28.36,70.75,3.333333
2014-02-04,0.0,31.6,24.6,1.6,7.0,27.5,72.5,2.566667
2014-02-05,0.0,33.2,24.4,7.5,5.3,27.88,72.0,3.9
2014-02-06,0.0,35.2,22.8,11.1,6.9,28.24,67.0,4.533333
2014-02-07,0.0,35.4,24.0,9.3,9.4,29.1,66.0,4.366667
