date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,37.4,20.7,11.0,14.1,28.46,60.5,2.333333
2014-01-02,0.0,37.0,21.4,9.7,12.1,28.08,59.0,1.0
2014-01-03,0.0,31.8,23.8,2.9,8.6,27.4,69.25,1.333333
2014-01-04,0.3,35.4,22.0,9.8,7.0,27.64,67.0,2.333333
2014-01-05,0.0,34.6,23.0,5.7,9.4,27.96,65.0,3.666667
2014-01-06,0.6,34.8,23.0,5.6,7.1,27.26,70.75,0.9
2014-01-07,4.9,30.3,21.4,1.4,7.0,24.46,82.75,0.666667
2014-01-08,6.5,32.4,20.6,6.0,1.7,24.42,92.25,0.266667
2014-01-09,20.8,33.4,20.8,2.9,3.8,24.96,75.0,1.166667
2014-01-10,26.6,34.0,21.0,8.3,4.2,27.16,63.25,1.333333
2014-01-11,0.0,35.4,23.2,11.1,9.3,27.86,60.25,1.333333
2014-01-12,0.0,29.3,23.3,1.9,10.8,26.2,79.75,1.433333
2014-01-13,0.0,33.4,22.0,5.4,15.3,26.64,79.25,0.833333
2014-01-14,0.0,33.6,23.3,7.2,4.7,27.78,60.75,1.4
2014-01-15,0.0,35.0,22.6,8.5,8.5,27.92,68.25,1.333333
2014-01-16,0.0,35.3,22.9,7.9,7.5,28.12,67.25,1.5
2014-01-17,0.0,35.0,23.2,9.1,9.4,28.24,67.25,1.833333
2014-01-18,0.0,35.6,22.8,6.6,9.4,28.16,67.25,1.166667
2014-01-19,0.4,34.4,23.2,7.1,6.9,27.68,74.25,1.833333
2014-01-20,2.2,34.6,23.6,7.1,8.1,27.84,62.5,0.9
2014-01-21,0.0,36.0,21.4,8.7,9.2,27.8,55.0,2.166667
2014-01-22,0.0,36.4,20.1,9.8,11.8,28.04,58.5,1.666667
2014-01-23,0.0,35.4,21.4,7.1,10.2,28.0,64.75,2.0
2014-01-24,0.0,35.6,22.3,6.6,9.5,28.06,56.75,1.666667
2014-01-25,0.0,34.0,23.2,2.3,10.1,28.0,61.0,1.133333
2014-01-26,0.0,36.2,20.4,5.2,11.0,26.94,69.0,0.566667
2014-01-27,6.8,36.0,20.6,7.8,8.5,27.96,65.75,2.0
2014-01-28,0.0,36.4,22.6,10.0,10.3,28.82,52.5,0.833333
2014-01-29,0.0,36.4,22.0,8.4,13.4,28.4,61.75,3.0
2014-01-30,0.0,33.4,22.9,3.7,12.1,26.26,87.5,0.7
2014-01-31,12.7,33.2,21.8,6.5,5.0,26.6,77.0,2.166667
2014-02-01,0.0,34.8,21.4,6.6,4.5,27.76,70.75,1.0
2014-02-02,0.0,34.8,24.0,5.7,8.0,28.16,75.0,1.5
2014-02-03,0.0,34.8,24.5,4.6,7.5,28.22,61.5,0.566667
2014-02-04,0.0,31.8,23.2,2.1,0.0,26.52,73.75,1.333333
2014-02-05,0.0,34.5,20.2,6.5,6.7,27.4,60.25,1.4
2014-02-06,0.0,35.6,20.8,9.3,9.4,27.68,65.0,1.833333
2014-02-07,0.0,34.6,21.6,4.5,9.9,27.42,69.5,1.666667
2014-02-08,0.0,35.4,22.4,5.1,6.8,27.4,78.5,2.1
2014-02-09,1.3,34.6,22.8,3.5,5.3,27.96,62.5,0.666667
2014-02-10,0.0,37.3,23.4,8.9,9.0,29.02,62.0,1.5
2014-02-11,0.0,36.3,23.0,7.8,12.8,28.72,68.0,0.9
2014-02-12,3.3,34.4,22.6,5.2,9.0,27.96,78.25,1.333333
2014-02-13,2.0,31.9,23.8,3.1,5.2,27.42,74.5,0.833333
2014-02-14,4.0,33.2,23.4,3.2,4.6,26.96,78.25,0.666667
2014-02-15,31.1,31.6,22.0,0.8,3.2,25.92,85.5,0.5
2014-02-16,48.2,32.4,21.3,2.3,2.4,24.9,87.0,0.666667
2014-02-17,42.2,31.0,21.0,3.5,1.7,25.82,76.25,0.43333299999999997
2014-02-18,1.2,32.0,22.4,6.6,4.3,26.0,80.0,0.833333
2014-02-19,2.7,29.6,22.9,2.7,4.6,25.66,87.5,0.4
2014-02-20,34.9,32.7,22.4,3.6,1.5,25.58,84.25,1.033333
2014-02-21,9.6,33.6,22.0,6.8,3.1,26.56,76.5,0.533333
2014-02-22,0.0,33.6,21.3,10.4,6.2,27.1,71.0,0.566667
2014-02-23,0.0,33.9,21.7,9.3,7.6,27.2,67.5,0.833333
2014-02-24,0.0,34.6,21.2,9.3,7.1,27.6,67.5,0.833333
2014-02-25,0.0,33.4,21.6,7.2,7.7,27.24,68.0,1.0
2014-02-26,0.1,34.0,20.1,10.1,6.6,26.74,74.0,1.333333
2014-02-27,0.0,34.0,22.3,9.4,7.2,27.46,69.0,1.5
2014-02-28,0.0,31.8,22.3,4.9,8.0,26.3,75.75,0.666667
2014-03-01,0.6,34.7,21.6,7.8,3.7,27.18,73.0,1.5
2014-03-02,0.0,34.0,23.0,7.3,5.9,27.36,75.0,1.833333
2014-03-03,0.0,34.6,22.7,8.9,6.6,27.84,67.0,0.9
2014-03-04,0.0,31.6,23.2,4.0,7.2,26.64,82.75,0.5
2014-03-05,15.3,33.3,22.6,6.4,1.7,27.16,73.0,0.833333
2014-03-06,0.2,33.4,21.0,9.6,4.7,26.76,76.25,1.166667
2014-03-07,0.0,33.9,21.9,5.0,5.9,26.34,78.5,0.733333
2014-03-08,9.7,31.9,22.7,4.7,4.0,26.52,80.5,1.666667
2014-03-09,0.0,33.0,22.7,8.5,4.1,26.58,78.25,0.566667
2014-03-10,2.6,31.0,23.0,6.0,5.5,26.2,81.5,1.333333
2014-03-11,4.8,30.0,23.0,4.7,3.5,25.92,85.75,0.7
2014-03-12,2.5,32.5,21.8,5.8,2.8,25.9,82.0,1.666667
2014-03-13,2.9,29.0,22.8,0.9,2.9,25.36,84.0,1.233333
2014-03-14,3.4,32.4,20.9,6.4,1.8,25.46,80.75,1.066667
2014-03-15,0.0,33.6,22.0,8.0,4.7,26.32,81.25,1.5
2014-03-16,0.0,31.6,21.2,6.4,8.3,24.96,82.0,0.666667
