date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,34.2,22.0,7.2,12.9,27.76,77.0,1.5
2014-01-02,0.0,34.9,22.0,10.6,11.3,28.9,53.0,2.0
2014-01-03,0.0,33.3,21.9,6.8,14.0,27.46,60.0,1.5
2014-01-04,0.0,34.0,22.1,8.3,11.0,27.9,59.0,1.0
2014-01-05,0.0,34.0,22.2,7.9,12.3,27.78,63.0,1.5
2014-01-06,0.0,31.9,21.6,5.2,10.2,26.9,65.0,1.5
2014-01-07,35.2,27.1,19.3,0.0,6.6,22.66,93.0,1.0
2014-01-08,4.0,32.2,19.2,10.3,1.3,26.46,67.0,1.0
2014-01-09,0.0,32.2,20.2,11.2,8.0,26.52,63.0,4.5
2014-01-10,0.0,30.9,21.2,4.3,9.4,26.12,71.0,2.5
2014-01-11,0.0,33.4,22.1,10.3,8.3,27.44,57.0,1.5
2014-01-12,0.0,32.5,21.8,9.4,13.9,27.38,65.0,2.5
2014-01-13,0.2,31.5,22.1,1.8,9.4,26.88,69.0,2.5
2014-01-14,0.0,32.4,22.2,2.5,7.2,27.24,70.0,2.0
2014-01-15,0.0,33.6,22.7,7.9,9.4,28.2,64.0,2.0
2014-01-16,0.8,33.2,21.8,7.2,9.2,27.72,69.0,2.0
2014-01-17,0.0,33.7,22.2,9.1,9.9,28.0,63.0,1.5
2014-01-18,0.0,34.1,22.3,6.2,11.1,28.04,63.0,1.0
2014-01-19,0.0,31.1,22.7,3.1,9.4,26.78,73.0,1.5
2014-01-20,1.0,28.9,21.9,2.8,4.7,24.92,87.0,1.0
2014-01-21,9.0,32.3,21.9,9.6,3.9,26.58,68.0,2.0
2014-01-22,0.0,33.2,19.8,10.3,8.3,26.92,65.0,1.0
2014-01-23,0.0,34.0,21.9,8.6,10.0,27.78,65.0,1.0
2014-01-24,0.2,31.4,21.8,1.3,9.2,26.48,73.0,2.0
2014-01-25,0.0,32.4,22.4,1.9,6.8,26.72,67.0,2.0
2014-01-26,0.0,32.2,22.2,4.1,9.8,26.8,63.0,1.5
2014-01-27,3.1,30.6,21.1,1.0,9.7,25.52,79.0,1.0
2014-01-28,2.0,32.9,21.6,10.1,7.2,27.0,59.0,3.0
2014-01-29,0.0,34.0,21.9,10.7,11.3,28.42,59.0,1.5
2014-01-30,6.2,31.4,22.0,0.9,11.7,24.86,91.0,2.0
2014-01-31,3.0,30.6,21.8,7.0,3.8,25.88,82.0,1.5
2014-02-01,0.0,31.2,22.2,4.2,6.4,26.74,77.0,1.5
2014-02-02,4.2,33.8,21.9,9.1,4.1,27.72,67.0,2.0
2014-02-03,0.0,32.9,22.6,5.1,8.4,27.74,68.0,1.5
2014-02-04,14.0,27.8,21.1,0.0,6.5,24.06,91.0,1.0
2014-02-05,1.0,28.9,20.3,3.0,2.1,24.54,84.0,1.5
2014-02-06,1.9,31.1,20.5,3.7,3.2,25.0,81.0,1.5
2014-02-07,0.0,31.6,20.2,6.3,6.3,25.9,71.0,1.5
2014-02-08,0.9,31.9,21.9,2.9,5.7,26.02,79.0,1.0
2014-02-09,45.8,28.6,19.0,2.3,4.1,23.44,93.0,0.5
2014-02-10,0.0,30.0,20.0,5.4,2.1,24.84,85.0,2.0
2014-02-11,0.0,28.9,21.6,2.2,4.9,24.98,85.0,1.5
2014-02-12,1.3,30.8,21.6,2.9,3.5,25.58,79.0,1.0
2014-02-13,0.1,30.9,21.9,4.2,5.1,26.06,81.0,2.0
2014-02-14,0.0,31.7,22.0,7.5,6.1,26.8,71.0,2.0
2014-02-15,3.9,31.8,21.9,7.0,7.3,26.9,72.0,2.5
2014-02-16,0.0,30.0,21.8,1.9,8.1,25.8,74.0,1.5
2014-02-17,0.0,28.8,22.0,3.3,6.3,25.12,77.0,1.5
2014-02-18,0.0,30.8,22.1,6.2,5.3,26.58,69.0,1.0
2014-02-19,0.2,30.4,22.0,2.1,7.9,25.8,75.0,3.0
2014-02-20,0.0,29.1,22.7,0.0,7.4,25.72,75.0,1.5
2014-02-21,0.0,32.2,22.1,5.5,5.8,26.42,73.0,2.0
2014-02-22,0.0,31.2,20.7,3.3,10.4,26.14,68.0,2.0
2014-02-23,0.0,33.2,22.1,6.8,8.4,27.22,67.0,2.0
2014-02-24,0.0,33.7,22.5,7.1,10.9,27.54,65.0,2.0
2014-02-25,0.0,33.4,22.2,9.7,11.0,27.92,61.0,1.5
2014-02-26,0.0,34.4,22.1,7.5,10.7,28.0,63.0,2.0
2014-02-27,0.0,32.2,22.3,3.7,11.4,26.82,69.0,2.5
2014-02-28,0.0,32.7,22.1,2.8,9.3,27.14,66.0,1.0
2014-03-01,0.0,33.9,22.2,7.1,9.3,27.86,61.0,1.0
2014-03-02,0.0,32.4,22.6,2.7,11.6,27.32,64.0,1.5
2014-03-03,0.0,32.8,22.1,3.0,9.0,27.22,65.0,1.5
2014-03-04,0.0,32.1,23.0,2.3,8.9,27.7,65.0,0.5
2014-03-05,0.0,33.2,22.7,4.9,8.5,26.94,73.0,0.5
2014-03-06,0.3,27.0,22.6,0.0,7.4,25.32,72.0,1.0
2014-03-07,0.0,32.4,22.3,5.4,5.4,26.14,77.0,2.5
2014-03-08,0.0,30.4,22.0,1.2,6.6,26.44,75.0,1.0
2014-03-09,0.0,33.0,21.9,4.3,7.3,26.76,72.0,1.5
2014-03-10,0.0,29.7,22.5,0.3,7.6,25.56,77.0,2.5
2014-03-11,0.6,31.7,21.5,4.3,5.3,26.6,74.0,1.5
2014-03-12,4.9,31.0,21.3,1.9,6.1,25.44,87.0,1.5
2014-03-13,3.2,32.1,21.9,2.6,4.7,27.0,69.0,2.0
2014-03-14,0.0,32.2,21.1,4.5,7.3,26.6,73.0,2.0
2014-03-15,4.2,31.4,21.7,6.7,5.5,26.98,67.0,2.0
