date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,29.2,19.0,6.3,3.6,22.74,71.0,1.34296
2014-01-02,0.0,30.1,18.2,10.7,3.0,24.44,61.25,1.68592
2014-01-03,0.0,30.0,18.2,11.1,6.0,23.64,54.25,1.009627
2014-01-04,0.0,29.8,19.4,11.3,8.8,24.7,45.75,1.676293
2014-01-05,0.0,29.2,17.2,11.5,8.5,23.8,45.0,2.666667
2014-01-06,0.0,28.7,19.1,7.6,9.6,22.64,62.5,2.666667
2014-01-07,0.0,28.9,17.4,11.1,5.1,23.28,53.25,3.333333
2014-01-08,0.0,28.3,16.8,11.0,7.9,23.1,45.5,1.666667
2014-01-09,0.0,28.4,18.4,11.6,8.6,23.36,50.75,1.676293
2014-01-10,0.0,27.8,18.0,10.7,7.7,22.68,58.5,2.0
2014-01-11,0.0,28.8,17.0,6.5,6.8,21.54,66.25,3.333333
2014-01-12,0.0,28.8,17.5,8.2,3.5,23.18,59.75,2.666667
2014-01-13,0.0,29.6,19.8,8.4,6.7,24.6,53.5,2.0
2014-01-14,0.0,29.8,20.1,10.5,8.2,24.54,51.25,3.333333
2014-01-15,0.0,28.7,18.4,6.7,7.6,23.12,57.5,1.0
2014-01-16,2.0,28.1,17.0,5.3,4.9,21.96,87.0,1.0
2014-01-17,0.0,28.0,18.4,4.9,3.9,21.54,82.75,0.68592
2014-01-18,37.9,24.9,17.9,1.1,1.6,20.32,86.25,2.0
2014-01-19,9.9,25.4,17.4,0.7,1.7,19.98,88.25,0.0
2014-01-20,5.4,24.0,17.3,1.9,1.5,20.78,80.0,4.3333330000000005
2014-01-21,2.1,26.5,18.0,3.5,3.0,20.54,81.25,1.009627
2014-01-22,63.2,25.2,16.6,2.5,2.4,20.2,88.0,1.0
2014-01-23,4.5,28.2,17.5,6.2,1.8,21.34,74.5,0.0
2014-01-24,0.0,27.3,16.9,5.5,3.0,20.38,85.25,0.0
2014-01-25,21.3,25.0,15.7,3.9,1.0,20.44,73.75,1.0
2014-01-26,0.0,26.2,15.6,5.4,3.4,20.6,72.25,1.34296
2014-01-27,1.1,26.0,16.7,8.1,3.6,20.62,74.0,0.666667
2014-01-28,5.6,27.0,17.6,10.4,4.0,21.8,60.75,5.0
2014-01-29,0.0,27.1,18.7,10.7,6.9,22.2,55.75,5.3333330000000005
2014-01-30,0.0,28.0,19.1,9.4,6.8,23.06,61.5,4.0
2014-01-31,0.0,28.0,18.3,11.1,6.7,22.8,54.5,4.0
2014-02-01,0.0,27.1,17.8,9.4,8.0,22.18,52.0,4.6666669999999995
2014-02-02,0.0,27.6,15.8,9.1,6.8,22.3,53.0,1.0
2014-02-03,0.0,28.2,19.2,9.7,7.2,23.56,50.0,2.666667
2014-02-04,0.0,27.8,17.8,6.4,8.4,22.48,52.5,3.333333
2014-02-05,0.0,30.0,18.0,10.3,6.5,23.96,53.25,4.3333330000000005
2014-02-06,0.0,28.3,19.0,11.2,8.3,23.2,53.25,4.6666669999999995
2014-02-07,0.0,29.0,20.0,11.2,7.3,24.02,49.0,2.666667
2014-02-08,0.0,29.5,20.4,8.9,8.5,24.02,52.5,2.666667
2014-02-09,0.0,27.6,17.1,6.3,6.4,22.66,61.5,1.666667
2014-02-10,0.0,28.1,17.7,7.9,5.7,23.1,52.75,2.666667
2014-02-11,0.0,27.5,20.0,6.8,8.6,23.42,56.0,2.666667
2014-02-12,0.0,27.6,18.4,5.3,5.5,21.58,81.0,2.333333
2014-02-13,3.0,25.8,18.4,2.4,2.9,21.06,84.25,0.0
2014-02-14,21.8,27.2,16.4,3.8,1.6,21.46,76.75,1.333333
2014-02-15,0.0,25.8,18.4,1.8,3.7,21.16,86.25,0.0
2014-02-16,4.5,25.6,18.2,0.8,2.3,20.66,86.75,0.333333
2014-02-17,32.0,26.4,18.0,6.2,0.5,21.38,84.75,1.0
2014-02-18,25.5,25.2,18.0,1.3,2.8,19.88,94.25,1.333333
2014-02-19,12.6,26.4,17.3,3.5,1.7,20.1,84.25,1.333333
2014-02-20,12.3,23.7,17.9,0.2,1.6,20.26,83.5,1.333333
2014-02-21,2.8,24.6,17.8,0.9,2.4,20.54,87.0,0.666667
2014-02-22,8.2,25.2,16.9,1.3,1.8,19.38,85.75,3.666667
2014-02-23,2.9,25.7,16.2,1.6,2.4,20.52,81.0,1.666667
2014-02-24,0.5,28.6,17.7,9.2,3.6,21.04,73.5,3.333333
2014-02-25,13.1,26.0,17.0,3.2,3.0,21.16,80.25,1.0
2014-02-26,0.0,27.8,17.5,10.8,3.1,22.62,64.75,2.666667
2014-02-27,0.0,29.1,16.5,9.8,5.8,23.0,58.75,1.0
2014-02-28,0.0,27.8,17.7,6.7,5.7,22.06,73.25,0.333333
2014-03-01,1.8,26.1,18.0,4.6,2.5,20.66,80.25,2.0
2014-03-02,0.2,27.4,17.2,9.3,2.5,22.12,72.5,2.0
2014-03-03,0.5,25.6,18.7,4.9,4.0,21.64,77.75,0.333333
2014-03-04,9.1,26.2,18.0,5.4,3.5,21.44,80.5,1.666667
2014-03-05,3.4,26.1,19.1,2.5,2.7,21.66,90.0,2.0
2014-03-06,41.0,25.8,17.0,3.3,0.6,21.3,89.5,0.0
2014-03-07,12.7,26.3,17.7,3.3,2.4,20.72,88.75,0.333333
2014-03-08,29.4,27.7,18.0,4.8,1.6,20.92,83.75,2.666667
2014-03-09,7.0,25.4,16.0,2.1,2.0,21.06,83.0,1.333333
2014-03-10,73.7,27.5,16.3,7.9,1.9,22.02,73.5,1.333333
2014-03-11,0.0,27.2,17.5,8.7,3.5,21.92,71.0,1.0
2014-03-12,11.0,27.6,17.8,10.0,4.4,22.8,62.5,2.766667
2014-03-13,0.0,28.5,16.0,10.1,5.0,22.56,58.25,3.0
2014-03-14,0.0,27.3,20.1,7.2,6.6,22.92,63.0,2.333333
2014-03-15,0.0,27.9,19.5,9.9,5.5,23.28,55.25,2.0
2014-03-16,0.0,27.4,19.1,10.1,5.2,22.7,58.0,1.333333
2014-03-17,0.0,26.6,18.0,2.6,5.3,21.24,80.0,1.333333
2014-03-18,9.6,25.8,17.8,2.7,2.5,20.52,85.0,1.0
2014-03-19,0.5,27.4,16.6,6.9,2.0,21.36,79.5,0.666667
2014-03-20,0.0,28.3,18.0,6.1,2.8,22.82,72.25,0.0
2014-03-21,12.9,27.0,18.4,3.2,2.4,21.08,91.75,0.0
2014-03-22,13.2,27.9,17.3,4.5,1.5,21.12,91.0,1.666667
2014-03-23,41.2,27.4,16.9,5.8,1.9,21.42,86.5,0.333333
2014-03-24,33.6,23.2,16.9,0.4,2.2,19.7,90.0,0.333333
2014-03-25,1.6,25.8,18.6,4.1,1.0,21.44,78.75,1.666667
2014-03-26,4.1,26.6,18.2,4.2,2.7,21.22,82.75,1.333333
2014-03-27,6.8,23.2,19.0,0.0,1.2,20.1,92.5,1.0
2014-03-28,4.1,25.6,17.5,1.7,2.2,20.46,84.75,1.666667
2014-03-29,0.0,26.4,18.0,5.3,1.9,20.7,80.25,2.0
2014-03-30,1.7,25.7,17.5,2.6,2.8,20.66,83.0,0.0
2014-03-31,22.8,25.9,17.5,2.7,1.8,21.36,81.5,0.0
2014-04-01,2.7,28.0,18.3,6.8,2.2,21.44,73.25,0.333333
2014-04-02,18.6,28.4,17.8,7.4,2.4,21.88,82.75,0.666667
2014-04-03,7.8,21.4,17.6,0.0,2.6,18.88,94.0,1.0
