date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,32.8,21.7,11.7,2.5,26.54,80.0,0.0
2014-01-02,0.0,32.0,22.6,11.8,3.0,26.36,76.75,0.0
2014-01-03,0.0,31.1,22.1,11.0,3.0,26.16,77.75,0.0
2014-01-04,0.0,32.6,22.4,11.8,3.9,26.68,77.0,0.0
2014-01-05,0.7,31.8,23.3,11.2,2.9,26.62,78.0,0.0
2014-01-06,0.0,32.0,21.4,9.2,3.3,26.6,67.25,0.0
2014-01-07,0.5,29.8,22.1,6.0,4.1,25.78,74.25,0.0
2014-01-08,3.6,29.5,21.1,2.4,2.6,25.56,86.0,0.0
2014-01-09,17.9,30.9,23.1,6.2,1.5,25.88,82.75,0.0
2014-01-10,0.4,31.5,23.1,12.2,2.5,26.88,76.5,0.0
2014-01-11,3.8,32.0,23.0,11.6,2.5,27.04,78.0,0.0
2014-01-12,2.4,31.8,23.6,9.0,2.8,26.92,79.0,0.0
2014-01-13,0.0,31.9,23.2,11.4,2.7,27.1,75.25,0.0
2014-01-14,10.0,32.0,20.4,8.8,2.6,25.92,80.0,0.0
2014-01-15,2.6,30.4,22.7,3.7,2.6,25.58,82.0,0.0
2014-01-16,1.2,32.3,22.1,9.1,2.7,26.48,73.25,0.0
2014-01-17,0.0,32.5,22.6,8.0,3.3,26.58,76.75,0.0
2014-01-18,4.3,31.6,23.4,3.5,2.8,26.64,79.75,0.0
2014-01-19,3.3,28.6,23.3,0.0,2.2,25.06,89.75,0.0
2014-01-20,25.3,27.8,22.6,0.1,1.2,25.24,89.75,0.0
2014-01-21,3.4,31.5,23.3,3.1,1.0,26.6,84.75,0.0
2014-01-22,0.0,32.7,23.3,5.0,1.8,26.84,82.0,0.0
2014-01-23,0.0,31.6,22.8,8.2,2.6,26.6,78.25,0.0
2014-01-24,10.7,32.2,22.6,10.0,2.4,26.44,74.75,0.0
2014-01-25,0.0,33.0,22.2,10.1,2.8,26.64,75.75,0.0
2014-01-26,0.0,32.1,23.1,10.2,3.2,26.88,77.5,0.0
2014-01-27,2.0,32.5,24.0,1.1,3.0,27.14,77.75,0.0
2014-01-28,0.2,32.1,22.7,10.9,3.4,27.0,73.25,0.0
2014-01-29,1.3,30.6,22.7,8.6,3.6,26.42,80.0,0.0
2014-01-30,10.0,31.1,22.3,7.4,2.5,26.0,76.75,0.0
2014-01-31,6.5,32.6,22.1,11.7,2.5,26.98,71.0,0.0
2014-02-01,0.0,32.9,22.2,11.6,3.5,27.18,66.5,0.0
2014-02-02,0.0,33.2,21.8,10.9,3.9,27.0,74.5,0.0
2014-02-03,1.6,33.1,22.6,11.3,3.1,27.14,71.0,0.0
2014-02-04,0.0,32.6,22.2,11.5,4.9,26.72,77.25,0.0
2014-02-05,0.2,32.6,22.8,10.2,3.6,26.76,77.0,0.0
2014-02-06,4.5,32.5,23.1,10.1,4.0,26.64,76.0,0.0
2014-02-07,14.5,32.0,22.5,10.3,4.0,26.38,75.0,0.0
2014-02-08,0.0,32.1,22.1,11.3,4.0,26.56,75.75,0.0
2014-02-09,0.0,32.6,22.1,11.2,4.4,26.9,75.75,0.0
2014-02-10,0.0,32.7,23.6,8.3,4.6,27.14,77.0,0.0
2014-02-11,0.0,33.1,22.2,11.8,3.4,27.18,69.5,0.0
2014-02-12,5.6,32.2,22.6,8.3,4.4,26.56,75.0,0.0
2014-02-13,3.7,31.1,22.3,0.4,3.0,26.48,76.25,0.0
2014-02-14,2.8,33.0,22.2,9.8,2.8,26.92,76.25,0.0
2014-02-15,0.0,32.6,22.1,11.4,3.8,26.82,75.0,0.0
2014-02-16,0.0,32.8,22.4,11.6,3.6,26.96,73.5,0.0
2014-02-17,0.5,33.2,21.8,11.4,4.0,27.08,71.75,0.0
2014-02-18,0.0,31.8,22.6,4.8,3.7,25.72,81.75,0.0
2014-02-19,3.4,32.6,21.6,4.6,2.9,25.44,80.75,0.0
2014-02-20,4.4,30.8,20.4,7.1,2.4,25.16,79.25,0.0
2014-02-21,0.0,31.8,21.1,9.0,2.2,25.9,79.0,0.0
2014-02-22,10.4,32.3,21.6,8.7,3.3,26.34,78.75,0.0
2014-02-23,1.2,32.0,23.1,8.8,3.3,26.86,79.0,0.0
2014-02-24,10.4,31.3,23.1,8.8,3.2,26.12,81.5,0.0
2014-02-25,4.5,32.5,22.4,8.2,2.8,26.9,74.25,0.0
2014-02-26,4.9,31.9,22.2,7.2,2.6,26.5,76.5,0.0
2014-02-27,3.0,31.0,21.9,5.4,2.4,26.1,76.75,0.0
2014-02-28,0.0,33.0,21.7,10.4,2.7,26.78,76.0,0.0
2014-03-01,0.0,32.0,22.8,9.2,3.0,26.76,76.0,0.0
2014-03-02,0.7,32.8,23.0,10.3,3.0,26.92,76.25,0.0
2014-03-03,3.7,32.0,22.6,9.8,3.0,26.68,72.25,0.0
2014-03-04,0.7,32.1,22.5,9.7,3.3,26.72,75.25,0.0
2014-03-05,2.5,32.4,22.1,11.0,3.0,26.66,75.0,0.0
2014-03-06,0.0,32.8,22.1,8.6,3.5,26.7,76.75,0.0
2014-03-07,1.2,32.8,22.3,8.2,2.8,26.66,77.5,0.0
2014-03-08,0.0,33.6,22.4,8.5,3.2,27.2,76.0,0.0
2014-03-09,0.0,33.0,22.5,6.5,3.2,26.74,77.75,0.0
2014-03-10,0.0,33.5,23.1,10.9,3.3,27.16,75.5,0.0
2014-03-11,0.0,33.6,22.2,10.3,3.5,27.04,73.25,0.0
2014-03-12,4.8,32.8,23.1,10.2,3.7,27.42,76.5,0.0
2014-03-13,5.0,31.9,23.1,10.3,3.2,27.36,76.75,0.0
2014-03-14,0.0,33.0,22.9,5.3,3.4,27.18,75.5,0.0
2014-03-15,0.0,32.5,22.2,6.6,3.1,26.42,75.75,0.0
2014-03-16,0.0,33.7,22.3,9.6,3.0,27.0,73.25,0.0
2014-03-17,0.0,33.8,21.8,10.3,3.2,26.84,73.75,0.0
2014-03-18,0.0,33.4,22.0,4.9,3.4,26.4,75.25,0.0
2014-03-19,3.2,33.0,22.2,10.2,2.6,26.84,73.5,0.0
2014-03-20,0.0,33.3,21.5,10.6,3.8,26.96,73.0,0.0
2014-03-21,0.0,34.0,22.8,9.2,3.5,27.36,76.0,0.0
2014-03-22,0.0,34.9,22.6,10.7,4.8,27.7,74.75,0.0
2014-03-23,0.0,33.8,23.1,4.5,4.7,26.54,82.5,0.0
2014-03-24,1.8,25.1,22.1,0.0,3.4,23.24,85.25,0.0
2014-03-25,5.5,30.7,21.7,0.6,2.9,25.36,77.25,0.0
2014-03-26,3.0,26.2,22.7,0.2,2.8,23.94,91.75,0.0
2014-03-27,29.3,28.8,22.2,1.9,1.3,25.44,80.75,0.0
2014-03-28,0.2,30.8,21.9,3.5,2.6,25.86,81.75,0.0
2014-03-29,0.0,31.6,22.7,5.7,3.0,26.62,81.0,0.0
2014-03-30,8.5,31.3,22.1,3.4,3.2,25.92,86.0,0.0
2014-03-31,0.5,32.0,23.1,6.3,2.1,26.74,80.0,0.0
2014-04-01,2.0,31.5,23.7,2.0,2.4,26.56,83.75,0.0
2014-04-02,0.0,32.5,22.3,9.1,2.2,26.64,77.75,0.0
2014-04-03,0.0,32.6,22.5,10.5,3.1,27.06,76.5,0.0
2014-04-04,0.0,30.3,23.4,2.9,3.5,26.02,87.25,0.0
2014-04-05,17.7,30.0,23.9,3.5,1.8,25.38,90.5,0.0
2014-04-06,1.7,30.8,20.8,10.4,3.1,25.12,76.5,0.0
2014-04-07,0.0,32.0,20.9,10.2,3.8,25.86,74.25,0.0
2014-04-08,0.0,32.9,20.8,10.3,3.8,25.78,81.75,0.0
2014-04-09,0.0,32.2,21.3,9.4,3.9,25.98,79.0,0.0
2014-04-10,0.0,32.6,21.3,10.5,3.1,26.46,77.25,0.0
2014-04-11,0.0,32.0,22.1,10.4,3.5,26.62,75.25,0.0
2014-04-12,0.0,31.8,22.2,8.9,3.9,26.84,74.25,0.0
2014-04-13,1.0,32.8,23.5,8.3,3.2,26.86,80.25,0.0
2014-04-14,11.8,29.5,23.3,0.3,2.7,25.92,88.0,0.0
2014-04-15,3.6,32.4,22.9,8.4,3.3,26.74,76.75,0.0
2014-04-16,0.0,30.8,22.9,3.5,3.1,25.74,83.5,0.0
2014-04-17,0.3,31.4,21.9,9.1,2.8,26.42,73.75,0.0
2014-04-18,0.0,33.4,23.0,6.2,3.7,26.96,77.25,0.0
2014-04-19,1.3,33.2,23.8,8.6,2.9,27.04,77.75,0.0
2014-04-20,0.0,33.0,23.1,9.8,3.4,26.82,78.0,0.0
2014-04-21,0.0,33.0,22.2,7.9,3.2,26.6,79.25,0.0
2014-04-22,0.3,32.8,22.8,5.0,3.0,26.64,81.25,0.0
2014-04-23,0.0,32.0,23.0,7.7,2.6,26.36,78.0,0.0
2014-04-24,0.4,34.7,21.4,9.9,3.5,27.18,75.5,0.0
2014-04-25,15.7,26.8,21.7,1.0,3.5,24.06,71.0,0.0
2014-04-26,0.7,28.8,20.3,6.9,5.2,22.98,75.75,0.0
2014-04-27,0.0,29.3,19.6,10.3,4.0,23.42,68.25,0.0
2014-04-28,0.0,28.0,19.3,8.9,5.9,22.5,65.5,0.0
2014-04-29,0.0,28.0,17.3,9.0,6.2,21.86,63.5,0.0
2014-04-30,0.0,29.1,18.8,6.1,5.7,23.06,67.75,0.0
2014-05-01,0.0,30.8,19.3,3.6,4.6,23.9,64.25,0.0
2014-05-02,0.0,31.1,16.9,10.0,3.7,23.84,65.5,0.0
2014-05-03,0.0,30.8,19.1,7.1,4.3,23.7,65.5,0.0
2014-05-04,0.0,28.2,20.3,0.0,3.4,24.1,65.5,0.0
2014-05-05,0.0,32.1,21.8,7.9,2.0,25.18,65.5,0.0
2014-05-06,0.0,32.0,19.6,9.6,3.4,25.24,65.5,0.0
2014-05-07,0.0,32.0,21.1,8.2,3.3,25.7,65.5,0.0
2014-05-08,0.2,31.2,20.0,6.5,3.0,24.6,65.5,0.0
2014-05-09,0.0,32.8,19.7,10.1,3.0,25.46,65.5,0.0
2014-05-10,1.2,28.8,21.3,7.8,3.5,24.06,65.5,0.0
2014-05-11,0.0,27.6,19.8,6.1,4.9,22.12,65.5,0.0
2014-05-12,0.0,28.4,17.3,9.3,4.6,21.9,65.5,0.0
2014-05-13,0.0,29.6,18.0,6.8,5.0,23.36,65.5,0.0
2014-05-14,0.0,30.8,20.6,9.4,3.4,24.4,65.5,0.0
2014-05-15,0.0,32.5,19.0,9.5,3.5,24.78,65.5,0.0
2014-05-16,0.0,31.8,20.3,8.7,2.5,25.06,65.5,0.0
2014-05-17,0.0,30.4,20.8,9.5,2.4,24.48,65.5,0.0
2014-05-18,0.0,30.8,20.2,10.1,3.3,24.28,65.5,0.0
2014-05-19,0.0,31.9,20.9,8.9,2.9,25.08,65.5,0.0
2014-05-20,0.0,30.2,20.4,8.1,3.2,24.48,65.5,0.0
2014-05-21,0.0,30.8,19.3,7.8,2.4,24.14,65.5,0.0
2014-05-22,0.0,31.8,19.1,8.4,2.3,24.62,65.5,0.0
2014-05-23,0.0,35.8,20.1,9.9,2.3,26.46,65.5,0.0
2014-05-24,0.0,33.0,21.5,9.8,3.0,25.38,65.5,0.0
2014-05-25,0.0,27.8,22.1,1.3,3.5,24.14,65.5,0.0
2014-05-26,0.0,30.6,21.6,3.4,1.9,24.8,86.75,0.0
2014-05-27,0.0,34.0,21.7,9.7,1.7,26.46,77.75,0.0
