date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,29.9,24.6,10.3,6.1,27.46,0.0,3.0
2014-01-02,0.0,32.9,24.4,10.4,6.9,27.7,0.0,4.5
2014-01-03,0.0,33.3,24.4,10.7,6.3,27.58,0.0,5.0
2014-01-04,0.0,33.5,24.4,10.4,7.0,27.58,0.0,5.5
2014-01-05,0.0,31.7,24.6,10.4,6.5,27.22,0.0,1.5
2014-01-06,0.0,31.7,23.6,10.1,5.3,26.86,0.0,1.0
2014-01-07,0.0,31.7,22.8,9.8,3.9,26.66,0.0,1.0
2014-01-08,0.0,30.8,23.6,4.1,4.0,26.8,0.0,1.0
2014-01-09,13.6,29.9,24.4,4.3,2.2,26.38,0.0,1.0
2014-01-10,2.6,29.3,23.6,5.8,2.0,26.18,0.0,1.0
2014-01-11,4.2,32.3,23.6,10.7,2.8,27.26,0.0,1.0
2014-01-12,0.3,31.5,24.6,7.7,4.0,27.34,0.0,1.0
2014-01-13,0.0,31.3,24.4,10.0,4.3,27.42,0.0,1.5
2014-01-14,0.0,30.9,24.4,9.9,6.1,27.06,0.0,2.5
2014-01-15,0.0,32.3,24.6,10.9,3.2,27.54,0.0,3.0
2014-01-16,0.0,33.5,24.4,10.7,5.9,27.78,0.0,5.5
2014-01-17,0.0,32.5,25.0,8.4,7.3,27.78,0.0,2.0
2014-01-18,0.0,30.9,23.6,0.4,6.2,25.78,0.0,1.5
2014-01-19,30.0,29.5,22.8,1.1,2.0,25.1,0.0,1.0
2014-01-20,0.0,31.3,23.4,8.1,3.2,26.82,0.0,1.0
2014-01-21,0.0,29.5,24.6,0.2,3.6,26.66,0.0,1.5
2014-01-22,0.0,32.5,25.4,6.8,3.5,27.98,0.0,2.5
2014-01-23,0.0,32.3,25.0,10.6,4.5,27.94,0.0,2.0
2014-01-24,0.0,31.7,25.3,10.8,5.2,27.72,0.0,1.5
2014-01-25,0.0,32.4,24.4,10.6,4.1,27.68,0.0,2.5
2014-01-26,0.0,32.3,25.6,10.2,6.6,28.06,0.0,3.0
2014-01-27,0.0,32.3,25.1,10.5,4.8,27.92,0.0,1.5
2014-01-28,0.0,31.9,24.8,10.6,4.4,27.76,0.0,1.5
2014-01-29,0.4,32.5,24.6,10.4,4.3,28.26,0.0,1.0
2014-01-30,0.0,32.9,24.8,9.7,2.1,28.22,0.0,1.0
2014-01-31,0.0,33.0,23.6,10.2,6.2,28.06,72.25,0.333333
2014-02-01,0.0,33.3,25.4,10.5,3.8,28.66,69.75,1.666667
2014-02-02,0.0,34.0,25.1,10.7,5.2,29.06,68.0,1.0
2014-02-03,0.0,33.7,25.5,10.1,4.9,28.76,71.5,1.333333
2014-02-04,0.0,33.3,24.8,9.7,4.5,28.52,72.0,1.333333
2014-02-05,0.8,32.9,24.6,9.3,4.0,28.1,70.75,1.0
2014-02-06,2.2,33.5,24.3,10.4,4.5,28.52,68.75,0.666667
2014-02-07,1.8,32.3,25.1,9.2,4.1,27.36,73.75,1.0
2014-02-08,0.0,32.9,25.0,10.4,4.8,28.02,69.25,1.333333
