date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,22.4,32.6,21.0,8.3,3.6,27.28,78.5,0.333333
2014-01-02,8.0,35.2,22.6,9.6,4.9,28.86,65.0,0.0
2014-01-03,0.0,37.6,22.4,10.6,7.9,29.76,60.25,0.333333
2014-01-04,11.6,34.6,21.0,10.1,11.1,28.16,66.75,0.666667
2014-01-05,0.0,36.0,22.0,9.3,9.8,27.38,66.5,0.666667
2014-01-06,0.4,33.2,22.0,8.8,8.7,27.36,71.5,0.333333
2014-01-07,3.0,33.6,22.0,5.9,8.4,26.76,79.0,0.666667
2014-01-08,7.0,31.6,21.3,6.0,3.9,26.46,77.5,0.0
2014-01-09,0.0,34.6,21.0,9.7,3.5,26.38,64.25,0.333333
2014-01-10,0.0,34.6,20.2,7.1,6.0,26.36,64.75,0.666667
2014-01-11,1.4,34.0,21.6,6.0,5.3,26.58,68.25,0.333333
2014-01-12,2.0,32.6,21.0,7.1,4.7,26.2,73.5,0.333333
2014-01-13,0.4,31.4,21.0,3.5,4.1,25.2,73.0,0.666667
2014-01-14,0.0,33.8,20.7,10.1,8.6,27.86,64.75,0.666667
2014-01-15,0.0,33.0,22.5,7.8,8.1,26.76,70.25,0.333333
2014-01-16,0.0,33.4,20.6,6.9,11.1,26.86,70.25,0.333333
2014-01-17,6.8,36.0,20.6,10.0,4.0,28.46,63.25,0.9
2014-01-18,96.0,31.8,21.0,2.1,6.0,25.34,82.0,0.0
2014-01-19,0.8,32.0,21.6,2.5,2.5,25.14,82.75,0.333333
2014-01-20,3.0,30.7,22.2,5.1,2.2,25.38,87.5,1.0
2014-01-21,19.0,28.4,21.5,1.8,3.6,23.94,87.0,0.666667
2014-01-22,22.0,26.4,21.2,0.0,2.1,24.04,90.75,0.333333
2014-01-23,1.8,33.4,22.0,6.7,1.6,26.72,78.0,0.333333
2014-01-24,0.0,32.7,22.4,7.5,3.8,26.08,73.5,0.666667
2014-01-25,6.8,29.0,20.0,2.4,3.6,24.4,79.75,0.333333
2014-01-26,0.0,29.2,20.0,1.0,3.6,23.88,85.25,0.333333
2014-01-27,1.8,32.4,20.0,8.9,2.3,25.04,73.75,1.0
2014-01-28,0.2,33.0,20.8,9.3,4.5,26.52,67.75,0.333333
2014-01-29,54.0,32.4,19.0,3.6,5.5,27.28,81.75,0.666667
2014-01-30,36.0,32.8,19.0,7.3,3.3,25.96,66.75,0.666667
2014-01-31,0.0,34.6,20.6,8.6,5.4,27.96,63.25,0.333333
2014-02-01,0.0,34.8,20.8,9.5,5.2,28.16,64.0,0.333333
2014-02-02,0.0,32.8,20.8,2.1,4.3,26.34,71.0,0.333333
2014-02-03,0.0,34.6,20.8,5.8,5.8,27.66,68.0,0.0
2014-02-04,0.0,31.6,22.8,1.5,10.3,26.7,74.75,0.666667
2014-02-05,0.0,35.0,20.6,7.2,3.4,28.1,62.25,0.333333
2014-02-06,0.0,36.0,21.2,10.2,10.5,29.22,58.5,0.333333
2014-02-07,0.0,31.2,21.0,1.5,10.5,26.34,74.75,0.666667
2014-02-08,21.2,29.0,21.2,1.6,3.4,24.44,82.0,0.666667
2014-02-09,2.2,32.6,19.6,6.9,2.6,23.52,86.0,0.333333
2014-02-10,9.0,33.4,20.0,9.3,6.4,26.28,66.75,0.333333
2014-02-11,0.0,33.8,21.6,5.4,6.4,27.24,65.75,0.333333
2014-02-12,3.2,31.8,22.1,6.8,7.0,26.78,73.75,0.333333
2014-02-13,1.6,31.4,20.0,2.2,5.2,24.28,90.0,0.0
2014-02-14,11.6,32.6,20.0,8.4,3.4,26.08,75.0,0.333333
2014-02-15,20.0,32.4,22.0,1.3,3.7,25.56,83.75,0.666667
2014-02-16,9.0,30.4,21.2,5.3,2.3,25.12,87.0,0.333333
2014-02-17,6.2,30.5,21.7,4.5,2.1,25.52,83.0,0.333333
