date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,21.5,31.6,20.2,0.0,1.6,24.62,74.75,0.733333
2014-01-02,14.0,32.4,20.6,0.0,2.6,25.3,71.0,1.2
2014-01-03,0.0,32.9,21.1,0.0,4.0,26.94,56.5,1.833333
2014-01-04,0.0,33.4,21.0,0.0,6.3,27.22,54.75,1.8
2014-01-05,0.0,32.0,21.8,0.0,6.8,26.74,59.75,1.233333
2014-01-06,0.0,31.4,21.2,0.0,7.4,25.98,55.25,1.9333330000000002
2014-01-07,0.0,31.5,21.4,0.0,6.6,26.02,55.5,3.1333330000000004
2014-01-08,0.0,30.4,20.8,0.0,7.0,25.34,56.25,2.8
2014-01-09,0.0,31.6,20.8,0.0,6.7,25.94,53.75,2.333333
2014-01-10,0.0,30.6,19.5,0.0,7.3,23.16,70.75,2.9
2014-01-11,6.3,31.2,19.4,0.0,4.2,25.54,58.25,2.066667
2014-01-12,0.0,31.7,20.8,0.0,5.8,26.56,56.75,2.7
2014-01-13,0.0,32.4,21.6,0.0,6.6,26.86,58.0,1.666667
2014-01-14,0.0,32.4,21.4,0.0,5.9,26.62,54.25,3.733333
2014-01-15,0.0,33.1,21.3,0.0,6.7,25.94,58.25,0.866667
2014-01-16,0.0,31.8,19.0,0.0,5.8,25.06,58.5,1.266667
2014-01-17,1.3,28.6,20.3,0.0,4.8,23.94,77.0,2.0
2014-01-18,10.6,27.2,20.0,0.0,2.5,22.82,85.0,1.8
2014-01-19,1.1,30.2,19.4,0.0,2.4,23.14,73.25,0.43333299999999997
2014-01-20,21.8,29.2,18.9,0.0,2.8,22.48,80.75,1.7333330000000002
2014-01-21,27.8,26.8,19.0,0.0,2.3,22.44,81.25,2.3
2014-01-22,5.5,30.2,19.0,0.0,2.1,23.22,74.75,2.5333330000000003
2014-01-23,27.5,29.7,19.0,0.0,3.4,24.8,68.75,1.8
2014-01-24,0.0,29.7,19.3,0.0,4.2,23.06,73.75,2.6333330000000004
2014-01-25,7.0,29.6,17.8,0.0,4.6,23.72,73.5,0.333333
2014-01-26,0.0,31.0,19.8,0.0,3.7,25.54,53.0,1.5
2014-01-27,35.6,28.0,16.8,0.0,6.7,20.66,77.5,3.0
2014-01-28,1.0,29.8,16.8,0.0,3.1,23.68,56.0,3.8
2014-01-29,0.0,29.8,18.8,0.0,6.7,24.78,60.0,2.4
2014-01-30,0.0,31.1,20.3,0.0,5.7,24.98,68.75,1.8
2014-01-31,1.7,31.4,20.0,0.0,5.2,25.34,56.5,3.8
2014-02-01,0.0,30.0,19.2,0.0,7.0,24.86,52.0,2.933333
2014-02-02,0.0,31.0,19.2,0.0,7.1,25.14,49.0,1.7
2014-02-03,0.0,31.5,19.4,0.0,7.5,25.68,50.75,2.933333
2014-02-04,0.0,31.4,20.8,0.0,8.2,25.9,47.0,3.766667
2014-02-05,0.0,32.9,20.4,0.0,7.5,27.3,49.25,3.7
2014-02-06,0.0,31.4,20.8,0.0,7.5,25.76,51.5,3.833333
2014-02-07,0.0,32.2,20.2,0.0,7.5,26.26,48.5,2.4666669999999997
2014-02-08,0.0,32.3,20.4,0.0,7.7,26.52,47.75,1.633333
2014-02-09,0.0,32.8,21.0,0.0,8.0,26.7,47.25,2.066667
2014-02-10,0.0,32.6,21.0,0.0,7.8,26.78,49.75,3.233333
2014-02-11,0.0,31.8,21.9,0.0,8.0,26.24,55.25,2.4666669999999997
2014-02-12,0.0,32.2,20.7,0.0,7.0,26.6,50.5,2.4666669999999997
2014-02-13,0.0,32.1,19.8,0.0,6.9,23.56,71.75,2.4
2014-02-14,21.0,26.8,19.8,0.0,3.5,22.96,84.75,1.233333
2014-02-15,4.0,28.2,18.8,0.0,1.5,22.78,82.5,1.4
2014-02-16,36.5,27.6,19.2,0.0,1.5,21.98,89.0,1.7666669999999998
2014-02-17,44.6,29.4,19.3,0.0,1.8,23.28,79.0,1.9666669999999997
2014-02-18,14.8,27.4,19.8,0.0,2.4,23.1,77.25,3.3
2014-02-19,0.2,28.9,19.8,0.0,2.9,23.84,68.5,3.233333
2014-02-20,13.8,29.3,19.8,0.0,4.5,23.32,77.25,2.8
2014-02-21,0.0,29.3,21.2,0.0,4.0,24.0,79.0,2.7
2014-02-22,0.0,29.6,20.6,0.0,2.6,24.5,70.25,2.3666669999999996
2014-02-23,0.0,30.6,18.8,0.0,3.6,24.42,69.0,1.7333330000000002
2014-02-24,9.2,31.6,20.6,0.0,4.4,25.54,64.0,1.8
2014-02-25,43.4,29.2,17.8,0.0,4.8,22.58,81.0,1.133333
2014-02-26,2.0,31.0,19.8,0.0,2.7,25.54,59.75,3.1333330000000004
2014-02-27,0.0,32.0,19.7,0.0,5.6,26.34,50.25,1.9333330000000002
2014-02-28,0.0,31.5,20.5,0.0,6.7,24.78,64.75,2.266667
2014-03-01,0.0,26.0,19.2,0.0,4.7,21.72,85.5,1.166667
2014-03-02,5.1,30.0,18.4,0.0,1.6,24.66,65.0,1.233333
2014-03-03,22.0,30.0,19.0,0.0,3.7,24.22,71.75,3.3
2014-03-04,0.0,29.7,20.6,0.0,4.4,24.68,70.75,2.0333330000000003
2014-03-05,0.0,29.2,21.4,0.0,3.8,24.26,83.75,2.0333330000000003
2014-03-06,10.9,28.0,20.5,0.0,2.2,23.64,86.5,1.466667
2014-03-07,5.3,23.2,18.8,0.0,2.0,20.86,92.75,2.233333
2014-03-08,29.3,28.7,18.8,0.0,0.7,23.08,79.5,0.8
2014-03-09,0.0,31.0,20.2,0.0,2.8,25.02,69.75,1.9333330000000002
2014-03-10,0.0,30.3,19.6,0.0,4.1,24.76,68.5,1.7333330000000002
2014-03-11,0.0,31.5,20.8,0.0,4.1,25.56,63.5,3.233333
2014-03-12,0.0,29.8,21.6,0.0,5.7,24.56,73.0,1.7666669999999998
2014-03-13,0.0,31.2,19.6,0.0,3.6,25.74,57.75,3.333333
2014-03-14,1.7,31.0,20.4,0.0,5.7,25.42,60.0,3.0333330000000003
2014-03-15,0.0,31.7,20.8,0.0,5.7,25.6,58.25,2.6333330000000004
2014-03-16,0.0,31.6,21.4,0.0,5.4,25.94,54.5,2.1
2014-03-17,0.0,31.6,20.7,0.0,7.0,25.94,57.25,2.566667
2014-03-18,0.0,29.6,19.8,0.0,6.0,22.9,78.25,1.7333330000000002
2014-03-19,0.3,30.8,18.9,0.0,3.1,25.16,60.25,2.0333330000000003
2014-03-20,0.0,31.2,20.2,0.0,4.9,25.78,62.0,1.633333
2014-03-21,0.0,31.0,20.7,0.0,4.1,25.08,68.25,1.433333
2014-03-22,0.0,29.0,22.4,0.0,4.6,25.26,76.25,1.633333
2014-03-23,0.0,30.7,20.2,0.0,3.0,23.92,77.0,2.233333
2014-03-24,3.9,28.6,20.0,0.0,3.3,23.26,80.0,2.7
2014-03-25,0.5,29.5,20.0,0.0,2.7,24.2,71.75,2.9
2014-03-26,4.5,27.0,21.1,0.0,3.4,23.52,80.5,1.8666669999999999
2014-03-27,0.0,25.0,20.6,0.0,2.6,22.38,84.25,0.333333
2014-03-28,1.8,28.0,19.5,0.0,1.3,23.24,76.25,1.9
2014-03-29,0.0,30.0,20.6,0.0,3.2,25.22,65.25,2.666667
2014-03-30,16.3,25.4,18.6,0.0,4.3,21.14,86.0,1.9333330000000002
2014-03-31,6.7,29.1,21.1,0.0,1.2,23.66,81.25,0.9
2014-04-01,0.8,29.8,20.2,0.0,2.1,24.38,75.25,1.633693
2014-04-02,0.0,30.7,20.4,0.0,3.1,24.76,74.0,1.833333
2014-04-03,0.0,28.6,20.5,0.0,3.6,23.46,82.25,1.433333
2014-04-04,1.1,30.3,19.5,0.0,1.4,24.28,72.75,1.833333
2014-04-05,0.0,30.4,20.8,0.0,3.5,25.18,66.75,3.0333330000000003
2014-04-06,0.0,30.9,20.2,0.0,4.5,25.28,65.0,1.9333330000000002
2014-04-07,0.0,31.7,21.7,0.0,4.2,25.58,79.0,1.352587
2014-04-08,0.0,31.8,20.1,0.0,3.9,26.14,62.5,1.3
2014-04-09,0.0,33.1,22.1,0.0,5.0,26.98,63.25,0.9
2014-04-10,0.0,32.5,21.4,0.0,4.9,24.94,72.75,1.7
2014-04-11,6.0,30.6,20.3,0.0,3.6,24.78,75.5,1.233333
2014-04-12,2.5,29.1,20.7,0.0,3.1,24.34,71.0,3.0099869999999997
2014-04-13,0.0,30.6,21.4,0.0,3.1,25.18,75.0,1.333333
2014-04-14,0.0,28.2,21.3,0.0,3.0,23.64,87.0,0.366667
2014-04-15,7.3,30.6,21.1,0.0,2.0,24.98,73.25,2.3
2014-04-16,6.9,25.5,19.0,0.0,2.2,21.88,85.5,0.9
2014-04-17,1.3,28.6,19.1,0.0,1.3,23.7,77.0,1.566667
2014-04-18,0.0,30.8,19.8,0.0,1.5,24.82,75.25,1.633333
2014-04-19,0.3,31.3,20.2,0.0,1.5,25.54,64.25,1.433333
2014-04-20,0.0,31.6,20.8,0.0,4.5,25.38,63.75,1.333333
2014-04-21,0.0,31.6,20.5,0.0,5.0,25.44,62.25,2.4
2014-04-22,0.0,30.8,19.7,0.0,5.1,23.3,74.25,2.6333330000000004
2014-04-23,51.6,25.0,19.4,0.0,3.4,21.94,81.0,0.43333299999999997
2014-04-24,0.0,26.6,20.0,0.0,2.1,22.08,84.25,1.8666669999999999
2014-04-25,3.6,26.6,18.0,0.0,1.1,21.42,77.5,0.966667
2014-04-26,0.0,28.1,17.5,0.0,3.3,22.62,64.0,1.9
2014-04-27,0.0,28.6,16.4,0.0,4.0,22.1,58.0,1.2
2014-04-28,0.0,27.7,17.0,0.0,5.2,21.78,59.25,2.80036
2014-04-29,0.0,26.1,15.4,0.0,5.1,20.26,59.25,2.8666669999999996
2014-04-30,0.0,26.1,14.1,0.0,4.7,19.78,58.5,3.2
2014-05-01,0.0,27.4,14.8,0.0,4.7,20.84,59.5,1.9333330000000002
2014-05-02,0.0,27.2,13.7,0.0,3.0,20.44,59.75,1.9
2014-05-03,0.0,28.2,15.5,0.0,2.2,21.46,50.75,2.333333
2014-05-04,0.0,28.1,15.8,0.0,3.3,21.64,58.5,1.833333
2014-05-05,0.0,27.9,15.7,0.0,2.1,22.02,58.75,1.9
2014-05-06,0.0,29.6,16.1,0.0,2.1,23.34,54.25,1.9666669999999997
2014-05-07,0.0,29.6,17.7,0.0,2.6,24.62,52.5,2.4666669999999997
2014-05-08,0.0,29.2,19.9,0.0,1.7,24.04,64.5,1.3
2014-05-09,0.0,29.4,18.4,0.0,3.9,23.58,58.75,1.533333
2014-05-10,0.0,29.0,17.3,0.0,4.8,22.78,55.25,1.0
2014-05-11,0.0,28.3,17.4,0.0,5.1,21.96,66.5,3.4
2014-05-12,0.0,27.0,15.8,0.0,4.2,20.92,64.0,2.066667
2014-05-13,0.0,26.4,14.7,0.0,2.9,19.84,60.0,2.266667
2014-05-14,0.0,26.8,13.7,0.0,4.5,19.98,57.75,1.033333
2014-05-15,0.0,28.4,14.6,0.0,4.6,21.3,54.75,1.066667
2014-05-16,0.0,28.9,15.3,0.0,4.8,22.58,56.25,1.5
2014-05-17,0.0,29.8,16.4,0.0,4.7,23.48,52.75,1.2
2014-05-18,0.0,26.5,19.8,0.0,6.7,22.84,64.5,1.6
2014-05-19,0.0,29.3,18.0,0.0,3.7,22.8,66.75,0.866667
2014-05-20,0.0,29.6,17.5,0.0,4.0,23.28,56.5,1.633333
2014-05-21,0.0,28.9,18.7,0.0,3.9,23.22,52.5,2.933333
2014-05-22,0.0,30.0,18.4,0.0,3.4,23.86,58.0,1.666667
2014-05-23,0.0,29.6,18.3,0.0,2.1,23.54,69.0,1.1
2014-05-24,0.0,30.4,19.8,0.0,1.5,23.76,68.25,1.666667
