date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,2.2,31.1,20.2,8.4,4.4,25.34,66.0,0.0
2014-01-02,8.4,30.4,19.7,10.2,5.2,24.74,71.75,0.68592
2014-01-03,0.0,31.2,20.2,11.5,4.8,25.56,48.25,0.68592
2014-01-04,0.0,31.3,19.5,11.0,9.4,25.32,48.0,2.0
2014-01-05,0.0,30.6,18.6,11.3,10.2,25.2,48.0,1.3
2014-01-06,0.0,30.4,19.4,10.2,9.7,24.46,59.25,1.6
2014-01-07,0.0,29.6,19.4,10.8,7.3,24.3,56.75,1.7666669999999998
2014-01-08,0.0,29.5,18.2,11.2,8.3,23.94,52.75,1.666667
2014-01-09,0.0,29.7,19.2,11.0,8.5,24.66,51.75,1.133333
2014-01-10,0.0,29.1,20.3,9.0,8.9,24.36,66.5,0.68592
2014-01-11,0.0,29.6,18.5,8.9,5.8,23.3,67.5,0.0
2014-01-12,0.0,30.5,19.2,8.7,5.5,24.6,62.5,1.447773
2014-01-13,0.0,31.0,20.7,11.2,7.7,25.18,62.0,0.68592
2014-01-14,0.0,32.4,20.2,9.9,7.4,25.56,55.0,1.009627
2014-01-15,0.0,31.6,19.5,9.9,7.8,24.48,64.5,0.666667
2014-01-16,9.1,30.6,18.3,9.9,5.9,23.34,72.5,0.0
2014-01-17,1.9,29.5,19.6,3.7,4.8,22.38,81.25,1.009627
2014-01-18,0.3,26.0,18.4,1.5,3.4,20.92,92.5,0.0
2014-01-19,47.3,26.1,19.1,0.5,1.2,21.12,88.75,0.43333299999999997
2014-01-20,3.3,24.2,19.2,1.7,1.7,21.48,85.25,0.68592
2014-01-21,0.3,28.9,19.8,4.2,2.3,21.94,80.5,0.566667
2014-01-22,3.2,26.4,18.4,0.6,3.0,21.42,84.0,0.34296
2014-01-23,0.4,27.9,18.3,5.6,2.2,22.76,82.75,0.0
2014-01-24,3.2,28.6,18.5,5.1,3.0,22.1,80.5,1.1
2014-01-25,1.2,26.6,17.2,2.9,3.0,22.56,72.0,0.34296
2014-01-26,0.0,27.4,18.0,5.6,4.0,22.7,76.5,0.8096270000000001
2014-01-27,2.0,29.5,17.7,7.2,4.0,22.68,68.0,0.34296
2014-01-28,2.0,28.3,18.3,9.5,5.2,23.06,61.75,0.833333
2014-01-29,0.0,28.9,18.4,10.8,8.0,23.5,57.0,2.11444
2014-01-30,0.0,30.0,21.1,8.3,9.8,24.6,60.75,2.166667
2014-01-31,0.0,29.4,19.8,11.0,8.3,24.12,55.5,2.333333
2014-02-01,0.0,29.2,17.5,10.2,9.6,23.42,51.0,1.9333330000000002
2014-02-02,0.0,29.0,17.6,8.7,9.3,24.02,52.0,1.4
2014-02-03,0.0,29.7,18.5,10.0,8.7,24.34,53.0,1.9
2014-02-04,0.0,29.8,18.2,7.0,9.3,24.18,50.75,1.9333330000000002
2014-02-05,0.0,31.4,20.3,10.5,9.2,25.38,55.5,2.1
2014-02-06,0.0,29.6,19.7,11.1,10.6,24.04,56.25,1.166667
2014-02-07,0.0,30.4,19.6,10.9,9.4,24.86,42.0,1.0
2014-02-08,0.0,30.3,21.2,7.8,10.6,25.06,67.25,0.6
2014-02-09,3.4,28.8,18.8,6.7,5.4,24.32,64.0,0.666667
2014-02-10,0.0,29.4,20.7,3.9,6.0,24.94,49.5,1.9
2014-02-11,0.0,28.9,20.2,7.5,10.1,24.42,56.25,1.466667
2014-02-12,0.0,28.9,19.3,7.2,7.5,23.54,70.25,1.5
2014-02-13,0.1,27.4,20.0,2.1,5.7,22.36,78.5,0.866667
2014-02-14,17.3,28.1,19.2,3.1,3.0,22.02,84.5,1.066667
2014-02-15,13.4,28.6,19.5,5.9,3.3,22.5,82.25,0.333333
2014-02-16,24.6,27.4,19.7,3.7,3.1,21.98,89.25,0.333333
2014-02-17,2.5,27.8,19.3,8.4,1.9,22.48,80.0,1.333333
2014-02-18,29.3,26.0,19.2,1.7,3.4,21.16,86.25,1.0
2014-02-19,1.6,26.3,19.3,2.5,2.4,21.28,87.75,0.333333
2014-02-20,15.4,24.6,18.8,0.7,2.1,21.04,88.75,0.666667
2014-02-21,7.1,26.0,19.4,1.9,1.5,21.52,88.75,0.333333
2014-02-22,3.2,26.4,19.4,1.8,1.9,21.32,84.75,0.666667
2014-02-23,48.9,28.4,18.0,7.3,3.5,22.64,77.0,0.666667
2014-02-24,1.5,29.8,18.4,8.9,4.1,22.64,76.5,0.333333
2014-02-25,16.7,27.1,18.6,2.5,4.1,22.46,77.5,0.0
2014-02-26,0.0,29.3,19.2,10.4,3.3,23.96,60.75,1.666667
2014-02-27,0.0,30.0,18.3,10.6,7.2,24.5,59.75,1.0
2014-02-28,0.0,28.0,20.2,5.8,6.5,23.44,70.0,0.0
2014-03-01,3.8,27.0,18.4,4.4,3.8,20.74,86.75,0.333333
2014-03-02,2.1,27.9,18.2,7.5,2.0,21.94,83.5,1.666667
2014-03-03,7.4,26.5,19.8,4.8,3.4,21.96,86.0,0.333333
2014-03-04,6.9,28.6,19.7,5.6,2.7,23.22,77.75,0.0
2014-03-05,0.0,28.4,20.8,4.7,3.2,23.78,77.25,0.9
2014-03-06,0.0,27.9,20.6,2.9,3.4,23.68,78.0,0.333333
2014-03-07,69.0,26.5,19.8,2.2,3.7,22.64,88.5,0.333333
2014-03-08,7.9,25.6,19.1,3.2,1.8,20.94,87.75,0.333333
2014-03-09,22.4,27.2,18.1,4.4,1.7,22.5,78.5,1.1
2014-03-10,12.6,27.5,18.1,7.7,2.5,22.6,80.0,1.0
2014-03-11,0.0,28.0,18.3,8.9,3.2,22.78,74.25,1.133333
2014-03-12,0.0,29.2,19.8,6.8,4.2,23.94,67.0,0.933333
2014-03-13,0.0,29.8,18.3,10.8,5.6,24.12,61.5,1.066667
2014-03-14,0.0,29.4,18.6,7.4,7.0,23.14,69.75,1.233333
2014-03-15,35.4,29.2,18.2,10.3,4.8,23.7,62.0,1.333333
2014-03-16,0.0,29.0,20.1,8.0,6.6,24.22,63.0,1.166667
2014-03-17,0.0,28.8,19.6,5.6,5.3,22.84,75.0,0.833333
2014-03-18,13.6,28.5,19.5,4.2,3.7,22.88,78.25,0.333333
2014-03-19,0.6,29.1,18.6,8.4,3.4,22.86,77.0,0.0
2014-03-20,14.2,29.4,19.2,4.7,4.5,24.12,76.0,0.0
2014-03-21,25.1,28.2,18.2,5.9,2.8,22.9,80.25,0.0
2014-03-22,0.0,30.2,20.0,4.4,3.2,23.3,85.75,1.366667
2014-03-23,3.3,28.8,18.6,6.5,3.3,23.38,79.25,1.066667
2014-03-24,3.4,23.7,19.4,0.0,3.7,20.94,93.0,0.333333
2014-03-25,0.6,27.6,19.7,4.7,1.4,23.16,79.0,0.566667
2014-03-26,3.0,27.1,19.1,4.4,3.3,22.04,85.25,0.333333
2014-03-27,21.1,24.0,18.8,0.2,1.8,20.86,91.25,0.0
2014-03-28,6.6,27.4,19.1,4.1,1.1,21.9,85.25,1.9
2014-03-29,8.1,26.9,19.6,5.5,1.8,22.42,82.75,1.8666669999999999
2014-03-30,0.4,27.4,19.8,3.8,2.5,22.3,83.5,0.333333
2014-03-31,19.0,27.3,18.8,3.5,2.1,22.82,78.0,0.0
