date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.1,34.3,22.3,5.6,2.8,26.4,81.5,2.666667
2014-01-02,0.0,36.2,22.6,7.9,3.0,27.4,81.5,1.0
2014-01-03,0.6,37.2,21.4,10.6,9.0,26.56,81.5,2.0
2014-01-04,16.2,36.7,19.7,11.2,6.6,27.14,81.5,1.0
2014-01-05,0.0,36.7,20.9,10.7,6.4,27.18,81.5,1.5
2014-01-06,0.0,33.7,20.4,9.0,5.9,26.06,81.5,0.0
2014-01-07,6.7,31.2,22.2,1.6,4.3,25.78,81.5,2.5
2014-01-08,3.2,34.7,21.2,6.8,2.7,27.02,81.5,1.0
2014-01-09,0.1,35.4,20.1,10.5,5.6,27.5,81.5,2.0
2014-01-10,5.1,35.6,20.6,7.6,7.9,26.16,81.5,1.5
2014-01-11,3.4,33.3,19.9,4.0,5.5,24.12,81.5,2.5
2014-01-12,24.0,35.0,19.6,6.9,3.1,26.44,81.5,2.0
2014-01-13,2.7,32.0,20.1,6.9,4.1,25.64,81.5,1.5
2014-01-14,4.3,35.5,23.1,10.6,3.4,27.58,81.5,2.5
2014-01-15,1.8,34.7,20.6,8.8,5.2,25.42,81.5,3.5
2014-01-16,0.2,35.3,20.5,9.3,4.7,26.76,81.5,2.0
2014-01-17,0.0,37.3,21.3,10.5,5.6,28.04,81.5,2.0
2014-01-18,8.9,31.8,21.0,4.0,6.3,24.8,81.5,2.0
2014-01-19,0.2,34.0,21.3,6.8,2.7,25.48,81.5,3.0
2014-01-20,20.0,31.7,21.1,3.2,3.5,24.42,81.5,1.5
2014-01-21,26.1,31.7,19.9,4.7,1.9,24.5,81.5,1.0
2014-01-22,0.0,30.4,20.8,2.8,4.1,24.4,81.5,1.0
2014-01-23,0.8,34.3,21.2,4.9,2.1,25.44,81.5,1.5
2014-01-24,0.0,33.4,20.2,7.9,3.4,23.72,81.5,2.5
2014-01-25,3.8,30.7,19.5,2.4,3.5,23.44,81.5,2.5
2014-01-26,29.1,30.8,20.2,2.7,2.5,23.52,81.5,2.5
2014-01-27,26.8,32.8,19.3,7.1,1.3,24.22,81.5,0.0
2014-01-28,0.0,33.7,19.3,6.5,3.6,24.6,81.5,4.0
2014-01-29,28.9,33.6,19.5,8.5,4.4,25.52,81.5,3.0
2014-01-30,8.2,33.0,20.0,4.7,5.6,24.94,81.5,2.0
2014-01-31,2.4,36.3,20.0,11.0,6.5,27.3,81.5,2.5
2014-02-01,0.0,35.0,20.9,9.7,10.1,27.12,53.25,2.666667
2014-02-02,0.0,35.8,22.3,9.2,12.7,27.86,53.25,3.0
2014-02-03,0.0,36.2,19.8,5.8,8.5,27.34,60.0,2.0
2014-02-04,0.0,34.5,22.8,1.9,7.5,27.54,60.25,3.0
2014-02-05,0.0,37.5,20.0,8.6,6.2,27.4,59.0,1.666667
2014-02-06,0.0,36.4,22.5,9.4,9.3,28.54,56.5,2.333333
2014-02-07,0.0,36.0,21.2,11.2,8.1,27.8,59.5,2.333333
2014-02-08,5.3,35.1,19.7,7.1,7.9,24.1,78.0,2.0
2014-02-09,1.8,34.2,20.4,4.4,4.0,24.24,79.0,2.333333
2014-02-10,21.7,34.3,20.0,4.6,3.1,24.48,83.0,2.333333
2014-02-11,4.5,35.0,20.1,5.4,3.2,27.22,63.75,0.666667
2014-02-12,7.3,33.2,21.1,5.0,5.9,24.3,76.0,3.333333
2014-02-13,7.4,31.7,19.5,3.0,3.2,25.06,78.5,1.666667
2014-02-14,4.9,33.0,20.8,7.6,2.3,25.28,82.25,2.0
2014-02-15,0.0,32.0,21.4,4.7,4.0,24.96,87.25,2.333333
2014-02-16,3.0,32.8,21.3,8.2,2.3,25.6,76.5,3.0
2014-02-17,1.9,29.0,22.3,2.2,3.9,24.46,87.75,2.0
2014-02-18,13.7,31.0,21.3,3.0,1.6,24.8,87.75,2.0
2014-02-19,4.2,30.0,21.4,1.8,2.1,23.96,90.0,2.333333
2014-02-20,24.5,29.7,21.0,1.5,1.8,23.8,92.5,3.333333
2014-02-21,6.6,29.6,21.4,2.7,1.3,23.7,86.25,3.0
2014-02-22,18.3,28.2,20.8,0.2,2.6,23.04,87.75,3.0
2014-02-23,25.9,31.0,20.0,1.3,1.4,23.82,83.5,2.0
2014-02-24,21.0,32.8,20.9,2.2,1.6,24.66,91.25,1.666667
2014-02-25,23.0,32.7,20.4,2.2,1.2,25.08,81.25,3.333333
2014-02-26,0.0,34.8,20.6,7.3,3.1,26.32,68.5,2.666667
2014-02-27,0.0,35.8,20.3,7.8,4.7,26.14,71.25,2.333333
2014-02-28,37.6,31.4,19.0,4.6,3.7,24.24,83.5,1.666667
2014-03-01,0.0,27.9,21.5,1.3,2.1,23.78,90.0,2.666667
2014-03-02,9.1,33.3,20.9,10.0,1.0,26.06,75.25,3.0
