date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,1.9,31.3,21.1,0.0,2.8,24.82,77.25,0.666667
2014-01-02,0.0,32.5,19.9,0.0,3.4,24.66,75.25,0.666667
2014-01-03,1.9,32.9,19.1,0.0,4.2,26.5,56.0,1.0
2014-01-04,0.0,33.1,18.7,0.0,7.2,26.24,51.75,0.666667
2014-01-05,0.0,32.3,18.6,0.0,9.9,25.86,51.0,1.0
2014-01-06,0.0,31.7,18.9,0.0,10.4,25.64,54.0,1.0
2014-01-07,0.0,31.5,18.6,0.0,8.8,25.28,56.5,0.666667
2014-01-08,0.0,30.6,18.5,0.0,8.4,24.78,55.25,0.666667
2014-01-09,0.0,31.8,17.3,0.0,8.7,24.68,57.5,0.666667
2014-01-10,0.0,31.1,19.9,0.0,9.7,24.2,72.75,1.0
2014-01-11,3.3,31.9,19.7,0.0,5.7,25.48,60.25,0.666667
2014-01-12,0.0,31.8,19.2,0.0,7.3,25.94,58.5,0.666667
2014-01-13,0.0,32.9,21.0,0.0,8.6,26.12,65.0,0.666667
2014-01-14,0.0,32.4,19.3,0.0,6.9,25.98,54.5,0.666667
2014-01-15,0.0,33.7,19.4,0.0,9.1,25.18,69.0,0.333333
2014-01-16,27.3,30.9,18.5,0.0,5.7,23.86,69.25,0.666667
2014-01-17,7.3,28.9,20.7,0.0,4.0,23.08,77.25,1.0
2014-01-18,6.3,27.3,20.4,0.0,3.7,22.88,81.0,0.333333
2014-01-19,0.0,30.9,19.3,0.0,2.6,23.48,73.5,0.333333
2014-01-20,0.0,30.9,18.9,0.0,4.0,23.24,77.5,0.666667
2014-01-21,1.6,29.3,20.0,0.0,3.4,23.34,77.75,0.666667
2014-01-22,6.2,30.1,19.9,0.0,3.0,22.64,81.5,1.0
2014-01-23,4.6,30.8,19.2,0.0,4.3,23.76,73.25,0.333333
2014-01-24,12.3,27.9,18.5,0.0,3.9,22.52,85.75,0.333333
2014-01-25,1.5,28.7,18.5,0.0,1.8,23.16,80.25,0.333333
2014-01-26,0.4,31.0,18.7,0.0,3.4,25.26,60.0,0.333333
2014-01-27,4.8,28.0,17.0,0.0,7.8,21.08,79.75,0.333333
2014-01-28,5.7,29.5,17.2,0.0,5.9,23.5,56.0,1.0
2014-01-29,0.0,29.8,16.3,0.0,9.1,23.62,61.25,1.0
2014-01-30,0.0,31.4,18.5,0.0,7.4,25.34,60.25,1.333333
2014-01-31,0.0,30.3,17.3,0.0,8.2,24.1,60.0,1.0
2014-02-01,0.0,30.1,18.0,0.0,9.7,23.98,55.5,1.333333
2014-02-02,0.0,31.8,16.1,0.0,9.5,24.38,52.5,1.0
2014-02-03,0.0,31.8,17.0,0.0,9.0,24.9,57.25,1.0
2014-02-04,0.0,31.1,18.5,0.0,9.0,24.8,55.75,1.0
2014-02-05,0.0,33.5,17.3,0.0,8.6,25.6,58.0,0.333333
2014-02-06,0.0,31.3,20.1,0.0,10.3,25.48,54.25,1.666667
2014-02-07,0.0,32.3,17.1,0.0,10.6,25.24,53.0,1.0
