date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,6.2,33.1,21.2,7.8,3.6,25.92,69.25,1.333333
2014-01-02,0.0,33.3,21.6,6.0,4.8,25.28,77.75,1.7
2014-01-03,7.0,35.0,19.9,9.7,2.6,26.54,66.25,0.766667
2014-01-04,0.0,34.9,20.6,10.5,4.5,26.46,57.25,0.266667
2014-01-05,0.4,35.3,19.9,9.8,6.5,27.12,51.75,1.233333
2014-01-06,0.0,35.1,17.4,7.7,6.1,24.74,63.5,0.3
2014-01-07,0.0,30.5,18.5,3.6,5.1,23.48,68.0,1.133333
2014-01-08,0.0,32.0,18.5,5.0,3.7,23.8,76.5,0.633333
2014-01-09,2.6,33.3,19.2,9.6,3.0,24.66,62.5,0.966667
2014-01-10,0.0,34.3,18.3,7.4,5.3,24.94,62.0,1.1
2014-01-11,4.0,32.6,20.0,5.4,5.2,24.8,69.75,1.533333
2014-01-12,34.7,31.5,18.6,3.4,3.6,24.34,75.5,0.0
2014-01-13,0.0,32.2,19.7,4.0,2.9,25.1,60.25,2.433333
2014-01-14,0.0,30.0,19.0,4.5,5.0,23.18,79.75,1.333333
2014-01-15,2.3,32.7,18.8,4.7,2.5,23.36,77.75,1.2
2014-01-16,0.0,31.2,17.7,8.6,3.2,24.16,68.25,1.166667
2014-01-17,0.0,34.0,20.3,7.3,4.1,24.7,74.0,0.633333
2014-01-18,8.1,29.8,20.6,0.1,3.8,23.4,81.5,2.2
2014-01-19,0.0,31.8,20.3,6.8,2.0,24.58,71.0,2.0333330000000003
2014-01-20,1.0,30.8,19.7,8.1,3.2,24.68,77.5,1.9666669999999997
2014-01-21,0.5,30.3,20.2,3.7,3.7,24.98,68.5,2.433333
2014-01-22,0.0,28.7,21.6,1.5,4.4,23.58,74.25,2.3
2014-01-23,0.0,30.7,18.8,5.5,3.1,24.18,77.0,1.333333
2014-01-24,16.8,32.7,19.3,7.3,2.4,23.62,77.25,0.966667
2014-01-25,3.0,29.4,19.1,1.6,3.0,22.58,79.0,0.23333299999999998
2014-01-26,4.6,29.6,18.2,2.9,1.6,21.48,84.75,0.733333
2014-01-27,1.7,29.3,16.7,5.7,2.0,21.64,92.25,0.4
2014-01-28,20.4,31.7,17.4,8.2,1.3,22.28,78.25,1.2
2014-01-29,1.5,31.2,17.7,5.5,2.8,21.96,79.0,2.266667
2014-01-30,25.3,33.2,18.6,8.1,1.9,24.76,61.5,0.8
2014-01-31,0.0,33.5,19.4,9.8,5.1,24.66,64.0,1.266667
2014-02-01,0.0,32.6,18.0,6.1,6.3,26.26,46.5,2.8666669999999996
2014-02-02,0.0,34.3,16.5,9.5,6.6,25.18,56.25,1.9666669999999997
2014-02-03,0.0,33.6,19.6,7.0,6.4,26.38,57.5,0.0
2014-02-04,0.0,33.4,21.0,3.9,6.0,26.24,54.5,0.933333
2014-02-05,0.0,35.4,18.5,9.2,6.3,26.56,49.25,0.666667
2014-02-06,0.0,35.4,17.7,8.9,7.5,26.42,51.75,0.8
2014-02-07,0.0,34.3,22.9,7.6,8.1,27.26,55.25,1.7
2014-02-08,0.0,35.3,18.8,8.5,6.0,25.14,60.0,0.833333
2014-02-09,1.2,33.0,19.1,6.1,5.6,24.0,74.5,0.9
2014-02-10,0.0,33.3,17.9,6.0,3.4,23.54,73.0,1.166667
2014-02-11,6.1,33.1,17.5,6.9,3.4,22.94,75.5,1.166667
2014-02-12,5.7,27.1,19.1,0.9,3.0,22.0,89.5,0.566667
2014-02-13,2.0,31.0,19.5,3.8,1.5,23.52,72.0,1.166667
2014-02-14,1.1,32.4,20.5,5.0,2.9,24.6,74.75,5.566667
2014-02-15,11.8,30.7,21.0,4.2,3.5,23.9,83.25,1.833333
2014-02-16,31.4,30.5,20.5,3.6,1.7,24.08,80.0,1.666667
2014-02-17,4.6,30.9,21.2,2.9,2.4,24.86,73.25,1.066667
2014-02-18,0.1,32.3,21.4,7.1,3.9,24.12,78.5,1.5
2014-02-19,63.7,29.9,21.3,1.5,3.4,24.06,82.0,1.1
2014-02-20,3.4,27.8,21.0,2.9,2.3,23.88,84.25,1.7333330000000002
2014-02-21,21.7,28.1,21.1,0.4,1.2,23.28,89.5,0.3
2014-02-22,10.6,30.2,20.1,1.1,1.5,23.56,74.5,1.6
2014-02-23,3.6,26.7,20.0,0.1,3.5,22.42,80.75,3.3666669999999996
2014-02-24,0.4,28.3,20.0,0.2,2.6,22.48,92.75,0.0
2014-02-25,5.9,30.6,19.5,1.9,1.4,23.44,75.75,1.1
2014-02-26,0.1,31.2,18.8,2.9,2.8,23.22,88.25,1.533333
2014-02-27,1.4,32.5,19.0,7.0,2.1,24.16,81.75,0.666667
2014-02-28,0.8,31.4,20.1,3.7,2.7,24.08,71.5,1.1
2014-03-01,0.0,31.5,19.4,8.0,4.6,23.48,75.5,0.6
2014-03-02,9.7,32.3,19.1,5.8,3.2,24.68,72.0,1.033333
2014-03-03,0.0,33.2,19.5,5.9,3.3,25.56,65.5,0.5
2014-03-04,2.0,30.8,20.6,8.3,5.0,25.56,66.25,3.166667
2014-03-05,1.2,31.5,20.3,4.9,4.3,24.78,74.0,1.0
2014-03-06,12.9,32.3,19.8,5.8,2.5,24.76,74.0,1.033333
2014-03-07,1.3,30.9,21.4,3.6,2.9,25.12,70.75,2.1333330000000004
2014-03-08,20.8,32.0,18.6,8.7,3.5,23.62,76.75,0.666667
2014-03-09,13.1,31.9,20.4,8.2,3.0,24.94,74.5,0.7
2014-03-10,0.0,31.6,20.3,4.7,3.3,23.5,81.25,1.7666669999999998
2014-03-11,54.8,31.2,19.8,2.7,2.9,23.58,78.75,0.566667
2014-03-12,35.5,30.4,19.8,0.9,2.0,22.84,86.0,1.366667
2014-03-13,5.8,30.7,20.5,0.1,1.9,23.42,90.25,0.533333
2014-03-14,4.6,33.5,17.7,6.1,1.7,23.3,74.75,1.3
2014-03-15,0.0,32.1,18.0,6.0,3.6,22.8,81.75,1.133333
2014-03-16,13.3,32.5,18.4,8.1,2.6,24.02,71.0,0.866667
2014-03-17,0.0,31.0,18.7,4.7,2.9,23.62,80.0,0.566667
2014-03-18,1.2,32.7,18.7,3.3,2.4,23.52,69.0,0.466667
2014-03-19,0.0,32.2,18.2,5.6,3.4,23.64,75.0,0.566667
2014-03-20,2.8,33.0,20.7,4.0,2.9,24.7,77.75,1.3
2014-03-21,3.9,32.6,21.4,2.9,3.0,24.8,77.25,0.43333299999999997
2014-03-22,0.0,25.6,20.4,0.0,3.8,22.34,91.75,0.0
2014-03-23,49.8,29.0,19.3,1.7,0.7,23.22,82.75,0.666667
2014-03-24,0.0,30.1,20.5,2.5,2.0,23.52,79.0,2.1
