date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,32.9,20.6,0.0,4.8,26.98,62.0,0.333333
2014-01-02,0.0,32.9,21.7,0.0,6.9,27.42,53.0,0.333333
2014-01-03,0.0,32.6,20.8,0.0,10.0,27.06,47.75,0.0
2014-01-04,0.0,30.7,21.4,0.0,11.8,26.16,61.0,0.666667
2014-01-05,0.0,31.6,21.2,0.0,9.5,26.84,47.0,0.333333
2014-01-06,0.0,31.4,20.4,0.0,8.5,25.06,57.5,0.0
2014-01-07,5.5,30.4,19.2,0.0,5.3,25.5,53.5,1.666667
2014-01-08,0.0,31.3,20.0,0.0,10.3,25.5,56.0,1.333333
2014-01-09,0.0,30.0,20.2,0.0,12.5,24.88,67.25,0.333333
2014-01-10,0.2,31.6,20.6,0.0,6.5,25.58,61.75,0.666667
2014-01-11,0.0,30.8,20.2,0.0,5.8,24.04,75.0,0.333333
2014-01-12,0.3,30.9,19.8,0.0,4.5,25.82,57.25,0.333333
2014-01-13,0.0,32.9,22.2,0.0,9.0,26.84,49.0,0.333333
2014-01-14,0.0,32.7,21.0,0.0,10.2,26.82,55.0,1.0
2014-01-15,0.0,32.3,20.8,0.0,10.0,25.28,63.75,0.333333
2014-01-16,14.7,30.9,18.8,0.0,5.0,24.44,71.75,0.0
2014-01-17,8.3,30.5,17.8,0.0,3.3,22.5,77.75,1.333333
2014-01-18,37.3,27.0,17.8,0.0,3.0,22.24,83.0,0.333333
2014-01-19,1.6,28.4,19.8,0.0,2.7,23.02,81.25,0.333333
2014-01-20,23.1,22.5,19.4,0.0,2.8,20.96,95.75,0.0
2014-01-21,18.1,27.1,19.4,0.0,0.3,22.28,92.0,0.0
2014-01-22,4.7,29.1,18.8,0.0,1.3,22.48,85.0,0.0
2014-01-23,29.8,29.2,18.6,0.0,2.9,22.64,82.25,0.333333
2014-01-24,8.3,30.1,18.0,0.0,3.5,22.88,80.25,0.0
2014-01-25,0.0,27.7,18.8,0.0,3.8,23.4,77.5,0.0
2014-01-26,0.0,27.3,19.5,0.0,4.9,22.56,85.25,0.0
2014-01-27,0.0,29.2,18.8,0.0,2.1,24.86,54.5,2.0
2014-01-28,0.0,32.4,20.2,0.0,13.5,24.88,58.5,0.533333
2014-01-29,0.0,29.1,20.4,0.0,9.4,24.56,57.5,1.0
2014-01-30,0.0,31.2,20.6,0.0,8.9,25.6,53.75,1.333333
2014-01-31,0.0,30.4,21.0,0.0,11.3,25.22,54.5,0.333333
2014-02-01,0.0,31.9,20.4,0.0,10.3,25.76,52.25,0.666667
2014-02-02,0.0,30.5,21.2,0.0,10.0,25.92,56.0,0.333333
2014-02-03,0.0,31.3,21.2,0.0,9.8,25.64,54.5,1.266667
2014-02-04,0.0,32.2,20.9,0.0,10.1,26.16,56.25,1.0
2014-02-05,0.0,32.7,22.2,0.0,9.9,26.72,57.5,1.7333330000000002
2014-02-06,0.0,31.3,20.8,0.0,11.0,25.48,51.75,1.0
2014-02-07,0.0,31.0,21.6,0.0,13.2,25.68,59.75,0.666667
2014-02-08,0.0,30.5,22.0,0.0,10.3,26.0,65.25,1.333333
2014-02-09,1.3,30.5,21.2,0.0,6.2,25.04,59.25,2.0
2014-02-10,0.0,32.1,22.2,0.0,10.9,26.48,51.0,1.7
2014-02-11,0.0,32.0,21.7,0.0,12.5,26.3,55.75,2.0
2014-02-12,0.0,30.0,21.2,0.0,9.7,25.34,67.25,1.666667
2014-02-13,0.4,33.4,22.0,0.0,4.8,25.44,70.0,0.0
2014-02-14,9.7,30.0,19.8,0.0,5.5,23.06,81.5,1.333333
2014-02-15,7.1,28.0,19.7,0.0,2.5,23.76,78.5,0.0
2014-02-16,0.0,26.2,20.7,0.0,3.1,23.02,86.0,0.333333
2014-02-17,8.6,27.3,19.7,0.0,1.8,23.24,80.75,0.666667
2014-02-18,2.5,24.8,19.8,0.0,2.8,21.56,89.0,0.666667
2014-02-19,31.7,26.2,19.4,0.0,1.1,22.32,89.0,0.0
2014-02-20,19.5,25.2,19.0,0.0,2.0,21.96,85.5,0.0
2014-02-21,2.2,26.6,19.4,0.0,2.1,22.16,92.75,0.0
2014-02-22,38.1,27.8,19.4,0.0,1.6,22.42,82.5,1.0
2014-02-23,0.0,30.5,19.4,0.0,3.5,24.58,68.0,0.666667
2014-02-24,0.0,31.7,20.4,0.0,7.0,25.44,67.25,1.333333
2014-02-25,0.0,27.6,19.8,0.0,7.3,23.34,79.5,0.0
2014-02-26,0.0,31.1,21.3,0.0,5.3,25.68,58.5,1.333333
2014-02-27,0.0,32.1,21.0,0.0,12.3,24.9,66.0,1.333333
2014-02-28,0.0,30.2,19.8,0.0,6.8,23.54,74.25,1.333333
2014-03-01,1.7,29.1,20.0,0.0,4.8,23.12,80.0,0.0
2014-03-02,4.6,28.1,20.0,0.0,3.4,23.24,84.25,0.0
2014-03-03,38.3,28.5,19.8,0.0,1.6,22.92,85.0,1.333333
2014-03-04,24.8,29.1,19.6,0.0,2.4,23.66,82.75,0.666667
2014-03-05,0.5,30.1,21.4,0.0,3.4,24.3,77.5,0.333333
2014-03-06,4.1,28.9,20.9,0.0,3.7,24.62,77.0,0.333333
2014-03-07,0.0,28.9,20.8,0.0,3.1,24.26,82.75,0.666667
2014-03-08,0.0,28.4,21.2,0.0,3.3,23.94,79.75,0.666667
2014-03-09,10.2,28.0,18.2,0.0,2.7,21.78,84.75,0.0
2014-03-10,6.2,28.3,19.0,0.0,2.6,23.18,85.75,0.666667
2014-03-11,9.5,26.3,19.8,0.0,2.7,22.62,89.5,0.0
2014-03-12,21.5,30.1,19.2,0.0,2.4,24.36,64.0,0.666667
2014-03-13,0.0,31.2,20.2,0.0,6.9,25.42,58.0,1.666667
2014-03-14,0.0,30.5,21.4,0.0,8.8,25.66,58.75,1.352587
2014-03-15,0.0,31.4,20.4,0.0,10.0,25.62,54.0,1.333333
2014-03-16,0.0,29.4,19.7,0.0,10.4,24.8,64.75,1.0
2014-03-17,0.0,27.4,20.8,0.0,7.0,23.38,81.25,0.666667
2014-03-18,0.8,28.3,20.5,0.0,3.0,24.58,69.75,0.0
2014-03-19,0.0,30.1,21.2,0.0,4.6,24.3,71.0,0.666667
2014-03-20,0.5,31.2,21.4,0.0,5.8,26.3,72.0,0.333333
2014-03-21,1.2,29.6,21.6,0.0,4.0,24.24,85.25,0.0
2014-03-22,4.2,29.4,20.8,0.0,2.3,23.42,80.5,2.0
2014-03-23,20.6,29.1,19.4,0.0,3.8,24.16,85.75,0.333333
2014-03-24,37.3,23.5,19.2,0.0,2.2,20.64,95.75,0.333333
2014-03-25,38.0,29.1,18.8,0.0,0.8,23.14,85.75,1.333333
2014-03-26,38.5,27.0,19.0,0.0,2.3,22.22,85.75,0.0
2014-03-27,21.6,27.0,18.8,0.0,1.9,22.5,88.75,0.333333
2014-03-28,1.1,28.0,19.8,0.0,1.9,22.88,81.5,0.666667
2014-03-29,3.0,26.5,19.7,0.0,2.3,22.46,91.75,0.0
2014-03-30,4.1,27.6,19.6,0.0,1.1,22.2,88.0,0.0
2014-03-31,10.9,27.0,19.3,0.0,1.7,22.86,89.25,0.0
2014-04-01,5.3,30.0,20.6,0.0,2.2,24.46,80.25,0.34296
2014-04-02,40.8,31.4,20.0,0.0,3.3,24.7,75.75,0.68592
2014-04-03,1.4,29.8,19.4,0.0,3.6,23.66,80.5,0.0
2014-04-04,0.0,30.5,20.4,0.0,2.9,25.14,77.5,0.34296
2014-04-05,0.0,28.3,21.6,0.0,4.0,23.84,82.75,0.68592
2014-04-06,4.7,29.0,20.4,0.0,3.0,23.7,85.0,0.0
2014-04-07,7.6,29.1,20.2,0.0,2.9,24.0,80.75,0.34296
2014-04-08,17.7,30.1,20.5,0.0,3.2,24.44,78.0,0.0
2014-04-09,0.0,30.0,20.8,0.0,4.4,24.74,73.5,0.34296
2014-04-10,3.3,29.5,20.2,0.0,3.8,23.76,88.0,0.34296
2014-04-11,7.8,29.6,19.6,0.0,2.5,23.94,80.0,0.68592
2014-04-12,7.7,29.2,20.2,0.0,3.3,24.0,80.75,0.0
2014-04-13,26.0,30.3,20.0,0.0,2.7,24.9,67.0,0.0
2014-04-14,0.0,30.7,20.4,0.0,6.3,25.8,69.0,0.0
2014-04-15,0.2,30.1,21.6,0.0,4.3,25.42,74.5,0.34296
2014-04-16,0.4,27.1,20.4,0.0,4.2,23.42,86.25,0.0
2014-04-17,0.0,30.4,20.2,0.0,2.3,25.1,66.0,0.34296
2014-04-18,0.0,30.4,21.2,0.0,6.0,25.7,59.25,0.34296
2014-04-19,0.0,31.0,19.2,0.0,6.4,25.38,63.75,0.34296
2014-04-20,0.0,31.8,21.4,0.0,6.1,26.66,57.5,0.7
2014-04-21,0.0,30.4,22.2,0.0,7.7,25.94,66.5,0.666667
2014-04-22,0.0,31.1,21.4,0.0,6.3,25.82,63.0,0.34296
2014-04-23,0.4,30.5,20.8,0.0,5.5,24.96,72.75,0.0
2014-04-24,0.0,31.0,20.3,0.0,4.9,25.24,71.25,0.0
2014-04-25,1.7,30.4,21.0,0.0,4.6,24.32,77.5,0.34296
2014-04-26,0.0,29.7,20.2,0.0,3.8,23.32,78.5,0.34296
2014-04-27,5.4,27.4,19.6,0.0,3.6,22.88,75.5,0.34296
2014-04-28,0.0,28.5,19.2,0.0,3.7,22.82,63.25,1.02888
2014-04-29,0.0,27.2,17.2,0.0,8.0,21.22,55.0,1.333333
