date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.7,22.0,11.5,2.4,27.68,67.5,0.866667
2014-01-02,0.0,35.8,21.6,10.9,4.5,27.82,64.75,0.633333
2014-01-03,0.0,34.0,22.5,9.7,4.8,27.88,69.75,1.066667
2014-01-04,2.5,33.7,22.0,10.3,3.3,27.16,74.0,1.333333
2014-01-05,0.0,34.7,22.2,10.9,3.3,27.78,57.5,2.3
2014-01-06,0.0,34.9,21.0,11.4,5.0,27.56,59.5,0.766667
2014-01-07,0.0,35.2,19.6,11.8,5.1,26.8,64.0,0.766667
2014-01-08,0.0,36.7,19.8,10.7,4.2,27.64,59.25,0.733333
2014-01-09,0.0,35.9,19.8,10.4,6.0,27.5,77.0,0.43333299999999997
2014-01-10,12.0,33.6,21.7,0.1,5.3,25.18,86.75,0.666667
2014-01-11,2.5,30.8,21.5,2.1,1.1,25.3,86.0,1.7
2014-01-12,27.5,33.5,23.6,3.4,1.8,27.66,73.5,0.866667
2014-01-13,0.0,36.3,22.9,2.6,3.4,27.98,72.0,1.033333
2014-01-14,0.0,33.8,20.5,3.3,3.8,24.52,82.75,1.3
2014-01-15,41.6,31.8,21.0,3.4,2.1,24.52,79.75,1.033333
2014-01-16,0.0,34.8,22.8,8.4,2.8,27.34,74.25,1.5
2014-01-17,0.0,32.8,24.1,4.5,3.2,27.26,73.0,0.2
2014-01-18,0.0,35.0,22.0,7.8,2.2,27.7,77.5,0.5
2014-01-19,0.6,33.3,24.7,8.2,3.2,28.14,75.5,1.5
2014-01-20,27.2,33.5,22.5,2.2,3.0,25.44,87.25,0.933333
2014-01-21,16.1,32.6,20.5,7.4,1.6,24.16,85.75,1.633333
2014-01-22,17.8,31.6,20.1,6.5,2.0,25.72,90.5,0.5
2014-01-23,15.0,32.6,23.8,3.6,1.3,27.26,76.75,0.533333
2014-01-24,0.0,31.2,22.0,2.4,2.4,24.84,80.25,1.833333
2014-01-25,0.0,31.0,21.8,3.8,5.0,25.2,78.75,1.166667
2014-01-26,5.4,29.2,21.5,1.6,1.7,25.08,74.75,1.1
2014-01-27,0.0,32.6,21.8,7.9,2.3,26.5,70.25,1.8
2014-01-28,11.6,28.6,20.1,0.0,4.5,23.84,88.75,0.2
2014-01-29,0.6,32.8,22.0,6.1,1.0,27.02,73.25,1.333333
2014-01-30,0.0,32.4,21.8,5.3,4.0,26.82,74.75,1.033333
2014-01-31,7.5,26.9,22.8,0.0,2.7,24.22,89.75,1.2
2014-02-01,0.5,34.1,22.5,9.2,1.1,27.48,72.25,0.833333
2014-02-02,7.0,32.8,23.8,3.8,4.0,27.22,77.25,0.333333
2014-02-03,0.0,34.6,21.4,9.2,2.6,27.92,69.25,1.066667
2014-02-04,0.0,32.0,22.8,2.4,4.4,26.58,76.5,0.6
2014-02-05,0.0,33.6,21.5,8.6,1.9,26.96,74.75,0.566667
2014-02-06,0.0,33.6,23.5,5.5,4.7,28.18,66.5,1.233333
2014-02-07,0.0,32.5,23.9,4.9,4.0,26.58,81.0,0.933333
2014-02-08,8.8,32.0,22.5,5.1,2.0,26.92,81.25,1.066667
2014-02-09,2.3,28.3,22.6,1.1,2.3,25.12,86.75,1.066667
2014-02-10,0.0,33.0,21.8,6.6,7.0,26.82,81.75,0.866667
2014-02-11,0.0,30.2,24.3,0.4,3.3,26.36,83.75,1.366667
2014-02-12,2.8,28.6,22.9,0.3,1.8,24.94,89.5,0.866667
2014-02-13,2.0,34.2,22.0,8.4,1.2,25.7,82.5,1.3
2014-02-14,9.7,30.6,22.0,2.2,2.5,24.7,85.75,1.533333
2014-02-15,0.0,31.6,22.3,6.0,1.7,25.4,77.5,1.2
2014-02-16,44.6,31.6,21.5,6.3,2.0,24.88,80.25,1.333333
2014-02-17,11.4,32.3,22.0,4.8,1.7,26.12,80.0,0.8
2014-02-18,6.0,30.9,22.5,1.5,1.8,25.34,84.5,0.566667
2014-02-19,0.0,32.3,23.0,3.2,1.5,25.84,88.25,1.433333
2014-02-20,11.9,29.0,22.2,1.3,1.1,24.78,84.75,0.633333
2014-02-21,0.5,32.4,22.0,4.1,1.4,26.54,73.25,1.366667
2014-02-22,0.0,31.4,22.5,2.0,3.4,26.24,80.0,1.166667
2014-02-23,0.0,33.1,22.6,9.0,3.1,27.04,73.0,1.033333
2014-02-24,0.0,34.5,22.5,9.2,4.0,27.84,70.75,0.9
2014-02-25,0.0,33.6,22.8,8.6,5.0,27.66,69.5,1.2
2014-02-26,0.0,33.7,22.6,4.7,4.0,27.56,73.5,1.533333
2014-02-27,0.6,28.3,23.0,0.4,0.5,25.72,78.75,1.2
2014-02-28,0.0,33.1,22.8,4.7,1.9,25.88,77.0,1.7
2014-03-01,20.0,29.9,22.3,2.3,2.6,25.4,82.25,1.0
2014-03-02,0.0,32.7,23.0,4.3,1.5,25.92,86.5,0.6
2014-03-03,10.9,29.1,22.3,1.5,1.9,25.22,86.25,0.7
2014-03-04,3.2,28.7,23.0,1.4,1.2,26.16,87.75,1.333333
2014-03-05,11.6,31.1,22.8,0.9,1.4,25.72,87.5,1.333333
2014-03-06,15.9,32.8,22.5,7.6,1.3,26.48,78.5,0.8
2014-03-07,0.0,32.6,22.6,7.5,1.7,26.46,79.25,1.066667
2014-03-08,0.0,33.7,22.2,10.5,2.5,27.86,68.75,1.166667
2014-03-09,27.0,30.9,22.5,6.0,3.0,24.5,85.5,1.6
2014-03-10,35.4,32.8,22.0,7.0,1.5,25.58,83.75,0.4
2014-03-11,8.8,31.3,23.0,5.2,1.5,25.56,83.5,1.133333
2014-03-12,16.4,32.8,21.6,6.5,1.9,25.58,81.0,1.566667
2014-03-13,1.3,34.3,22.5,10.8,1.5,27.58,75.0,0.933333
2014-03-14,0.0,34.0,23.0,10.0,3.8,27.7,72.25,1.2
2014-03-15,0.0,32.6,21.6,7.0,4.6,26.78,73.75,1.033333
2014-03-16,28.0,26.6,22.0,0.6,3.8,24.5,91.5,1.066667
2014-03-17,4.5,30.6,22.0,1.1,0.6,25.26,79.0,0.633333
2014-03-18,0.0,33.0,21.5,7.6,2.2,27.12,73.5,0.9
2014-03-19,0.0,33.7,22.2,9.1,4.0,27.16,76.75,0.8
2014-03-20,0.0,34.4,22.0,10.0,4.0,27.7,75.25,0.9
2014-03-21,0.0,35.0,22.2,8.0,4.2,27.6,88.25,0.8
2014-03-22,1.2,34.6,24.0,9.2,1.8,28.42,75.75,0.8
2014-03-23,1.3,32.8,23.8,4.1,2.8,27.2,88.25,1.333333
2014-03-24,10.2,29.7,23.0,2.0,1.7,25.26,88.0,0.933333
2014-03-25,0.0,34.3,21.5,7.9,1.0,25.74,82.25,0.366667
2014-03-26,16.1,32.4,21.8,6.8,2.7,25.94,80.75,0.8
2014-03-27,4.1,32.0,21.8,4.1,1.9,25.56,88.5,0.866667
2014-03-28,0.0,31.5,22.0,3.2,1.4,25.12,83.25,0.9
2014-03-29,3.3,32.7,22.0,7.0,1.7,25.44,85.25,1.566667
2014-03-30,1.8,31.8,21.8,1.3,1.6,25.34,85.5,1.9666669999999997
2014-03-31,1.9,33.0,21.5,8.4,1.5,26.32,78.75,1.366667
2014-04-01,0.0,34.8,22.2,10.5,2.8,27.98,69.75,1.066667
2014-04-02,0.0,32.6,22.5,3.8,3.6,26.12,86.75,1.2
2014-04-03,0.3,34.0,22.4,5.8,1.5,26.78,81.0,0.933333
2014-04-04,0.0,33.2,22.5,6.9,2.0,26.48,88.0,0.866667
2014-04-05,2.6,32.0,22.6,5.3,0.6,26.7,84.0,0.966667
2014-04-06,0.2,32.8,22.3,7.4,1.5,26.6,87.75,0.533333
2014-04-07,18.3,32.6,22.2,3.3,1.8,26.06,80.75,1.366667
