date,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
2014-01-01,0.0,35.0,22.2,11.4,5.0,29.16,72.5,0.666667
2014-01-02,0.0,35.0,22.8,11.6,5.0,29.4,72.75,1.0
2014-01-03,0.0,34.0,24.1,7.3,5.8,27.26,80.5,0.666667
2014-01-04,0.0,32.6,22.8,10.0,3.3,28.12,79.0,0.666667
2014-01-05,0.0,33.6,23.3,7.6,4.2,28.06,82.75,0.666667
2014-01-06,0.0,34.6,22.8,9.8,3.4,28.48,75.75,0.666667
2014-01-07,0.0,35.0,22.8,10.8,5.1,29.16,70.5,0.666667
2014-01-08,0.0,35.0,21.6,10.7,5.0,28.92,74.75,0.666667
2014-01-09,0.0,35.4,24.1,8.7,5.5,28.5,74.75,0.666667
2014-01-10,0.0,31.2,24.1,0.8,4.5,27.1,79.5,0.666667
2014-01-11,3.8,32.8,22.0,7.9,3.5,25.8,86.0,0.666667
2014-01-12,3.4,33.6,23.5,4.4,2.5,27.26,86.5,1.0
2014-01-13,9.2,30.0,19.8,0.8,4.0,24.48,91.5,0.666667
2014-01-14,0.0,32.2,20.6,1.8,1.5,25.48,87.75,1.333333
2014-01-15,0.0,32.0,22.0,3.2,3.0,26.48,85.5,0.666667
2014-01-16,0.0,34.8,23.5,6.9,2.5,27.78,84.75,0.666667
2014-01-17,6.2,31.4,22.6,1.9,2.4,25.0,88.5,0.666667
2014-01-18,11.6,33.2,21.6,7.8,1.5,27.4,85.5,0.666667
2014-01-19,0.0,29.8,23.5,0.2,2.6,26.38,87.5,0.666667
2014-01-20,0.0,30.0,23.9,0.7,1.4,25.42,95.75,0.666667
2014-01-21,14.2,32.4,22.2,2.7,1.0,25.68,90.25,0.666667
2014-01-22,0.6,32.6,22.2,6.7,2.2,26.72,85.5,0.666667
2014-01-23,0.0,32.0,23.9,1.8,2.8,27.74,86.5,0.666667
2014-01-24,0.0,29.6,21.2,0.0,2.5,24.44,93.75,0.666667
2014-01-25,24.3,32.5,20.6,8.4,1.0,23.42,89.75,0.666667
2014-01-26,12.0,29.6,21.4,3.2,2.5,25.56,82.5,0.666667
2014-01-27,19.0,27.6,21.0,0.0,3.0,23.4,95.25,0.666667
2014-01-28,45.0,28.6,20.8,2.7,0.2,24.36,89.75,0.666667
2014-01-29,0.0,32.6,20.6,7.3,2.3,27.24,83.5,0.666667
2014-01-30,0.0,30.0,23.7,1.1,4.0,25.74,90.25,0.666667
2014-01-31,0.0,31.2,22.4,4.0,2.0,24.76,93.5,0.666667
2014-02-01,0.8,31.8,21.8,1.8,1.5,25.36,90.0,0.666667
2014-02-02,0.0,33.6,22.6,8.4,1.8,28.0,83.25,0.666667
2014-02-03,0.0,32.5,24.1,3.2,3.2,27.44,85.25,0.666667
2014-02-04,0.2,30.4,22.2,0.0,3.0,24.52,93.5,0.666667
2014-02-05,0.4,32.5,21.2,4.9,1.0,26.86,85.75,0.666667
2014-02-06,10.4,33.5,22.2,6.3,2.5,26.58,84.75,1.0
2014-02-07,0.0,30.6,23.3,3.1,3.0,26.5,85.0,0.666667
2014-02-08,1.4,28.0,22.8,0.2,2.1,25.16,91.0,0.666667
2014-02-09,11.0,36.0,22.4,0.0,0.5,26.0,94.75,0.666667
2014-02-10,0.0,33.0,21.4,8.3,1.0,26.24,88.25,0.666667
2014-02-11,0.0,31.5,22.0,2.0,4.0,25.62,94.0,0.666667
2014-02-12,0.4,30.8,22.2,2.4,2.0,24.64,90.0,0.666667
2014-02-13,5.0,31.5,22.8,4.5,1.5,25.42,91.75,1.0
2014-02-14,0.0,28.4,23.7,0.9,2.5,25.02,92.5,1.0
2014-02-15,14.6,31.0,22.0,3.6,1.0,25.12,94.0,0.666667
2014-02-16,13.6,31.0,22.0,2.6,1.0,25.76,89.0,0.666667
2014-02-17,13.4,32.0,22.2,3.1,2.0,26.28,87.75,1.0
2014-02-18,0.0,29.6,22.0,1.3,2.0,25.44,89.75,0.666667
2014-02-19,1.4,31.5,22.0,3.0,2.3,27.3,90.75,0.666667
2014-02-20,40.4,31.4,21.6,3.2,1.7,24.8,86.75,1.0
2014-02-21,0.0,32.6,22.2,4.2,2.0,26.88,83.0,0.666667
2014-02-22,0.0,32.6,22.2,2.2,3.0,27.12,81.5,0.666667
2014-02-23,0.0,34.0,22.6,8.2,3.5,28.2,76.25,0.666667
2014-02-24,0.0,35.0,22.8,6.7,6.0,27.8,81.0,0.666667
2014-02-25,0.0,33.6,23.5,2.3,6.2,26.82,88.75,0.666667
2014-02-26,1.0,34.0,23.7,7.9,0.6,28.1,80.5,1.0
2014-02-27,0.0,32.2,24.3,4.2,4.2,26.66,89.0,1.0
2014-02-28,4.8,31.6,23.3,3.6,1.5,27.06,81.75,1.0
2014-03-01,1.2,30.0,23.3,2.1,2.5,26.3,85.5,1.0
